名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
q***k,PLUS会员,我已买4部小米手机了，MaX，红米N4，MiX，小米NOte2.特价1919元直得，亮银色的，系统好用，之前看下N0te3，最后入手N2。,2017-10-03 16:01:23,104,104,5
紫***桐,PLUS会员,小米note2很惊艳，与三星s7s相比，小米note2系统更有甚者更流畅，小米note2非常好，遂川非常好的手机，价格1900左右，非常好，下次继续，在京东购买的小米手机为小米手机，点赞，为京东点赞,2017-10-05 20:04:54,36,37,5
聊天止于呵he,银牌会员,很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！很好用的手机，外观也很漂亮，电池容量超大！同事都说很高大上！,2017-05-28 22:40:02,191,78,5
琴酒离歌笑,银牌会员,颜值高， 颗粒感一般吧！ 玩游戏充电才卡  或者手机发烫了也卡这手机不错  没什么毛病 本人用了3个月才来评价的  ！ 一天一充  可打 王者荣耀  7小时， 强烈强调一点 手机屏幕 太脆 太脆  脆了 不注意就和我手机一样了 请看最后一图 还好免费维修 现在好了(●°u°●)? 」 哈哈(?ω?)hiahiahia ，最后在打个广告 代练王者荣耀  任意段位， 毕竟我现在用的可是高颜值手机 配合我神一样的操作 没问题 老铁。,2017-06-11 12:41:06,74,41,5
j***5,金牌会员,"到手后配件齐全，快递包装很好，码都对的上，正品没的说，产品包装上的问题就是取出不太方便。
到手后就看到两面都是曲面玻璃，中框打磨精致，过渡自然，机身薄，重量分配均匀。屏占比高，即使是5.7的屏幕也不会让机身溢出手掌太多，握持感极佳。
type-c和nfc还有红外发射器的加入都证明了这会是一款非常实用的手机，大电池容量和OLED都让这台手机在硬件上让续航更持久，18W的快充也很不错／全网通和双卡也是优点，就缺tf卡扩展了，OTG可以稍微弥补这样的缺点
最新MIUI9系统给了用户飞速的体验，大多是821和大内存的功劳，然而这开机就占用46%，清理之后撑死42%，对于4G运行内存的手机来说不够理想。发热和省电上我觉得已经控制得很好了，这点还算满意。
屏幕的确是较大的遗憾，小米note2本不该如此，可视角度过低的屏幕让我从正面看都可以发现曲面屏部分有些许发蓝，目光再斜一点就不太好观看了。颜色不够纯净和系统默认亮度调节范围小都造成不够好的观感，我想大多数人是不会满意这样一块屏幕的。
对于拍照，手机对焦最小距离不够小，为了镜头不突出而牺牲防抖，IMX318还没有被调到令人满意的结果，不过完全够用。",2018-01-30 21:52:51,4,4,4
j***l,银牌会员,"京东物流就不说了，依然快如闪电。作为米粉在买之前对这款期待蛮高的，因为之前用note的就感觉比小米系列的要好，这次note2屏幕还是依然比较大，但是曲屏使画面看起来更立体了，至于网上评价的分辨率不高的问题我还真没感受到，可能对这种不敏感吧，反正我觉得看着挺舒服的。打游戏还是很流畅，软件运行也都没什么问题，手感是真的很不错，女生拿起来可能稍微有点大，但因是双面曲屏，还是比note1,小米5拿着舒服。亮黑色的看起来很有质感，白色手机用多了，就换个黑的缓解视觉疲劳。缺点就是曲屏两边看起来确实是泛蓝的，影响整体视觉效果，斜看也是蓝的。还有曲屏的膜不太好找，买了个推荐的软膜，结果自己贴技术不行，容易扯变形，导致屏幕看起来怪怪的，所以我先暂时让它裸奔吧。 拿来已经是傍晚，折腾了一晚上，还没拿到户外，关于户外屏幕以及相机问题，后面再来追评吧。（图片里是贴了软膜的，屏幕效果有点不好）",2017-06-16 23:25:26,50,14,5
E***生,钻石会员,没手机用了，趁着国庆搞优惠白条六期免息买上，三月份产的，先用着看，给京东小哥点赞！先更新下系统！,2017-10-06 12:05:53,21,9,5
j***b,PLUS会员,真的很好看，也很流畅，一千多确实超值了,2017-11-15 09:35:34,18,7,5
W***r,PLUS会员,上手体验还不错，就是有点不抗摔摔一下就碎了，系统反应还是不错的性价比很高一款手机,2017-10-13 00:20:06,16,1,5
洋***a,PLUS会员,0点48秒付款，到货果断拆箱，可能颜色原因曲屏效果在黑屏下不太明显，整体棒棒哒，第一次用小米希望能给个好印象，后期追加使用评测,2016-11-11 22:51:55,224,86,5
