名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***6,PLUS会员,"屏幕：色域准确得不像国产机，能和iphone三星旗舰机媲美，看起来眼睛很舒服，不会辣眼睛；
亮度在阳光下也能看得清楚；
系统：反应快得不像国产安卓机，比我的6s还快一点，miui9真的厉害；
拍照：和三星s7e一样的水平，但夜拍时噪点比s7e少很多；
音质：比不上6s，和s7e不相上下；
指纹识别超快！一摸上去就解锁。
通知推送和6s一样快速及时。
系统人性化方面比三星苹果都好多了，用得不操心，很舒服。
性能：660实际上就是去年821的优化版，完全不操心性能不够用。
电池待机充电：充电超级快，插上充电宝一会儿就能满血复活；待机不用时掉电不快，一晚上也就一两个电；玩大型游戏也不会感觉有发热。
信号：比s7e和6s都要好很多，总是多上一两点信号。
总结：
非常难得的水桶机，没有明显缺点，用着不膈应，用了这么多手机里最舒服的一款了，看来能用上很长时间了。",2017-11-27 19:52:48,492,308,5
读者城市,PLUS会员,在京东上选择了好久，看了大家的评价选择了note3，感觉是一款比较超值的机子，高通处理器+6g运存+64g内存，以前用的P7内存只有1g+16g太吃力了，过两天就得清理一下。这次就选择6g，等等有劵了加上优惠终于在两千以内拿下，这个价位这个配置选择的不多，第二天就收到货了，机子总体评价满意，外观很亮眼，没有什么缝隙大的问题，做工很好，按键触摸很灵敏，开机提示升级到9系统，反应速度很快，安装小卡没剪好还没试，系统界面和设置等操作比其它好，系统很清爽，上网速度快，红外线遥控连接电视等设置成功，软件可以卸载，音质不错。缺点就是没带耳机，另外屏幕色彩有点不太好，经测试在设置中将护眼功能关掉，色温设置为冷色调，或者将屏幕优化设为标准模式，屏幕色彩就会鲜艳。总体评价好。,2018-01-11 19:41:55,136,82,5
M***-,金牌会员,"价中质低，第一次买小米。拿到手的那一刻感觉很惊艳！4＋64日常够用了，5.5寸屏幕还是看着爽一点。本人以前用的是苹果6，4.7的。用了两年，后面因为内存不够，屏幕太小所以才买的小米！
在华为和小米这两款手机里犹豫了很久，最终选择了小米。首先，小米的home键很好看，适中 然后小米的logo在背面，不像华为的一些在底下的，个人喜好吧。好了现在言归正传。买来用了半个月，换了块钢化膜，因为有白边嘛就涂了点白边液。手机屏幕就出现问题了，屏幕左上角出现一块小黑块，发消息给客服，客服每次都说说让我找京东售后，OK 我找了。他们说这个不在保的，要自费维修。我就纳了闷了，新手机的屏幕质量这么差的吗？还是你小米本身的问题？寄回去维修，打电话跟我说要720。我没同意叫他寄回来。然后当天晚上京东售后又打电话来，说给我一张一百块的京券，让我把720块钱打给他。然后帮我修好。可惜当时没录音！这手机怕不是二手的吧？至少屏幕是吧。朋友都说*。我还一直不信，现在呵呵，从维修部寄回来的时候，手机屏幕里全是灰。现在都还在。各位要买的，三思而后行吧。",2018-02-05 15:09:21,47,39,5
o***皮,金牌会员,手感很好。。反应好快。从6p过来的。这几年一直都是苹果。朋友用的这note3试了下感觉和苹果差不多。速度就下单了。以后就用小米了。。优点照相很棒前后摄像头都很好自带美颜很棒。系统用着很流畅不比苹果差。外形玻璃后盖手感很好。自带的软壳很柔软很舒服和机子很合适。缺点64G的闪存收到手机后发现看下怎么只有54G少了10G。难道是小米的系统占用了。6G内存用后发现只能运行3G左右。游戏还没试别的等用用再来补评。,2017-11-11 13:01:03,74,39,5
劳***玲,PLUS会员,"小米手机二百优穗倦：[  ynh.在线/2t  ]复￥置括号内内容。到刘￥览器中￥打开领取！价中质低，第一次买小米。拿到手的那一刻感觉很惊艳！4＋64日常够用了，5.5寸屏幕还是看着爽一点。本人以前用的是苹果6，4.7的。用了两年，后面因为内存不够，屏幕太小所以才买的小米！在华为和小米这两款手机里犹豫了很久，最终选择了小米。首先，小米的home键很好看，适中 然后小米的logo在背面，不像华为的一些在底下的，个人喜好吧。好了现在言归正传。买来用了半个月，换了块钢化膜，因为有白边嘛就涂了点白边液。手机屏幕就出现问题了，屏幕左上角出现一块小黑块，发消息给客服，客服每次都说说让我找京东售后，OK 我找了。他们说这个不在保的，要自费维修。我就纳了闷了，新手机的屏幕质量这么差的吗？还是你小米本身的问题？寄回去维修，打电话跟我说要720。我没同意叫他寄回来。然后当天晚上京东售后又打电话来，说给我一张一百块的京券，让我把720块钱打给他。然后帮我修好。可惜当时没录音！这手机怕不是二手的吧？至少屏幕是吧。朋友都说*。我还一直不信，现在呵呵，从维修部寄回来的时候，手机屏幕里全是灰。现在都还在。各位要买",2018-03-08 10:33:11,0,0,5
嗯哼嗯哈蹦叉叉,PLUS会员,note3很流畅，而且升级到miui9稳定版后有了很多小功能，虽然系统占的内存有点多，但不影响系统整体的流畅度，系统依旧很流畅，而且无论是玩网易的荒野行动还是腾讯的王者荣耀，玩了两个多小时手机也不烫手，而且电池的电量很充足，玩了两个小时的游戏也就下降了百分之二十左右，如果轻度使用手机，大约可以用两天半吧，最后希望miui系统会做的越来越好。,2017-11-25 11:39:17,242,131,5
你***1,银牌会员,非常漂亮，一直都是米粉，很惊艳，外观非常漂亮，，喜欢，性能都非常不错，入手1999，非常划算，可以最低1899的，但是我懒没有去抢300的券，小米NOTE3媲美oppo和vivo完全胜过，配置高价钱低，但每个人个有喜欢不同的产品，日常中度使用完全够用，美颜确实不错，但是后摄双镜头，不敢估量，有很大进步空间，手机各个方面，这个价位绝对的值,2017-11-02 20:14:24,454,337,5
兴***络,金牌会员,第一次买小米的手机 一直纠结买米6还是note3   习惯了5.5的屏幕就买了note3了用了一段时间才来评价   真心不错   反应流畅   不卡顿    就是京东物流送错地方了总体评价啊很好很满意,2017-11-15 13:45:25,89,26,5
j***9,银牌会员,第一次用两千以上的手机 外观性能还有像素都很满意 就是没有快充,2017-12-06 12:40:14,124,62,5
j***b,银牌会员,用了4-5天才来评价小米note3手机很不错没任何问题拍照像素超好很喜欢手感比第一代小米note1好很多一直在用小米的手机平板还有小米的其他产品,2017-11-08 21:28:19,78,17,5
春***开,PLUS会员,今天上午签收，正好下午不上班玩到天黑，怎么说呢，和我预测一样，在买之前看了好多note3的资料，还有大神的评测，考虑之后才下定决心下单，到手没让我失望，不过也没太多惊喜，领完卷1799拿到的还算值，在买之前买过魅族pro7和pro6s玩了两天都退了，最后在努比亚z17和vivo X20和锤子之中选择了小米note3，好了该说一下使用感受了，双摄设计比较扎眼，其他方面则是十分规矩。小米Note3，外观上是大号的小米6，玻璃机身，机身厚度7.5毫米，重162克，握持手感还不错。Type-C接口，没有3.5mm耳机接口，前置指纹键，主、副摄像头不突出，用了几个小时，下载了十几个软件全部都打开，不清理后台，然后在打开一遍，真没想到没出现卡顿，呵呵这些都是跟大神评测学的。好了等过几天我在追加评价。,2018-01-25 20:37:01,349,243,5
j***z,银牌会员,早就收到了，用了一段时间才来评论，小米的手机就是好，性能、手感、都好，noet3我的最爱，忠实的米粉，,2017-11-16 18:25:57,21,2,5
j***g,PLUS会员,硬件配置方面，小米Note 3采用了骁龙660处理器，6GB内存。双摄方案也几乎是照搬小米6，同样是1200万像素广角+长焦组合，传感器为IMX386，单位像素面积为1.25微米，支持4轴光学防抖和PDAF相位对焦，光圈为F/1.8。长焦镜头焦距为52mm，广角镜头焦距为27mm，支持4K高清录制和120帧720P慢动作拍摄。前置镜头改为1600万像素，支持暗光合成技术，并且加入了美颜4.0，能够通过AI人工智能算法进行美颜。小米Note 3采用了7000系列的镁铝合金框架结构，而小米6则为不锈钢材质，前者加工起来制作难度要更低，良品也更高，对于改善供货同样起到了至关重要的作用。并且整体重量仅为163g，而小米6则达到了182g，尺寸更大但重量却更低，其中更是离不开镁铝合金边框的功劳。手机先升级就可以设置面部数据了，我长期戴眼镜的，所以选择戴眼镜录入数据。取掉眼镜，戴简单的帽子，戴眼镜，各种测试都秒解，甚至不需要看屏幕，放在面前即可。但是有老婆和女朋友的要注意了，睡着也可以秒解。小心枕边人查手机哟！,2017-09-13 10:52:24,798,342,5
j***v,金牌会员,在京东上选择了好久，看了大家的评价选择了note3，感觉是一款比较超值的机子，高通处理器+6g运存+64g内存，以前用的P7内存只有1g+16g太吃力了，过两天就得清理一下。这次就选择6g，等等有劵了加上优惠终于在两千以内拿下，这个价位这个配置选择的不多，第二天就收到货了，机子总体评价满意，外观很亮眼，没有什么缝隙大的问题，做工很好，按键触摸很灵敏，开机提示升级到9系统，反应速度很快，安装小卡没剪好还没试，系统界面和设置等操作比其它好，系统很清爽，上网速度快，红外线遥控连接电视等设置成功，软件可以卸载，音质不错。缺点就是没带耳机，另外屏幕色彩有点不太好，经测试在设置中将护眼功能关掉，色温设置为冷色调，或者将屏幕优化设为标准模式，屏幕色彩就会鲜艳。总体评价好。,2018-01-31 16:19:50,631,76,5
天***慢,钻石会员,"小米手机二百优穗卷：【 ynh.在线/3n 】复￥制括号内内容。到浏￥览器中￥打开领取，反应快，强迫症＋不耐烦患者，能够接受，买之前考虑过骁龙660和835的差别，不过自己不玩游戏，CPU基本是过剩的，所以果断换掉小米6。
拍照不错，用惯了三星note4和5的相机调教，11.1时抢购了努比亚，临时应急，结果发现拍照效果一塌糊涂，尤其是暗光环境下微信视频啥的，对面好像和鬼在聊。
本来在用了mix2之后担心这个也是拍照样子货，没想到真的不一样。小米note3后置摄像头亮光环境下拍照细节照顾的很好，反正够我用了，支持光学变焦，不是噱头，草坪上小鸟的照片有一张就是2×变焦抓拍的，可以对比下，别计较取景技术。暗光表现强mix2太多，感觉相比三星note系列还有提升空间，前置美颜也还好，虽是男生也觉得不错，不像三星磨皮效果像大头贴。连拍效果也不错，
送了小爱音箱，挺好玩儿，音质一般，听个新闻和有声书之类的还不错，简单的指令和互动也没问题，就是指令里不能出现两个以上的主体，否则无法识别。
米粉卡是今天收到的，之前不知道怎么获得，问了下京东客服，很快解决，就是那个客服老是催我评价……",2018-02-10 18:23:41,207,17,5
