名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***i,银牌会员,今天刚收到  不知道手机性能如何  用段时间继续补评价,2017-10-03 20:50:17,21,10,5
A***a,银牌会员,正品没的说，很早就想买了?，这次终于买了，之前的手机习惯了，拿到这款全面屏2.0确实有点惊艳，买的不是时候，再迟几天全陶瓷版就降价800了，哎！,2018-02-06 21:21:22,2,1,5
j***n,银牌会员,昨天到的货，性价比真的很好，后置解锁用着很舒服，全面屏看电影还是很舒服的，感觉真的良心，之前没用过小米，现在感觉以后要变小米党了，这个价钱真的是可以了！,2017-12-07 10:28:35,7,2,5
秋***然,金牌会员,到手几个星期了，使用良好，之前用的是oppo手机，用了两年多了，卡的不行，换手机后体验完全不一样，感觉就是两个时代的产物一样，手机发展很快，希望能用个三年吧，有送外壳套，磨砂的手感不错，机身本身后盖是陶瓷的，感觉中看不中用，确实容易留下指纹什么的，总体很满意，再用用看~,2017-12-15 11:36:09,6,4,5
j***蜜,钻石会员,手机太漂亮了，双十一挑了半天，选择了这家，免息分期太优惠了。mix2性能足够用了，手感也超级好。,2017-11-22 14:28:14,5,2,5
夏***7,PLUS会员,收到手机后，很惊艳，原来都是用苹果，首次用小米，关注很久了，今天终于用上了，美美哒！,2018-02-03 15:49:18,1,2,5
a***d,PLUS会员,双十一期间优惠下单还真是超值，够给力，店家发货非常迅速，快递是顺丰，送的小东西都挺实用的；MIX2值得购买，尤其是128GB非常合适，不担心不够用也不会太大浪费，全面屏的成熟之作。,2017-11-02 18:36:15,10,6,5
j***8,PLUS会员,我的他说给满分加点赞，他很满意??,2017-10-06 23:04:28,6,0,5
叶***益,银牌会员,应该没什么毛病，再过一两周看看,2017-09-23 12:25:59,16,2,5
b***t,金牌会员,东西挺不错，就看用久了会不会卡,2017-12-30 17:50:26,0,1,5
