名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
賓***馬,银牌会员,手机像素灰常好。很满意！,2017-09-26 15:00:40,12,5,5
元***4,银牌会员,刚到手，正在安装软件，应该是一款不错的机子，等用几天再评价,2018-03-09 13:38:40,0,1,5
时***-,PLUS会员,简直就是漂亮，晶莹剔透，光彩夺目！,2018-02-09 13:13:02,0,1,5
狗***5,银牌会员,赠品很多，手机也是非常好，用了一会特别流畅,2018-03-09 09:48:04,0,1,5
枫***飏,银牌会员,快递小哥很给力，15号就过年了，今天14号也在送快递，真的辛苦了。手机也不错，性能好，操作流畅，我非常喜欢。,2018-02-14 22:09:33,5,2,5
j***夜,金牌会员,"硬件面置方面，小米Note 3采用了骁龙660处理器，6GB内
存。双摄方案也几乎是照搬小米6，同样是1200万像素广角
- 长焦组合，传感器为IMX386,单位像素面积为1.25微米，
支楼4轴光学防抖和PDAF相位对焦，光圈为F/1.8。长焦镜
头假距为52mm,广角镜头焦距为27mm,支持4K高清录制
和120顺720P慢动作拍摄。前置镜头改为1600万像素，支持
暗光合成技术，并且加入了美颜4.0,能够通过Al人工智能算
注进行美顾。小米Note 3采用了7000系列的镁铝合金框架结
构而小米6则为不锈钢材质，前者加工起来制作难度要更
E 良品也更高，对于改善供货同样起到了至关重要的作用。
并且整体重量仅为163g,而小米6则达到了182g，尺寸更大
但重量却更低，其中更是离不开镁铝合金边框的功劳。手机
先开级就可以设置面部数据了，我长期戴眼镜的，所以选择
戴服镜录入数据。取掉眼镜，戴简单的帽子，戴眼镜，各种测
过都秒解，甚至不需要看屏幕，放在面前即可。但是有老婆和
文朋友的要注意了，睡着也可以秒解。小心枕边人查手机哟!
No",2017-09-19 11:08:43,14,7,5
o***O,银牌会员,用了两天了，手机运行很快，款式很喜欢电量呢，早上8点钟100%到中午12点半89%，正常用手机就是这个样子。觉得还不错，充电也超快，好像2个多小时就充满了。很开心，这样的价钱买到这样的手机。,2017-12-04 12:34:51,3,2,5
姐***7,PLUS会员,屏幕显示细腻，拍照效果出色，比我的小米5强多了。游戏未测试，续航不错，蓝色比商品照片深，运行流畅，值得购买。,2018-02-11 22:48:04,0,1,5
刨***堂,PLUS会员,手机全新正品，包装很好，有气泡外面保护，在这家店买了不少手机了，都没有出现过问题，服务也很好，今后还会在这里买,2017-12-02 12:14:27,3,1,5
j***b,铜牌会员,"手感不错
外观大气用着不错",2018-03-06 10:12:07,0,1,5
j***w,钻石会员,小米的人脸解锁太厉害了！黑科技呀，不用等iphoneX了！手机很轻，处理器也够用了。双摄像头真的是不错，对焦比较快，背景虚化准确，边缘清晰，我很满意！哈哈哈哈,2017-09-13 13:59:50,18,2,5
嘿嘿_巴扎黑,银牌会员,"亮黑，6＋64，看了无数遍测评，快递第二天就到了。开封，四曲面一上手都不舍的上套?，但还是怕摔，不甘心的上套了。我一开始打算入手就是因为660的省电和前置。这么说吧，660开了省电模式，看了一下午段子，电量从60到42。除了牛批，我无****说！太爱，大赞～
“永远相信美好的事情即将发生～”
以前的手机摄像头坏了，刚刚才用米note3拍的。",2018-03-05 19:43:05,0,1,5
j***逛,钻石会员,手机未开封，带发票，全国联保，赠送的配件也都齐全。目前满意！,2018-02-10 10:37:31,2,1,5
忆***3,银牌会员,手机，物流可以，请问客服送这耳机有意义吗？耳机插孔也木有???,2018-02-28 19:46:35,0,1,5
j***x,银牌会员,"未开封，期待好久的小米note3,终于到手了。测试满意，客服一上班就安排发货，直接好评，京东的办事效率没得说。",2018-02-25 22:45:29,0,1,5
j***b,银牌会员,买完降价，真是可以，还好没降太多，不然我会气晕！手机质量很好，运行速度快，功能很强大实用！,2018-01-13 20:51:55,1,2,5
q***函,银牌会员,用了两天，再来评价，各个功能都小试了一下，就是没有装手机卡。重装了自用软件。快充电用一个半小时。耗电正常吧。黑色就是易沾指纹。指纹解锁挺快，人脸解锁也行。本人也不玩大游戏。物流也很快。,2018-03-08 18:30:02,0,2,5
j***t,银牌会员,中意小米note3很久了，终于赶上活动果断下手。。。看到手机那一刻就知道自己买的值了。谢谢商家及时发货，让我在年前用上新手机。。。应该是正品，附图。,2018-02-12 23:53:45,0,1,5
c***8,金牌会员,手机收到一段时间了，用着非常好，速度很快，性价比高。推荐购买！,2018-01-20 08:24:25,1,1,5
j***0,银牌会员,手机没问题很好使，电池很耐用，非常满意，不满意的就是送的手机壳是小米5的根本没法用，钢化膜是破的，耳机接电话噪音太大，送的没一样好用的，还不如不送呢，拉低了手机好评率，小米闹特3我收到是冷屏的不是黄屏的非常满意，客服态度很好，好评！,2018-02-14 13:24:02,0,1,5
刘***3,金牌会员,本来觉得小3应该足够漂亮了，没想到到手之后还是让我惊喜了一番，太棒了～手感太爽了～只是后面的玻璃盖板容易留下指纹～哈哈，要求太高了，店家送了钢化膜和手机壳还是相当贴心的，物流也是很迅速，在春节这个档口可是一点儿都没耽误啊～,2018-02-13 11:09:05,0,1,5
z***c,银牌会员,早收到了，忙的没时间及时评价，也好使用后更能感受产品的性能，因为信赖京东所以才在京东购买手机，感受到确实质量好，发货真是快！我买的这款小米手机家人用了赞不绝口！非常好！,2017-12-31 14:15:44,1,1,5
j***j,银牌会员,手机挺满意！挺满意得一次购买！以后在光顾！祝老板生意兴隆,2018-02-13 10:21:34,0,1,5
快***獁,金牌会员,"小米4c换机Note3,用了下满意,一直用的小米",2018-03-05 12:09:02,0,1,5
a***k,金牌会员,手机运行流畅，内存够大，亮蓝色很好看比较时尚，比黑色好看，背面粘指纹，拍照性能好，有美颜功能,2018-02-12 12:58:29,1,1,5
j***k,银牌会员,东西已收到，手感很好，外观可以。,2018-02-01 14:04:23,0,1,5
jd_178636sor,铜牌会员,挺好看的 我很喜欢?,2018-02-24 13:31:20,0,1,5
j***j,银牌会员,工能齐全，系统好，网速快,2018-02-07 12:36:26,0,1,5
伴***0,银牌会员,很好用，屏幕不错，拍照惊呆了，小米第一次把拍照做这么好，很欣慰，游戏方面各大大型游戏不卡顿，MIUI系统也很流畅还有就是手感很好！,2018-03-03 09:10:10,0,1,5
晨***1,银牌会员,像素确实很棒，自拍效果非常好，手机也是正品，物流速度很给力，用了几天了，感觉很好，物有所值，性价比不错，第一次买小米手机，感觉很棒！,2018-02-10 11:39:05,0,1,5
涛***子,PLUS会员,小米手机不愧为手机界的性价比之王 确实好用  小米的系统也很快  年前买了一个小米5X  一个小米6  一个小米NOTE3现在又买了一个小米Note3 终于全家人都用上小米手机了  支持小米  支持国产,2018-03-07 16:22:00,0,1,5
繁***漪,PLUS会员,拿到手后试了试机，感觉系统非常流畅，反应也很快！有一个键有点不灵活，不过总体还是不错，相信小米！本来打算把这个手机退掉的，店家也同意了！不过看到手机这么好，就改变主意了，退了另外一个,2018-01-29 01:17:23,0,1,5
j***7,银牌会员,手机运行很流畅，这个价格真的贴别值得购买，喜欢的赶快入手吧。,2018-02-12 16:32:09,0,1,5
店***3,PLUS会员,手机收到了，上手感觉不错，整体比较满意！,2018-02-09 14:01:24,0,1,5
大***e,PLUS会员,以前就在这个店铺买过，是正品，值得信赖，非常喜欢机子速度很快，只是这次的小米有卡顿的时候，有点小小的失望。相信小米会越做越好，雷军加油！,2018-03-09 17:32:27,0,1,5
g***g,银牌会员,非常棒 太完美了 手感很不错,2018-03-05 20:29:14,0,1,5
Y***D,银牌会员,真好用，买了就知道了,2018-03-04 14:43:11,0,1,5
j***b,银牌会员,手机拆开体验一下，真的手感好，价格也便宜，是正品，发货很快，个人感觉就是小米note3有点漏光的缺点，其他都没问题，玩得起吃鸡王者无压力……,2018-03-07 12:28:17,0,1,5
奢***A,银牌会员,手机流畅  质量很好  就是贴钢化膜有白边 送的耳机有一边活动了物流速度快   小米手机一如既往值得信赖  满意的一次购物 性价比高,2018-03-07 16:59:26,0,1,5
j***c,银牌会员,下面的键有的时候都点不了,2017-10-29 21:01:21,4,3,1
jd_189663zzp,银牌会员,这是我买到最次品牌手机，系统不稳定，网络老断线，又一次失败的购物，小米note3**中的战斗机，这是我第一次买小米产品，也是最后一次,2018-02-06 22:54:40,0,1,5
醉***风,铜牌会员,"用过几天特意来评价啦
电池续航，重度玩，就是一直连wifi，一直玩，坚持大半天没问题，日常使用，就是偶尔上网，其他时间待机，间歇看看小说，玩玩消消乐，2天绝对没问题
运行速度还可以，就是手机搬了个家就占了快三分之一内存，感觉要6+128才安心，拍照的解析力足够，就是美颜过度了点……还不支持换成普通相机……打王者荣耀高帧无压力，一局20分钟左右只要4％，吃鸡感觉准心有点难锁定，但是听声音识别方向，小米n3.做得不错
人脸解锁可能是我化妆缘故，解锁反应有点慢，sad，不过指纹解锁还ok",2018-02-08 19:08:48,0,1,5
j***k,银牌会员,和图片都一样的，手机照相特别清晰的。而且还有面部识别，非常方便，日常使用一天没毛病。店家服务态度也挺好的,2018-03-02 17:13:03,1,1,5
