名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***1,铜牌会员,下单后耐心等了四天，终于收到。试用了一下，通讯上网音质都满意！就是我手机卡里的通讯录显示不出，难道我还得一个一个再存？我原来购买的好一点的iphone式耳机居然插入没反应，而随机配送的差的耳机还能用。屏幕上的不是钢化膜吧？是不是应该撕掉？总之还是好评，机子是好的！给五星！,2017-03-03 20:43:46,32,8,5
j***i,金牌会员,商品已收到，内外包装完好无损，包装很精致，外观高端时尚大气，手机很好用是正品。商家很贴心，还送了钢化膜和透明手机套，物流速度超快，快递师傅态度好。,2017-12-05 10:19:40,0,0,5
t***1,铜牌会员,好，幸运的是骁龙62,2017-12-12 11:31:53,0,1,5
j***d,金牌会员,非常棒棒的红米手机，内存大，运行快。我第二次购买了，妹妹一台，我一台。录影清楚。,2018-02-12 09:38:44,1,0,5
小***雨,金牌会员,红米note4x用了大半年，感觉非常好，系统流畅，电池耐用，外观也很漂亮，就向周围的人推荐这部手机，这是我在京东帮亲属买的第五部红米note4x.,2018-02-20 18:06:08,0,0,5
l***0,铜牌会员,"屏幕大小合适,用起来感觉很大气,很不错.系统好用.配件齐全.",2017-03-12 21:20:45,11,2,5
j***k,钻石会员,发货速度快，包装完好无损，手机外观漂亮，做工精致，运行流畅不卡顿，电池非常耐用，重度使用也能坚持一天，非常超值,2018-02-19 09:33:46,0,0,5
x***u,银牌会员,非常好用，反应超快的，这个是给女儿买的手机，她特别喜欢,2017-03-08 15:21:38,4,2,5
惠***6,金牌会员,帮小姨子买的，买给她小孩玩的,2017-12-07 17:10:57,0,0,5
j***佳,钻石会员,首先感谢快递小哥一如既往的热情周到，谢谢！一直都在京东商城购物，每一次都满意。买了好多个小米手机了，好用，我们现在一家人都用的小米手机。上一次买的红米3已经用了一年多了，这一次又换了这个红米note4x粉色的，老婆很喜欢，她说这一个比上一个手机好用多了，好看多了。,2017-11-27 12:34:16,1,0,5
金***女,银牌会员,"货收到了，发票呢？答应给我补发发票，这都过了几天了还没给补发的物流单号（要补发的话也别用中通申通快递补发，不过你压根就不会发所以也就不管这些了），你要是不给发票那就要承诺能给我质保，后续如果需要质保的话。
这部手机还可以，手机底部的三个键位有背光，这点红米4高配版就没有了，手机充电的指示灯为啥从头到尾都是绿色的？充电的时候应该是红色，充满了才是绿色的才对啊，不过也罢，只要能正常充电能充满就行了。
亮度还是不行，在阳光下调到最大亮度也还是看的费力。
送的钢化膜特差，我把薄膜撕开钢化膜就裂边了。
可用内存才六七百兆。
优点是安装软件很快。续航力也还可以，反正我中度使用用到下午一两点后就只剩四十多电量了。
唯一要注意的就是蓝色高配版的孔位和标配版的孔位是一样位置的所以买手机套的时候要买标配版的手机套。
哎，新年刚过没几天我原有的红米4高配版就掉进洗衣机里进水了所以坏了，悲催，所以才买这部，本来想买红米4x的但是听说它CPU不行安装软件很慢，照相功能不够细腻。

最后我想说的是我更想要粉色的，可是大部分店铺要么无货要么就是贵了两三百，郁闷啊，这家有蓝色的而且最便宜我才选这家，现在如何就不知道了",2018-03-02 10:20:36,0,0,4
j***0,钻石会员,速度挺快，老人挺喜欢。,2017-11-24 20:18:25,0,0,5
y***4,PLUS会员,最近一直在京东买东西，物流超级快，感觉很方便，重要的是东西质量有保障，而且价格便宜，性价比高，实力推荐。,2017-12-02 09:43:03,0,0,5
b***l,铜牌会员,这次在双十一期间买的红米Note4X到手几天了，来评价了，这机子手感好，性价比高，系统刚升级了米9系统，真的快如闪电，质量也不错，充满电可用三天，电池也很给力，总之用用很实惠的一款机子。,2017-11-17 21:51:54,0,0,5
m***m,金牌会员,东西不错，帮亲戚买的，有超大号字体，就是颜色太年轻了，老人家用不大合适，不过还挺好看的！,2017-12-06 21:57:03,1,0,5
L***A,银牌会员,重点说一下这款手机吧！我买的是浅蓝色的小米红米note4X高配版八核骁龙625处理器4G+64G内存的，运行时运行内存2.5G，机身内存51.5G，店主发来的机子是正品没问题，也与我选的型号什么相符，很高兴，还有赠品指环，钢化膜，软胶套三样，赠品就不说了，毕竟是店家心意赠送的。我的五星好评是给店家的，本机最大的缺点就是视频时，有杂音，用久了视频卡顿，画面模糊，感觉摄像头没有1200万像素；充电不发热，但充到99%时充不进去电，必须拔掉，重新插入充才能充满。总体来说，一千一百的机子，这高配置，这性价比已经很不错了，这是我使用一周多中肯的评价，希望厂家再接再励！,2018-01-08 21:21:12,0,1,5
小***3,银牌会员,手机很好，一直支持小米，性价比高。 高通 骁龙 625  3+32G 还不错!卖家还送钢化膜 和 透明外壳。,2017-11-29 22:41:22,0,0,5
j***a,PLUS会员,宝贝很不错，物流公司速度挺快，赞?,2018-01-25 14:34:15,0,0,5
清***李,PLUS会员,买给同学的，不知道性能怎么样。等过段时间再来评价,2017-12-15 19:11:50,0,0,5
j***8,铜牌会员,用了一段时间了，挺好用的，使用方便，顺手。,2017-12-14 11:43:31,0,0,5
r***U,银牌会员,"手机收到了，挺不错，这款手机非常经典搭载了骁龙625CPU,3g内存，32g存储！而且还赠送了钢化膜！非常贴心！",2018-03-06 10:07:36,0,0,5
j***唇,铜牌会员,手机很好，是正品小礼品也有，服务态度也不错,2017-03-14 12:34:23,1,0,5
j***b,PLUS会员[试用],电池续航很给力，父亲很喜欢，骁龙625确实优化的比较好，运行流畅,2018-03-05 01:49:57,1,0,5
j***l,铜牌会员,年前14号拍的吧，正赶上春节快递放假，20号下午收到货，京东快递还算可以了吧，老板还送了指环、钢化镆丶手机壳、良心商家，值得称赞！以后如有需要还会再来购买，手机给老婆买的，还没用过，具体怎样以后再来追加评价。,2018-02-20 16:44:43,0,0,5
大***魔,银牌会员,性价比高，买了2台给爸妈用，发货也很快，送的钢化膜爆了一张，老板二话不说补寄过来，好评！,2018-01-04 20:19:02,0,0,5
j***7,银牌会员,小米手机，不错啊！这个手机买三部了!自己用一部，帮朋友买两部，经济实惠！,2018-03-06 12:12:22,0,0,5
郑***x,银牌会员,给老爸买的，手机性价比很高，处理器也可以，鲁大师跑分793200，很满意,2018-01-09 11:08:45,0,0,5
惠***6,金牌会员,前几天才买，这是再次购买。,2017-12-18 13:42:28,0,0,5
1***8,银牌会员,手机非常好用，不发热。游戏流畅。赠品很好  支持。 推荐购买，客服态度很好。非常满意。,2017-08-19 09:56:18,1,0,5
校***客,PLUS会员,给老人家买的，平时就玩玩微信，看看新闻，没啥特别要求，够用就好了,2017-11-20 22:56:51,0,0,5
g***3,金牌会员,哎呀呀哎呀呀好啊良心商家在京东买就对了手机真不错，包装精美，赠品丰富，有一次愉快的购物啊？,2018-01-07 13:51:47,0,0,5
偌***瑶,钻石会员,价格便宜量又足，物流很快，挺好的，下次购物还选京东！价格便宜量又足，物流很快，挺好的，下次购物还选京东！价格便宜量又足，物流很快，挺好的，下次购物还选京东！重要事情说三遍！,2017-12-05 10:16:01,0,0,5
惊***泽,银牌会员,不错不错东西可以还送钢化玻璃膜,2017-12-11 21:07:57,1,0,5
j***6,银牌会员,手机和自营店的一样。非常好。,2017-12-11 11:16:33,1,0,5
杭***潮,PLUS会员,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺,2017-11-29 20:35:07,0,0,5
j***6,金牌会员,"刚到手就又便宜了20元，不过机子是正品、真品，在官网查证过了，之前是在京东自营购买的，用了10天有5次不认SIM卡，本想换一部，但售后说没有货，于是退款后在本店买的，很好。
      不过，购买时选择了纸质发票怎么没有见到？？？？？？？？？？？？",2017-11-21 20:46:30,0,0,5
张***冬,银牌会员,东西很好(?▽?)，但快递的速度让我担忧，明明坐客车2小时可以到可是京东快递用了30个小时！,2018-03-04 16:01:19,0,0,5
g***a,钻石会员,这个是买给爸爸用的，他很喜欢。老人家不怎么玩手机，小米的性价比高现在全家手机都是小米了~,2018-02-05 16:20:33,0,1,5
j***y,PLUS会员,电池耐用其他方面老妈不懂没反馈给我不做评论，老妈觉得顶满意,2018-03-05 13:15:40,0,0,5
j***c,银牌会员,刚收到，给老爸买的，手机质量好，质感也不错，就是赠送的钢化膜有点小，整体没毛病。,2018-02-04 15:41:06,0,0,5
大***哈,钻石会员,速度可以的，关键是电量耐用，两天一冲，可能唯一一点不好就是有点滑,2018-02-06 09:49:58,0,0,5
山***e,银牌会员,宝贝很棒，自己买了几台了，续航么得说，很适合重度用户。今年真心不错的机器。,2017-12-25 14:16:44,0,0,5
j***z,PLUS会员,"这是我帮朋友们买的第四台note4
咯，都觉得高性价比。",2017-12-07 15:44:03,0,0,5
j***7,银牌会员,货收到了，一直在用这个牌子的，挺满意的。,2018-01-18 12:17:42,0,0,5
似***雨,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2017-12-13 14:58:12,0,0,5
j***u,银牌会员,还行，物流太慢，送的手机套不好,2018-03-01 20:51:14,0,0,5
j***y,银牌会员,小米手机值得信赖，忠实米粉,2018-03-01 17:20:30,0,0,5
j***i,银牌会员,之前用的3，内存小经常卡顿，这次买这款4用着可以，就是电池不怎么耐用，总之来说还算可以。几百块钱能有这样的手机也是不错的，支持小米，一家几台手机都是小米,2018-01-04 09:40:18,0,1,5
好菇凉不惹草,PLUS会员,收到了，东西真的很不错哦，价格很实惠，推荐大家购买。收到了，东西真的很不错哦，价格很实惠，推荐大家购买。收到了，东西真的很不错哦，价格很实惠，推荐大家购买。,2017-11-22 14:47:09,0,0,5
好骚年不沾花,PLUS会员,收到了，东西真的很不错哦，价格很实惠，推荐大家购买。收到了，东西真的很不错哦，价格很实惠，推荐大家购买。收到了，东西真的很不错哦，价格很实惠，推荐大家购买。,2017-11-22 14:32:30,0,0,5
大***魔,银牌会员,性价比高，买了2台给爸妈用，发货也很快，送的钢化膜爆了一张，老板二话不说补寄过来，好评！,2018-01-04 20:18:48,0,0,5
j***d,铜牌会员,手机已收到，非常满意，我已经用过四个小米了，感觉非常棒，快递员也非常负责，,2018-02-05 07:59:22,0,0,5
j***k,铜牌会员,手机不错，反应很快，比实体店便宜,2017-12-23 14:34:18,0,1,5
猪***岁,银牌会员,东西非常好！给同学买的,2017-12-11 20:26:20,0,0,5
g***y,银牌会员,无良商家 用二手冒充新品 卖有瑕疵的商品 怀疑是展示机 二手机 大家不要买 不要上当 入网许可证部分污迹明显 有磕碰划痕 明显是别人用过的 无良商家 人在做 天在看 坏人没有好下场,2018-01-26 22:09:56,0,0,5
j***c,银牌会员,太漂亮了我很满意,2018-01-13 11:53:31,0,0,5
醉***煙,铜牌会员,手机总体上还是十分不错的，卷后价格太实惠没忍住233，必须吐槽物流，19号下单25号到手，可能是因为过年导致的,2018-02-26 05:52:06,0,0,5
妙***殇,PLUS会员,手感蛮好，厚度比我的红米4薄，已经第二次入手了，帮家人买的，买来立马刷了MIUI9稳定版不错,2018-02-07 15:45:23,0,0,5
y***7,铜牌会员,挺好的。手机用着不错，性价比高，赠品也很有诚意。物流也挺快的。我对手机不专业，说不出太多道道，就这样吧。,2018-02-14 16:19:49,0,0,5
王***1,银牌会员,已收到货，拆开。很实惠的手机，小米还有是很棒,2018-02-10 10:55:48,0,0,5
z***8,银牌会员,手机质量不错，物流速度也很快，帮家人、朋友购买及自已使用，这部手机已经是我买的第四部了。,2018-03-04 13:53:14,0,0,5
j***8,银牌会员,看起来还可以，就是版本太低6.0.1机身内存运行内存太小了，不到18。机子装系统太多，卸载不了，就像山寨货一样。,2017-12-25 06:32:34,0,0,5
长***店,银牌会员,功能齐全，电池耐用，包装完美，我长支持使用小米产品。,2017-12-18 13:02:02,0,0,5
闲***哈,银牌会员,屏幕还行，外观也可以，就是有点黑边，然后总体挺满意的，电量也多，搭载625处理器运行也快,2018-02-09 14:51:00,0,0,5
j***c,铜牌会员,收到了，手机很好，就是快递有点慢。性价比很高不错值的买商家服务不错。一次不错的网购。,2018-03-09 21:49:17,0,0,5
j***4,铜牌会员,手机很好，就是物流速度慢了一点，打王者或玩其他游戏都很流畅，不过网络不好就不好说了。,2018-03-01 13:32:57,0,0,5
j***t,银牌会员,手机好用，电池也耐用，不到900元的手机已经很好了，儿子用有护眼功能，他很喜欢哦！,2018-03-08 10:03:37,0,0,5
j***b,银牌会员,手机可以，就是物流慢了点，不过不能空运，理解吧！,2017-06-23 09:49:12,2,0,5
m***z,银牌会员,手机不错，好用，物流快，快递小哥服务很好,2017-12-03 08:34:44,0,0,5
怎***了,PLUS会员,好用不贵，好货(?▽?)用的放心(?´ω`?)，赞,2017-11-22 20:55:18,0,0,5
j***m,银牌会员,是正品到官网验过了，帮朋友买的，他说想当满意。比他买的那款华为联发科八核机不知快多少倍。,2017-12-31 07:28:36,0,0,5
自***1,PLUS会员,新手机拍出的效果 手机续航和性能特别好 能用一天 打王者再也不用充电宝啦,2017-11-22 10:26:07,0,0,5
W***g,铜牌会员,说就是5.5我去跟我爸的6p比了一下   根本没有5.5最多5.0,2018-01-09 13:44:02,0,0,5
j***u,铜牌会员,拍照一般，基本不卡顿，上网速度很快，很不错，对得起这个价格,2018-03-08 09:24:19,0,0,5
j***9,铜牌会员,帮同学买的，同学挺满意的，就是没有送耳机让他有点小小的失望。,2018-02-24 11:25:06,0,0,5
f***t,PLUS会员[试用],电池续航一般，这是第二次买了，千元机，用起来不错，很流畅,2018-03-02 15:44:21,0,0,5
j***r,铜牌会员,手机可以，送的钢化膜不合适大整整一圈。送货员很负责任的把货送到家里，值得称赞！！,2017-12-29 22:06:15,0,0,5
j***d,铜牌会员,手机用的还好，物流送的慢了点，别的都很满意，五颗星吧！,2018-03-04 11:27:36,0,0,5
j***v,铜牌会员,物流很快很快，非常感謝快递小哥。手机用起来，也非常顺手，非常感谢。我给五星好评。,2017-12-24 10:02:17,0,0,5
