名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***r,铜牌会员,很好，这台手机信号很好，运行快，在农村山卡拉电信卡也有4G网络，我的viv0X7才3G网络，比我的X7好，小米系统还有个抢红包提醒，就这3个优点好，其它的功能比不上我的X7，像素和屏幕触摸，手写比我的X7差，像素比我的X7略差点，屏幕不够灵敏，老是按2次才能把字打上去，不过这个价位对的上这台手机了，信号强，运行快，每台手机都有自己的缺点和优点吧，习惯好评。呵呵,2017-09-13 04:05:57,17,4,5
不***帅,钻石会员,手机不错，性价比超高，我买的16G版本，实际可用内存9G左右，老人用够了，刷了MIUI9开发版，速度飞起。4100电池，5.5寸1080P，骁龙625，16G+3G，全网通，795还要什么自行车？,2017-12-01 12:28:13,0,0,5
铁***哥,银牌会员,手机到手了，首先收到快递包装完好，打开包装，浅蓝色映入眼帘，活泼又不失可爱的配色深得朕心。开机设置一气呵成，MIUI实用性挺高的，指纹解锁灵敏又迅捷，高清屏看着舒服。不得不说的就是续航能力，从到手四十五的点，下午玩了两小时，下班后又连着WiFi下载软件看电视。到现在还有4％。黑边让我有点小不爽，鲁大师跑分跑了八万七，打农药特效全开果然不卡，骁龙625不是盖的，买之前看评论有点不敢买，买来后简直爱不释手，手机刚到一下午，没发现毛病，一次愉快的购物非常好用的红米手机，比魅族好用，屏幕清晰，最好的就是，电池超耐用，还有内置红外线功能，可以用万能遥控器，太棒了！,2018-01-29 13:34:19,0,0,5
j***p,银牌会员,"非常的好，这手机感觉800不亏~所以我要给个好评~??
打开几点集合推荐人进来费觉费觉飞机",2018-03-05 13:12:52,0,0,5
y***7,银牌会员,手机非常好，比实体店便宜太多了。感谢店家,2018-03-02 17:44:15,0,0,5
j***1,银牌会员,还不错，挺喜欢的，也挺快送到！,2018-02-09 11:16:21,0,2,5
Colourmjy,金牌会员,用了半天，感觉很棒 ， 苹果6内存不够果断卖掉,2017-02-23 09:00:04,18,1,5
拒***惑,钻石会员,一般般一般般,2018-02-05 21:17:40,0,0,5
j***0,银牌会员,全新未拆封正品，有发票，不错的商家！千元机中性价比相当高，4+64，625神U加持，大电池，重度使用一天没问题，唯一遗憾不支持快充。升级到了MIUI9，快如闪电。,2018-03-02 10:58:39,0,0,5
梦***舒,金牌会员,手机已经使用了一段时间，目前没有发现任何问题，官方正品，在官网查过手机真伪，全新未激活。只有浅蓝色高配版是骁龙处理器，也能第一时间收到MIUI9稳定版的更新，联发科就悲剧了。外观时尚大气，作为备用机非常完美，待机时间2天足够了。,2017-11-17 21:34:07,0,0,5
