名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***y,铜牌会员,手机如我所愿的流畅，物流也很快，大家的不二选择，令我意外的是还能放内存卡,2018-03-09 18:54:25,0,0,5
j***o,银牌会员,包装完美，商家送的部件套也多,2018-03-01 07:32:46,0,1,5
狼***5,银牌会员,手机以到货，质量很好，正品保证质量，用着还不错给五星,2018-03-01 15:40:50,0,1,5
花***9,铜牌会员,手机今天拿到手后，试了一下，感觉蛮不错的，第一次在京东买手机，感觉还不错，试了一下功能都很好，没有让我失望，给个好评,2018-03-05 19:41:03,0,1,5
向***9,银牌会员,宝宝挺好的的，速度很快，婆婆特别喜欢，装好以后就打了个电话试试，音质不错。,2018-03-08 17:08:47,0,1,5
j***f,铜牌会员,用了2天，目前感觉还是可以的，游戏也流畅！性价比挺高的！,2018-03-01 12:24:42,0,1,5
热***子,银牌会员,手机很不错，手感超棒，运行流畅，色彩斑斓。,2018-03-05 10:55:55,0,1,5
s***2,钻石会员,便宜好用 包装也不错 送货也蛮快的,2018-03-02 00:31:01,0,1,5
j***3,铜牌会员,手机很好用，速度反应很老快了，,2018-03-07 17:59:25,0,1,5
知己丶知心,银牌会员,还没看手机。发的那钢化膜直接太垃圾了。大小不合适发过来干嘛，你们发货时候考虑收货人的感受了么？？什么良心？？还不如不发！,2017-12-30 15:48:39,4,1,1
j***k,铜牌会员,京东商城物超所值，绝对正品。正是我喜欢的款式。店家服务态度好，发货速度快，配送准确无误，配送员服务态度好。会继续光顾的，也要介绍给让朋友家人。谢谢,2018-03-06 19:49:06,0,1,5
j***d,铜牌会员,手机收到了，很不错，一直以来都在用小米，物美价廉,2018-03-06 14:36:04,0,1,5
卍***失,铜牌会员,拍照很清晰，反应很快，老婆很喜欢，不知用用后来什么样，不过我很信任京东，这是时隔半年多第二次在京东买手机，物流很快两三天就到货了，配送员服务很好。,2018-03-09 08:40:24,0,1,5
l***孩,银牌会员,还行吧，就是这个手机耗电快,2018-03-03 11:19:09,0,1,5
v***W,铜牌会员,东西收到了，挺好的,2018-03-08 13:36:30,0,1,5
j***r,铜牌会员,挺好的手机，挺漂亮，应该是正品，物流很快，服务态度好,2018-03-02 17:41:07,0,1,5
j***e,银牌会员,东西是收到了   待试用     东西在京东快递那放了三天才送到   实心太慢了     钢化膜不合适,2018-03-09 09:25:11,0,1,5
糖***滟,金牌会员,第二次买了，这个手机买过一个，现在再买一个，用着不错，也不卡，电池也挺耐用，很好！屏幕也不错。,2018-03-07 09:34:13,0,1,5
j***s,银牌会员,特别好，屏幕也够大，姨妈非常喜欢，老人用起来也很简单，一上午就能学会！,2018-03-03 17:05:08,0,1,5
j***9,金牌会员,手机挺好的，上网也挺快！不卡，性价比也高，经济实惠，外关挺好看的，值得信赖的一款手机！送货快，服务热情！这款手机即便宜又实用！,2018-03-08 16:51:30,0,1,5
j***r,铜牌会员,手机很好，小米都东西放心，大小适合，反应快！下次继续光临！,2018-03-04 00:08:33,0,1,5
微***3,钻石会员,手机运行很流畅，拍照也很清楚，价格也实惠，物美价廉的手机,2018-03-08 21:37:44,0,1,5
j***y,铜牌会员,非常的好用，买来送给妈妈，值得推介，喜欢的朋友赶紧行动！,2018-03-05 11:18:22,0,1,5
师***3,银牌会员,实物与宣传的一样，最主要店家服务态度很好。给店家赞一个,2018-03-05 09:41:11,0,1,5
孩***的,银牌会员,手机屏幕清晰，音质很好，运行流畅不卡顿，非常好！,2018-03-06 19:46:21,0,1,5
j***h,银牌会员,性价比很高，送了很多东西，比小米商城的实惠多了。,2018-03-05 08:50:13,0,1,5
j***k,金牌会员,外包装完好，内包装损坏，内部手机变形然后不接受我售后说是快递问题。,2018-01-14 11:32:31,0,1,1
h***P,银牌会员,比较实惠的手机反应挺快，电池再大点更好,2018-03-06 12:28:08,0,1,5
j***c,银牌会员,手机外观和性能都还不错，性价比较高,2018-03-02 18:52:57,0,1,5
张***少,铜牌会员,手机非常棒，好使，不大不小正合适,2018-03-05 22:15:31,0,1,5
小***人,金牌会员,小米机很不错，我用第四个了，全家都用小品牌，店家服务态度也很好，值得推荐大家的品牌！感谢店家,2018-03-06 19:25:43,0,1,5
