名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
a***r,金牌会员,娘的老年机被我在洗衣机里洗了个澡，不得已买了这个红米，感觉还可以，正不正品也不会看，送的套和膜不怎么样，手机感觉还好,2017-10-22 11:41:18,5,2,5
z***7,PLUS会员,手机不错，先用着再说吧,2017-11-03 10:02:40,6,0,5
军***-,PLUS会员,在官网抢不到。只好到这里买了。店家送了很多小东西。非常棒，良心店家。,2017-03-08 12:43:10,43,15,5
靖***4,银牌会员,用了3天没有发现问题。满意,2018-02-06 16:06:14,1,0,5
j***6,银牌会员,手机性价比很高，浅蓝色的CPU是骁龙625，待机时间长，电池不发烫，很满意的一次网购！,2017-10-22 14:27:26,4,0,5
x***0,金牌会员,不良商家，不干正事，欺骗消费者。10月10号下单，10月15手机到货 16号申请售后（手机质量问题：可以打出电话不能接电话。每次充电或断电后就要恢复出厂设置才可以正常使用）18号寄出（试用了两天，还是出现同样问题），20号售后收到，23号他们所谓的检测报告合格，31号我找商家售后，售后回复产品有划伤（根本不可能，有划痕为什么要收货？）需折价20%才可以退钱，要吗就把货退还。京东的7天无理由退货在那里？？？手机本就有质量问题，还不给及时处理，一个字托，根本没有诚信，根本没有为消费者考虑，只想赚钱，无诚信商家我要退货，退款。,2017-11-01 09:24:53,15,8,1
j***f,银牌会员,虽然很便宜但是机器很好，骁龙625cpu真的是狠省点。,2018-02-04 19:11:35,0,1,5
j***2,银牌会员,刚收到就打开包装，感觉外观很精美。拿到手上试了一下手感很不错，触摸灵敏快捷很好的诠释了小米手机高配低价的特色。就是相机照片或视频总感觉很暗不知道什么原因！,2017-12-02 05:24:34,2,0,5
世***1,银牌会员,手机的电量用一天都可以。手机清晰度也可以。处理器是十核的不错。没一开始没有收到发票，后来补发了。,2018-02-27 18:53:13,0,0,5
j***k,金牌会员,用了一段时间，电池续航好，我是拿来当备用机的，可以三天冲一回电，重度玩的话，也可以坚持一天,2018-02-07 08:48:00,0,0,5
爱***4,银牌会员,反应快速，电池耐用，从早晨7点用到晚上12点还有电，中度使用。上个手机就是电池太不耐用了。照相一般，屏幕一般。有时候进入一瞬间字迹有拖影费眼睛。不吹不黑中肯评价。,2018-02-27 21:48:57,0,0,5
