名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***人,银牌会员,很好，以前就买过红米3用了一年多了还挺好用，这回又买个红米note5，就算用习惯了苹果再用小米也不觉得不适应。,2018-01-12 16:30:45,2,0,5
j***q,钻石会员,note5外观不错，尺寸合适厚度比4a好多了，系统操作也得心应手，值得推荐。,2017-11-02 22:47:59,3,1,5
d***4,金牌会员,朋友一直用这个牌子介绍说还可以，我也买了用了两天还没发现什么问题,2018-03-07 20:02:58,0,0,5
j***e,银牌会员,昨天晚上到的，试了下屏目清晰，像机功能也很清楚。昨天玩一下游戏感觉没用去多少电量挺耐用的。,2018-03-05 10:46:07,0,0,5
后***x,银牌会员,满意的购物平台,2018-03-05 16:58:09,0,0,5
乐***O,银牌会员,很喜欢小米的手机，习惯了，京东物流必须的赞，快，而且还送到村上，农村的,2018-03-05 21:30:46,0,0,5
GSBOWhzUgSVR,铜牌会员,屏幕很大了，看的很清楚的，续航时间也长！点赞！???,2018-03-07 13:37:23,0,0,5
t***夜,银牌会员,整体体验一般毕竟只有几百块钱，手机后置摄像头感觉不像是1300万，扫码都不是很清晰，对于我来说常用微信支付的，这个用起来不爽，内置扬声器只有一边能发声，听说是设计问题，也不知道是不是真的，退换货先要求自己去找检测点检测报告，我有这时间还不自己去店里买了。,2018-03-07 15:00:27,0,0,5
刘***3,金牌会员,用起来不错，实惠,2018-03-09 12:56:04,0,0,5
jd_136878hmi,金牌会员,刚收到货，还没有用。用了以后再作评价。就是觉得商家的出货太慢了，下单时说的是下单当晚发货却推到第二晚才发。,2018-03-09 12:13:38,0,0,5
开***草,PLUS会员,手机的手感挺好的，就是有些软件支持的不好，然后申请退货被拒绝，告诉不支持七天无理由。页面上显示的，和售后说的不一样，提醒大家以后购买的时候要谨慎。,2018-03-06 18:41:44,0,0,5
j***i,银牌会员,一点都不卡顿我买给我同学的同学给了我800块钱，我还赚了22块钱，真的没有想到这个价格可以买到这么好的手机，还送一个保护套和一个膜，真心不错，五星好评,2018-03-03 19:40:30,0,0,5
j***d,铜牌会员,性价比很高，老婆大人很喜欢,2018-03-05 21:31:38,0,0,5
d***1,PLUS会员,这是第二台了，外观设计大方得体，手感舒适，续航方面表现的不错，配合miui9系统，正常使用，预计2天充电一次，总体表现不错,2018-03-08 20:11:28,0,0,5
羚***淘,铜牌会员,用了这么长时间才评价，东西可以说是非常的好，没有任何质量问题，一分钱一分货，用起来很爽，对得起这个价格，很好，不错，凑合用。,2018-03-06 07:01:35,0,0,5
x***0,PLUS会员,我想说我的手机 怎么打电话打着打着就自己挂了？ 每次都是说不了一两句话,2018-03-04 20:46:40,0,0,5
j***e,铜牌会员,手机内存相差太远，相差8G。望商家能诚信经营，让消费者能放心在京东购买。其它还在试用中。,2018-03-07 19:04:49,0,0,5
j***e,铜牌会员,和描述一致，物美价廉，收到就充电用了很流畅，京东快递准时送到以后还会光顾。,2018-03-07 10:39:00,0,0,5
j***s,金牌会员,我们全家都是米粉，这款屏幕太小正适合，电池也赖用，以后还会继续支持！,2018-03-03 09:07:22,0,0,5
h***o,PLUS会员,比4a好，屏幕大小刚刚好，算是性价比比较高的。,2018-03-04 21:04:09,0,0,5
j***j,银牌会员,手机真心不错，性价比高，运行速度理想，给我妈买的，老人狠满意,2018-03-08 12:19:19,0,0,5
j***c,银牌会员,手机昨天拿到手用了下一点不卡是一部很好的手机下次介绍朋友买,2018-03-07 15:12:39,0,0,5
7***县,钻石会员,东南西很不错的哦，速度很快，一直在京东买东西，相信京东！,2018-03-09 21:54:10,0,0,5
Y***子,PLUS会员,除了物流速度太慢，其他都还满意。,2018-03-05 11:02:12,0,0,5
把***飞,钻石会员,给妈妈买的，妈妈很喜欢。手机很好用的，颜色很正,2018-03-06 18:09:45,0,0,5
j***x,银牌会员,这价格买的还算可以   给妈妈买的  够用了,2018-03-07 14:26:13,0,0,5
l***4,银牌会员,还不出哦，第一次用小米冲着它的高性价比来的,2018-03-08 22:39:13,0,0,5
阳***6,PLUS会员,给老人买的，老人很满意,2018-03-05 08:36:33,0,0,5
