名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
李***8,PLUS会员,已经买了3部了！这个手机挺适合父母使用的！如果价格还有优惠，自己还需要的话，还来他家买！玩游戏，下载红包很好,2018-01-06 15:21:21,0,0,5
j***4,铜牌会员,手机性价比还可以手机质量还不错卖家态度很,2018-03-01 21:04:35,0,0,5
j***h,铜牌会员,手机还可以，不过说赠的手机套和耳机我却一个也没见着   唯一的是物流有点慢,2018-01-07 14:59:55,3,0,4
淘***0,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流
配送等各方面都是做的非常好的。送货及时，配送员也非
常的热情，有时候不方便收件的时候，也安排时间另行配
送。同时京东商城在售后管理上也非常好的，以解客户忧
患，排除万难。给予我们非常好的购物体验。顺颂商祺！
Thank you very much for the excellent service
provided by Jingdong mall,and it is very good to do
in warehouse management,logistics,distribution and
so on.Delivery in a timely manner,distribution staff is
also very enthusiastic,and sometimes inconvenient
to receive the time,but also arranged for time to be
delivered.At the same time in the mall management
Jingdong",2018-01-03 15:55:40,0,0,5
j***7,铜牌会员,手机收到了，性价比很高。老公很喜欢。要是在送点小东西比如手机套或者手机膜就更好了。,2018-01-04 14:16:49,0,0,5
c***2,PLUS会员,给老人买的已经寄回家了，没法拍照片，两个老人已经抢起来了。,2017-11-13 11:09:12,1,1,5
j***o,金牌会员,性价比还是很高的，颜值也不错，因为是新机子，没装啥软件，不存在卡顿的现象,2018-01-26 21:43:24,0,0,5
想***口,金牌会员,挺好的，试用了一会，还行吧，反应也还可以。,2018-02-25 18:12:54,0,1,5
凌***0,金牌会员,好，非常好，一家人都是用小米，始终不会让我们失望，点赞!,2018-02-03 21:35:07,0,0,5
h***9,银牌会员,"从配置来看，总体还行吧！
电池容量大，待机时间长。
买给亲戚朋友还行。
唯一美中不足的是内存问题。系统软件占用内存太多了！
学生党还是不建议购买！",2018-02-24 16:52:25,0,0,5
j***g,金牌会员,已收到，不错，经济适用，使用一段时间再来追评,2018-01-02 10:05:14,0,0,5
z***t,钻石会员,小米是我的最爱，买给老婆的，老婆也一直用的红米手米，店家发货速度快，第二天就到货。质量不错，值得拥有。,2018-01-13 13:03:57,0,0,5
冰***蛋,金牌会员,买了一段时间了，现在才开始用，手机不错，运行软件挺流畅的，对这个价位来说很给力了，好评,2018-02-23 20:15:34,0,0,5
j***y,银牌会员,过年前买的！已经用了十多天！电池给力！外出一天不用带充电宝！运行又快，第二次购买了。,2018-02-27 19:05:09,0,0,5
j***9,银牌会员,每次购买小米手机，都选择这家店，发货速度很快，从下单到收货，三天时间。关键是质量有保障，小米手机，质量特好，反映速度快，尤其是5A前后摄像头像素很高，照片清晰度高，值得信赖，客服服务特好，能详细介绍产品性能，给店家赞一个。,2018-03-05 20:07:37,0,0,5
j***f,银牌会员,性价比很高，比自营店便宜一百多！,2018-01-06 21:25:04,1,0,5
逍***f,PLUS会员,买给老人用的，有极简模式，老人看得清楚。电池也耐用,2018-03-03 08:59:08,0,0,5
晓***亮,金牌会员,很好，喜欢,2018-03-01 14:32:35,1,0,5
布***线,钻石会员,这家店，就是个黑店，千万别买别上当，卖的手机有毛病，售后不搭理，态度非常恶略，快递过去售后打了个二十多秒钟就认定手机质量没问题，拒签快递，哥那十七块钱快递钱就当给**烧纸了，典型黑店铺！！！！,2017-09-25 14:46:05,13,6,1
j***w,银牌会员,这是我第三次购买，帮朋友买的 手机用起来不错，也不卡，给个好评下次还会买小米手机。,2018-03-03 12:49:04,0,0,5
错***改,银牌会员,很好   不错   外观和运行速度都很好   值得购买,2018-03-02 17:22:20,0,0,5
-***-,铜牌会员,比想像的大多了，好不好用还不知道，不过咱信得过小米,2018-01-06 20:17:40,1,0,5
j***y,银牌会员,用了一个月了！充电快！运行快！太给力了！对得起这价格！,2018-02-04 10:33:52,0,0,5
h***i,银牌会员,手机刚到，手感不错。物流蛮快的,2018-02-06 16:35:39,0,0,5
我***W,银牌会员,还行吧，给外婆买的,2018-03-01 17:13:27,0,0,5
j***y,铜牌会员,手机用了几天，感觉就那样，让我不满的是，手机送过来连个防压的泡泡纸都没有，光溜溜就送来了，同时间送来华为手机就用泡泡纸包裹紧实了，这对比……,2018-01-05 13:18:48,0,0,5
冷***o,银牌会员,嗯，真不错，速度挺快的，颜色手感都不错，小米的手机我是最爱的！性价比超高！！功能强大！不过就是没发票耶，怕近期内有问题怎么保修呢？最后一再赞一下京东物流，过年都能送，太棒了耶！！,2018-02-16 00:08:51,1,0,5
j***‖,PLUS会员[试用],嗯，小米手机运行非常流畅，已经几次购买了，已经用了一个多月了，才来评价，非常好。,2018-02-11 12:07:43,0,0,5
只***5,铜牌会员,我没点确认收货怎么就已确认收货了呢？手机什么也没送，膜都没有收到货还要去贴膜买壳，电池也不耐用下午一点多收到的去买壳贴膜回家玩了会就没电了。还有就是返回键按好几次才能返回去，几百块钱的东西也就这样吧！,2018-01-02 17:51:30,0,0,5
j***2,铜牌会员,手机是还不错，就是配送员做得太不到位了，按说京东买东西不都会送到买家手里吗？就算没有好歹给我打个电话说下是吧？啥都没有直接给门卫签收，门卫也没和我说直接扔前台桌上，万一被拿走或损坏算谁的？,2018-01-12 21:39:01,0,0,5
郭***秀,金牌会员,屏幕大，内存大，价格便宜，这个价位只有小米才能做到，很满意！,2018-01-04 11:07:22,0,0,5
j***b,铜牌会员,说好的送的钢化膜和小玩意呢? ? 就一个手机光不溜秋的过来了? ? 不过蛮好用的手机，也没有太尴尬的问题，毕竟一分价钱一分货? ? ? 五星好评? ?,2018-03-03 16:50:26,0,0,5
我***蛋,钻石会员,给老头买的，屏幕大，内存大，分辨率清晰，信赖京东,2018-01-03 14:38:10,0,0,5
w***i,铜牌会员,这是第二台红米5A了，很好用，这台是买来送人的,2018-01-16 09:26:58,0,0,5
j***a,铜牌会员,非常好！物流快，真心好，值得购买！,2018-02-16 18:58:17,0,0,5
j***b,银牌会员,质量一般，待电没有商家吹的那么久！,2018-02-13 19:30:53,0,0,5
独***4,铜牌会员,速度可以吧，总体来说还是不错的,2018-03-02 10:48:36,0,0,5
j***4,钻石会员,一直用小米，质量不错的，大小合适！,2018-01-06 11:28:26,0,0,5
c***S,铜牌会员,手机还可以，我又买了第二台。,2018-01-06 12:21:33,0,0,5
j***3,铜牌会员,手机收到了，给老人买的，巨无霸字体超大，很好,2017-12-28 11:54:23,0,0,5
j***y,铜牌会员,前段时间买了个VIVO的900元手机给长辈，玩王者、跳一跳都不卡，一直听说小米手机性价比高，收到货后很失望，王者卡到爆，跳一跳都卡死。,2018-03-01 20:09:02,0,0,5
玉***驼,银牌会员,给爸爸买的，大屏手机，很得劲，字大，照相清晰，待机时间一天。没有问题。,2018-01-03 08:08:06,1,0,5
看***谈,钻石会员,小米是负责任的厂家，和苹果一样，操作系统会不断改进升级。我以前用的联想手机，从来没有升级，以至于速度越来越慢，百毒攻身，置之不理。,2018-02-13 10:15:11,0,0,5
萌新预言家,铜牌会员,还行吧，暂时先用看.感觉还不错如果好用的话，我会继续支持，谢谢么么哒，爱你哟。京东的快递员小哥哥人长得帅，服务又好，支持。,2018-02-03 17:29:35,0,0,5
j***t,银牌会员,给爸爸买的，用了几天，非常不错，质感好，价格也不贵,2018-01-09 13:41:37,0,0,5
s***8,PLUS会员,给妈妈买的，用着很流畅，机型也不错，总之妈妈很喜欢，就是商家的物流太差太差太差太差太差……,2018-02-06 10:42:08,0,0,5
j***0,银牌会员,帮别人买的，手机很好看，就是不知道好用不好用。,2018-01-15 20:41:38,0,0,5
j***2,银牌会员,手机还算不错 起码不是假货 送来时完好无损 态度服务也很好 性价比高 很好  因为不方便就不拍照片了,2018-02-27 19:33:23,0,0,5
酒***3,银牌会员,京东上的手机就是好，货真价实很喜欢，下次再来,2018-01-02 08:35:39,0,0,5
n***8,银牌会员,手机是正品，非常好，也便宜，性价比蛮高的，手机触感好，机子也轻，买给公公的，很开心的。,2018-02-26 14:33:14,0,0,5
j***c,银牌会员,手机性价比非常不错，和京东j介绍的一样，京东物流也非常及时，刚刚收到手机用后再评价，,2018-03-06 06:31:27,0,0,5
k***8,PLUS会员,非常好用 ，用完非常舒服！没有不舒服的感觉！实在太好了！以后也会来买！,2018-01-02 18:51:46,0,0,5
j***e,铜牌会员,手机很好看，跟想象的一样，是官方正品，快递员态度真的很好，跑了两趟，为他点赞，大冬天的,2018-01-09 22:41:11,0,0,5
Y***y,铜牌会员,我2018年1月9号收到手机到现在才20天手机会一会儿有声音一会儿没声音怎么回事啊,2018-01-29 23:06:05,0,0,5
j***G,PLUS会员,是给老人用的，除了相机一般，其他性能一点也没感觉差不在哪里。,2018-02-08 21:30:42,0,0,5
b***0,PLUS会员,送货有点慢，不知道是不是雪天以后影响。已经用起来了，目前还好,2018-02-05 10:16:02,0,0,5
j***4,铜牌会员,手机还是挺好的，到说的是周二到结果周三才到，第一次在京东上买东西，感觉不咋地,2018-02-28 20:05:52,0,0,5
Z***Q,银牌会员,非常好，手感好,2018-01-05 12:26:48,0,0,5
y***h,PLUS会员,收到后用了，不错，适合中老年人使用。快递给力，服务态度好。,2018-01-17 06:46:55,0,0,5
