名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
KWeIAosEzfyM,银牌会员,手机很好，很漂亮，超喜欢，给老公买的，看上去很不错，用着也好，配置更方面还好，觉得很便宜，就买了。,2018-03-06 10:06:47,0,0,5
咸***酸,银牌会员,货一到，即开箱，充电试机。靓,2018-03-03 15:53:12,0,0,5
z***6,金牌会员,小米应该还行的，性价比高，屏幕拍照当然就没几千的手机拍得清晰了，送人的外观OK吧,2018-03-08 07:21:56,0,0,5
美***m,银牌会员,不错的手机，手感好像素好还送了挺多东西，比6便宜挺多的，所以就选择了这个，好用！,2017-08-22 09:27:41,2,1,5
j***9,PLUS会员,625的机器速度可以了拍照不太习惯比较慢容易模糊！给我姑买的！现在比以前便宜多了,2018-03-07 12:11:04,0,0,5
陈***A,银牌会员,宝贝已收到了，开机后，把多余的担忧都放下了，非常满意。给个五星好评最合适不过！,2018-03-03 21:08:18,0,0,5
m***q,PLUS会员,岳母表示跟描述的一样 很满意,2018-03-06 19:28:38,0,0,5
m***2,金牌会员,收到了，佷满意，我一直用小米手机，最理想的是小米手机有一键换新机功能，这个挺方便的，要不换新手机还要下载好多东西，注册，验证等等挺麻烦的。,2018-03-04 21:37:19,0,0,5
j***o,铜牌会员,上手几天，感觉还行，一天玩几个小时游戏其他微信网页持航可以去到一天半，体验王者荣耀可以稳定运行高帧模式，机子是新机，除了赠品很废之外，其他一切都还算满意！,2018-03-03 22:59:19,1,0,5
w***6,金牌会员,目前用起来还行。送的套一般，还是买个皮套吧,2018-03-09 15:51:59,0,0,5
j***y,铜牌会员,到手几天了，用着感觉还是很不错的，就是送的贴膜太小了没什么用，等钢化膜，好评(o^^o),2018-03-03 12:41:41,0,0,5
j***d,银牌会员,这家店态度太差了，送的什么膜，跟张纸似的，居然不是钢化膜，还有手机壳看一下就是劣质产品,2018-03-06 10:20:01,0,0,5
j***x,铜牌会员,小米5X外观精美，手感极佳！屏幕清晰！这款手机性价比高！值得购买！打算再入手一个！,2018-03-07 13:35:18,0,0,5
游***程,银牌会员,用了一天才来评价，手机是正品，运行很快，王者荣耀QQ飞车都不会卡，性价比很高！！,2018-03-07 19:25:06,0,0,5
千***贸,PLUS会员,手机一如既往的好，一直用小米的手机，支持国货，喜欢的赶紧下手,2018-03-04 20:09:46,0,0,5
