名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
赤***p,PLUS会员,外观真的惊艳，眼前一亮，细纹解锁甩苹果几条街，超级灵敏。系统很流畅，一些功能很好，很方便，一步 大爆炸 胶囊 鹤立鸡群，甩其他几条街 。很人性化，注重细节，让人操作时候不时会感觉很贴心。说说手机割手 好吧 我不知道你们的手有多细腻 能把手割成啥样，老罗也不是做不出来圆形边角 但是 追求完美的工业设计 特立独行的风格，我感觉很好 仁者见仁吧 一般手机都会保护套 因为防滑 免摔 即使那什么我不喜欢戴套 但是 手机 我都是喜欢戴套的 因为自己爱玩 容易摔。系统方面我觉得很人性化，老罗之前说他做的是全球第二好用手机，我觉得完全是有道理的，我之前买的坚果一代，高配的，一发布抢到了，系统真心好用，用到现在还不卡，可能也和个人的使用情况不一样，除了手机电池不耐用之外，系统很流畅！只是不太明白为什么很多人都没有选择锤子？难道是知名度不够吗？还是接受不了这样的情怀呢啊，我觉得老罗应该多发布一些平民手机，千元机，让更多的知道锤子，知道这个手机系统，群众才是王道啊！希望锤子越来越好，我拿到手，第一时间将开箱图分享给大家，希望大家也能支持老罗，支持锤子，讲真，中国真的需要老罗这样的工匠精神做手机！,2018-03-07 14:49:23,0,0,5
永***烂,PLUS会员,大过年的，送来的货物，快递小哥直接放在物业，发给短信直接叫买家去拿，连个电话都没有，货物拿到手，左右晃动，都能摇出声响！盒子中间根本就没有填充物覆盖，还不知道手机在运送是否有损伤！我是京东的老用户了，碰到这样的事，心里堵得慌！京东就是这样的服务吗？手机还未使用，以后再追评！,2018-02-21 14:07:43,0,0,3
淘***嘟,PLUS会员,外观设计漂亮，拿在手里很舒服，质量很不错，性价比超高。,2018-03-03 13:00:51,0,0,5
嘻***趣,PLUS会员,过年买个红手机，超级喜庆，啦啦啦，本人也比较喜欢大红，哇咔咔咔,2018-03-04 23:00:19,0,0,5
j***h,铜牌会员,感觉还好吧，是全球通的上网速度挺快的，红色的挺好看的,2018-03-06 10:59:05,0,0,5
N***f,铜牌会员,一开始耳机插不进去，百度了一下说没那么娇惯使劲插一下就进去了，插不进耳机的朋友注意一下，你得使点劲插才能完全插进去。手机很好的，又便宜，就只有靠这种东西才能维持生活这样子，去别家是不可能去别家的，这辈子不可能的( ?Д`),2018-02-28 22:04:41,0,0,5
梦***1,PLUS会员,物流很快，手机拿到手里手感很好，电池连续玩两三个小时没问题，像素也可以，没有卡顿现象，指纹解锁也好实用，总体来说超赞。这个价钱值得入手。,2018-03-08 16:32:13,0,0,5
君***迟,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。希望越做越好，支持支持！！！",2018-03-02 11:26:33,0,0,5
j***x,PLUS会员,用来吃鸡   再好不过了     好用   流畅,2018-03-07 22:38:39,0,0,5
s***m,金牌会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。希望越做越好，支持支持！！！",2018-03-02 11:47:57,0,0,5
等***4,金牌会员,手机很漂亮，老婆很喜欢，给五星好评性别比很高,2018-03-04 18:16:38,0,0,5
j***7,铜牌会员,钢化膜给错，还不送耳机，其他还行，都挺新的,2018-03-08 20:35:51,0,0,5
z***i,钻石会员,很漂亮，媳妇很喜欢，运行也很快，值得入手。,2018-03-08 08:50:34,0,0,5
1***p,银牌会员,挺好的 快递也很快 东西没问题 非常好,2018-03-07 20:06:45,0,0,5
j***n,铜牌会员,我以前用小米4C，又买了这个手机，容量配置比那个大一倍，摄像头也很清楚，拍照非常好看。一次满意的网购！,2018-03-06 08:30:38,0,0,5
周***6,金牌会员,颜色鲜艳，很漂亮，只是屏幕分辨率好像不太好，不过价钱摆在这里，也算差不多！,2018-03-10 01:13:13,0,0,5
银***D,钻石会员,高端大气上档次，低调奢华有内涵。一线品牌的配置，三线品牌的价位。赞赞赞,2018-02-28 16:22:14,0,0,5
j***e,PLUS会员,超级好用，给家人买的，很喜欢，祝生意兴隆！！！,2018-03-07 11:06:26,0,0,5
