名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
y***0,金牌会员,小米毕竟国产里比较好的牌子，目前来说还很流畅，不过我也只是拿来做备用机，已经很够用了,2018-03-07 16:50:05,0,0,5
卡***e,银牌会员,买给家里老人用的，用了觉得好，奶奶的姐妹又让我们帮忙买一个，看来手机智能化是再也不能阻挡啦，无论是小孩还是老人！买大件的东西还是京东，又好又快！做完七点多下的单今天下午一点多居然就到了！赞一个！快递的态度也比别家的好很多！买的很愉快！,2018-01-10 14:33:05,0,0,5
赵***岐,PLUS会员,红米4a真的很好，2+16计，用着，只玩个微信够用了,2017-10-29 08:20:59,1,3,5
4***a,银牌会员,续航比我想象的好，系统很流畅，不知道能用多久。很轻，很厚，另外打电话音质不好。,2018-03-09 20:36:45,0,0,5
j***f,铜牌会员,都是非常棒的，就是没有小礼品,2018-01-24 17:19:53,0,0,5
看***山,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。 Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience.",2017-12-18 11:09:49,1,0,5
l***8,金牌会员,机子还不错，老人很喜欢，系统自带的简易模式字很大,2017-11-14 21:52:07,4,0,5
大***间,PLUS会员,手机很好，是帮朋友买给他父母用的。用着还可以。没有出现什么问题。,2017-09-14 20:58:19,1,2,5
g***w,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺！ Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong",2017-10-01 07:19:21,4,1,5
叮***哒,钻石会员,你老爸买的这款手机，它的性能非常好，而且待机时间长，买的快递也快，第二天就到了，这是京东促销力度挺大的，这样的价格的确是不错，感谢京东。,2017-06-24 22:30:58,19,11,5
