名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
巴***人,金牌会员,给老爸买的，很满意，质量很好！,2018-03-06 20:54:34,0,0,5
黄***幸,银牌会员,给老爸用的 很不错 反应挺快,2018-03-06 20:04:04,0,0,5
j***v,铜牌会员,这手机顶好的，妈妈很喜欢，外观又好看，还送了赠品，老人家拿很适合，5寸屏幕刚好，值得入手,2018-01-02 14:22:13,1,0,5
w***o,银牌会员,很好的东西，正品全新。赠品也很实用，防爆膜很清晰，保护套贴合的很紧。,2016-12-26 11:07:14,4,1,5
秋***7,PLUS会员,历史最低价，试了下速度手感满意,2018-03-03 09:22:31,0,0,5
n***n,PLUS会员,这真心是个好宝贝，我一直在用，也推荐给了好多朋友，它的性价比很高，质量也很好，为它点赞！另外也要谢谢京东，销售的宝贝质量有保障，售后服务好，实在是太爱了！感谢京东，希望京东多搞活动回馈我们这样的忠实老客户,2018-02-28 15:50:01,0,0,5
Y***3,金牌会员,买给家人用的，外观很好了，这个价格能有这样的配置很满意，家人都满意！,2018-03-04 22:30:44,0,0,5
l***3,PLUS会员,大年初二还送货，好感动。东西不错，还送贴膜和保护套，给老人用用足够了，手机很轻巧。家里买的第5台小米手机了。,2018-03-05 10:32:23,0,0,5
3***2,金牌会员,说好的全网通手机，结果发过来是移动合约版的，问客服说是随机发的，我看了那么多人买的都是全网通版，就我这个是移动合约版的，要真是随机为什么没看到其他人也是移动合约机。不知道是不是看我填的地址是农村里就故意搞个合约机来，农村里确实不方便，要自己跑出去拿，而且临近过年就懒得退了。不是京东自营的就是不靠谱，购物体验超级差。,2017-01-23 16:52:44,75,18,1
陈***-,PLUS会员,在京东买了很多东西，感觉70分或以上才评价，主要是为了京豆。,2018-03-04 19:40:36,0,0,5
jd_134653pwp,银牌会员,手机用了两天感觉挺好用，这个价格来说性价比很高，老爸很喜欢。腾讯什么卡漏发了。,2018-03-05 22:44:27,0,0,5
j***a,PLUS会员,手机不错，用着挺好的，物流也挺快，会继续购买,2018-03-04 10:04:53,0,0,5
晨***o,银牌会员,手机很好用。这是第三次买了，父亲很喜欢。这个手机比较适合他们用,2018-03-01 18:18:47,0,0,5
吉***族,金牌会员,手机买给老人用的，感觉还可以，同价位里性能是比较好的。,2018-03-07 18:46:14,0,0,5
碟***很,铜牌会员,帮朋友买的，他说挺好的,2017-11-23 21:23:55,6,1,5
6***9,金牌会员,小米这个价位的手机，值得信赖！一直用的挺好！,2018-03-04 10:57:57,0,0,5
j***b,铜牌会员,给父母买的，能简单操作，物流挺快，服务挺好,2018-03-07 08:57:39,0,0,5
j***d,铜牌会员,挺好用的，待机时间也长，很适合学生用,2018-03-09 13:20:25,0,0,5
j***d,铜牌会员,很不错 3天就到了 试了下 反应很快,2018-03-03 17:56:38,0,0,5
w***n,银牌会员,货很好，物流垃圾，3天了没发出货来,2018-03-07 06:51:22,0,0,5
w***6,金牌会员,价格实惠，物流快，给家里人用刚好。,2018-03-05 09:16:14,0,0,5
j***v,银牌会员,此用户未及时评价，系统默认好评。,2018-03-03 16:00:47,0,0,5
1***p,铜牌会员,手机不错，信号好，电池耐用！！,2018-03-08 19:36:56,0,0,5
淡***x,金牌会员,不错，物流很快，机子跟流畅帅气,2018-03-06 17:50:31,0,0,5
j***1,铜牌会员,还行，就是可不可以贴膜再送过来,2018-03-03 14:34:54,0,0,5
未***丶,银牌会员,性价比超好，买给父母用很好用,2018-03-09 17:07:31,0,0,5
o***f,铜牌会员,手机蛮好的   送到也挺快的,2018-03-09 12:42:59,0,0,5
Z***4,银牌会员,帮别人买的，目前没有什么问题,2018-03-05 09:08:26,0,0,5
亲***新,金牌会员,给妈妈买的，说是用着挺好的,2018-03-07 20:40:07,0,0,5
j***3,银牌会员,质量很好很喜欢，还会再买,2018-03-08 19:27:47,0,0,5
c***1,银牌会员,外形可以，效果也还可以！,2018-03-06 17:22:28,0,0,5
z***T,铜牌会员,物流速度非常快一天就到了,2018-03-04 10:00:43,0,0,5
华***泡,钻石会员,给老人买的机器停不错的,2018-03-04 22:39:09,0,0,5
永***空,金牌会员,挺好用的，给奶奶买的,2018-03-08 20:40:08,0,0,5
r***8,PLUS会员[试用],用着还行，毕竟工作机,2018-03-07 11:56:49,0,0,5
j***c,银牌会员,手机收到了 还不错,2018-03-06 09:40:34,0,0,5
唛***笔,银牌会员,机器不错，价廉物美,2018-03-05 12:42:22,0,0,5
v***D,金牌会员,还可以。。。。。,2018-03-07 09:43:57,0,0,5
j***f,铜牌会员,手机不错性价比高,2018-03-03 16:34:48,0,0,5
j***d,银牌会员,系统启动有点慢,2018-03-04 16:36:01,0,0,5
jd_131038skz,铜牌会员,"时间不对，调都调不过来，电话有时也打不了，要这个手机有什么用，模型吗？一次性吗？售前各种保障，买家都是大爷，买过之后就客服都找不到，全都死了，也不知道这家店怎么开下来的，售后维修费用都需要自己付，我昨天刚到的手机，今天就发现了不对了，有问题也管不问，就一直推辞售后，全国联保只是一个概念，根本不会有什么用，七天也不会有人给你退或者换，更不会15天保修，因为你根本找不到客服，手机买不买，你们看着办，我并不是想要讹什么人，我真的有图有真相，你们看看吧，都长点心，别被骗，这家黑店真的不值得购买，我第一次出去打工，第一次给我爸买礼物，结果出现这样的结果，谁挣钱容易啊，你这样欺骗消费者，不怕遭天谴吗？不怕全家死光吗？评论五百字我都感觉太少了，真的描述不出真相，虽然五百多不是太贵，谁挣钱容易，我就搞不懂了，好好开店不行吗，为什么欺骗消费者，真的很伤心，***客服全死了，现在发信息都不会回我的，售后有毛用，劝告一下大家，手机在**上买，都比在京东上实在，毕竟人家客服都是中规中矩的，也不会因为手机有质量问题而逃脱，不要再相信他们的宣传，因为并不会有效果，买不买你们看过再说吧！！

我申请退货，不匿名",2017-09-02 20:08:46,11,1,1
Y***T,金牌会员,可以可以可以,2018-03-09 03:33:10,0,0,5
U***i,铜牌会员,手机收到了，不错就是待机耗电量有点大，其他的不错毕竟才500多的手机嘛,2018-03-08 18:13:40,0,0,4
k***p,银牌会员,京东发货真快，当天发第二天收到，给赞,2018-03-05 12:19:01,0,0,5
a***g,铜牌会员,给别人买的，不知道她满意不！,2018-03-08 22:19:28,0,0,5
1***p,铜牌会员,买的手机就是一台裸机，什么都没有送，最重要的是连发票都没有给我，那我以后怎样保修，联系客服也没有给我答复，真心失望,2018-03-03 12:11:45,0,0,5
般***F,PLUS会员,帮妈妈买的，开始买的时候通话有问题，有时候听不到说话。后来又没事了。。。。,2018-03-03 22:59:12,0,0,5
k***j,银牌会员,手机确实不错啊，几百块的手机什么功能都有，反应也很快，不错。买来送给我老爸的，希望他喜欢,2018-03-08 15:37:31,0,0,5
j***9,铜牌会员,手感不错，大小也是手能握住的，挺流畅地，刚到，不知道以后怎么样，跟图片差不多，还不错。,2018-03-10 00:08:17,0,0,5
j***0,PLUS会员[试用],手机挺好的，老人用的，基本满足需求，京东快递还是一如既往的给力,2018-03-06 22:02:39,0,0,5
陈***-,PLUS会员,在京东买了很多东西，感觉70分或以上才评价，主要是为了京豆。,2018-03-04 19:39:55,0,0,5
j***z,银牌会员,已经买了好几个了，都是给家人买的。不错的这次还送了手机壳和保护膜????,2018-03-05 09:38:02,0,0,5
海***咩,金牌会员,电池很耐用，很满意，买给妹妹的，妹妹很开心，也说很喜欢，重要的的是手机确实不错,2018-03-08 11:18:51,0,0,5
j***b,铜牌会员,给父母买的，能简单操作，可以视频，看电视什么的，功能不需要太多，物流挺快的,2018-03-07 08:59:00,0,0,5
人***笔,金牌会员,我是忠实的米粉，非常喜欢小米的手机，已经不知道是第几次购买小米手机了！,2018-03-03 13:18:27,0,0,5
j***6,铜牌会员,孝敬父母买的，很好用物美价廉！女朋友表示像素高点内存大点她也想要！,2018-03-05 15:04:00,0,0,5
j***m,铜牌会员,给孩子买的蛮喜欢的外观还是蛮好看的质量不知道怎么样只有等用用再说吧,2018-03-06 15:24:23,0,0,5
李***6,银牌会员,运行速度快，屏幕恰好，样式大气，物流快，一次非常愉快的购物,2018-03-04 00:54:11,0,0,5
7***县,钻石会员,东南西很不错的哦，速度很快，一直在京东买东西，相信京东！,2018-03-09 21:58:51,0,0,5
P***J,银牌会员,同样的牌子同样的款式比别人贵不说啥东西也没配，不建议购买,2018-03-03 23:18:51,0,0,5
大***闪,PLUS会员,手机很不错 包装很结实 颜色很正,2018-03-09 21:14:51,0,0,5
夜***萤,PLUS会员,买了2个了 小米的系统比较好用,2018-03-09 17:59:59,0,0,5
j***f,铜牌会员,虽然屏幕没有小米的好，但是用来当备用机还是很不错的,2018-03-09 08:07:10,0,0,5
j***d,银牌会员,待机时间特别长，老妈用了一直说好啊，我也觉得不错,2018-03-07 22:30:21,0,0,5
j***7,银牌会员,东西已收到，什么东西也没送，一点也不给力。。。。,2018-03-03 21:18:39,0,0,5
小***2,金牌会员,手机还没用。但是物流真的是慢慢慢、超级无敌的慢,2018-03-09 19:15:01,0,0,5
g***7,银牌会员,不错，物美价廉，性价比高，老人小孩都非常合适。,2018-03-06 20:03:23,0,0,5
百***兜,金牌会员,给我妈买的手机，用着也差不多，不打游戏什么的,2018-03-05 11:59:43,0,0,5
云***中,PLUS会员,东西很不错，值得购买。,2018-03-08 15:44:42,0,0,5
j***0,银牌会员,不错的一款产品，反应速度快，物流超快的,2018-03-06 10:30:15,0,0,5
购***神,铜牌会员,拍照比较好，用起挺好，包装好，也管用,2018-03-07 23:17:02,0,0,5
j***j,铜牌会员,还好吧！老人家用的。????,2018-03-04 15:34:11,0,0,5
j***6,金牌会员,妈妈很喜欢，给她打电话看视频都很好,2018-03-07 16:31:11,0,0,5
j***间,金牌会员,用了一段时间了，还可以，没没问题,2018-03-05 21:33:41,0,0,5
k***5,金牌会员,手机用着很小巧，老年机很合适,2018-03-08 20:21:59,0,0,5
U***G,铜牌会员,手机还行，就是发货有点慢哦,2018-03-04 17:23:58,0,0,5
l***p,铜牌会员,手机可以的  就是丑了点,2018-03-08 12:40:41,0,0,5
j***m,铜牌会员,挺不错的，就是物流有点慢,2018-03-07 16:33:16,0,0,5
g***o,金牌会员,很好不错和图片一模一样………,2018-03-03 18:00:01,0,0,5
j***d,铜牌会员,可以，只是声音有点小,2018-03-09 13:34:07,0,0,5
D***K,银牌会员,手机很好，买了两个,2018-03-09 16:10:44,0,0,5
