名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
不***終,PLUS会员,不错，不错，手机是正品，全新未拆封的！在第三方买的很便宜，我是497拿下的！就怕给发成移动定制版的，但是的确是全网通的！性价比超高！拿来送人挺好的！还算了手机套和贴膜！,2017-12-23 13:27:14,5,6,5
s***7,银牌会员,挺好用的，妈很喜欢，之前用的小米2屏坏了，给妈换这个，平滑过渡，妈用着很顺手！,2018-02-06 20:35:48,0,0,5
钟***户,钻石会员,非常不错的商品值得购买,2018-03-08 16:36:16,0,0,5
j***4,PLUS会员,质量很好，非常不错，性价比很高，很实惠，很实用的，非常好，给好评了。,2017-07-08 14:17:53,1,2,5
9***者,PLUS会员,"不错用着还行x,都朋友买的",2017-05-21 18:06:20,1,0,5
jd_137207bel,铜牌会员,手机绝对正品！相信京东！下次还会合作！好评！,2018-03-07 14:26:12,0,0,5
j***7,银牌会员,运行速度不错～拍照效果挺好～我非常满意～,2018-03-06 06:59:17,0,0,5
y***蜂,金牌会员,东西不错，,2018-03-09 12:45:13,0,0,5
j***p,铜牌会员,手机给中老年人用还是可以的，中间出了点插曲等了半个月才拿到，不过还好年前带回家了，,2018-02-17 22:02:00,0,0,5
j***b,银牌会员,手机挺好用的，性价比很高，就是自己贴膜技术不好，要是商家能帮贴好就好了。,2018-03-06 16:29:07,0,0,5
j***f,铜牌会员,都挺好的  感觉京东可靠,2018-02-09 20:58:43,0,0,5
m***1,金牌会员,手机运行流畅。。。。。,2018-02-18 10:29:09,0,0,5
j***p,金牌会员,很好用。价格实惠。对于我这种对手机要求不高的。觉得这款更适合。因为便宜。苹果太贵。相比之下。觉得这款已经够我用了。,2018-03-06 15:45:07,0,0,5
壮***5,银牌会员,很好用，性价比高，产品还是京东好。物流快。,2018-03-02 12:29:22,0,0,5
潋***娉,铜牌会员,收到手机，适合父母年纪的人使用，方便快捷，，好评，卖家态度非常好，很满意,2018-02-07 16:05:55,0,0,5
r***5,金牌会员,给老爸买的，他还不怎么会玩，暂时还没有发现问题，用过一段时间再追评,2018-02-16 08:51:47,0,0,5
j***a,银牌会员,"给小孩用,够可以了,就是附机软件有点多,卸载大部分!",2018-02-06 13:01:39,1,0,5
c***0,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2018-02-07 23:04:44,0,0,5
瓦***咔,PLUS会员,很合适的老人机，不错,2018-03-04 11:01:54,0,0,5
蕉***0,金牌会员,很轻，而且不卡，中老年用足够，服务不错。,2018-02-07 22:18:07,0,0,5
j***0,金牌会员,给老人买的手机，速度挺好的,2018-03-01 13:16:06,0,0,5
jd_177205,铜牌会员,果断好评，这个价位的手机垃圾软件都没，而且机身反应也贼快，雷军成功还是有道理的，用心做好每一个价位的手机，手机也是让老妈用的，中年人用足够了。,2018-03-09 14:43:37,0,0,5
N***H,铜牌会员,货到了，很不错，没有问题,2018-02-08 14:13:38,0,0,5
小***炮,PLUS会员,还不错，帮朋友买的，做备用机挺好的。稳定,2018-01-20 15:04:42,1,0,5
n***y,PLUS会员,全新原装正品，送货快捷，好评!,2018-02-08 19:08:13,0,0,5
l***n,PLUS会员,东西不错、送货及时，服务满意，一直上京东，已经习惯了、plus会员多送几张免邮就好了！,2018-03-08 17:23:01,0,0,5
j***h,PLUS会员,送货速度，快递员态度好，东西正品，很不错的购物体验！！现在很多东西都是京东上面购买的,2018-02-07 13:25:08,0,0,5
n***2,银牌会员,给老人买的，不错，拍照效果挺好的，音质也不错，还赠送了手机膜和软壳，这个价格能买到全网通真是超值哦,2018-02-26 15:43:12,0,0,5
d***e,钻石会员,"手机挺漂亮的，给老妈买的，18G,5寸屏够用啦！卖家还送了防护套和屏幕保护膜，挺好的，价格也实惠！",2018-02-08 06:13:25,0,0,5
j***q,银牌会员,收到了     收到了     收到了     真的很高兴     开心?的不要不要的,2018-02-06 19:11:41,0,0,5
jd_131107ehs,金牌会员,手机收到了，没有去验机，看起来应该是正品。给亲戚买的，等他用了一段时间再来评论。,2018-03-01 14:34:55,0,0,5
龙***宝,铜牌会员,手机屏幕很清晰，反应很快，相机也还可以，手机大小也可以，是一款性价比比较高的手机,2018-02-06 14:52:27,0,0,5
j***r,PLUS会员,一款很适合老人家用的性价比较高的品质手机，赞一个??,2018-02-08 14:24:24,0,0,5
零***4,金牌会员,东西收到了，还可以，希望可以耐用，看在快递和发货快速的份上给好评吧！,2018-03-07 17:50:39,0,0,5
阿***0,PLUS会员,给妈妈用的，感觉用着还行，比较适合老人之类的用,2018-02-26 14:16:03,0,0,5
y***5,钻石会员,帮熟人买的，听他讲还行，他也不会玩什么东西，就上Q和微信，还能应付。,2018-02-08 18:50:21,0,0,5
k***7,PLUS会员,物美价廉，很不错的一款产品，希望京东以后多多优惠,2018-02-07 22:19:53,0,0,5
l***o,PLUS会员,给力是正品，不错的，质量也可以，给老人用的,2018-02-18 06:41:14,0,0,5
c***镇,金牌会员,不错哦，买了两次了，给老妈用，都觉得非常好，有机会会再支持的,2018-03-03 20:22:29,0,0,5
拿***铜,PLUS会员,购物上京东，价钱便宜，多，快，好，省，放心,2018-02-10 19:53:00,0,0,5
j***d,银牌会员,我一直在京东买货，紅米也已用几部是我一直用开牌子满意赞?。,2018-02-25 17:27:14,0,0,5
w***o,PLUS会员,手机一如既往的好用，很流畅，老妈很喜欢,2018-03-08 10:10:54,0,0,5
j***o,银牌会员,不错的，质量很好，物流很给力，很不错的一次购物体验，下次还来,2018-02-08 10:41:10,0,0,5
L***Y,PLUS会员,还好吧，给老人买的，续航能力强就可以了,2018-02-10 09:49:08,0,0,5
猪***7,PLUS会员,谢谢店家...速度快哦..东西也不错哈,2018-02-08 00:28:23,0,0,5
红***0,金牌会员,买给父母的，老人家很喜欢，物流服务态度很好，用起来也方便，,2018-02-07 16:19:38,0,0,5
c***0,PLUS会员,物美价廉，质量好！这段时间买了3台！,2018-02-13 19:01:25,0,0,5
我***海,PLUS会员,不错，送朋友的，还可以，价格便宜,2018-03-08 23:07:09,0,0,5
逆***妖,PLUS会员,挺满意的，可是为什么要十个字评价捏,2018-02-15 09:23:25,0,0,5
m***8,银牌会员,这个手机很好用，功能齐全，速度也快对于老人来说足够用了,2018-02-14 09:48:40,0,0,5
j***9,铜牌会员,手机已收到，看上去还不错。质量好不好要用几天才知道,2018-03-09 11:37:53,0,0,5
j***w,银牌会员,小米手机性价比很高，手机拿到了，感觉很不错，给妈妈买的，运行流畅，适合她用，另外米优系统很流畅，希望小米越来越好,2018-02-23 12:22:03,0,0,5
长***人,PLUS会员,给老爸买的春节礼物，他还不会使用,2018-02-18 21:25:49,0,0,5
漂***r,金牌会员,物流速度一般吧，机器不错，速度很快，清晰度也可以,2018-03-04 23:54:17,0,0,5
f***9,钻石会员,挺好的，全新的机器，功能一切正常，老人用起来不错,2018-02-28 10:02:30,0,0,5
l***s,PLUS会员,发货速度！价格优惠！爽爽爽！！,2018-02-08 13:32:12,0,0,5
j***w,PLUS会员,送货非常快，服务非常好。赞,2018-03-07 07:20:36,0,0,5
M***草,PLUS会员,性价比超高的，很实用，赞,2018-03-07 23:56:32,0,0,5
j***9,PLUS会员,挺好的用的挺喜欢的还会在买的,2018-02-13 09:13:26,0,0,5
醉***摇,铜牌会员,爸妈用着大小正合适，速度也还可以。给个好评,2018-03-02 23:38:08,0,0,5
石***郎,PLUS会员,这手机性价比很高啊！！！,2018-02-07 20:04:57,0,0,5
X***i,铜牌会员,手机比较轻  感觉是塑料的  用着还行,2018-03-05 18:03:13,0,0,5
o***Q,注册会员,手机还是可以的，就是物流速度太菜了,2018-03-09 13:49:58,0,0,5
豆***戒,钻石会员,感觉还不错！用了好用会再来的！,2018-03-01 10:25:03,0,0,5
j***n,银牌会员,这个手机是给老爸买的，他很满意。,2018-02-10 09:47:15,0,0,5
j***q,金牌会员,都是有小米的，质量很好，价钱实惠,2018-02-07 17:54:44,0,0,5
j***r,金牌会员,手机还可以吧，就是等了好几天才到,2018-02-07 10:10:36,0,0,5
宅***3,金牌会员,比较适合老年人用，基本功能都有,2018-02-21 09:48:40,0,0,5
h***J,银牌会员,很好，买给老人用的，性价比高！,2018-02-14 11:27:56,0,0,5
j***児,金牌会员,很好用，我爸很喜欢性价比高,2018-02-23 15:49:22,0,0,5
独***a,银牌会员,不错，看着是正品，送的东西不怎么样，毕竟是送的，不过客服也给解决了，手机没问题才是重要的,2018-02-06 19:41:12,0,0,5
假***城,钻石会员,第二部，实惠。老人用最合算,2018-02-14 19:33:55,0,0,5
j***3,铜牌会员,手机便宜，用起来感觉还行。,2018-02-12 11:02:59,0,0,5
景***9,钻石会员,还行，老年人使用电池耐用,2018-02-25 22:48:59,0,0,5
j***h,铜牌会员,给妈妈买的手机，很好。,2018-03-08 13:51:06,0,0,5
