名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
Z***6,铜牌会员,物流实在是有点慢，整整花了6天1小时，虽然南京下了3天雪，但是物流更新慢确实让我着急了几天。好在产品还满意。包装略微简陋，不过可以接受，没有影响到产品。检测了是新机器，包装上显示河北生产的，产品是一个裸机，没啥别的东西送。升级了最新的系统挺不错，速度很快。待机时间也不错，试用了一段时间，感觉不错，给妈妈用很合适。就是需要纸质，我在后面备注了，但是没有一起发过来，问了客服，说2-5天会有短信通知，让我自己在线查。试了一下拍照，像素没有那么清楚，不过给妈妈用够用，年轻人可能会觉得像素不太高。总体上产品还算满意，待机时间ok，新系统不错。推荐想买的人可以入手，但是做好物流慢的心里准备。,2018-02-01 16:58:17,0,1,5
j***e,铜牌会员,手机质量不错，很好，店家服务不错，送货速度，半天都不用。评价五星，非常好，有机会下次再来这里买。,2018-01-14 12:00:52,0,0,5
s***0,金牌会员,包装完好。和网上介绍的参数一样。实用。,2017-10-05 17:54:04,0,0,5
李***生,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。！ Thank you very much for the distributionby excellent mall, and it is very good to do in enthusiastic, service, provided and so on. Jingdong in a timely manner, warehouse staff is also very management, and sometimesto logistics the time, but also distribution for time to be Delivery At the same time in the mall inconvenient",2017-10-27 04:06:30,1,0,5
-***-,银牌会员,不错呢……内存是16G的没骗人。客服态度棒棒哒满意可惜就是像素差了一些还没有我华为像素高…玩游戏很流畅毕竟一份价钱一分货给5星就是说好的16G怎么成8G呢,2016-11-26 13:11:36,17,13,5
z***9,PLUS会员,外表看着美观大气上档次。一直信任京东。质量不错，送货很快，服务很好！ 太漂亮，大气，档次高，超喜欢。 货比三家，选的也好是辛苦啊?现在除了一碗热气腾腾的拉面，在强哥这里买不到其他的，只有你想不到没有买不到? 上午下单，下午到家速度啊！看着还行 货品不错，装了实用。质量可以。是值得购买 不错不错不错！！！！！！用了还可以，刚开始用有点涩。很干净，质感也不错，价位适中，性价比一般吧。 不错 物流一天就到了 整体感觉很不错，收到就用了，挺喜欢的，这个用的好，还要买多几个。 物美价廉，用着看看吧，免去市场购物之劳 ，推荐答案 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上， 宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次购物，好评！ 。。。。。。。。。。。。。。,2017-09-02 07:45:44,0,0,5
I***M,PLUS会员,粉红色的很漂亮，打王者也很流畅，小米不错，支持国产加个也很实惠，物流也很棒，很满意的一次购物,2017-10-30 21:39:41,1,0,5
z***9,PLUS会员,外表看着美观大气上档次。一直信任京东。质量不错，送货很快，服务很好！ 太漂亮，大气，档次高，超喜欢。 货比三家，选的也好是辛苦啊?现在除了一碗热气腾腾的拉面，在强哥这里买不到其他的，只有你想不到没有买不到? 上午下单，下午到家速度啊！看着还行 货品不错，装了实用。质量可以。是值得购买 不错不错不错！！！！！！用了还可以，刚开始用有点涩。很干净，质感也不错，价位适中，性价比一般吧。 不错 物流一天就到了 整体感觉很不错，收到就用了，挺喜欢的，这个用的好，还要买多几个。 物美价廉，用着看看吧，免去市场购物之劳 ，推荐答案 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上， 宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次购物，好评！ 。。。。。。。。。。。。。。,2017-09-02 07:45:34,0,0,5
穷***i,PLUS会员,手机不错，用起来感觉挺好的，像素也高，运行快，玩游戏也不卡，不错，好评,2017-10-30 13:26:53,1,0,5
入***v,PLUS会员,"优点： 最好单手使用的小米手机 你值得拥有 优点： 1.我首先看中的是5.0的屏幕大小刚刚合适 2.MIUI的系统真的很好用 从米2s就一直喜欢小米的系统 3.金属中框让米4的外观...
缺点： 缺点： 1.wifi的信号很差 比米2s的至少要差一格信号 而且在wifi没有信号的时候和数据转换也很慢 不像小米2很快就可以转过来 希望这点以后可以改进 2.手机声音还...
总结： 入手小米4半个月 感觉除了wifi的信号不好 有时候明明有满格的信号就是上不了网 让人很抓狂 除外暂时没有发现什么大的问题 小的问题还是有的 比如打电话对方没有...",2017-09-01 22:22:42,0,0,5
