名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
t***2,PLUS会员,一直用小米，经济实惠耐用，性价比高，手机很漂亮，收到手机和卖家描述一致，功能这款手机和上千元的手机相差不大，这次一共买了30台主要是给公司员工用，基本上能满足一切的的需求。当然如果自己使用，建议还是可以买更好一点的，但是老人使用，不上网的，只用用微信还是值得推荐的,2018-01-28 14:59:19,0,1,5
听***7,钻石会员,一直用小米，经济实惠耐用，性价比高，手机很漂亮，收到手机和卖家描述一致，功能这款手机和上千元的手机相差不大，这次一共买了30台主要是给公司员工用，基本上能满足一切的的需求。当然如果自己使用，建议还是可以买更好一点的，但是老人使用，不上网的，只用用微信还是值得推荐的,2018-01-28 14:49:05,0,0,5
真***上,PLUS会员,这款手机我是帮朋友买的，我的朋友收到货的那一刻，那种挂在脸上溢于言表的夸张神情我现在还久久没有忘记，朋友说这么好的手机这么高的性价比，简直不敢相信没有参加抢购居然就买到了，还说他和她老婆近两个月的冷战就要就此终结了，朋友给我打款时还特意给我多发了一块钱的红包，令我没有想到的是这款手机除了便宜好用之外，居然还有促进夫妻增加感情的功能！,2018-01-24 08:50:44,0,7,5
第柒空间,银牌会员,手机已收到，很好，很美观，手机运行速度快，显示很好，物流很快，手机各方面都非常非常非常好，音乐的声音真的很好，音质非常清晰，通话声音可以，清楚，音量各方面都很好，手机外观设计风格简约大方得体，五点零的手机看视频，看电视，都非常喜欢，孩子看了也非常喜欢，,2018-01-24 15:10:04,1,0,5
小***y,银牌会员,真心不错，首先，京东物流就是给力！给老人买的，简洁明了，一直都用小米，觉得这手机不错，一如既往的喜欢，商家也挺负责的，包装很好！还会再来！！！！！,2018-01-25 23:09:08,0,0,5
9***m,PLUS会员,非常好用的手机，适合老人用。非常喜欢。买了好几个。,2018-02-13 22:08:27,0,0,5
夏***爛,铜牌会员,手机收到了，感觉还不错，包装的很严实，手机价格优惠，质量还不错，手机重量轻，屏幕大，声音大又清楚，颜色还不错，没有色差，相素还不错，清晰，程序应用也反应快，没有出现卡顿的情况，手机的文字还可以调大小，非常方便，妈妈很喜欢，快递员的态度很好,2018-01-25 22:19:25,0,0,5
岳***i,银牌会员,小米的机子很好，我之前一直都是用小米手机，家里电视机也是小米，手机和电视都很不错，觉得好，所以给老妈买了一台小米手机，老妈拿到手很喜欢，整机手感，机子各项功能很实用，总之一句话，很喜欢，相信小米,2018-01-24 10:53:54,1,0,5
5***磊,钻石会员,手机是给丈母娘买的，本来想买内存大的，一问他不怎么会玩智能机，内存大了也没用，就买了这个！感觉挺漂亮的！丈母娘挺喜欢的！一直相信京东物流，赞一个,2018-01-21 05:50:04,0,0,5
k***2,钻石会员,东西还可以吧，包装简洁，是小米的作风，买给家里老人用的，很喜欢，就是快递太慢了，,2018-02-03 21:34:44,0,0,5
王***4,PLUS会员,这次购买的手机，拿到手目前来看很不错，现在的东西贵有贵的好处啊！系统不错，功能强大！性能还没测试，应该不会差。强烈推荐大家购买高端机！，给我的感觉非常好！手机手感也不错。,2018-02-03 04:54:04,1,0,5
康***年,PLUS会员,小米手机，品牌好，手感好，系统流畅，不错,2018-02-24 20:59:35,0,0,5
龙***6,铜牌会员,手机很好，轻得很。用起来流畅，适合给老人用。,2018-01-21 12:22:49,0,0,5
j***a,铜牌会员,质量不错，手感也好，给力，我给5星好评。,2018-01-23 17:37:50,0,0,5
h***4,银牌会员,屏幕正好，电池待机久，做工精细。,2018-02-01 04:29:53,0,0,5
姚大囡囡,铜牌会员,还可以噢 就是拍视频有点卡 主要是主要是帮忙送的人员很好 一开始是我写错了一个数字的号码 以至于快递小哥打不通 当问他今天还送吗 他回我送的就是晚一些 人很好 谢谢,2018-03-02 14:45:16,1,0,5
j***a,铜牌会员,给老公买的，老公说还行，反应挺快,2018-03-08 12:05:01,0,0,5
j***a,银牌会员,此产品非常好，字也很大，声音也很大，还很便宜适合老人用，我姥姥我特别喜欢，一直都买小米的东西，觉得小米棒棒哒，我和我们全家会一直支持购买的。,2018-01-26 15:01:24,1,0,5
