名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
你***有,PLUS会员,给老爸买的，价格优惠，性能不错值得信赖,2018-02-26 16:49:34,0,0,5
飞***艳,PLUS会员,刚刚收到，看起来不错。用后评价,2018-01-30 10:17:59,4,0,5
伊***3,PLUS会员,屏幕看上去很清晰，电池可以用几天，红米值得信赖，一直以来都用的小米系列,2018-02-19 11:56:00,0,0,5
j***焉,PLUS会员,买给老妈用的，屏幕大小正合适，字号可以调到巨无霸大，手写也很方便，很不错，很适合中老年人群使用。,2018-01-25 22:00:04,3,0,5
a***0,PLUS会员,一次买了两个，给爸妈用，尤其是可以使用微信方便联络。简易界面设计得挺好的，特别适合老年人用。强烈推荐！,2018-02-01 21:04:53,2,1,5
3***燕,金牌会员,还可以，新的，速度很快，老娘用，完全没问题，感觉不错,2018-03-08 21:38:41,0,0,5
云***6,PLUS会员,各方面性能还不错，操作简单，赠送的物品还行，挺适合老人使用，老人也喜1欢。,2018-03-03 16:19:07,0,0,5
旧***梦,银牌会员,里面有很多第三方软件，感觉不是系统自带的，都怀疑是不是原装了，小米不可能有这么多的。,2018-02-02 23:19:38,5,4,5
b***t,铜牌会员,这个价的手机还是挺不错的，性价比很高，确实是正品，送爸妈挺好的，好用的话准备再来买两台送人,2018-03-01 08:27:05,0,0,5
暗***H,PLUS会员,给母亲买的，不过好像联网功能稍微有一点不尽人意，其他还没问题,2018-02-25 22:04:59,1,0,5
郭***仔,PLUS会员,外观漂亮，大小也很合适，给小姨买的她很喜欢,2018-02-08 22:26:13,3,0,5
j***m,PLUS会员,手机还行，物流还真快，，上午订的，下午就送到了，速度,2018-02-25 17:50:04,1,0,5
哎***旻,PLUS会员,卖给婆婆用的，之前买了一款用了3年了。小米还是不错的，继续支持,2018-02-26 19:58:43,0,0,5
j***s,银牌会员,这款手机挺好用的，拿着挺顺手，屏幕效果不错，暂时没发现什么问题。,2018-02-06 20:20:18,1,1,5
m***u,银牌会员,过年过生日送什么礼物呢？就送小米手机，老爸看了特喜欢??,2018-02-10 11:29:59,0,0,5
竹***枫,金牌会员,给老人用的，非常好用，有两种模式。老人很喜欢。,2018-02-27 10:12:36,0,0,5
j***b,银牌会员,手机很好用，物流也是挺快的啊！,2018-01-21 18:22:24,1,0,5
晓***9,金牌会员,外观设计适合老年人使用，还不是年轻元素，续航也不错，丈人和丈母娘抢着用呢！准备给老爸也买台。,2018-02-24 21:39:57,0,0,5
h***7,PLUS会员,手机太坑了，16g的内存实际只有10g多点，差的太大了，而且好像是普遍情况，相当于手机内存打了个六五折……建议不要买，缩水的太厉害了,2018-02-20 09:56:52,0,2,5
段***学,金牌会员,开机有点慢，手机自带的东西太多了，并且客服很不尽责，没买之前你问他有老年桌面他说有。买了问他怎么弄，他就说的自己下载，下载了不能用，你再问他就推，我就不知道怎么有那么多的问题,2018-03-08 22:58:06,0,0,4
r***6,银牌会员,给老爸买的手机，物流速度很快，昨天晚上下单，今天上午就到了，赠送的物品还没到，后面再补评,2018-03-04 11:38:18,0,0,5
大***1,金牌会员,快过年了，给老妈买个手机，一直用小米的，性价比很高，不错，以后还会继续支持！！,2018-02-06 17:55:06,1,0,5
k***d,钻石会员,手机开箱取出来的那一刻有被惊艳到，外观真的很美，手感也超舒服，实物比图片好看太多！,2018-03-08 14:46:08,0,0,5
天天天蓝_Blue,PLUS会员,非常不错，老妈用着方便，很是喜欢！待机时间长，质量没的说！！！,2018-02-25 19:34:31,0,0,5
j***a,银牌会员,手机太差劲了，刚买的手机屏幕上边上就有花，像摔过的一样,2018-02-20 14:52:20,2,0,5
j***2,铜牌会员,手机不值钱就这样装了？ 一路上快递暴力谁知道里面有没有碰出啥毛病？,2018-01-16 01:13:38,1,0,5
j***z,钻石会员,宝贝收到了，谢谢店家的礼物，虽然对我来说没有什么用，还是感谢,2018-02-22 20:59:38,0,0,5
W***7,银牌会员,手机像素高，画面流畅，老人用绝对够的，微信聊天看视频都好。,2018-02-25 15:33:20,0,0,5
j***t,铜牌会员,内存介绍为16g实为9.7g，少了近一半,2018-02-24 12:57:34,1,0,5
陆***戈,银牌会员,机器非常好用，已经是第二台了，买给父母用的,2018-02-19 18:12:21,0,0,5
l***w,铜牌会员,昨天购买的，今天就拿到了。物流很棒，物流哥哥也很好。拆开包装，真的很高兴。外观很漂亮，用的还不错，花十元贴了个钢化膜，很nice! 就差放假带回家送给外婆了?,2018-03-09 19:55:32,0,0,5
x***刚,银牌会员,手机到手了，父亲用还行，运行流畅，红米不错,2018-02-11 15:40:11,0,0,5
陌***7,银牌会员,电池目前刚开始用还是挺好的，显示屏幕感觉也不错，买了两个给爸妈一人一个，他们都很满意，有大的字体和响亮的铃声，这对他们来说是最重要的，哈哈哈，满意,2018-02-25 22:01:35,0,0,5
j***z,银牌会员,这是第二次买了，小米系列还是信得过，用过几种牌子的手机，感觉小米的电池还是要好点，这次买的手机快递特快，前天晚上下的单，第二天九点多就送来了?,2018-03-05 22:29:42,0,0,5
天***国,铜牌会员,外观挺漂亮，自带内存就占了一半，反应还是不是那么好，老人用应该还行，希望能用久一些。,2018-02-23 08:39:04,0,0,5
j***笶,银牌会员,给老妈买的，说还行,2018-02-27 09:02:51,0,0,5
j***q,银牌会员,没模是比较麻烦的事情，花我几十大洋。,2017-11-03 19:04:35,1,1,5
邝***锋,金牌会员,帮朋友买的，但以多次购买了！！京东购物，信心保证！！,2018-02-09 10:52:59,0,0,5
j***0,PLUS会员,给老妈买的，看着还可以，静观后续效果,2017-03-31 10:39:21,1,0,5
z***1,PLUS会员,东西很不错，我买了很多事情，效果很好，这些也不错，老婆就是，时间，很快，又无聊了,2018-02-22 01:13:48,0,0,5
山***1,钻石会员,手机大小合适，外观漂亮，运行速度快，玩微信，斗地主，打麻将非常流畅，而且字体超大，老年人用非常合适,2018-02-24 06:24:07,0,0,5
y***9,PLUS会员,给老人买的，用的挺好，还上微信了，大图标，大操作界面，简单的对于老人就是最好的,2018-02-08 09:00:46,0,0,5
水***8,银牌会员,打电话对方听不到说话，只能按免提才能听见，由于过年了物流停了，只能等到年后上班了才申请售后,2018-02-24 17:33:05,0,0,5
j***L,铜牌会员,手机看这还可以，就是充电器太差了，不是原装的，线也很短有30公分长。感觉很不爽?,2018-02-07 17:28:44,0,0,5
呼***0,PLUS会员,给老人用的，能调成极简模式，字体大，声音大，老人用着方便一些,2018-02-14 21:57:03,0,0,5
小***蓝,铜牌会员,老人家用可以啦，手机美观大方实用，运行内存还行，就是手机没保护膜，！其他都行,2018-03-08 11:53:54,0,0,5
jd_130063uhm,银牌会员,商品和描述相符，实际性能有待考验。物流发货迅速，商品无损坏，配送人员服务良好！,2018-02-13 18:20:44,0,0,5
w***5,银牌会员,给妈妈买的 除了开机有点慢其他都还可以  送的手机壳不是很贴  快递小哥很好,2018-02-20 02:16:54,0,0,5
j***4,铜牌会员,看着不错，屏幕比预想的小了点，目前用着也不错，就是里面有好多东西，貌似是别人用过又退的，快递很给力，昨天很冷快递小哥冒着雨给送家里了！,2018-03-05 11:29:38,0,0,5
月***财,钻石会员,奶奶七十多了，看亲人们都用微信，也想玩，这个极简模式还不错，希望奶奶能学会,2018-02-07 09:21:10,0,0,5
x***n,金牌会员,很好，母亲很喜欢，智能老人机，感谢这款产品。老人的要求不高，足够用了,2018-03-01 08:42:56,0,0,5
佛***技,PLUS会员,手机质量比较轻，系统可以设为极简，适合老人使用,2018-03-05 17:30:54,0,0,5
