名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***4,PLUS会员,物流很快，昨天下午下单今天早上收到，手机还没开机，具体怎么样，后期再追评。,2017-11-03 11:23:41,0,1,5
一***d,PLUS会员,一直信任京东，送货快，当日下单当日收到货，品质有保证，送爸爸的礼物。拥有5英寸显示屏，搭载骁龙8核处理器435，电池容量为4100mAh，大电池-超长待机续航，4100mAh 大电量的基础上达到 18 天待机、2天使用的惊人时间。这个在699元的价格，已经很难得，小编这里不说其他的。对于送爸妈，或者作为备机这个配置是你值得拥有的。指纹识别-后置配备指纹识别功能，无需重复输入解锁密码，指尖轻触就能瞬间解锁。不仅能解锁手机，还能指纹自拍、购物支付、进入私密空间或查看私密文件等，更加安全便捷。,2017-07-04 13:39:37,10,3,5
琉璃月懿,PLUS会员,宝贝很不错哦?！  总体感觉还可以，感觉用大屏手机用久了之后不适应小屏手机。希望店家继续努力哦?！,2017-04-18 13:44:02,27,10,5
苍***e,铜牌会员,我可以说800多买到小米4x真是爆款啊不愧是网上说的国民手机。买来也是给父母的感觉尺寸正好分辨率也不错。京东物流挺快的。,2017-09-28 18:02:49,6,0,5
瑞***-,银牌会员,手机性价比超高，5寸刚刚好，不喜欢5，5,2018-01-24 19:01:21,1,0,5
你***a,银牌会员,很好  不过我妈不会用  就给摔碎了,2018-03-02 17:14:06,0,0,5
天上浩瀚星辰,银牌会员,当做备用机还不错啦,2017-10-03 19:51:22,2,0,5
j***c,银牌会员,手机挺好的快递也很给力,2017-10-15 13:23:34,0,1,5
z***8,PLUS会员,上海发货，也挺快的，手机反应可以，6白多块钱,2017-09-08 21:19:07,2,1,5
y***1,PLUS会员,还行吧，音质一般。像素一般，外壳一般，通话一般，也就千元机的水平,2017-09-02 18:28:38,1,9,5
j***云,铜牌会员,刚刚收到，等了三天，手机还行，给力支持。,2017-05-21 16:31:47,10,1,5
田***渣,铜牌会员,手机有点出乎我意料，感觉有点厚，挺重，之前用的小米4，也是5.0的，下次应该买5.5的了，4x果然是小了，现在在更新系统，还是挺喜欢小米的系统，到手有25G内存，系统耗了不少,2017-10-02 16:26:42,1,1,4
利***3,PLUS会员,买了送人的，试玩了两天感觉还可以，虽然配置不高，系统还蛮流畅的。后盖比较光滑，记得戴套哦，安全第一啊。,2017-10-15 17:47:27,0,0,5
j***1,铜牌会员,这是裸机来着，买个老妈用的，用了一下，挺好的，就是容易发热。,2017-11-03 22:02:51,0,0,4
j***f,银牌会员,非常好，是正品，非常喜欢，快递很快很满意的一次购物！,2017-04-01 09:19:36,5,4,5
机车竟速,金牌会员,非常漂亮！非常好！,2017-07-29 10:38:54,0,0,5
j***4,PLUS会员,性价比很高的手机，颜值也高，很赞，下次还会再来,2017-10-31 14:45:50,0,0,5
小***静,PLUS会员,正品 发货快 不错 还送礼包 谢谢卖家,2017-11-01 13:56:40,0,0,5
荒***海,金牌会员,"货真价实，包装精美,性价比很高。",2017-10-14 16:47:24,0,0,5
j***i,铜牌会员,刚收到手机，整体感觉还不错，全新机，没拆封，就是赠送的耳机，贴膜，胶套感觉质量好差，特别是胶套，边上好多毛刺，希望能改善，其他的用后在评论…,2017-06-26 17:01:32,0,0,5
j***5,铜牌会员,整体来说，很愉快的一次网购。给老爸买的。手机是正品。第三方本来不是很放心。但结果是挺满意了。五星好评吧。,2017-11-04 16:01:05,0,0,5
y***i,PLUS会员,待机时间长   手机运行流畅  手感好 轻巧好用，也不发热。推荐购买,2017-06-05 16:44:05,5,0,5
m***i,PLUS会员,第一次在网上买手机感觉还不错！没有评论上说的膜上很多泡泡！还有够实惠！。。。。。。,2017-08-27 15:24:51,0,0,5
含***3,PLUS会员,给爸爸购买的，手机颜值高。颜色太好看了！工作人员辛苦了！速度可以！,2017-10-28 19:21:04,0,0,5
j***c,PLUS会员,起来很流畅，待机时间也长 。总体来说非常不错的。推荐购买,2017-10-28 17:58:46,0,0,5
颜***a,PLUS会员,手机用起来不错啊，真心觉得很赞。也便宜。,2017-10-14 21:47:15,0,0,5
t***7,金牌会员,价格便宜，百分百新机，2+16给老妈用，没毛病，运行流畅，够用,2017-05-31 23:45:38,0,0,5
a***g,金牌会员,"小米手机的质量就不用表扬了，价格摆在这里，质量也很好，配置也够用。这次买了2台，不过是帮亲戚买的，让我选800左右的，刚刚好在体验店摸到了4X，感觉还行，就果断买了这个给亲戚，一台2g+16g，1台3g+32g。
建议小米:虽然可以双卡双待，但是如果可以像乐视一样双4G就完美了，我就肯定自己也换小米来用",2017-08-15 17:27:17,3,1,5
智***p,PLUS会员,一直在京东买东西，很不错，价钱比超市的实惠不少，家里大大小小都是在京东买的，很满意，特别是物流，超级好快，很喜欢,2017-12-02 11:04:15,0,0,5
天***涯,PLUS会员,买给家人用的，东西不错，在这买了好几部了。,2017-09-14 20:48:02,1,0,5
j***2,PLUS会员,手机是未开封正品行货，用着挺顺手的，卖家服务态度很好，非常有耐心。非常满意的一次购物！有需要还会光顾！,2017-11-05 23:04:13,0,0,5
j***c,银牌会员,第一次购买小米，这商家送赠的东西很多还好！物流也快，但是不知道用久手机会不会发热，卡不卡，手机明明说16G现在只有8G内存不够太少了！,2017-07-12 13:12:54,0,0,5
j***7,PLUS会员,安卓系统的手机几年没有用了感觉不习惯。手机反应还可以。,2017-09-06 17:25:39,0,2,5
东***9,金牌会员,这是第二次买红米4x了，用了非常好，给朋友买的，过一段还有个朋友要买，点赞。,2018-01-03 09:52:09,0,0,5
心***熙,PLUS会员,好评！手机不错，还没拆封，看着挺好的，发货速度稍微有些晚，京东物流强大！,2017-12-23 14:07:11,0,0,5
讠***尔,PLUS会员,不错哦，京东购物就是愉快发货快，东西也很好，质量绝对没话说的，好评了！！！,2017-10-29 17:50:57,0,0,5
j***d,PLUS会员,京东快递真心不错，速度快，京东电商大头，活动多多。活动买的很很划算的。,2017-11-23 22:25:29,0,0,5
j***q,银牌会员,收到手机马上用，太给力了！小米还是可以的，京东快递更给力，第二天直接到位！半天时间就收到货了。,2017-09-02 22:07:43,0,0,5
j***m,金牌会员,给孩子买的，外观很好，电池耐用孩子很喜欢网购很划算！,2018-03-09 08:44:56,0,0,5
w***2,PLUS会员,一直在京东买，很不错，物流超级快，价钱实惠，值得买,2017-12-26 20:11:04,0,0,5
紫***会,PLUS会员,这已经是第四个了，帮朋友家孩子买的都说好，,2017-11-22 17:43:07,1,0,5
贝***3,银牌会员,不错哦，系统挺稳定的，客服也很好，是一次很满意的购物，好好好好好好好好好好好好好！！！！,2017-05-30 15:54:22,0,0,5
坦***爸,PLUS会员,手机发货很快，质量也不错，京东物流值得信赖！,2017-10-28 19:42:06,0,0,5
微***一,PLUS会员,小米性价比最高的手机之一，作为百元机性能不错，京东服务好。,2017-06-29 12:14:28,0,0,5
j***t,PLUS会员,黑色大气，买来送老爸的画面很清晰,2017-10-26 16:52:50,1,0,5
j***6,PLUS会员,快递好，价格实惠，续航时间不错，充饱电正常使用能到60小时。作为苹果的备用机非常好非常好。,2017-09-24 21:45:39,1,1,5
jd137856zlk,金牌会员,手感很好，速度还行，性价比高。,2017-12-05 12:22:01,2,0,5
1***p,PLUS会员,可以啊！用个一段时间再说吧！,2017-11-08 00:53:14,0,0,5
l***7,银牌会员,手机用了十几天了，还不错。客服态度也非常的好。???,2017-08-22 16:27:07,0,0,5
j***4,钻石会员,颜值不错，本来在小米之家看上了，可以没有黑色，京东网上价格还便宜些。激活是11.11.可能商家提前一个月囤货的吧，不管怎样是正品就可以。,2018-01-12 11:13:26,0,1,5
a***g,金牌会员,"小米手机的质量就不用表扬了，价格摆在这里，质量也很好，配置也够用。这次买了2台，不过是帮亲戚买的，让我选800左右的，刚刚好在体验店摸到了4X，感觉还行，就果断买了这个给亲戚，一台2g+16g，1台3g+32g。
建议小米:虽然可以双卡双待，但是如果可以像乐视一样双4G就完美了，我就肯定自己也换小米来用。",2017-08-15 17:26:56,5,0,5
j***3,银牌会员,一直都信赖京东，物流快，质量有保障，信誉度高！,2017-08-19 12:07:32,0,0,5
j***k,铜牌会员,东西不错蛮好用实在随便用用就算不要了也不会亏很多,2017-06-08 17:18:36,0,0,5
刘***Q,银牌会员,东西不错很喜欢，手感不错，拍照很清晰，待机棒棒的……好评,2017-05-31 00:06:08,0,0,5
j***9,银牌会员,手机很好，外观很漂亮，指纹很快，完美的一次购物,2017-06-05 11:55:44,0,0,5
