名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
风***帆,PLUS会员,一直是小米的忠实粉丝。一家人都在用它。这个算起来是第七部了。一直在这家店买。 这不是买给老人用的。老人家很满意，谢谢。验证了了是正品，真货！！！！,2018-03-06 12:26:07,0,2,5
j***x,铜牌会员,买给老人用的，手感也好，颜色有点像灰蓝色，包装也严实，唯一不好就是送的钢化膜大了一点。但是总体还是不错的！,2018-02-27 19:27:57,0,2,5
7***4,钻石会员,手机收到了，给妈妈买的，系统很流畅，性价比很高,2018-02-08 09:12:32,0,2,5
帅***哥,银牌会员,宝贝收到了，给老妈买的。只是钢化膜到货已经碎了。,2018-01-02 14:44:32,1,5,5
y***h,PLUS会员[试用],假货！建议不要买！手机包装跟官方完全不一样，手机手感也差，明显不是正品，而且还带捆绑软件！客服服务态度差的不行！！500多块钱就当给你们的压岁钱了！！,2018-01-28 18:22:46,2,2,5
幸***4,金牌会员,手机手感不错，价格也实惠。,2018-01-27 17:33:39,0,1,5
a***y,PLUS会员,不错，小米性价比不错，升级MIUI9还是蛮快的。做老人机够用啦。,2017-12-13 14:40:15,1,2,5
l***8,PLUS会员,手机还可以，送的膜太垃圾了，大小都不一样，怎么贴？,2018-02-03 15:20:51,0,1,5
j***0,金牌会员,此次小米还算可以，适合人群广泛。用起来方便快捷轻盈。望小米继续加油。研发出更出色的米,2017-12-05 20:29:39,1,2,5
酷***e,银牌会员,不错手机很快几天到了，给爸爸买的，还不错，快递小哥也还可以呦,2018-02-09 09:57:33,0,1,5
j***u,铜牌会员,给家里老人买的，试过才来评价东西不错家里人很喜欢。,2018-01-19 09:37:04,0,1,5
春***团,铜牌会员,包装安全，手机超值，赠品也挺好实用,2018-02-06 16:41:34,0,1,5
合***5,银牌会员,手机不错就是5.5的屏拿惯了感觉有点小了,2017-11-17 14:42:10,1,1,5
j***村,铜牌会员,挺好，用了几天没什么问题！,2018-01-10 11:39:52,0,1,5
j***f,银牌会员,产品刚收到手机包装好物流服务好,2017-12-15 15:37:48,1,2,5
弧***方,银牌会员,这手机不错，买手机上京东就对了，买了两部了，小米出品，就是精品，不错。,2017-12-11 18:50:08,0,1,5
筱***哭,钻石会员,"几年前逛京东还不是那么的信任京东，现在信赖
首选京东，默默哒一直看着它一年一年发展的越
来越好，心里也在为京东发展壮大而加油打气。
为什么我喜欢京东购物，因为可以当天买自己喜
欢的商品，明天就可以到达客户的家中，为什么
我所有的评价都相同，因为在京东买的东西太多
太多，商品积累的太多没有评价，最佩服的，还是
京东物流，有时晚上11点前动动手指，购买的商
品，第二天上午就送到单位或者家里，还可以刷
卡付款。自营的商品挺有保证，售后，有问题打专
属客服热线。客服很赞，一句话的事儿，直接上门
取件退，上门更换新商品，家电有价保，一个月退
货，半年换货，实体店儿弱爆了，根本没有竞争力
与京东相提并论, 比老家的商铺街上的价格省了
一大截票子哈，宝宝平时基本不逛街，在家卢言
问
东商城就能买到合意的超值商品，有些明显
市还划算，而且还一模一样的吃喝生活用品哟、
小宝贝们快来选购吧! 既省钱，又节省时间、个过
支持信誉商家京东",2017-12-10 01:20:07,0,2,5
鱼***z,金牌会员,配送速度挺快的，第二天就到了，买来送给麻麻的，怕不方便，所以也安装了极简桌面。手机颜色很少女，送的钢化膜不是全屏的，但也算很契合，还送了耳机，商家蛮贴心的！总之，很满意?,2017-12-21 13:21:52,0,2,5
恒***4,PLUS会员,买来做备用机，比较卡不过也没有太多要求，希望能用时间长点，好歹500多买的，现在应用对手机消耗比较大，只适合做备用机或者老人机，做主用机不能要求太高,2018-02-04 16:20:28,0,1,4
爱***希,PLUS会员,"我是我们村第一个买的人，我们这里大部分人都
用小灵通，手机都绝不超过100块。当听说我只
买这个个就花了2300多之后，整个村子都震惊
了，村长跑到我家对我爸说，恁J L是不是疯了。
媳妇也跟我闹离婚，这日子还过不过了。面对这
重重压力，但我依然坚持要买，我相信我这半年
的工资不会白花。终于快递小哥穿着那红色的制
服出现了，小哥就像下达圣旨一样神圣。当快递
小哥依依不舍的把快递交到了我手里时。我对他
说，只要你好好努力，不出10年你绝对也可以
拥有。在快递小哥泛着泪花眼神的注视下，我颤
抖着打开包裹，那一刹那，我感觉我的眼睛都要
闪瞎了! 啊! 这颜色、纹理、这手感! 偶买噶!
此物只应天上有。只恨我读书少，无法用华丽的
词藻来形容它。我举着他，骄傲的站在村口，我
仿佛我就是我们镇的骄傲! 顿时全村沸腾了，大
姑娘小媳妇都拼了命的像我涌来，更有人喊问
不给他们摸他们就跳井。就连村花都红着脸妥跟
我回家",2017-11-01 15:53:12,7,1,5
秀气哈灵,PLUS会员,给婆婆买的手机，挺不错的，老人用用蛮好的，550多元，值了。,2018-01-17 21:40:41,0,1,5
我***丶,PLUS会员,店铺发货速度给力，宝贝也很棒，是原封正品，国货精品。,2017-11-05 09:30:43,0,1,5
小高Q,银牌会员,又方便又好用，看起来又好看，买了值得还送很多东西,2017-12-15 18:18:21,0,1,5
咚***呛,金牌会员,比较遗憾是移动定制机，但不管怎样还是给个好评吧,2018-01-07 00:02:20,0,1,5
雀***可,银牌会员,给老人买的，用了几天才来评价。还不错，外观漂亮运行也快，只是16g存储打开只有10g了，送的钢化膜也碎了，总体好评！,2018-01-27 09:53:11,0,1,5
E***l,PLUS会员,帮亲戚买的，红米5A这款手机一共买了三款，都是帮长辈买的，大小合适！,2018-03-07 21:01:31,0,1,5
小***号,PLUS会员,红米5a价格便宜性能不错，当备用机首选哈，给家里老人也买了台，这台自己留着当备用机,2017-12-21 12:15:50,0,1,5
1***p,银牌会员,手机挺好的，没有外观问题，运行也流畅，使用过程也没出现啥问题，一直以来小米都是性价比比较高的一款手机，给爸爸买的，相信他会很喜欢,2018-02-13 00:09:54,1,1,5
ww178*****568,银牌会员,手机很好，是新机。给老妈买的，老妈感觉很好用，谢谢商家，祝你生意越来越好。,2018-02-07 18:51:23,0,1,5
s***0,银牌会员,买给我爸用的，一用上就着魔了看快手，饭都不吃了，手机不错，很流畅，比以前他用的苹果4s快！大小也合适。可以,2018-02-11 19:12:50,2,1,5
l***9,PLUS会员,京东物流快，是正品，一直都在京东买手机，小米就是好，非常满意,2017-12-06 22:58:11,0,1,5
亨古,银牌会员,货已收到，和想像中的一样，老板服务好，物流快，手机也挺好的,2018-01-10 22:00:35,0,1,5
s***0,PLUS会员,原封，正品，很给力的，手机流畅，运行不卡顿，用起来舒服，给家里老人用不错，做备用机也很好，推荐给大家这家店铺，给力的！,2017-11-26 19:15:30,0,3,5
j***h,铜牌会员,给妈妈买的，手机手感不错，颜色很喜欢，还没开始用，应该没问题，支持国产,2017-11-04 18:18:54,1,1,5
j***i,PLUS会员,千元机器不错的选择，性价比高的老人机，质量可以了，满意。,2017-11-01 11:04:38,0,2,5
L***j,铜牌会员,很好给奶奶买的 速度挺快的 不错 值得购买,2018-02-03 11:40:33,0,1,5
j***z,PLUS会员,小米手机就是快好用的手机 非常好 不错?性能稳定,2017-11-05 10:01:30,0,0,5
石***1,PLUS会员,很满意的手机，送朋友的，很喜欢以后需要还来你家,2017-11-04 15:30:31,0,1,5
三***1,PLUS会员[试用],很好的小米，一直买小米手机，下次还买,2018-01-24 17:58:10,0,1,5
山***3,PLUS会员,非常好！给我发的全网通版本，手机厂家原封！送钢化膜，保护套，指环！包装很给力！价格也很优惠！我是买给老人用的，手机配置也够用了！强烈推荐有需要的朋友，在这里购买！,2018-02-27 00:14:16,0,1,5
福***7,钻石会员,手机收到了，非常好，给爸爸用，老人需要的功能少，内存运行内存都够用,2018-01-20 14:12:18,0,1,5
s***a,金牌会员,正品比其他便宜20块钱，还送可多东西，不过钢化膜太小了，不适应！其它都不错！,2017-12-06 21:48:29,1,2,5
j***x,铜牌会员,很不错，手机开始用很有手感，不卡顿，就是送的耳机质量不太好，不过整体开说还是满意的,2017-11-30 13:33:45,0,2,5
笨***7,铜牌会员,"宝贝挺好，就是耳机不太好，毕竟是送的

这么好的卖家，如果将来我再也遇不到了，那我该怎么办,直到我毫不犹豫地把卖家的店收藏了，我内心的那种激动才逐渐平静下来，可是我立刻想到，这么好的卖家，倘若别人看不到，那么不是浪费心血吗,经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。",2018-01-12 19:00:40,0,1,5
8***g,铜牌会员,第一次在上面购买手机  真的很不错 妈妈很喜欢 这个颜色也很好 等等好了就在来一个 内存也够用  很是想不到 价格也很好 适合太适合了,2017-12-16 16:30:47,0,1,5
j***l,铜牌会员,买给妈用的   妈妈说挺好用  反应挺快   只上微信  看下电视 用不了多少内存   所以这个内存够用,2018-02-25 17:30:42,0,1,5
j***超,金牌会员,手机挺不错的～给家里老人用的，蛮合适～～～,2018-01-29 20:19:39,0,2,5
j***j,银牌会员,手机拿到手用了一下不错，老人用行，总之感觉良好，物流也给力，客服非常好，有问必答，非常暖心。等用几天再追加好评,2017-12-25 20:40:08,0,2,5
j***1,PLUS会员,小米手机，值得信耐。很不错的手机，物美价廉，给老妈买的，很喜欢。,2018-03-03 14:28:22,0,1,5
j***目,银牌会员,刚收到，试用下系统算流畅，给老人家买的，希望用的惯。包装很讨喜，这个要加分,2018-02-28 11:26:47,1,1,5
沃***尔,PLUS会员,给老人买的备用机，便宜，小米考虑的也很周到，订的人群就是老人，所以很方便，老人用起来也很实用,2017-11-13 00:41:20,0,1,5
安***哥,PLUS会员,首先是价格十分便宜。性能一点也不弱。是给我们家二叔买的手机，拿到手之后非常满意。直接就装了很多app。手机丝毫不卡顿。,2018-02-25 07:50:48,0,1,5
火***S,PLUS会员,手机收到了，感觉还是挺不错的，发到京东快递，速度很快，手机刚打开下载了几个软件，而感觉运行还是挺流畅的。很喜欢佳沪数码这个店铺！,2017-10-31 10:49:55,1,1,5
l***1,铜牌会员,手机挺好的，给老妈买的，很喜欢。款式，颜色都是喜欢的样子。支持。,2018-02-07 18:33:36,0,0,5
j***p,铜牌会员,手机很漂亮，功能也比较齐全，还送了好多小东西，挺不错的！,2018-02-28 11:04:04,0,1,5
y***h,钻石会员,第二个红米5A了，上一个是给老妈用的，这个给公公。我觉得这给老人用用挺好的! 就是感觉16G的容量小了些，速度OK的!,2018-02-12 23:19:20,0,1,5
静***坐,银牌会员,宝贝很不错，买给老人用的  声音不算小  很满意的一款宝贝,2018-02-05 09:58:08,0,1,5
h***1,铜牌会员,手机收到了，包装袋装的，手机完好无损，电话试用了下，很好用，不错的卖家，给好评！,2017-12-08 12:32:21,0,1,5
j***a,铜牌会员,给婆婆买的老年机，看起来不错。她以前也是用的小米。,2018-02-12 19:32:03,0,1,5
家***梵,PLUS会员,手机已经收到，送货上门等了我好久，感谢，手机不错?,2017-10-29 13:18:32,0,1,5
疯***1,银牌会员,东西收到了。包装完好。用了一下。感觉不错。希望小米继续前进,2017-12-24 17:14:06,0,1,5
j***q,PLUS会员,手机太好了，是正品。送货速度超快的！爱不释手,2017-11-03 19:15:53,0,1,5
j***w,PLUS会员,手机不错质量也挺好的反应快手感好是正品行货,2017-11-01 22:06:54,0,1,5
j***5,PLUS会员,我是我们村第一个买的人，我们这里大部分人都用小灵通，手机都绝不超过100块。当听说我只买这个个就花了2300多之后，整个村子都震惊了，村长跑到我家对我爸说，恁 J L是不是疯了。媳妇也跟我闹离婚，这日子还过不过了。面对这重重压力，但我依然坚持要买，我相信我这半年的工资不会白花。终于快递小哥穿着那红色的制服出现了，小哥就像下达圣旨一样,2017-11-07 11:17:55,1,1,5
哇***贝,银牌会员,非常好，妈妈很喜欢，这款手机性价比很高，大家不要犹豫了,2017-12-22 15:16:51,0,1,5
j***猴,PLUS会员,好用便宜，老妈非常喜欢，以后还来买！,2017-11-01 13:49:42,0,1,5
D***e,PLUS会员,首先是原装正品，手机是全新的，看起来很漂亮，手感也不错，手机的性能挺强大的，小米的MIUI系统用起来也很流畅，还能更新到最新版本的系统！手机的拍照感觉挺不错的噢，其他的公交卡红外线等功能也很是实用，性价比很高的一台手机，好评吧。,2017-12-04 23:53:18,0,1,5
大***妍,PLUS会员,收到很快，京东购买很放心，一拿到就试了下，运行很顺畅，面质感也很不错，再优惠点就更好啦,2017-12-25 14:54:19,0,1,5
c***s,PLUS会员,除了物流都还好，手感，质量。材质，这个价格，也就这样了吧,2018-02-10 15:45:15,0,2,5
1***p,银牌会员,款式美观，一教她就会了，电池很耐用。,2017-12-21 19:55:38,0,1,5
j***b,铜牌会员,手机不错，是正品，漂亮！给妈妈用实用！,2017-12-03 17:05:33,0,1,5
T***n,PLUS会员,东东收到了，客服很耐心的解答了我的咨询。同时机子本身很给力，小米的崛起让我们看到了国产的骄傲，希望越做越好！我们也更多的支持！有需要会再来光顾！,2017-10-30 04:13:55,0,1,5
d***1,PLUS会员,手机非常漂亮好用，小米手机价廉物美，京东发货快速,2018-02-12 16:40:00,0,1,5
刚***雄,金牌会员,买给爸妈用的，这价位挺不错的，支持小米,2018-01-11 22:00:15,2,2,5
j***0,PLUS会员,这款手机是买给老人用的，买了两个颜色。价格上绝对是优惠的，关键是用了一段时间还不错，反应速度也很好，对于没有太多需求的老人而言，这款手机明显已经够够的了。京东的电子产品还是信得过的。,2017-11-22 19:35:28,0,1,5
j***p,铜牌会员,给老妈买的，老妈很喜欢，只是送的钢化膜不太合适，不过先用着吧，什么时候再买个钢化膜就好啦。总之，满意～～,2018-03-05 14:35:55,0,1,5
j***z,钻石会员,颜色很好看，是正品，打电话音质很好给同事买的，还送了耳机，壳和钢化膜。,2017-12-15 18:48:36,0,1,5
g***8,金牌会员,收到货用了段时间，不错，挺好的！,2018-01-03 17:20:11,1,1,5
青***Q,PLUS会员,正品，很给力，还送了很多赠品，不错！,2017-12-29 12:55:42,0,1,5
真***有,银牌会员,好用，当备用机合适，玩一般游泳还可以。,2018-01-11 14:13:06,0,1,5
j***o,银牌会员,手机收到了，感觉还不错，希望可以用久点，还送了东西。,2017-12-18 11:03:12,0,1,5
宛***桥,铜牌会员,宝贝很喜欢，给妈妈买的，一直在用小米，小米手机物美价廉，性价比确实很高，值得大家入手。,2018-02-06 20:15:56,0,1,5
洛***姬,铜牌会员,宝贝收到了，给妈妈买的，还不错，上次也买了一部小米，这次继续支持。价廉物美，值得购买。,2018-02-03 16:36:20,0,0,5
j***7,铜牌会员,很不错，特别棒,2018-03-09 17:10:49,0,0,5
j***f,铜牌会员,正品，挺好用的,2018-03-04 19:47:46,0,1,5
j***1,铜牌会员,给我们全部人都发移动定制机。成本低。。发了之后还说随机发。。。重点的是说不影响使用！谁在这家店买手机的全部都是脑子进水的！狗生的老板。专门拿定制机来卖！这个年你肯定过不得安心！全部人注意了。不要在这里买。,2018-02-04 12:31:49,0,1,5
蛤***8,PLUS会员,完全不能使用，由于是寄回老家给老人家用，老人不会剪卡，等我回家去才剪好，插卡发现屏幕根本点不动……,2017-12-25 09:48:20,1,6,1
jd_182417heb,铜牌会员,货已收到先用两天看看反应怎么样好的话在追加好评 送的钢化膜却成了这个样子我也是醉了,2018-02-06 18:19:56,0,1,5
j***g,铜牌会员,手机老妈挺喜欢的，反应速度也比较快，第一次在京东上买手机，可以！还会回购的哦！,2018-02-12 15:29:51,0,1,5
j***1,银牌会员,差   差    差    买个手机虽然便宜点    你们也不至于随便给我发一个吧     好歹也让我能配套使用啊     结果膜小的可怜    还没和客服说说她们尽然不理我了    我看完全没有售后这一说   钱一到手就不理我了   买了5A的手机给我4X的膜,2018-01-02 13:16:52,0,1,5
j***q,铜牌会员,给妈妈买的，很满意，快递小哥跑很远给送村里，服务特周到，手机速度很快，满意,2018-02-06 12:36:03,0,1,5
旧***7,银牌会员,物流很快，快递小哥服务很好，手机手感不错，还没用，唯一缺陷就是少一个耳机。,2018-02-04 18:05:29,0,1,5
j***q,银牌会员,手机不错，妈妈挺喜欢，钢化膜碎的，但卖家处理很爽快，好评，希望手机能用久点,2018-02-04 16:35:41,0,1,5
小***进,银牌会员,非常好，买给妈妈用的！字也特别大,2017-11-30 13:31:19,0,1,5
j***o,银牌会员,手机目前看很满意，备用机来说很好了，颜值也不错，操作起来也挺好,2018-02-12 15:25:38,0,1,5
j***b,铜牌会员,宝贝已收到，物流人员亲自送进家的，很贴心的，微笑服务，五个赞,2018-02-25 08:12:05,0,1,5
