名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
飞***峰,金牌会员,第一次用小米的  今天刚拿回来的 用电池的余电玩儿了一会儿 还打了三局王者电量都没有用完  用用在看吧不知道怎么样 但是颜色我非常喜欢 物流很快 百忙之中还给我送到指定地点了 非常感谢,2018-02-09 19:51:45,0,0,5
酸***魚,银牌会员,收到，没使用，赠送的贴膜用上了，贴不好，等买的手机壳到了，再正式换机用啦！,2018-02-03 12:48:41,0,0,5
j***i,金牌会员,感觉还可以吧，比官网便宜，比京东便宜,2018-02-25 19:09:34,0,0,5
z***5,银牌会员,还行吧，要是能送钢化膜和保护套就更完美了。。,2018-02-26 14:13:46,0,0,5
j***剑,PLUS会员,手机收到了，试用了两天很流畅，红色好看，拍人像照颜色太偏黄了一些，喜欢照相的亲不建议购买，性能中等,2018-02-23 23:08:32,0,0,5
D***6,钻石会员,东西外观非常漂亮，比我的红米漂亮多了～就是处理器有点low，和我的红米一样，总体来说不错，老婆喜欢,2018-02-20 18:49:57,0,0,5
a***a,PLUS会员,颜色很漂亮，双摄模式下，效果满意，京东物流春节期间也照常，太牛了,2018-02-15 20:38:56,0,0,5
5***7,PLUS会员,就喜欢京东物流，神速直达，手机包装完好，颜色鲜艳漂亮，很喜欢，正品，比官网便宜,2018-02-13 13:44:12,0,0,5
s***9,PLUS会员,小米手机值得够买，物超所值，质量好。周围的人好多在用，感谢京东,2018-02-26 16:29:13,0,0,5
天***5,铜牌会员,递送员很好，手机漂亮。,2018-02-25 16:14:06,0,0,5
G***C,银牌会员,手机很流畅也蛮漂亮，电池不怎么耐用，我的使用习惯一天充一两次。充电器是10W的不是快充，不过还好不算太慢。拍照一般般，一分钱一分货。,2018-02-22 23:49:46,0,0,5
M***J,银牌会员,京东买东西这次是最满意的一次，快递和手机都打满分,2018-02-04 15:00:25,0,0,5
j***i,钻石会员,很实用经济实惠，性价比很高，物流也快，,2018-02-09 17:19:26,0,0,5
Q***L,金牌会员,什么东西吗，买2天就掉价,2018-01-31 12:34:51,1,1,5
j***s,金牌会员,小米手机好用·买一个送老婆,2018-01-31 10:24:34,0,0,5
j***9,金牌会员,给宝贝女儿买的，从选机到拿到手，喜欢的不得了呢！,2018-02-14 05:51:39,0,0,5
