名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***e,铜牌会员,收到货了，手机是正品的新机，送的赠品也很不错贴心，客服耐心解答疑问很专业，必须大赞?,2018-03-03 15:48:06,0,1,5
j***x,金牌会员,速度很快!赠品齐全!值得购买!,2018-03-04 20:02:21,0,1,5
j***i,银牌会员,我来说说这产品的性能吧，在千元机当中性价比还是不错的系统流畅不卡顿，千元机拍照性能变焦双摄算是榜首了，卖家服务有问必答，刚买来不会开机快递小哥还给引导开了机，不像其他快递货送到催不得了，我是货到付款的快递小哥慢慢等我拆开帮我开机，说说这机子的不足之处吧，不足之处就是手机电池小了点屏幕色彩没有max2那么鲜艳，不满意的地方就是我才买了几天商家降价将近一百元,2017-11-02 12:25:33,9,7,5
尘***9,PLUS会员,挺喜欢的，又轻薄，有好看，有遥控功能和护眼功能，比较喜欢，很给力，这是用小米以来第二个手机，用着比较顺手，呵呵，还想再买一部呢，正在观望，准备送人的……,2017-08-29 07:31:52,13,1,5
jd_185220int,银牌会员,赠品丰富 订单规范 包装精细 希望手机也一样令我惊艳 爸爸11-12的生日 赶在11-11买 价位很合适 也按时送到了 希望老爸能够喜欢,2017-11-11 13:21:19,1,1,5
j***e,银牌会员,顺丰快递的物流很快，晚上十点下单，第二天早上十点就到了，应该是原封未动，很新，手感很好。。耳机也有，还送保护膜和指环扣。功能方面用了再追评,2017-12-19 12:32:15,0,0,5
你好我是执着,金牌会员,还好，是正品，包装也很用心，送的东西也挺多，就是给我送的手机膜我不会贴，有花了15元重新贴了一张?，,2017-09-15 11:45:03,9,5,5
小豆L-,银牌会员,宝贝收到了 很好 很灵敏 我们家都是米粉 用的都是小米手机 感觉小米手机挺好的,2017-11-10 17:44:25,1,0,5
j***3,银牌会员,今天收到了小米5X，不錯，顏值挺高！試了試，很好！買東西還是京東好！,2017-11-09 16:35:46,0,0,5
jd_135049srv,铜牌会员,给妈妈买的 用了快一个月了 非常好用,2017-12-18 11:30:57,1,0,5
天***山,铜牌会员,小米5X红色款漂亮时尚，高端大气，性价比高。使用时其速度也很快，是非常值得拥有的一部手机。,2017-12-21 01:08:16,0,0,5
j***1,PLUS会员,手机太漂亮了，相同配置比OV便宜一半，相信小米的品质，支持国产！,2018-01-22 09:26:29,1,0,5
剁***手,金牌会员,手机不错挺好用的，包装盒完好，电量充足比官方便宜一点不错?,2017-12-12 09:20:47,1,1,5
j***r,银牌会员,得好用，我用安兔兔测试过了，是真的，大家放心买吧，用起来手感不错，就是拍照不是很好，后摄像头拍出来不错的，前摄像头就不是很好看了，整体来说很好了，性能也很可以了，唯一的只要摄像头，其实的都很好。,2017-10-16 09:01:46,4,0,5
j***f,银牌会员,第三个小米手机了，除了像素没有想的那么好，其它都挺好的！,2018-01-04 14:10:36,1,0,5
T***9,金牌会员,挺不错的，老婆很喜欢。,2017-11-20 11:29:33,1,0,5
d***_,铜牌会员,这东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，，服务也很到位，给老板点个赞,2017-08-10 23:05:56,6,4,5
j***e,银牌会员,外观不错，运行流畅，拍照给力。缺点：广告太多,2018-03-06 23:18:39,0,1,5
