名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
老***6,PLUS会员,全新正品，大屏，反应速度快，卖家还送了膜和手机套，不错,2018-03-03 17:17:05,0,0,5
呵***3,钻石会员,支持小米，喜欢小米的性价比哈～,2017-12-15 13:29:08,1,0,5
y***5,PLUS会员,宝贝已收到，带发票的，信赖京东！,2017-12-17 11:30:25,5,0,5
j***s,钻石会员,手机收到了，还不错！外观很适合女生用！新年很喜庆  喜欢喜欢！！！,2018-02-05 14:05:17,2,0,5
韵***7,铜牌会员,小米这部手机颜值真的还算过关，虽然说拍照屏幕和续航对比三星都很渣，可是千元机又能要求它什么呢，备用机首选，放个全家福,2017-12-16 23:09:56,2,0,5
s***g,金牌会员,手机包装很好，手机全新的，功能很强大，丈母娘很喜欢，红色特适合过年气氛,2018-02-02 21:27:45,1,0,5
j***z,金牌会员,手机很不错，老人用绰绰有余了，颜色也很新潮，不错,2018-01-23 16:05:09,1,0,5
d***0,银牌会员,是正品，就是发货太慢了,2018-03-01 17:50:54,1,0,5
j***s,银牌会员,电池挺耐用的，颜色很漂亮，手机拿在手上手感很好，手机内存运转不错，特地下载了游戏玩，很好不会卡，主要感谢客服耐心的讲解??,2018-01-28 15:44:26,1,0,5
j***z,PLUS会员,手机好用，赠品实用，本次物流不满意，,2018-03-01 08:13:59,0,0,5
j***q,铜牌会员,手机非常好，商家给力，以后买手机还来他家。,2017-12-15 05:30:33,4,0,5
z***4,金牌会员,一直喜欢小米手机，质量靠谱，手机也漂亮！,2018-01-14 13:57:32,1,0,5
自***剑,PLUS会员,给妈妈买的，到手后她挺喜欢的，比红米拍照要好不少，算上折扣才1200左右，虽然双十一当天京东自营也是这个价格，不过也不在乎了，早买早享受，虽然是移动版，仍然支持全网通，也可以通过刷机刷成正常版本，很实惠！,2017-11-12 15:49:08,1,0,5
k***情,PLUS会员,手机相当流畅，指纹解锁速度比我的6s还快很多。摄像头拍照也很清晰。女朋友很喜欢?,2017-12-15 21:34:28,3,0,5
c***8,PLUS会员,一直用小米，还可以，不过不是京东自营，买之前有点顾虑，后来发现这家和自营一样靠谱,2018-02-12 16:57:21,0,0,5
-***-,银牌会员,不错，颜值爆表！,2017-12-12 10:29:49,0,0,5
悟***会,PLUS会员,红色很惊艳，速度超快！高通CPU4G运存64G足够使用，价格也实惠！,2018-03-02 10:35:00,0,0,5
w***D,银牌会员,手机收到了，一拿到手就用上了，这款式这颜色很潮，触摸屏用起来反应也很快，值得购买,2018-01-14 20:07:05,0,0,5
m***s,金牌会员,手机很好，红色惊艳，反应快，像素高，手好棒，极力推荐，666啊666,2018-03-02 22:13:18,0,0,5
a***i,银牌会员,这次，购物非常满意，下次还会来的，物流也快，棒棒的非常愉快的一次购物,2018-01-27 13:29:13,0,0,5
W***u,钻石会员,这个价格的手机果然是不能期望太多，只能说是可以用。手机总的来说一般般，适合老人处用，年轻孩子也是用起来很一般般了，拍照不行，双摄像头不知道有什么用，还是苹果的靠谱，毕竟价格也在那儿了。,2018-01-13 14:25:28,0,0,5
j***x,铜牌会员,手机外形和性能都很好，就是没有耳机,2018-03-09 17:10:19,0,0,5
j***r,银牌会员,1000多块的手机 也就只能这样了,2018-03-01 07:12:09,0,0,5
岭龄铃凌,PLUS会员[试用],第一次买小米，心里还有些小紧张，手机的到的时候，真的非常意外，不错，太漂亮了，颜值爆表，虽然是56G的，但也没什么影响，毕竟也是大内存麻，客服非常好哦，谢谢你的服务?下次有机会一定再来,2018-02-28 15:30:07,1,0,5
j***h,银牌会员,东西很棒 手机包装很结实 安全送到 一切顺利 呵呵,2017-12-12 21:50:07,1,0,5
乜***让,银牌会员,手机是正品小米手机,2018-02-07 21:55:19,0,1,5
叶***巛,铜牌会员,老妈很喜欢呢，挺好的手机，颜色和oppo的差不多，性能也差不多，还是小米性价比比较高,2018-01-13 15:55:47,1,0,5
宋***臣,PLUS会员,好非常捧质量非常可靠绝对正品下次还来购买的,2018-01-04 12:53:02,1,0,5
7***y,钻石会员,十分好用 待机时间长 拍照效果好,2017-10-30 20:29:34,0,1,5
学***动,银牌会员,买了红色板的，准备送人，手机运行很快，比实体店要便宜不少,2018-02-11 16:46:46,0,0,5
小***傻,PLUS会员,非常不错，红色限量版。很好看。,2018-02-09 18:28:54,0,0,5
j***p,银牌会员,很棒，红色的很好看用起来也流畅，千元机里面不错的一款，。。。,2017-12-22 22:39:31,1,0,5
M***2,PLUS会员,客服提前通知我可以预约就先订了，昨天便宜的买不到就果断来这付钱了，到货很快，手机手感很舒服，5.5的屏看电视看小说都效果不错，看小说稍微偏大了一点点，一只手拿起来有点小累，不过我优先是看直播的，所以只能委屈下了，不然屏幕小了看不清,2017-08-02 15:24:28,2,1,5
C***6,银牌会员,手机收到啦，妈妈很喜欢。不管是手机款式还是内存，质感，都挺满意的，今天第一天用，等后续在追加评论吧，送了贴膜，可惜不是直接贴上去得。而是送的，只能去店里找人帮忙贴了,2018-01-17 19:45:42,0,0,5
0***骨,铜牌会员,千元来说是不错了的，快递也是一级棒，喜欢~,2018-01-03 12:25:14,0,0,5
j***1,铜牌会员,没有发票啊？其它的都还是不错,2018-01-08 18:02:17,1,0,5
s***5,银牌会员,很好，满意。用了就好了，没毛病，价格诚恳，喜欢,2017-12-14 18:59:40,1,0,5
榕***4,银牌会员,很好，很划算，可以的，不会亏,2018-01-20 16:59:42,0,0,5
jd_137936pqh,银牌会员,这里重点说一下我是在晚上8.20拿到手机的。京东快递员还一个劲的说对不起送晚了。快递员辛苦啊。就这态度以后就京东了。,2018-01-26 20:53:37,2,0,5
脚***空,金牌会员,只是给媳妇买的，看样子很不错哦。收到就打上荣耀了。早知就不买这么大的了。哈哈哈(?ω?)hiahiahia,2018-02-01 17:11:11,1,0,5
j***e,银牌会员,手机很差，经常接不起电话，发短信打字也不要好用，最重要的事有时候充电还特别烫不过不是经常，第一次给妈妈买小米手机，真是失望,2018-02-01 20:23:36,0,0,5
言***之,铜牌会员,对小米品牌青睐已久，电脑，扫地机器人都是小米的，质量和服务，杠杠滴。京东的物流让人叹为观止，深赞不已。,2018-02-24 21:47:41,0,0,5
z***0,PLUS会员,手机是给我妹妹买的没看到实物，她说挺好暂时没有发现不好，客服态度挺好的有问必答,2018-02-20 16:38:13,0,0,5
醉***寞,PLUS会员,特意用了这么久才能评论，买给爸妈用的，整体性价比很高！物流也很快！必须好评！,2018-02-23 11:28:07,0,0,5
小***5,银牌会员,小米5X已收到，外观很漂亮，MIUI9速度很快，已经多次购买小米的手机及其他产品了，性价比超好,2018-02-06 13:08:09,0,0,5
j***1,铜牌会员,这个价钱比实体店便宜200元  感觉还是很合适的  值得推荐 手机用着还可以 毕竟价钱在这,2018-01-29 06:08:41,0,0,5
jd136611adr,金牌会员,手机式样很美观大方，手感非常舒服！我很喜欢这款红色的手机。赞！,2018-02-10 14:18:33,2,0,5
战***8,PLUS会员,目前来看，妈妈用的很开心，最重要是好看的配色，和拍照，手机也很轻,2018-01-25 14:01:15,0,0,5
j***e,银牌会员,用了几天感觉还可以，就是电池有点小，有时候不够用。,2017-10-31 10:03:35,0,0,5
j***g,钻石会员,非常好，后置摄像头拍两米以内的人很漂亮，背景虚化，有单反的效果，还有指纹解锁超快,2018-02-06 08:24:14,0,0,5
安***侠,PLUS会员,很满意就好像我们班有个同学是真的没有时间限制吧！。,2018-01-29 16:08:21,1,0,5
j***阳,PLUS会员[试用],就看好看、真的超级超级喜欢、嫂子送给婆婆妈、舅妈开心就好,2018-02-13 20:35:21,0,0,5
二***么,银牌会员,价格适中   感觉还行    给爸妈买的礼物   但是物流也太慢了点吧,2018-03-04 23:44:20,0,0,5
娣***人,钻石会员,手机很漂亮也很好，反应也很快，一如既往的喜欢小米，买给婆婆的，很喜欢,2018-03-03 08:50:17,0,0,5
w***2,金牌会员,还可以性价比还是比较高的，就是没有NFC功能，也就是不能手机充值一卡通了,2018-01-26 14:58:08,0,0,5
贱***4,铜牌会员,手机非常喜欢  没想到那么好用  而且还很便宜  性价比很高  果断好评,2017-12-26 22:24:47,2,0,5
j***8,金牌会员,手机挺好的，本来想买红米5P，价格一样，做工比红米高出一筹，还行吧,2018-03-02 10:24:48,0,0,5
j***i,铜牌会员,外观非常漂亮，老婆很满意。包装精美。还送钢化膜和保护套。满意购物。,2018-03-02 07:16:31,0,0,5
炎***1,钻石会员,这款手机还是不错的。尤其是1299的4g64g的性价比无敌,2018-01-31 21:44:55,1,0,5
y***0,PLUS会员,挺不错的，物流略微有点慢，刚上手慢慢使用中,2018-03-02 09:09:48,0,0,5
y***2,银牌会员,给老妈买的，很好用的一款手机，速度很快！用了几天才过来评价！,2018-02-19 02:06:35,0,0,5
j***a,银牌会员,这个还没试，给老妈买的，没说话就说明好用，不好用早跟我说了,2018-03-04 09:31:47,0,0,5
-***光,铜牌会员,手机用着还不错，就是颜色有误差，像素也行物流也挺快的，好评吧,2018-02-14 23:17:24,0,0,5
伯***榕,金牌会员,手机续航，拍照都还很不错，母亲用的很顺心，性价比也很高。,2018-03-04 07:15:51,0,0,5
彩***果,金牌会员,手机超级漂亮，性价比也高，非常喜欢这款红色的，嗯，京东很赞,2018-02-09 17:24:09,0,0,5
j***f,银牌会员,给朋友买的，朋友看我用的小夫5X就叫我给他也买了一个。,2018-03-08 21:41:06,0,0,5
j***2,银牌会员,给女朋友买的备用手机  红色的也很好好看 女朋友很喜欢！,2018-02-16 13:31:37,0,0,5
沈***峰,PLUS会员,从外观到系统到软件目前都还不错,2018-03-06 08:49:07,0,0,5
j***0,铜牌会员,等用了一段时间才来评论，总体来说还是不错的，我可是米粉哦！,2018-01-03 21:03:42,0,0,5
j***v,铜牌会员,东西收到了 是我想要的那种 很清晰度很好 电池耐用,2018-02-21 21:47:54,0,0,5
M***Y,PLUS会员,帮朋友买的！看上去不错，待反馈！,2018-01-26 07:17:01,0,0,5
罗***明,银牌会员,手机很不错，给老婆的新年礼物!颜色很正很适合女性,2018-02-13 09:12:35,0,0,5
g***e,PLUS会员,颜值还可以，希望做工在好点,2018-02-27 16:28:50,0,0,5
1***讷,银牌会员,手机挺好的，年前买的，物流也挺快，全五分好评。,2018-02-27 12:28:28,0,0,5
j***l,银牌会员,东西挺漂亮的，看看就喜欢，样式很新颖时尚，好喜欢哪。,2018-01-07 16:38:57,0,0,5
j***0,PLUS会员,一直用小米，给家人买的，很实惠,2018-01-21 10:08:49,0,0,5
j***y,PLUS会员,到小米官网验了货，正品，点赞,2018-01-26 20:01:54,0,0,5
j***a,银牌会员,手机不错，性价比高，外观很漂亮，妈妈很满意。,2018-02-24 20:23:51,0,0,5
j***c,铜牌会员,产品收到了！！颜色很鲜艳！！试用一下再评价,2018-02-28 14:09:10,0,0,5
c***n,金牌会员,手机非常好，外观漂亮，经济实惠，物流迅速，以后还会再光顾！,2017-12-17 21:20:05,1,0,5
s***9,银牌会员,帮朋友买的，颜色款式都满意，不知道用的如何。,2018-02-09 09:07:44,0,0,5
y***y,金牌会员,同时买的一个红米，这个手机还是比较好用嗯,2018-03-04 19:54:48,0,0,5
j***n,PLUS会员,一如既往的支持！完全满意。,2018-01-19 09:11:27,0,0,5
汪***y,银牌会员,手机手感很好，颜色很正，手机触感灵敏，像素清晰。,2018-01-03 21:23:30,0,0,5
未***春,金牌会员,小米（MI） 小米5X 手机 红色 ，还可以,2018-01-22 22:20:15,0,0,5
j***e,银牌会员,老米粉了，一直用小米，就是小米金融很坑,2018-02-25 20:50:14,0,0,5
j***d,铜牌会员,手机还好，就是连个耳机都没有，不知道怎么搞的,2018-01-04 14:16:09,0,0,5
R***9,钻石会员,不错  好看  好用  值得拥有,2018-03-05 08:59:04,0,0,5
j***p,铜牌会员,手机很漂亮，很薄，非常喜欢，物有所值,2018-02-03 23:24:42,0,0,5
j***5,钻石会员,正品，有发票全国联保，放心购买！！！,2018-01-21 00:15:46,0,0,5
j***c,银牌会员,手机不错，手机膜还不是钢化膜快递慢,2018-01-25 20:11:14,0,0,5
j***q,铜牌会员,手机不错，性价比高就是联系人老是丢失,2018-01-03 23:21:51,0,0,5
够***i,银牌会员,很好很漂亮，一直支持小米?,2018-03-01 12:22:58,0,0,5
p***g,金牌会员,颜色很好看 很喜欢 用着也很舒服,2018-01-27 15:28:06,0,0,5
j***o,铜牌会员,手机已收到，还可以。蛮喜欢的   价格还是比较优惠的,2017-12-24 10:18:34,0,0,5
x***茶,钻石会员,给婆婆用，屏幕大，使用方便,2018-03-05 13:54:48,0,0,5
w***I,金牌会员,还可以正品，比实体店便宜的多,2018-02-13 20:54:16,0,0,5
飘***公,银牌会员,东西收到了挺好的，老婆挺喜欢。,2018-01-16 15:33:33,0,0,5
j***o,铜牌会员,货物正品。比较满意。物流略显稍慢。送的膜差了一些。,2017-12-15 15:09:53,0,0,5
j***z,铜牌会员,先给五心，用几周之后再追评,2018-02-07 18:18:32,0,0,5
M***言,金牌会员,小米手机，大爱价廉物美,2018-03-08 21:47:51,0,0,5
m***3,银牌会员,正品     物流还行,2018-03-07 22:25:49,0,0,5
z***0,银牌会员,很好看，手感也不错点赞,2018-03-01 20:19:02,0,0,5
唐***y,金牌会员,和图片上的一样，很喜欢,2018-02-26 22:18:34,0,0,5
5***6,银牌会员,手机确实挺好的，可以,2018-02-20 16:36:33,0,0,5
j***1,银牌会员,真心不错啊，很漂亮，给老妈买的，老妈真心喜欢,2017-12-17 17:39:23,0,0,5
j***f,银牌会员,很不错的，朋友介绍天的,2018-01-25 18:28:13,0,0,5
j***4,银牌会员,宝贝已收到，用起挺方便的,2018-01-08 18:57:22,0,0,5
蒋***6,银牌会员,着实不错！性价比高！,2018-02-04 19:46:10,0,0,5
j***2,铜牌会员,给宝贝买的，宝贝很喜欢。,2018-01-06 00:06:37,0,0,5
m***0,银牌会员,送人的，说还不错。,2018-02-27 15:55:53,0,0,5
奶***爱,钻石会员,手机不错是正品，支持小米，已经是第二部了。,2017-12-12 16:41:18,0,0,5
j***p,银牌会员,很不错，很漂亮，惊艳,2018-01-17 08:38:03,0,0,5
展***果,银牌会员,快递慢5天才到，手机颜色不错，挺特别,2017-12-20 13:23:42,0,0,5
E***R,银牌会员,"超值超值超值
不错",2018-01-08 09:33:22,0,0,5
j***4,金牌会员,质量挺好的，外观漂亮，运行流畅！,2017-12-30 09:13:11,0,0,5
j***8,银牌会员,小米手机果然超值。红色老婆大爱！,2017-12-27 13:21:02,0,0,5
活***待,银牌会员,什么也不送，就一个膜还不是钢化的,2017-12-26 11:19:45,0,0,5
j***f,金牌会员,漂亮老婆很喜欢，,2018-03-02 21:40:49,0,0,5
q***5,金牌会员,东西不错，双12买的很便宜,2017-12-19 21:02:39,0,1,5
a***4,银牌会员,喜欢，好用，支持,2018-02-10 02:10:00,0,0,5
j***f,银牌会员,全新正品，没毛病,2018-02-09 11:45:03,0,0,5
金***哥,PLUS会员,收实话，这个手机作为一只备用机挺出乎我的意料的，很多年没有用安卓系统的手机了，今天一上手真的挺惊艳的，样子也挺好看的，总的来说性价比真的挺高的，千元机有这点样子感到很满意了,2018-01-23 15:55:28,0,0,5
j***k,金牌会员,美观大方感觉不错,2018-01-28 17:03:09,0,0,5
漠***0,PLUS会员,还不错  用着还行   看以后怎么样啦,2018-02-06 17:16:30,0,0,5
j***a,银牌会员,就是一个字好，支持小米,2017-12-06 08:24:31,0,0,5
1***p,银牌会员,商品跟满意，非常好用,2017-12-20 22:21:20,0,0,5
V***员,银牌会员,手机产品不错值得购物,2017-12-18 22:39:58,0,0,5
杨***上,PLUS会员,货已收到，很满意，不知道好不好用,2018-03-08 22:16:33,0,0,5
幻***天,金牌会员,不错?～～～～～,2017-12-21 08:28:57,0,0,5
玉***回,PLUS会员,一如既往地小米,2018-01-03 21:47:46,0,0,5
j***1,金牌会员,京东快递在外包破损，物流中间滞留时间太长。,2018-03-05 12:39:39,0,0,4
小***姐,金牌会员,只是物流慢了点,2018-03-01 13:17:33,0,0,5
j***t,银牌会员,很漂亮闺女喜欢,2018-02-07 10:41:30,0,0,5
j***0,银牌会员,刚买两天就烂了,2017-12-20 14:01:08,0,0,5
j***f,铜牌会员,质量很好。正品,2017-12-13 11:54:24,0,0,5
咨***妈,PLUS会员,习惯了京东购物，相信京东，继续支持习惯了京东购物，相信京东，继续支持习惯了京东购物，相信京东，继续支持习惯了京东购物，相信京东，继续支持,2017-10-12 15:29:53,0,1,5
j***2,铜牌会员,外观精致，性能日常生活够用了。店铺的服务态度很好，就是物流慢了点；总得来说购买体验不错,2018-03-01 18:09:14,0,0,5
w***7,PLUS会员,挺好的，发货速度快，物流也快，下次还来你家哦，非常好的哦,2018-01-28 09:01:44,0,0,5
幸***6,银牌会员,红色太棒了。,2018-02-24 22:09:10,0,0,5
j***e,银牌会员,摄像头很清新 很不错 小米机耐用 用一段时间看看,2018-02-03 08:06:24,1,0,5
j***8,金牌会员,原装正品，比京东自营和小米官网都要便宜，到手1364.还送了壳指环扣膜。,2017-10-27 14:52:36,0,3,5
j***u,铜牌会员,手机挺不错的,2017-12-21 11:48:35,0,0,5
1***p,金牌会员,很好很不错～,2017-12-14 16:57:27,0,0,5
j***f,银牌会员,很好用，正品，很喜欢，物流也很快，好评！,2018-01-27 22:24:15,0,0,5
花***飞,银牌会员,用了两天还可以，送的膜很保护套都还合适,2017-11-06 18:45:43,0,0,5
j***x,银牌会员,外观很不错，反应也很快。,2018-03-07 13:36:19,0,0,5
1***p,铜牌会员,四天到，包装完好，送的膜很差，手机是正品，新机。性能不错，这个价位这样的配置算好的了。至于以后会不会还这样好就过段时间追评。,2018-03-02 16:21:33,0,0,5
只***她,PLUS会员,大小合适，非常喜欢,2017-08-29 15:59:05,0,1,5
j***y,银牌会员,挺不错的,2018-01-20 22:09:32,0,0,5
j***c,PLUS会员,还没用，希望好用,2017-12-29 16:45:38,0,0,4
n***d,金牌会员,用了快一个月特地评价:手机很流畅，反应很快。内存平时用足够了，在暗光下拍照效果一般。总体来说值得购买。,2017-11-14 09:00:14,2,0,5
安***恩,PLUS会员,還不錯啊。,2018-02-14 13:21:27,0,0,5
