名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
罗斯柴尔睿,PLUS会员,"自己在用的是红米note3,用了一年半了，一点问题都没有。正好朋友换手机，于是推荐了小米5X。之前就看中了这款手机，拿到机子更是惊艳到了，比图片看起来的还要好看。摸起来手感超好，用了一整天，很流畅，而且对于小米的系统还是很信任的。在京东看了很多家，这家的便宜不少，虽然不如京东快递当天发货那么快，但是毕竟还是少了一百来块钱??，还是超级划算的。送的贴膜和保护套都用上了，整体算下来真的很便宜，不是托，确实很赞！！",2017-11-10 10:45:50,7,1,5
j***7,钻石会员,很给力，身边朋友同事都在用小米手机。我一直想换小米的来用，奈何现在用的手机一直没啥问题。也是国产机。现在终于用上小米手了  刚刚收到货就迫不及待的试一下，手感真的是没话说，磨砂黑…神秘  反正就是标特佛 还有小米一直以来的发烫，主要是看个人使用情况而定吧！先用几天  然后再来评论。还有就是昨天中午十点多下单，然后今天下午四点多就收到了，是从北京发货到深圳。京东快递的速度真的是没话说。大写的服。。。！,2017-12-01 16:33:39,1,2,5
j***e,银牌会员,小米5X在外观方面确实不错，第一眼看到时感觉很漂亮。全金属磨砂质感机身，加上U型的机身设计，非常的圆润，机身厚度方面非常的轻薄，手感非常的舒服。做工方面还算比较精细，暂时没有发现瑕疵，在指纹识别速度方面，小米5X非常的快速，外观方面本人非常满意,2017-11-03 07:40:06,5,3,5
j***5,铜牌会员,很好用， 小米手机一直是走性价比路线的，低价高配，我已经有一部小米了，这部是替我妈买的。打算以后一直用小米的产品了,2017-11-22 09:41:37,1,0,5
明***哥,金牌会员,还不错，快递刚到，目前没发展啥毛病，就是电池充电有点热，快递也行，马上过来了，回家用用看看，,2018-02-09 12:45:51,1,0,5
j***0,铜牌会员,手机送到后耳机孔是坏的，经历了15天的换货波折，新收到了。，，现在说一下手机1屏幕这款手机屏幕比例和适显示色彩个人觉得不够艳丽，设置后还是不够鲜艳可能是我个人的原因吧，声音方面音量大，音质好，小米还设计了耳机音效适配非常棒。系统方面，机带miui8下载速度很快，应用加载速度也完美，游戏方面，王者荣耀玩这有时460直接吊线，，，不过只有每天第一次玩这样。625的处理器根本不能开高帧，把画质全开的话打团时24帧左右可以接受。电池，游戏王者荣耀的话3小时，拍照前后非常清晰。充电速度大约两小时。中轻度用户可以用一天。总体上来看，这款手机性价比非常高。建议入手,2018-01-15 20:18:25,3,1,5
闲***飞,铜牌会员,手机收到，包装细致，物流给力。在下雪路不好走的情况下，7日下单9日收到货，北京到郑州够快了.手机到手后体验了半天。各种常用应用程序执行、安装上网试了一把，比较顺利快捷。第一次用小米机。总的感觉字体小点小，对我这个退休老人来说。眼花有点看着费点劲。功能来说足够用了。赠品按下单如数收到。客服服务热情耐心周到，问题解答细致清楚。我非常满意的一次购物。下次买手机还来贵店。都给五分吧。,2018-01-10 02:15:18,0,0,5
f***j,钻石会员,发货速度快，昨天下的单，今天就到了，快递小哥很负责任，同事有好几个人都买了，看着很好很不错，一个给老妈买的，我也想买一个，便宜还实惠，一直想买一个小米手机，还会回购的。,2018-02-21 14:03:47,0,1,5
默***7,金牌会员,第一次买小米，作为国内大品牌，质量应该值得信赖。快递蛮快的，包装很好，三层保护，打开里面拿出来看了一下，手感不错。还没用过后再评。送的东西还可以吧。,2017-08-21 13:46:40,5,4,5
编***七,钻石会员,手机不错，性价比超高，赞！！,2018-02-24 16:32:02,0,0,5
jd_130918gcd,银牌会员,一直用小米品牌手机，小米手机值得信赖，拍的照片清晰，显示屏大，看的清楚，手机外壳漂亮。金色的小米5X，颜色漂亮高档大气，非常满意。清薄方便，拿在手里超级舒服，京东值得信赖。,2017-11-20 20:49:14,0,1,5
j***0,金牌会员,手机手感不错，我买的玫瑰金，移动版没看出跟全网通有啥差别，运行速度可以，大小合适，之前用的小米max，个头太大这个小米5x大小比较合适，颜色比较讨喜，店家送了钢化膜，还没贴，但看包装应该不错，唯一缺点感觉摄像头有点凸起，这手机颜值还可以，至于使用情况，目前刚到手，待机时间不祥，支持快充，手机内置的一些app还没有删，后期优化一下相信应该还更好些，总之好评。,2017-11-06 11:37:13,2,5,5
