名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
任***1,银牌会员,啥也不说，看视频证据和受骗经历，谁再敢买就是拿钱打水漂了！     手机第一次收到时打开一个按钮要点十几下才点开，也操作不了，跟售后联系，他说可以退，我问好多评价都说退不了，他说有刮痕当然退不了，于是我第一时间退款退货，没想到售后后来给我打电话同样的理由手机有划痕无法退，还说手机是因为开启了盲人模式已经帮我们调好，怎么可能！又过了一天快递打电话说对方拒收退回快递给我们，是问，你们收到快递还可以当着快递员的面给我调整好了盲人模式再拒收退回吗？谁家的手机买回来设定的就是盲人模式，你家专门卖盲人手机的？只要退货退款就是划痕的理由搪塞买家，信誉何在，京东就允许你这种骗Z商家在平台上一次次的逍遥法外？多余的话不想说，句句实话！经过于京东的协商，让我们这次收到的手机拍个照片，目前刚收到不敢再动，只是反正拍了个照片，希望给消费者一个合理的处理，我的要求退款退货，如果可以赶快把这种骗Z商家剔除平台，别再让他们骗人了！,2018-01-12 11:35:48,11,4,5
叶***如,铜牌会员,"我喜欢,是买女儿的也喜欢,可以用两个微信,下次需要再来天的,棒棒哒???",2018-03-08 13:20:58,0,0,5
j***8,铜牌会员,你们的产品好质量好服务态度很好我很喜欢下次在合作,2018-03-08 21:56:39,0,0,5
c***d,金牌会员,很好。。操作流畅，迫不及待的用上了，京东速度不错,2017-10-31 17:27:53,2,13,5
1***5,银牌会员,货收到了！总体来说过几天体验之后在评论！还不错！就是快递时间有点长！其他还可以！是新机！感谢京东商城,2017-10-29 14:05:50,2,0,5
j***b,PLUS会员,很好用，满意，外观也满意，支持国货。,2018-03-05 12:44:07,0,0,5
j***1,银牌会员,电话很好，服务很到位，推荐够买，性价比高,2018-03-04 08:00:07,0,0,5
l***2,金牌会员,盼了好多天了手机打开看了 还不错 美中不足的就是 我买的附加品发错了 有点遗憾  希望商家以后不要这么粗心,2018-03-09 08:04:47,0,0,5
j***b,铜牌会员,挺好的，打游戏也不卡，外观也可以,2018-03-02 22:37:08,1,0,5
w***生,PLUS会员,"价格便宜。质量挺好的。也快递一天到。非常喜欢
一是我用小米手机十几年了，买了好多个小米得各种手机。送朋友送好友。唯一的缺点是。小米手机电池。我用这8款小米手机中。每个总一年多。电池就不行了，这是很严重的缺点。耗电超级快，小米5x一口气买了5台",2018-03-09 16:02:44,0,0,5
H***I,铜牌会员,东西收到了，打开包装发现少东西，插卡插针没有，让我感觉非常不爽，收到货手机就放了4天半，今天抽了时间才去集市上的移动营业厅让工作人员把卡给我安装好，所以现在评论。市场上一个插针16元，网上也要5元呢！商家不行，东西不给带够,2018-03-03 19:55:48,0,0,5
夏***-,PLUS会员[试用],手机很好，快递也很快，看看后期效果吧,2017-12-10 20:43:46,2,1,5
等***4,金牌会员,这手机是帮别人买的，他也很喜欢，他，说跟你很好，运行也很快，很满意的一次购物,2018-03-04 18:20:38,0,0,5
新***弟,金牌会员,好用双摄，同事们大赞了，再也不摔我手机了,2018-03-03 12:24:40,0,0,5
1***3,钻石会员,京东配送给力，快。,2018-03-08 20:05:59,0,0,5
j***k,铜牌会员,东西我感觉还不错我挺喜欢，客服服务特别坑，让人特别讨厌，第一次买京东的东西觉得不是太满意，主要是客服原因，希望有所改进越来越好吧,2018-03-08 18:48:32,0,0,5
a***1,钻石会员,特别美，特别漂亮，轻薄，美腻美腻滴，美腻美腻滴,2018-03-08 16:20:44,0,0,5
j***u,铜牌会员,垃圾店铺，客服服务态度特别差，不是说下班就是说去吃饭！！劝大家不要在这里买，不然肯定会后悔的。,2018-03-05 11:42:31,0,0,5
j***f,银牌会员,昨天刚收到手机，正在使用中，缷载了一些不喜欢的软件，不知道是否影响手机的性能，还待进一步观察。,2018-03-03 09:20:44,0,0,5
j***f,铜牌会员,这手机还是挺喜欢的，可是另外送的这个贴膜我有点懵了，我买的是小米啊，这送个苹果7plus的…………,2018-03-07 09:33:00,0,0,5
j***c,PLUS会员,手机使用体验蛮好的，快递在春节期间送货速度也挺快，给点个赞。,2018-03-03 13:17:36,0,0,5
Z***b,铜牌会员,这个价位买到这样的手机还是很不错了，就是屏幕触控有点问题，屏幕可能有些问题。,2018-03-03 21:11:38,0,0,5
w***r,PLUS会员,不错，性价比很高！！！！！！！电池耐用，相机也效果不错,2018-03-03 21:58:20,0,0,5
j***门,银牌会员,东西看着还行，使用一段时间再来评价。就是京东物流就是垃圾，慢的要死。,2018-03-09 19:00:19,0,0,5
现***色,PLUS会员,用了一个礼拜，暂时没什么问题，性能也还可以,2018-03-05 10:27:56,0,0,5
黎***焰,PLUS会员[试用],帮朋友买的，他说不错啊，一直在用小米，支持,2018-03-04 11:45:18,0,0,5
s***n,金牌会员,货收到了，一号下单，三号发货，五号物流派送，东西还是不错的。,2018-03-06 10:21:35,0,0,5
j***s,银牌会员,手机拍照效果很好，很满意给老婆买的老婆很满意性价比很高啊！,2018-03-07 21:58:53,0,0,5
w***3,银牌会员,手机外观时尚，手感不错，拍照清晰，系统运行流畅，物有所值,2018-03-09 00:39:12,0,0,5
j***7,钻石会员,手机还不错，比想象的好多了，性价比也很高，下次还买。,2018-03-09 21:35:45,0,0,5
y***r,钻石会员,全家都在用小米手机了，这款小米5x整体感觉不错，外观大方质感不错，系统流畅，性价比高，使用一段时间再来补充评价。,2018-03-07 22:48:18,0,0,5
j***j,金牌会员,小米就是小米，反应快，手感好，已经是第三购买了,2018-03-04 23:26:47,0,0,5
j***7,铜牌会员,给爸爸买的，感觉还不错，就是发票上的价格不对,2018-03-07 00:14:44,0,0,5
jd_131395xsz,银牌会员,买的第二个手机，样子不错，手感也很好。唯一不好的是手机反应稍微有点慢。不过一分钱一分货，总体来说还可以,2018-03-08 09:15:01,0,0,5
黄***-,钻石会员,商品挺好 小米没的说 ，就是物流有点慢,2018-03-09 08:52:30,0,0,5
红***宝,银牌会员,手机收到，很好，用了一下还可以也很喜欢,2018-03-09 09:54:08,0,0,5
i***8,银牌会员,手机超值，手感很棒，希望能待机长一点！,2018-03-05 21:45:52,0,0,5
z***0,金牌会员,性价比高，老妈很喜欢，第二次购买了。,2018-03-09 00:02:20,0,0,5
j***2,银牌会员,老妈说整体还可以，续航各方面也不错~,2018-03-07 21:27:16,0,0,5
z***0,金牌会员,性价比很高，比在手机市场买还好。,2018-03-05 21:36:20,0,0,5
锋***人,银牌会员,还行，就是指纹设置在后面不怎么好,2018-03-03 22:56:18,0,0,5
I***y,金牌会员,买了两个了，非常好用物美价廉那种,2018-03-03 12:35:22,0,0,5
j***l,铜牌会员,目前刚刚开始使用中现在是很满意,2018-03-08 22:22:38,0,0,5
j***c,钻石会员,送货很快，买给我老爸的，还可以,2018-03-04 23:31:36,0,0,5
j***a,铜牌会员,还不错吧。。还行，看的过去。,2018-03-09 18:38:18,0,0,5
j***r,银牌会员,给妹妹买的，用着还不错，支持,2018-03-03 08:28:57,0,0,5
j***c,铜牌会员,发货太慢，到货没有提醒。,2018-03-07 20:24:35,0,0,5
j***i,银牌会员,发货很慢，东西暂时还不错,2018-03-07 16:05:17,0,0,5
j***5,铜牌会员,很不错，内存大，手感不错,2018-03-07 23:49:12,0,0,5
j***c,银牌会员,正品，性价比超高，好货,2018-03-04 13:03:58,0,0,5
j***e,铜牌会员,用了，性价比高，不错,2018-03-09 18:43:36,0,0,5
莽***莽,铜牌会员,用的很舒服，很满意。,2018-03-07 23:31:57,0,0,5
