名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
乌***后,银牌会员,还可以吧，没有想象中那么好。。我现在用的米4，买的6，大可多，官网查了编号，是正品，不知道用起来怎么样,2017-12-15 16:54:31,19,11,5
雨***丶,PLUS会员,续航的话，我不是重度用户不怎么玩大型游戏，但是我一直开着4G，微信同时在线挂着，是不是的还看会新闻，用个一天半是没问题的，我想要是玩游戏的话一天也绝对够了~。操作流畅性：变焦双摄非常喜欢，相机的无损变焦远点的景色也一清二楚，人像模式也是非常出色，背景虚化在1米以上的距离表现非常好。总的来说这款手机非常值得购买，小米6性价比真是绝对没的说啊~运行内存系统占了1.5G左右，开机还剩4G多的运存，配合高通835真是快到灰起来，下面有跑分图，我这是玩了一会手机在电池温度很高的情况下测试的，轻轻松松17万5，要是电池温度正常18万+没毛病，超越iPhone 7 Plus稳稳的！虽然说小米官方一直抢不到手机，在这买要加几百块钱，但还是很值得啊。都是官方正品全新未拆封的~。充电速度：充电速度更是没的说，快充也是实实在在的，从10冲到100只用了58分钟！快到飞起来~。音质：音质声音还是不错的，当然不能跟那种专业级音乐手机比音质，毕竟米6用上了立体声音效话筒也是外放，效果听起来还是不错的~。信号强度：手机的信号没的说，电梯，地铁，甚至山上全部满格稳稳的，2*2双路WIFI也不是盖的，上网速度确实快很多~,2017-06-11 11:17:12,97,52,5
l***5,银牌会员,货已收到，管网验证是正品行货，原装未拆封。初步验机，手机各项功能正常，系统流畅。物流蛮快，隔天到货。快递包装有些令人遗憾，不过内部有防震防摔保护袋，还好吧，总感觉快递包装有些随意！快递小哥送货上门，也不让我签单，丢给我就走，本来还想着开箱验货呢:(，这快递小哥是新来的吧！首次在JD购物，还算满意！,2017-10-01 22:13:02,25,10,5
大茄子芹菜,银牌会员,手机刻意用了一段时间来评价的，确定是官方正品。骁龙835只能用“嗖嗖的”来形容了！摄像，光感。护眼等等都:OK!手感刚刚好。送的指环，手机套都不错。只是自己手残把两张膜都废掉了……过段时间再来给老婆入手一台。我不是拖，不是拖，不是拖！重要的事情说三遍！！,2017-08-21 19:48:55,41,14,5
哔***授,银牌会员,手机运行很快 和我的iPhone比也不逊色 送的东西也很实用 特地用了几天才评价 好评了,2017-10-05 19:48:10,22,9,5
白***白,银牌会员,宝贝收到了，亮黑款很亮，但是粘指纹！指纹识别不太好，三次就有一次不行，需要对好！系统很流畅，后台20个在线一点不卡，这点很满意，相机?确实是退后的！期待升级miui9 之后的表现！先评价这么多！仅供参考！,2017-08-16 18:18:51,10,6,5
明媚不可爱,金牌会员,贵是贵，真的好用,2017-05-02 07:06:09,104,75,5
j***d,银牌会员,系统非常流畅，性能也不错，非常好用，用了两天才来评价。电池也很耐用。黑色的好看好看。。,2017-11-13 13:08:55,11,3,5
ZWBAXS,银牌会员,心心念念好久的小米6终于收到了，总算没有白等，绝对正品，各方面都好评！,2017-06-09 19:10:40,23,3,5
j***q,金牌会员,到手了，手感很好，支持小米！,2017-10-20 10:29:54,11,0,5
