名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
提***i,银牌会员,手机包装的很好，上官网查了是正品，唯一的不足的就是物流慢了点，可能是双11的原因，第一次用小米机，不知道质量如何，先评价后续再追加评论,2017-11-16 12:47:41,1,4,5
赵***意,银牌会员,首先，吐槽一下快递，京东快递真的慢，最后昆山到南京竟然用了两天！ 再来说手机 官网一个半月没抢到，放弃了，店里加两百还算不错，加上领券，感觉挺实惠，送的东西除了一年联保，其他都不行，膜几乎没法用，和之前的评论一样，好在手机好就行，官网和安兔兔验机都是真的，机身间隙确实大，还好能接受，买套用不影响，跑分十四万 可以吧，就这样，继续体验,2017-06-18 14:07:47,35,45,5
X***云,PLUS会员,"手机外观还是很好看的，用过了之后的才过来评价的，感觉速
度还是蛮快的，反正最近玩游戏都没有卡过，手机手感还是非
常好的,屏幕看着也很舒服清楚，网络的速度也很快，指纹的
开锁效果也很好，反应还是很灵敏，充电速度还可以把，主要
是电池蛮耐用的,没有说发现发热的现象，真的觉得挺好的,
并且黑色的看起来很上档次啊，并且它家的性价比很高，总体
来讲还是很满意的,拍的照片像素也挺高的，拍出来很清晰，
自拍效果更了不得，听歌音乐方面音质很好也很好,并且手机
收音机，能收到很多的收音机广播，带着耳塞听真的是感觉很
不错，并且卖家还赠送了几个手机膜，喜好的可以放心购买
的。",2017-11-07 21:31:25,5,1,5
F***5,PLUS会员,本想用几天就评论，结果一用就用了十几天了。我本身是一名手机发烧友，国产手机真的是我看着成长起来的，用着小米6，我鼻子酸酸的，国产手机终于崛起了，缺点肯定有一些，但和国际大厂的差距已经小到一定程度了，盼了好几年看着三星苹果的发展，终于看到国产手机渐渐站起来了。说一下十一感受吧，小米再次用行动告诉我们便宜又好的东西是需要抢的。高通835处理器性能没的说，在10nm工艺的加持下又带来了低功耗低发热。5.15小屏加3350电池同时保证了性能和续航。外观设计比较成熟，跟三星s8没得比，但也能到三四千块钱的档次。不锈钢中框和双面玻璃让整机不轻，拿在手里有一种踏实感，屏幕素质不如手里的7p但也说得过去，摄像头白天人像摄影效果极佳，晚间摄影噪点较多需加强。指纹识别速度快，开通了公交卡和米pay，十分灵敏好用，音质一般般，说得过去。发热控制非常好，王者荣耀没有官方高帧率不好说，修改机型开高帧率优化是不敢恭维。硬件配置顶配，特点就是没有特点没有短板，可以当做今年业界标杆，系统软件方面MIUI还是很给力的。,2017-10-30 13:08:36,14,1,5
j***j,PLUS会员,小米很不错，店家发货也快，还没买到合适的膜，骁龙835真是好，指纹也快，好评,2017-11-18 21:20:53,2,0,5
j***0,钻石会员,"手机没毛病，很流畅，没有卡屏现象，开始弃苹果。
赠品耳机街边货，没用；赠品贴膜很差，四边不贴合。",2018-02-27 20:27:46,0,0,5
w***P,PLUS会员,"先说说槽点，屏幕有斜纹，拍照时非常明显，相机跟我的iPhone 7 Plus不能比，不论夜拍还是白天，iPhone都更加自然锐利。手机有可能是后封机，因为刚开机看到后台开了几个我没开过的应用，通话记录也被删了，后盖比较容易刮花，相机镜头也是普通玻璃。屏幕小的有点不习惯。后置摄像头跟iPhone差距非常大，背景非常嘈杂，不自然，不得不说摄像头跟iPhone 7 Plus就不要比了。特别容易发热，打了一局王者就四十度了，而且是裸机打的。王者荣耀高帧率模式不支持。
优点，机子是真的，跑分就那样子了，跟苹果差一大截。付一张SIM卡槽对比，看看防水的差距。机子很轻巧，握持舒服，但裸机会花，所以没卵用。
我不是米黑，但小米6真的让我失望了。",2017-07-07 21:06:00,19,54,5
h***8,银牌会员,有使用过的痕迹，但是手机挺好的可以接受，快递太慢，送的东西没啥用，现在等发票中。,2018-02-20 15:12:34,0,1,4
粤K素爵,PLUS会员,"首先这个手机就是目前除了摄像和HiFi方面最好的国产
手机，没有之一。优点太多，1,满血835,6GB,64GB。
优势就在于6GB和64的搭配。懂的人自然懂，32GB太
小4GB一年内必将拖累性能，目前还没有835不满血
的。因为835功耗太好了，简直就是9代显卡到10代的飞
跃。1060不输980的飞跃, 2,2.1UFS本来不是啥，关键
某些厂家竟然在年度旗舰用emmc5.1这一对比又是优
势,至于这俩存储区别，手机用一年835不再是旗舰就很
明显了, 3，1尼特的屏幕，简直是小说党，被窝的福音，
不谈别的就这一点完虐任何屏幕，晚上玩手机最暗屏
幕,4,自带手机软壳，要知道这个壳不贵，但是到网上
买就贵了，不谈别的，你可以先用一个壳试一试手感，然
后用久了再换个性壳。目前这个壳不会褪色，不会坏，手
机按键完美匹配, 5,5.1寸手机，有多少人不喜欢5.5而
是喜欢小一点的，不多说, 6,红外，NFC,正面指纹，
摄像头全平综合考虑都是优势。",2017-09-05 22:10:08,7,0,5
幻***点,银牌会员,"先说手机，用了几天，没发现漏光、泛黄、断流之类的问题。但是，呼吸灯只有白色，相机最大快门时间0.25s(夜拍亡了)。
 然后是包装配件。塑封完好，开机没有激活流程。官方有配一个typec-3.5mm的转接头、一个透黑保护套。卖家送了一个透白保护套和一张钢化膜。
 物流有点慢，从下单到收到货用了5天。",2017-06-29 10:50:02,6,7,5
d***9,金牌会员,前面三张是乐视系统的，推送通知我可以清除，或者看我喜欢看的。而小米系统不好用，甚至可以说是不如我的乐视手机系统，有时软件有个1，必须点一下才行，而乐视我可以让它不显示。再说一下基本所以正品手机一杯子水洒到了基本上不会有问题，所以小米6防水就是个缘头。再说一下优点，反应快旗舰处理器发热量小，这个价位还支持nfc等等功能多，充电速度快，重量轻薄。是正品，买来的时候全部是塑料薄膜封装好的。我这是乐视手机拍照的，小米还未试过拍照赞不做评论。我用过华为，乐视，小米Note2，用红米Note2的时候就觉得小米系统不好用，现在仍是如此，以我用过的手机系统而言华为最好用，乐视其次，小米系统排最后。旗舰处理器安装软件的确快，可以说是秒装。,2017-11-27 11:14:30,0,0,5
