名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
扛***人,银牌会员,"小米6到手体验一段时间，总结下：1、运行流畅，偶有迟滞现象；2、拍照很一般，屏幕偏白，颜色不自然；3、发烧现象有改进，电池耐用（毕竟是新手机）；4、外放立体声，这点不错，音质一般（追求高品质的就得用一千元以上的MP3，毕竟这是手机OK！）；5、手机尺寸适当，舒适度不错，金属很有重量感，搭配黑色稳重不失高雅；6、屏幕显示细节还需加强（就算价钱再高点，我也可以接受）；7、小米系统确实很人性化（这点比苹果手机强）；8、性比价高，小米低价高配无需质疑。
以上是这段时间用手机的体验总结，国产手机小米还算不错的，良心产品，比韩国三星中配高价（品牌价值、税收得顾客买单）有余。苹果手机贵主要是他们的系统及创意科技，ov手机就是坑不懂手机的人，低配高价，宣传广告吹水→_→苹果X实在太贵了，一个月的工资啊！坑啊！手机性能刚好，消费水平得看自己收入，看口袋，哈哈……",2017-12-24 13:53:26,11,1,5
收***a,PLUS会员,手机开始试了试网络，首先运行还是很流畅的，毕竟是6G的内存。第二，小米手机都是没有耳机的还好有了usb的耳机插口，因为机身薄，这样设计也算是减少空间。第三，最没有改进的就是手机的音质，和之前型号的外放水平一样，感觉就是在听小型收音机。第四，手机质感有了大的提高，四曲面机身不锈钢边框，尺寸合适，受重感好对于经常放兜里的人是个不错的选择，他的home键做的凹陷有指纹解锁，立体感十足。第五，相机像素和质感上和国内其他手机相比有点相形见绌了，但也不影像好照片的选择。总的来讲价位和配置算是性价比不错的国产手机了。,2017-06-19 11:34:05,80,41,5
w***o,金牌会员,"先说京东物流，满怀希望的5月31下单发货，6月5号下午才到货，到货后又不让拆外包装验货，费了很多周折才允许开箱验货，天知道不开箱里面是不是砖头啊？
再说质量，受小米官方宣传影响，我非常喜欢它的外观和强大的配置，于是买了陶瓷版顶配128G的，优点就是手感好，缺点不少，第一后盖子缝隙的确大，原来寄希望于陶瓷黑的高质量，现在失望了，小米宣传的四曲面玻璃绝对是不厚道的偷换概念！我负责任的说，绝对不是！！！！特别费电，不玩，不打电话的话，一晚上就剩80的电了！你服不服？！没感觉到性能有多霸道，比不上我原先用的mate8，不去我的苹果6！！送的膜就是垃圾！3515大元，后悔啊！",2017-06-07 10:19:53,454,249,4
隔***_,金牌会员,"手机是正品，但是安兔兔评测只有15w没达到17w，不过在运行方面很流畅，64G到手可用51G看来预装软件很多，游戏方面835甚至比A10要好，外观方面也没有别人说的掉漆，估计内帮人是自己磕了碰了想退没退成然后发追踪评论来了。因为买的是黑色的所以看不出黑边，至于小米6后盖缝隙问题，个人觉得没感觉，手机送的保护套喇手简易买一个新的保护套，本来想少给一颗星的，因为快递感人，不过还好，2700的价格买到6G835 性价比已经很高了，小米的拍照方面感人，整体偏暗，像素质量和iphone7没差别但是在细节没有iphone做得好，拍照有待提高，夜景拍照因为整体偏暗所以在晚上有些物体会看不清，
手机电池没有配备4.0快充不过手机充满电后还是非常耐用的，（个人觉得一天一充的就很不错了）因为iphone重度使用者得一天两三充，指纹方面是忽略了过场动画所以让人感觉很快

挺秀气一手机

以上纯个人手打",2017-07-21 12:12:57,232,67,5
a***4,银牌会员,东西十分不错，就是物流有点慢，从深圳到北京用了2天还以为是出事了呢，试了一下午，网上说的问题我的基本没有，机子非常漂亮，玩各种游戏也根本不卡，虽然比小米官网的贵了点但是是正品，而且店家发货时做的防护也非常好，刚接到快递是鼓鼓的还以为是发错了打开后吓一跳，给店家和商品五星好评,2017-06-29 17:50:06,64,23,5
未***G,银牌会员,先不说别的，就配置秒杀oppo  vivo这些厂商的，手感很好，四曲面握在手机很舒服，要是前面再用个三星的曲面屏，那就叼了，黑色一体感很强，用起来速度很快，游戏也不在话下，安卓手机我只认准三星跟小米，其余的在我眼里都是渣渣，手持s7edge再＋个小米，完美！！！,2017-07-22 20:59:09,93,41,5
j***m,PLUS会员,我从米3开始就一直用小米，之前有买过其它品牌的，可是用不习惯不到20天就给家里人了，还是用小米的舒服。手机很好可送的膜就让人不爽了那满满的白点是个什么东西，摸着都不顺滑，另外摄像头那里都没有开孔难道不影响照片质量吗,2017-05-26 16:16:54,232,64,5
丶HOMi,金牌会员,我购买的小米6陶瓷版6G+128G顶配版，手机外观很不错，厚度只比iPhone 8略微厚一点点，跑分方面如图了！新机用安兔兔跑出一万七千九百多分，安装上软件调试好主题个性化之后跑分如图所示！购买过来之后我用网上查的方法验证是否为正品，网上说要用IMEI号+SN号查询，我一直查询不到，后来发现手机里的IMEI号和小米盒子上的IMEI一样，但是SN号就不同了，我误以为是假货！结果和商家以及小米客服沟通，才了解到手机里的IMEI号和包装盒上面的IMEI号一样就是对的，SN号两者不同是正常现象…，这个过程中商家也很有耐心的和我沟通，售后服务很到位，头一天晚上十二点左右递交的售后服务，结果第二天九点钟他们一上班就联系我处理了，反应也很及时！后来还是不太放心是否正品，专门去了小米售后授权服务中心验证，查询到也是属于正品！总而言之，这是一家服务意识强，产品质量有保障的好店铺！声明，我不是水军，也不是店家请来的给好评的那类人，就是普通的消费者，如果有什么疑问，可以在我评论下方回复，和我进一步沟通！,2017-11-27 22:28:21,5,3,5
s1454881011京东,钻石会员,首先店家发货速度很快，服务态度特别好，还送了赠品，有小米钢化屏，还有小礼品，非常不错，手机正品，用着系统流畅，性价比高，以后买手机了还来你家店铺，值得拥有，小米6，非常完美。,2017-05-27 10:39:47,161,34,5
j***w,银牌会员,是正品，第一次买小米手机，之前看性价比很高，现在真是惊喜，完全是性能怪兽，我放在空调下冷却的安兔兔跑分18w，包装好评，充气的运送时不容易摔坏。过几天再追评吧，嘿嘿！,2017-06-30 17:07:14,43,6,5
