名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
n***7,银牌会员,一开始没发货的时候有点焦急 客服不知道怎么一直不说话 不过还是挺快的 两天就到了 机子验过了 确实是真机 却是是快的没话说 多花了一百而已 感觉比较适合 就是外包装有磕碰 不过不影响  具体的使用情况等用几天再来评价吧,2017-11-03 15:23:29,13,9,5
瞎买小萌新,银牌会员,五星好评 亮蓝色的米六想买好久了一直没货 来京东一看 这家有货 还便宜 真的很惊艳没开性能模式16W的分数 很高了 666是正品 没错的 十月份的新机 就是快递真的慢 北京到长沙五天 其中两天停在了广州不知道什么原因 反正就是好评啦,2017-11-08 18:10:42,3,1,5
j***g,PLUS会员,非常流畅，反应挺快的，分身模式挺好使，赞赞赞?,2017-12-18 14:28:47,3,2,5
非天逆道,银牌会员,港真第一次买新手机，而且这手机很拉风，酷炫蓝光由于我手小5.15英寸真的很好，而且我之前买的是红米note5.5英寸感觉大了一点手也不好掌握，而且配件齐全，卖家送的防爆膜钢化玻璃膜还有和原装一样的磨砂电镀防滑手机套真的很好完全透明，而且我现在单手就能掌握手机，风格几好而且原包装上还有个抱住背面陶瓷的一面包装真的很贴心，还有个小探针，前后都有保护膜抱着，手机套很贴身手机百分百相合，后面那张进网许可一定要保存下来，麻麻再也不用担心我不会用小米手机了，因为我买了小米6原装手机充电线就是快充，调转也不怕这逼格不是一般的高因为我用的是从卖家买来的小米6前后双摄，指纹识别人脸识别，堪比嗯国产中的水果手机,2017-10-12 22:41:21,0,4,5
j***v,PLUS会员,很好很好，原装没拆封的，和你们一样不太放心，到手各种查，官网显示5.30才买的，快递了三天到我手上，主要是广州离北京太远了(才发了一天半，无意点到客服界面，客服还帮催)，到了省份可以按京东自营的速度算了，在意跑分的话建议在不发热的时候重启一下再跑。网上都说后盖缝隙大，我这台的确可以放A4纸，但也非常小的，在玻璃和不锈钢的情况下已经很不容易了，贴膜和外壳推荐耐尔金(虽然左右还有一点点白边，2.5d以后也是用过最好的钢化了)和爱绚的。发的京东，快递盒惊现顺丰盒子(or胶布？)，很省电，最近失眠，今天很早醒了，玩了一个钟，掉电很慢，估计是因为835，很好的米6，没有大黑边了，还是秒识别的前置指纹，和p10用的同一种识别。拍照的人像模式比iphone7plus)还好，才两千六，还是很有性价比，希望不摔，用久点，哈哈哈,2017-06-09 09:07:48,27,16,5
j***7,PLUS会员[试用],手机很好啊，新机器，正品。后盖的边缘缝隙还是有点大的，二且贴合不是太严，手按下去有弹性的，这个好像是小米6的通病，与店家无关了。但是店家送的透明硅胶套很差劲的，根本套不上去，有点小了，毛边还特别明显，具体看图吧。还有就是卖家虽然用了气泡的袋子包装，但是袋子的一侧的气泡是空的，所以手机和外包装又一遍上下两个角是被摔过和挤压过的，具体看图，还好手机打开没有发现什么问题。,2017-11-21 15:47:38,4,0,5
e***y,银牌会员,"一直在用魅族pro系列，最近丢了手机找不回来了，就换了个小屏一点的小米6，一开始问客服有没有现货，急着用，一说有我果断下单付款了，没想到还是等了两天。然后可能是北京距离广东太远了，我足足等了这手机一个星期，愤怒的给物流 0分。
然后说说手机，把玩了一会儿手机，断流发热什么的都没有遇到过，性能很强，我开省电模式在撸大湿上跑分居然还能跑到15万，还排在了小米6的第一名，不清楚什么情况。性能方面毫无疑问给个满分。然后到续航，刚拿到手机是上午11点，还有百分之50左右的电，还原软件和使用习惯加上各种设置，摸索后，大约搞了一个下午，到傍晚6点左右还有百分之18的电，续航给个好评！然后到了缝隙的问题，确实有点不堪谈。。。。你懂的。但是也没有网上说的那么夸张。音质就不谈了，没有独立耳放，没有独立解码器，我600块的kc08听着挺一般的，发挥不出耳机的实力。屏幕没有问题，看着很舒服！！！小米6给个好评！！！不错！",2017-09-16 20:02:31,6,0,5
magicwu23,银牌会员,从iOS5用到iOS10，期间还用过安卓4.0的三星，那时候的安卓就一个字：烂！   这几年Google 对安卓做了不少优化，国产定制的ROM也在实用性上超过了iOS。比如短信的分类，截长图，导出各类文件等等。。实在眼馋了，就准备重新用安卓机。。这颗满血骁龙835很不错，对于日常使用绝对性能过剩了，电池的续航也完爆1800毫安时的iPhone。亮蓝色外观很漂亮，对苹果实在有点审美疲劳了，至于iPhone X，并不喜欢Face ID和那个刘海，不考虑。。买个性价比高而实惠的小米6，不失为一个好选择。。毕竟只要自己想，一年一换机也不会心疼,2017-11-10 21:28:12,1,1,5
j***1,PLUS会员,"五星好评，亮蓝色的米6真的好酷炫，之前一直在小米官网买一个亮蓝色的米6,官网上郑州这边一直显示没有货，发现京东商城上这家店里有，而且还比官网价钱便宜100，果断下单，第一天10点多下单，第二天下午就收到了，真的好爽，京东物流也真给力，五星好评",2017-11-10 16:53:59,0,0,5
m***5,钻石会员,老公早就相中这款手机了，一直没舍得买，正好老公要过生日了，本想趁着双十二有活动偷偷给他个惊喜！后来让我生了一肚子气，我是11号晚上买的，看到上边标着双十二活动的标记才买的，但到了12号早上价格就降了30块钱，很是郁闷，本想着收到以后退货呢，看在老公特别喜欢，而且手机也很漂亮，手感不错，算了，不退了。店家送的东西很全，钢化膜，手机壳，透明手机套，总的来说很好，给满分了！,2017-12-13 20:48:36,1,0,5
