名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
烙***6,金牌会员,很大很大很大很大很大，系统流畅，农药很流畅，跟老哥买的5X合个影，指纹解锁很快，屏幕清晰，就是电池重度使用1天都干不了，第一次充电提示3小时充满，感觉买到假的小米max2，多冲几次就提示1小时30分左右满，夜景是Max2拍的,2017-08-05 21:45:28,34,13,5
j***道,银牌会员,电池续航能力挺好，第一次用小米，感觉系统有点卡，不过总体来说算满意，性价比高。,2018-03-01 12:25:59,0,0,5
j***7,金牌会员,运行速度赞，拍照效果有待提升！主要是屏幕，大赞，看电视，玩游戏追剧神器！    物超所值！,2018-02-24 16:35:49,0,0,5
至***少,金牌会员,很好用！！！以前一直用苹果手机，现在发现小米手机已经非常完美了！！！以后继续小米！！！支持小米的性价比。希望小米越来越好。为老百姓做更好更实惠的智能手机！！,2017-10-25 22:13:49,4,0,5
像疯了一样的啊,银牌会员,手机不错不错不错，屏幕好大啊，看着好爽，不卡，虽然是625处理器，但是用着很爽，很流畅,2017-06-11 11:57:29,4,1,5
韩信不浪,铜牌会员,手机不错，屏幕大，看视频爽，打游戏也很爽，系统可以升级为MIUI.9.0，内存也不错，送的指环是粉色的，我一个男的也用不是对吧，送的耳机全民K歌得B（我一般都是S），耳机还不如换个钢化膜呢，手机太大，很容易被摔。手机我很满意，然后就是……没然后了，       爱你们的欧巴思密达哟！,2017-11-19 15:32:23,1,0,5
C***g,PLUS会员,这是我用过最大的手机，也是我用过功耗最牛的手机，没有之一，京东派送好评。1399入的4+64，官网1699,2018-01-27 14:36:43,0,0,5
x***p,钻石会员,max 1  换  max 2  习惯大屏幕手机，这款很不错，,2018-01-29 10:26:41,0,0,5
1***p,PLUS会员,"优点:
握持舒适
机身弧度设计合理，
色彩表现令人满意
屏幕显示效果不错，
拍照在千元机中表现不错，暗光表现尚可
电池不算特别大，但续航能力不错
缺点:
塑料与金属部分过渡不够平滑
快充依然欠奉，
充电速度较慢
发热控制对比5C有所退步
双摄虚化效果较差，实用性不佳",2017-10-09 20:15:08,2,0,5
j***3,PLUS会员,手机屏幕超大，是玩游戏看电影的首选，电池也耐用，还送了耳机、指环扣等，手机运行流畅不卡顿，性价比高，值得大伙入手。,2018-02-22 21:59:37,0,0,5
旸***爸,PLUS会员,性价比超高，屏幕大，待机时间长，物有所值。,2018-01-30 23:02:35,0,0,5
j***6,银牌会员,手机虽然大但握感还是不错的，系统很流畅，音效比之前用的红米pro要好，电池耐用一整天拍照录视频浏览网页只用了50%的电量，这个价位的手机也算不错了！,2018-03-03 20:00:16,1,0,5
巫***为,银牌会员,这个小米max2是同事看我用的小米max2之后让我帮他买的，强推啊！续航能力很强，一般不一直看视频的话手机可以两天充一次电，毕竟5000mh，相当于一个充电宝了。屏幕大，一般口袋不好放，反正我的手机已经摔了很多次了，钢化膜根本不能换，一换没多久又碎?不过屏幕倒是很坚强。看剧玩游戏很爽的，已经有两个同学换手机都来问我小米max2怎么样，反正都是推荐!我当时买的时候还原价呢，现在已经降价了，但是不过时啊，关键用起来很流畅，一点也不卡，内存完全够用。支持我家小米!,2018-03-02 01:33:37,0,0,5
晶***爷,银牌会员,手机真的很大很漂亮，很喜欢的。快递速度也不错。金色很好看，手机拿着很有手感。,2018-02-06 13:45:04,0,0,5
