名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***2,银牌会员,宝贝收到了，用了几天才评价，这己/是第二部了，质量好屏大，续航能力很好，值的购买，给大哥买的，第一部自己用。,2017-11-04 19:24:19,5,2,5
j***i,银牌会员,手机到手很快，昨天下午四点半买的，今天下午三点就收到了，就是我喜欢的大咖6.44寸，超赞！,2017-09-29 22:48:24,4,3,5
Y***5,金牌会员,手机非常漂亮的！电池重度玩能耗一天，轻度玩可玩两天！大屏看视频真爽！,2018-02-04 17:27:53,0,0,5
郑***岁,PLUS会员,用起来不卡屏。小米就是好,2017-12-02 20:21:25,0,0,5
j***e,金牌会员,还可以，比想象的要,2017-12-03 11:21:19,1,3,5
疯***蕒,金牌会员,京东配送，速度第一快，购物首选京东。包装的很好，里面还装有空气袋，防止在运输过程中发生碰撞。快递大哥也很给力，到货之后我马上过去拿，并且上官网验证过了是正品，刚开始还担心会买到假货，原来不是，所以这家店的不用担心是假货。而且经济实惠，我下单的时候还有50优惠券，而且比官网还便宜，屏幕够大我喜欢，系统我也特别喜欢，想都没想就下单了。,2017-11-08 11:21:33,1,2,5
音***乐,钻石会员,不错比我一代进步不少！！！满意！！！！！送我老婆的2月份帮它买个那比亚N1我老婆说连网差老婆大人不满意所以买个Max2补偿一下让我老婆高兴高兴！！！！！！！！！！！！！！！！！！,2017-06-21 18:12:13,18,21,5
i***8,钻石会员,真没想到这么快,2017-12-09 18:10:52,0,0,5
印***咔,金牌会员,手机很好非常满意。适合年龄大的，屏幕很大。性价比高。这个是我给家人买的第五个了。强烈推荐。真的很好用。价格还不贵。声音也不错。池容量大，所以别怕，不费电。这个手机拿出去特别好，掏出来最大。快点买吧！！！！绝对划算！！！价格便宜！！！,2018-03-08 17:55:52,0,0,5
m***o,钻石会员,順利开机，已验货属正品，放心购买！,2017-06-21 19:38:49,23,5,5
云***衿,PLUS会员,给妈妈买的，大屏大字体老人家看着方便。,2017-10-20 23:40:36,2,0,5
jd_186431chen,银牌会员,这部手机我很满意,2017-12-15 15:04:02,0,0,5
j***5,金牌会员,之前已经用过小米Max1，由于丢失了???，现在有失而复得的感觉，加之比Max1：无伦机身/运行内存/价格/总电量等有绝对高性价比???,2017-10-30 14:33:06,3,1,5
集***5,PLUS会员,网上买机，心情忐忑，但收到机子，，内心欢畅，且不说手机本身原装行货正品，这价格也基本无敌，???，推荐大家来看看，购买。,2017-11-01 08:45:52,0,2,5
j***0,PLUS会员,小米max2玩王者荣耀不卡非常流畅，音质欠佳有种隆隆的感觉，显示效果细腻，拍照清晰，不输二千旗舰机，屏幕比我原先的oppor7plus大。,2017-06-14 17:36:10,20,8,5
j***c,银牌会员,大屏惊喜,2018-01-25 13:58:54,1,0,5
h***9,银牌会员,用了几天了，有大白边，续航很给力，有过一次断流，重启就可以了，还是较满意的产品,2017-11-12 08:09:46,0,0,5
庄***南,PLUS会员,几天前在这个店买了一台小米5A NOTE，回来后晚上回去拆封就发现开不了机，尝试了各种办法都不行，结果这能退回去换货，本来作为PLUS会员有7天无理由退货的权力的，但想到商家也不容易，就想直接换货。但商家收到货后说换货时效要7-15个工作日，等不了急着用手机，所以就干脆再买了一台max2，另一台直接退货。这台收到的时候还专门录了个视频，怕又出现问题，结果很正常，各方面都很满意，看来之前手机质量问题只是一个个案，商家的售后服务态度也还不错，所以给个好评！希望店家生意兴隆。,2017-12-23 17:06:14,0,0,5
阿***哥,金牌会员,用了一些时候了，运行内存大，同时运行多个App，不卡，屏大，电池容量大，这是款相当不错的手机，比苹果5s好用。这是我多次成功网购之一。,2017-10-21 10:26:42,4,3,5
j***9,金牌会员,用了两天才来说说，手机在小米官网验证了是正品不过是17.6.8号下的单，收货地址是北京市可我是17.6.19下的单收货地址是四川才对啊？我有点不明白这手机在小米官网是卖到北京市去了，怎么又从深圳那边跟我发过来呢？？？？我想请卖家给我一个解释,2017-06-25 14:25:53,11,2,5
c***y,钻石会员,小米max2还不错，做工很精致，比一代有进步，除了运行速度其他都很满意，不过不打游戏还是可以接受的，今后继续支持小米。,2017-11-04 07:00:50,3,0,5
B***n,金牌会员,续航超级棒，运行速度挺快，手握红米pro，脚穿小米运动，照着小米led灯，听着米兔故事机，带着小米手环！来评价小米手机！不错，以后继续推荐朋友买小米！,2018-02-06 09:48:33,1,0,5
大***妍,PLUS会员,京东购物很方便啊，的确是快，手机包装也很完好，金色的很好看,2017-09-26 14:58:38,1,1,5
k***l,金牌会员,看着非常不错，全新手机，屏有震撼的效果，包装也很好，,2017-12-13 08:36:29,2,0,5
j***k,金牌会员,物流好给力呀?前天晚上下单，昨天就收到货了，给老公买的，老公已经看了这款手机好久了，6.44的屏，真的好土豪?不过有一点不好，就是怎么什么都没有的（钢化膜，手机保护套，耳机都没有?）我想问，卖手机，耳机都不配送的吗？?快递小哥服务很好，手机老公很喜欢?,2017-09-18 06:58:22,5,3,5
蒹***人,银牌会员,6月1日首发就想买了，一直等到现在，看看大家的评论还行，我不玩大型游戏，打打麻将玩玩英雄杀看看书这手机完全能满足咱的需求，只是625的处理器这价位确实偏离了小米当初主推的性价比,2017-06-24 18:30:40,2,0,5
紫***影,PLUS会员,手机不错，超薄好用，大屏给力，值得购买，紫薯布丁！！！！,2017-07-16 23:10:53,0,0,5
烈***士,钻石会员,手机3天收到，深圳发出，感觉不近。体验如下，屏幕很大，适合打游戏，因为朋友都在安卓机上玩王者农药，所以就买了他，上午收到货电量91%，中午看网页2小时，晚上玩会农药，大概5个多小时，电量剩余18%，农药全程最高画质保持30帧，团战掉一点大概29帧，室温35度，带皮套情况下一点点微热，和7p温度一样吧。两个喇叭的效果不错，但是声音有点小。其他再看。,2017-07-03 07:32:24,7,1,5
傻***瓜,金牌会员,手机非常不错，比我想象的很好多，物有所值，京东的服务也是超级棒，验过，是正品,2017-11-01 05:45:04,1,0,5
登***9,金牌会员,手机收到，这个价位很良心了，64G的内存没的说，比我以前16G的简直像飞一般的速度！简单说下购物体验，和使用总结！手机店铺客服服务很好，耐心解答，细心解说，很好的解决购物中的疑惑。物流也是发京东快递神速，今天下单第二天中午就到，非常满意！使用了几天总体感觉非常流畅，电池，系统，反应，触摸，按键，等等体验都很嗨很好！最主要的大电池还能做到7.6毫米的纤薄，之前的4000毫安就8.2毫米厚了，比同等价位手机还是有很强优势，微一不足的就是分辨率可以完全再高些就更完美！自己用过苹果，三星，魅族，联想，摩托，用户体验小米这款机子最爽，性价比高，屏幕最大，功能最全，实用最强，颜值最美！！！！,2017-11-27 10:45:45,0,0,5
陈***熙,铜牌会员,手机查了是正品，屏幕超级大，不知道易不易碎，手机外观是可以的，物流也挺快的，卖家态度很不错  耐心回答。就是没有耳机 和手机壳，只送了一个手机卡，用过一段时间再看 会不会卡顿  。,2017-08-11 10:06:37,3,2,5
引***愁,金牌会员,当天买，次晨达。一如既往的支持小米手机?,2018-01-28 09:30:59,0,0,5
罗***元,银牌会员,用了一段时间才来评价，第一次用小米手机，首先手机屏幕真的很大看视频超爽，5300的电池续航也很好，手机用起来也很流畅不卡，拍照也还可以，一分钱一分货吧。,2018-02-18 15:51:08,0,0,5
jd_407002768,银牌会员,手机不错，适合老年人，屏幕很大，爸爸也喜欢。,2017-12-17 14:51:20,0,0,5
jd_137886zfc,银牌会员,宝贝是正品，京东物流超快，棒棒的!5星必须的!,2017-11-30 02:44:53,0,0,5
c***6,金牌会员,屏幕好大气，照相像素也挺高！不错！老妈喜欢！,2017-11-04 17:23:53,0,0,5
t***y,PLUS会员,真是非一般巨屏！,2017-10-29 19:58:17,1,0,5
比***猫,钻石会员,真不错，高端大气上档次，运行速度不错，电量有待测试，总体很值，618入手还便宜。。,2017-06-19 18:54:37,2,3,5
j***d,银牌会员,这是稳定版的不能分屏，有点可惜总体还不错。,2017-06-15 00:17:08,6,2,5
j***1,铜牌会员,很满意的大屏，内存也大,2017-11-14 19:14:43,0,0,5
阝***丶,银牌会员,手机很大 点一次用这么大的手机感觉很好 玩王者有的卡 电池还可以玩游戏的话是一天一充 不怎么玩游戏是两天一充 其他的都可以 感觉良好,2017-10-05 11:21:06,0,0,5
成***林,金牌会员,刚用，不是太了解电子产品，目前使用来说，整体还是比较满意，毕竟这个屏这个配置这个价格，性价比来说还是不错的。照相功能没体验，不清楚，指纹识别有，但个人没有启用，所以不太了解。安装软件比较快速，系统济程度来说，还算比较好，应该还是有待提升的。屏确实大，超乎想像，单手握较吃力和不易操作。还有就是小米的中文系统没有华为好用。物流速度嘛，因为是第三方发货，所以少给的一分，是对比京东的速度而言的。暂时就这些。,2017-10-25 09:27:57,1,0,5
M***3,金牌会员,帮朋友买的   我自己是max一代 刚买一年  一直很好 但是这个二代的圆边设计很赞  还有电池容量大了好多5300mAH   玩王者荣耀等大游戏没有卡顿  没有低电量自动关机  希望可以三代时换一个,2017-06-13 10:29:35,0,0,5
惠***用,银牌会员,给亲戚买的，平价机买不到，这个也挺便宜的，使用了一天，各方面都很满意。比较了一下，其他品牌比这个贵一千不止，太高兴了。,2017-06-26 23:47:40,2,1,5
谁***一,PLUS会员,用起来手机卡死了，申请无理由退货结果第三方卖家不接受，还故意拍点别的手机刮痕说不能退，要退的话打六折，听到这种售后人都要气死了火大，下次打死我都不会买第三方卖家的东西了，特别是易道手机店，你已被我记在深深的脑海里了,2017-12-21 20:35:59,14,1,1
思***9,银牌会员,"收获差不多一星期吧，新疆够远的了，我很满意?
包装不错，机子很正，就是赠品真心是赠的，不要钱?
不过想想，券后1735的价格，拿到现货，还有什么好纠结?",2017-06-25 19:16:05,4,1,5
小***鬼,银牌会员,以前用的max1掉水里了，这次本来准备买mix2的，感觉没多大意思，又买了个大屏，还是忠实的米粉,2017-11-14 12:54:01,1,1,5
j***r,银牌会员,还不错手机很大，快递员态度好，印象不错，以后还买小米，给个好评?,2017-12-15 19:39:26,1,0,5
E***姐,PLUS会员,是真品 我双十一下单的 要了1397快递第四天才到 有点慢了 大爱京东,2017-11-15 19:28:24,0,0,5
徐***富,PLUS会员,不错的手机，小米的质量也信得过，运行还是比较流畅的，很好用，手感也不错。,2017-10-09 19:54:16,0,0,5
j***a,银牌会员,还真不错！很合我的要求，我们上了年纪的人手机大点不管是看视屏还是看字都方便了。,2017-10-15 18:56:40,1,0,5
我***v,铜牌会员,货真价实，发货时间段，非常好。,2017-07-08 16:57:44,0,0,5
j***爱,银牌会员,老妹是超级喜欢、屏幕大、玩游戏方便,2018-02-26 10:41:23,0,0,5
K***r,PLUS会员,宝贝已收到，测试了一阵子才来评价，感觉小米不愧是国货中的硬品牌，不玩超大型游戏的话完全够用，速度也很不错，屏幕大字体也大，送给家人和长辈用首选！,2017-12-08 13:23:04,0,0,5
麒***杨,钻石会员,喜欢在京东商城买东西购物体验很好！！！！！！！！,2017-10-09 10:16:11,0,0,5
1***p,银牌会员,手机打货，非常不错声音大,2017-12-19 10:30:38,0,0,5
J***鸟,银牌会员,手机很大，很过瘾，自己经常用手机制作各种表格和文档，因此需要一个大屏幕手机，本手机支持otg功能，可以方便的连接优盘等外设（此功能还没试），特别喜欢这个type-c接口，可以实现盲插，采用了索尼图像传感器，对摄像功能要求较高的用户可以考虑入手本款手机。总体评价：一切都好，无可挑剔，很满意。,2018-01-26 21:26:38,0,0,5
j***3,PLUS会员,昨天晚上下单今天上午就到了，手机壳非常喜欢，送的全屏膜和支架不错。给店家必须赞一个?。,2018-01-08 12:11:14,0,0,5
k***0,PLUS会员,相当不错的手机，够大，够大气！同事体型很配的?送的东西挺丰富哦,2017-06-25 13:26:13,0,1,5
h***y,PLUS会员,机子很好用  就是降价太快了  待机时间很满意,2017-06-29 16:21:50,1,0,5
x***l,PLUS会员,".质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2017-07-28 16:20:16,0,0,5
速***次,银牌会员,手机己收到，京东快递就是快，第二天就收到了，试用一天后才评价，屏够大电池好用，运行速度快，太好了。,2017-12-26 22:55:58,0,0,5
j***9,铜牌会员,手机屏大好用，年青人的首选，京东快递在乡下都送到家门口，服务周到。,2018-02-17 15:39:48,0,0,5
j***9,银牌会员,很好不错，我很喜欢，充电1个半小时就满，用电又慢我现在用来跑业务很好,2018-01-07 22:25:21,0,0,5
可***袱,PLUS会员,小米max2，期待了好久，手机不错哦，发货速度快，看了下现在国产手机做的真漂亮，支持国产，赞一个,2017-06-20 21:48:58,5,0,5
j***3,银牌会员,货己收到了，很不错，双十一时我也在京东买了两部，这是第三次了。,2018-01-14 19:06:39,0,1,5
x***9,银牌会员,手机已收到，和网上看到的一样，现在还没用，不知道怎么样，总体看着还行吧,2017-11-14 12:27:11,1,0,5
豫***帮,金牌会员,真大，比我的米5大好多，运行方面和820差不多，主要是大！！！物流给力！！！可以五颗星！！,2017-07-29 11:18:48,0,0,5
j***p,金牌会员,这个手机屏幕超大，单手操作的话根本操作不了。还好系统支持那个悬浮球。这么大的屏幕看电影很爽。,2017-07-07 22:14:45,0,0,5
l***9,银牌会员,质量还可以，邮寄及时，满足日常使用需求了。,2018-03-03 14:55:52,0,0,5
j***5,金牌会员,很好 老婆很喜欢  屏幕好大  声音也不小  我也准备买一个了,2017-11-08 10:56:23,1,0,5
