名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
m***y,PLUS会员,"手机很好，超出我的预期，先说优点吧？
第一，运行很流畅，使用起来比我原来的小米note快多了。
第二，做工非常好，背壳缝隙几乎没有，小米note一代，可是能塞进三张纸的。
第三，手感非常好，温润如玉，比小米6强不少。这是我用过手感最好的手机。
第四，性能特别均衡，做工很好。
第五，nfc特别好用，没此功能的手机不考虑。
再说说槽点吧，屏幕jdi的，颜色不正，发黄发红。
拍照一般，没感觉比小米6强。
内存占用大，平时清完后台只剩一半。
额头太宽，尺寸和小米note一代差不多要是能减去一公分就完美了。
好吧~_~，总体来说外观漂亮，这些都可以忽略。
最后重点来了，原装未开封，开增值税发票。又便宜，给商家点赞。",2018-01-07 21:09:04,3,7,5
张***物,银牌会员,指纹秒开，用着超流畅。舒服,2017-11-19 11:00:32,3,9,5
jd_151328anb,银牌会员,用手机拍的，像素还可以，运行速度也挺快，指纹解锁很敏感，机型也可以，店家很热情也很有温柔,2017-09-21 19:32:06,9,7,5
咖***9,钻石会员,昨天晚上10点钟下的订单，今天下午一点就到了，快递十分给力，宝贝非常不错，速度很快，玩游戏绝对没问题，不说了五星。,2017-12-28 22:06:45,6,2,5
李***東,金牌会员,不错。小米质量很棒，送的小礼物很鸡肋，没啥用。,2017-11-17 17:42:32,7,7,5
西***强,PLUS会员,"包装好评，物流好评。接下来谈机器。
如图，颜值担当，传说中的缝隙也没坊间说的那么大。和米6差不多重量。玻璃底面可能比较脆，看怎么使用了，我基本上每部机器都可以用两三年。
国产机器还是在进步的，不管你喷还是不喷，核心技术即便是别人的，但是长足的进步你没法否定。从低端价格战到现在的中高端市场，真的是挺大的进步。扯远了。。
前置摄像头提高明显，也难怪6没有人脸识别，不管是日常视频通话还是游戏，都可以胜任。当然如果你预算够，而且喜欢性能和创新的话，接下来的mix2也可以考虑。
我个人觉得的缺点是没有3.5接口比较尴尬，当然现在越来越多的这种设计自然有它的道理，我也只能慢慢习惯。
刚入手，我继续体验去了，还望轻喷，也是怕，不管你说什么都有人喷，没有理由的，可怕。",2017-09-14 15:56:00,38,26,5
张***城,银牌会员,挺薄，手感不错，用了两天了感觉可以！速度也不错！就是充电的地方和耳机孔同用一个孔！再用一段时间再来追评……,2018-01-30 10:17:14,0,0,5
jd_186386hyw,银牌会员,手机照相很清晰，人脸解锁很方便，外观也很时尚大气，物流也很快哦！好评！,2017-12-19 15:32:57,5,0,5
j***c,银牌会员,很6，很喜欢，就是感觉屏幕有点难受,2017-12-24 17:58:42,3,0,5
郭***亨,银牌会员,相信小米一直买的小米,2018-03-08 16:58:12,0,0,5
青***檬,PLUS会员,我第一部最贵的就是小米，现在最后一个也是。这个配置的手机现在用绝对够用，不会提示内存不足啦！照片像素非常清晰。,2017-11-24 13:21:24,3,3,5
秦***曲,金牌会员,拍照很清晰，颜值和我的小米6要好看。我老爸用哈哈他很喜欢。现在每天看说比我的好要我羡慕醉了吧！,2017-10-03 20:59:00,10,9,5
王有辉,金牌会员,这是我家的第七个米咯！！??超级好用，超级棒，我老公很喜欢！我在坐等小米7??,2018-01-30 12:14:39,2,1,5
j***将,金牌会员,手机使用了一周才来评价，上个手机是三星s7e，先说一下差别，屏幕显示和手机拍照方面这个手机比三星差了一个档次，但是基本还可以的，价格也差了2000多块，外观两个手机差不多，系统和续航比三星好了太多，国产手机现在已经和国际大牌差距不大了，甚至有些已经比他们好了这也是值得骄傲，希望国产手机越来越好！,2018-01-09 08:30:59,2,1,5
j***m,金牌会员,功能还是不错的，挺喜欢，小米手机已经用了几年了，永远支持小米,2017-10-17 15:56:10,9,2,5
