名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
最***丶,银牌会员,收到手机第一时间就升级了MIUI9  的确好用  运行速度也快 感觉跟小米6没什么区别 关键还是凡凡代言  大爱,2017-11-06 22:32:02,0,3,5
i***e,PLUS会员,小米Note 3的前置摄像头是1600万，比小米6的800万像素更高，而且支持人脸识别和面部解锁！这是小米6硬件不支持的！升级系统也没用！小米Note 3还支持人脸识别功能，看一眼手机就能完成解锁，根本不用担心冬天带手套和湿手时无法解锁的情况发生。性能方面，660足够用，很流畅！,2017-09-18 16:49:39,1,4,5
x***y,PLUS会员,在京东上选择了好久，看了大家的评价选择了note3，感觉是一款比较超值的机子，高通处理器+6g运存+64g内存，以前用的P7内存只有1g+16g太吃力了，过两天就得清理一下。这次就选择6g，等等有劵了加上优惠终于在两千以内拿下，这个价位这个配置选择的不多，第二天就收到货了，机子总体评价满意，外观很亮眼，没有什么缝隙大的问题，做工很好，按键触摸很灵敏，开机提示升级到9系统，反应速度很快，安装小卡没剪好还没试，系统界面和设置等操作比其它好，系统很清爽，上网速度快，红外线遥控连接电视等设置成功，软件可以卸载，音质不错。缺点就是没带耳机，另外屏幕色彩有点不太好，经测试在设置中将护眼功能关掉，色温设置为冷色调，或者将屏幕优化设为标准模式，屏幕色彩就会鲜艳。总体评价好。,2018-01-26 20:35:55,0,1,5
x***4,钻石会员,"屏幕：色域准确得不像国产机，能和iphone三星旗舰机媲美，看起来眼睛很舒服，不会辣眼睛；
亮度在阳光下也能看得清楚；
系统：反应快得不像国产安卓机，比我的6s还快一点，miui9真的厉害；
拍照：和三星s7e一样的水平，但夜拍时噪点比s7e少很多；
音质：比不上6s，和s7e不相上下；
指纹识别超快！一摸上去就解锁。
通知推送和6s一样快速及时。
系统人性化方面比三星苹果都好多了，用得不操心，很舒服。
性能：660实际上就是去年821的优化版，完全不操心性能不够用。
电池待机充电：充电超级快，插上充电宝一会儿就能满血复活；待机不用时掉电不快，一晚上也就一两个电；玩大型游戏也不会感觉有发热。
信号：比s7e和6s都要好很多，总是多上一两点信号。
总结：
非常难得的水桶机，没有明显缺点，用着不膈应，用了这么多手机里最舒服的一款了，看来能用上很长时间了。",2018-01-26 20:31:29,0,1,5
h***9,金牌会员,全新正品，很好，用了几天才评论的，网络稳定打王者荣耀没得说杠杠的，,2017-12-24 07:21:21,2,1,5
j***l,银牌会员,特别特别好，很满意，信赖京东，不说了，直接上视频,2018-02-05 12:52:14,0,1,5
j***e,PLUS会员,note3很流畅，而且升级到miui9稳定版后有了很多小功能，虽然系统占的内存有点多，但不影响系统整体的流畅度，系统依旧很流畅，而且无论是玩网易的荒野行动还是腾讯的王者荣耀，玩了两个多小时手机也不烫手，而且电池的电量很充足，玩了两个小时的游戏也就下降了百分之二十左右，如果轻度使用手机，大约可以用两天半吧，最后希望miui系统会做的越来越好。,2018-01-12 18:02:10,0,1,5
J***凯,PLUS会员,很喜欢这个手机，外观很漂亮，价格也可以接受，性价比挺高的，跟苹果7比起来一点也不逊色。黑色的非常大方，很满意！,2017-09-19 16:13:05,0,1,5
天行者健偌,PLUS会员,照像还可以，前后都带美颜，档次还可以，就是物流有点让人着急,2017-12-10 18:11:23,0,1,5
j***s,PLUS会员,配送是顺丰的，速度满意，拆包看了，自带了手机套，这个很实用，然后贴膜，现在手机都流行曲面屏，贴膜时是个技术活，自己贴的还不错，开机初步使用了一下，6G运行内存杠杠的,2017-12-02 11:45:11,0,3,5
看***啊,PLUS会员,手感很好。。反应好快。从6p过来的。这几年一直都是苹果。朋友用的这note3试了下感觉和苹果差不多。速度就下单了。以后就用小米了。。优点照相很棒前后摄像头都很好自带美颜很棒。系统用着很流畅不比苹果差。外形玻璃后盖手感很好。自带的软壳很柔软很舒服和机子很合适。,2018-02-01 23:05:54,0,1,5
w***y,PLUS会员,"民族品牌,良心企业,性价比高,质量保证,店家可靠,发货迅速,售后完善,值得购买.",2018-01-12 20:31:49,0,1,5
