名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***o,银牌会员,挺好的，是正品，特意查了一下，给老人买的，性价比挺高的，给大家推荐一下，还是买品牌的好！。。。。。,2018-02-04 17:05:34,0,0,4
j***t,铜牌会员,今天刚收到，物流很快，不到三天就到了，试了一下，运行速度还可以，看视频很流畅，价格实惠。电池续航还不清楚，等用过后再评价吧！,2018-02-25 20:06:04,0,0,5
s***1,铜牌会员,给老爸买的非常好用，电池耐用撑的时间长，生音也比较清楚不大不到在兜里放着也挺好,2017-12-07 00:01:01,0,0,5
j***u,铜牌会员,完美，一点也不卡，没想到500多还能买到这么高端的机子，送给老人一点毛病没有,2017-11-01 11:18:53,1,0,5
f***7,银牌会员,买的时候忘记看了，结果收到后是移动定制版的，还好我妈用的是移动，机子是不错我打95分，这个价位对得起这个产品了，我妈很喜欢，下次我爸买手机还是选这家店，要是物流再快点就完美了。,2017-05-07 21:24:55,2,4,5
A***羊,PLUS会员,还可以，一次买了2个！非常实惠的赞一个！谢谢卖家的小礼品，哈哈！还有耐心的客服！,2017-06-11 09:33:44,1,3,5
j***v,铜牌会员,红米手机用着感觉质量不错，拍照效果也好，买给老人用着挺好，用着简单方便，内存也够用，运行速度够快，不卡机，千元手机选择红米是不错的选择，经济实惠。,2017-12-13 15:48:19,2,0,5
A***羊,PLUS会员,还可以，一次买了2个！手机用着老好了，京东快递也特块快！非常实惠的赞一个！,2017-06-11 09:32:19,0,1,5
j***q,银牌会员,卖家发货很快，顺丰很快。手机包装很好是原装未开封的新机，手机整体感觉不错，屏幕显示清晰，系统运行流畅不卡机。是备用机的不二之选。小米值得信赖。,2018-02-24 16:22:46,0,0,5
j***称,铜牌会员,超级没手感，很轻，跟商场的模型手机一样，卡槽竟然是塑料的，表面无光做工粗糙，像素一般，反正没有眼前一亮的感觉，甚至还有点嫌弃，不适合年轻人，只适合小朋友和老年人，快递更是无力吐槽，跟八毛钱的平邮可以相其并论显示的物流信息就是每天走一步，配送时间也搞得好早上七点到晚上七点，偶白天上了一天班没见送过来，赶着赶着都赶到七点给我送过来了，恰好赶上我下班刚回家，送过来就送过来了也没看到打电话通知一声，还是我自己去看物流信息有没有更新，一看就怎么到评价那一栏去了，就去店里拿，一看，前台扔地上了，我要的时候也是跟平时衣服包裹一样的一甩就飞过来了，看着人家拿着你这几百块的东西甩来甩去没一点感觉才怪呢，如果当初送货的打电话通知一把就不会倒至货到了我也不知道，包裹单上面也注明是什么轻拿轻放的物品，反正这是我在京东上买的最不满意的一次，再也不来买了，一定要缷掉,2017-03-17 07:17:16,5,2,5
沈***n,PLUS会员,店家非常好，手机很给力，用后不错，正品首先外观 做工对得起这个价格 手感也不错， 外放声音不如红米1，当然也比魅族3S的强，魅族那个外放很山寨，音量很大，通话声音比红米1要清楚，无线信号比红米1好很多，红米1经常两三格尔4A却是满格，电池没有想象中的耐用，当然用一天没问题，充电速度很慢，,2017-10-08 16:44:57,0,0,5
j***w,铜牌会员,宝贝收到了，试了试手机反应很快，快递小哥发货也很快，很帅，满意,2018-01-12 07:13:08,0,0,5
Z***Z,银牌会员,手机好用  高通425处理器  打游戏  运行好,2016-12-15 22:26:23,3,0,5
j***l,铜牌会员,还不错  给中老年用够了  爸妈只要看看电视打打麻将就好,2018-02-07 20:25:51,0,0,5
好***柿,PLUS会员,替朋友买的，速度很快，包装完好，感觉质量应该会不错吧,2017-07-02 13:12:54,1,1,5
BoabyAngle,PLUS会员,小米是我一直使用的手机品牌，刚刚拿到手机，包装完美，配件齐全，不愧是大品牌的风格。拆开以后开机用了一会，运行很流畅，屏幕色彩也很饱满，挺满意的。特别是店家细致入微的服务态度，很是满意。倘若预算在一千块钱以内，买这款手机真的特别值当。,2017-10-06 17:38:02,0,0,5
赤***鑫,PLUS会员,我给全家都是买的小米，小米手机性价比真的高。我在这个店买了3部小米手机了，都是正品。小米的手机中高端做工不错，但是低端手机的品质就控制的没那么好了，不过总体上这个价格也不能要求太多了。比较满意。,2017-10-11 21:24:38,0,0,5
番***柿,银牌会员,手机是正品，不过系统被卖家修改过，官方的应用被替换成第三方，还有各种百度系APP。已刷回官方MIUI9,2018-03-01 12:53:57,0,0,5
j***x,PLUS会员,东西收到了 ，系统很流畅 买给自己用的 价格也很合理，就喜欢小屏的手机，这个大小和颜值都完美，拍照一般水平以上满足使用要求。系统流畅，打开应用快的飞起,2017-11-01 10:46:20,1,0,5
忧***重,PLUS会员,超级实惠的价格，京东的东西好，速度力，用起来很舒服，是想要的东西，速度想当的快，京东物流快，质量好，以后就一直在这里买东西了，京东，点赞赞?,2017-06-09 16:42:24,0,1,5
j***6,银牌会员,实用，大气，时尚，全网通，是工薪阶层的手机,2018-01-18 14:24:35,1,0,5
