名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
jd_723036,PLUS会员,包装有点简陋，，物流有点慢，机器本身没毛病，很漂亮，系统最新的MIUI 9，运行流畅，大屏看视频很震撼，就是普通视频黑边严重，看18：9电影还是不错的，1080的屏幕看蓝光很清晰，千元机不错的选择,2018-01-15 16:46:17,2,10,5
j***n,银牌会员,运行很流畅，外观高端大气上档次，性价比非常的高，非常的喜欢?,2018-02-24 16:37:22,2,4,5
Ran-Friday,铜牌会员,手机非常好，和图片一模一样，配件齐全，没有压碎什么的，物流也快，下次还在这里买，好评。,2018-03-03 14:12:21,0,1,5
j***0,铜牌会员,手机收到了，用着很不错很顺畅，还赶上了活动，手机也很便宜。???值得入手喔！也祝店家生意兴隆，大吉大利！！！！,2018-02-13 12:15:39,0,5,5
红木柳,银牌会员,昨天下午下单，今天下午就拿到手了，京东物流速度刚刚的！手机很漂亮很实用。等用一段时间再评价。,2018-02-28 16:55:28,0,1,5
h***6,PLUS会员,不错不错很好，价格便宜实惠，，性价比很高，媲美两千块左右手机！！,2018-02-14 16:56:41,0,1,5
什***荣,PLUS会员[试用],手机还可以，骁龙625，加上4000mAh够用一天了，续航很棒，打王者荣耀的话，开低画质，高帧模式可以维持在40-50帧左右，总体来说还是很棒的，网上说的卡屏，到目前为止还没有遇到过，恩，看以后怎么样吧，一千块钱要什么自行车。,2018-03-02 00:21:08,0,1,5
张***1,银牌会员,手机不错，拿着挺重，大小合适。续航可以,2018-01-02 20:38:13,4,5,5
j***m,PLUS会员[试用],还不错，速度挺快，给老公买的，人家是忠实小米粉丝！,2018-01-16 13:12:16,5,4,5
一***0,金牌会员,刚拿回来，用几天再来评价吧！,2018-02-04 16:29:59,0,1,5
1***p,银牌会员,货已到手，没有眼前一亮的感觉。不过还好没有像评论里说的一样，到手第一天，会有后续追评。真实评价。对了还有就是物流，六天到货！但是！快递员服务好！只怪物流太慢！,2018-02-09 14:51:55,1,5,5
j***5,银牌会员,手机条纹厉害，本来买给老妈的生日礼物，现在耽误了，让退货不给，说是检测，刚买就检测还能用嘛？？可是屏幕条纹太厉害，我就玩了一会都觉得眼睛不舒服，哪敢给老妈用，希望大家如实评论，别造假…,2018-03-05 12:07:43,0,1,5
飞***宫,银牌会员,很好，屏幕真的大。快递速度也很快，做备用机感觉够了。快递员态度很好，价格也比自营便宜。很满意的一次购物，希望如果手机以后出问题了售后也能做的让人满意,2018-02-23 19:06:49,0,1,5
晴***6,铜牌会员,一天半就到了，物流很快，给妈妈买的很好不错。??,2018-03-03 21:37:39,0,1,5
j***b,银牌会员,手机非常不错，一直用的小米。低价高配。非常值得买。卖家送的东西也很多。包装非常用心，物流相当快,2018-02-04 12:42:41,2,1,5
阿***2,钻石会员,小米2017年末出品的新千元款手机。18.:9全面屏，全网通(4G十64G)骁龙八核处理器主频2.0运行速度快。前置柔光自拍，外观漂亮适合大众人群。4000毫安电池，续航无压力。现在购买赠送耳机.指环扣.后壳膜。小米手机，新千元标杆。支持小米，支持国产手机。五星好评，推荐购买。,2018-01-27 07:28:14,0,2,5
h***5,钻石会员,发货有点慢，手机漂亮做工可以，说好4G运存，安兔兔检测只有3.5G。外放喇叭差，录视频有杂音。这个价钱总体还可以吧！,2018-01-07 20:06:28,4,4,5
j***b,铜牌会员,商品看上去性价比很高，以前也用过小米，这次是给男朋友买的，总的来说还是很不错的。,2018-03-07 21:37:03,0,1,5
j***d,PLUS会员[试用],手机用就一天还可以，就是不知道过几天会不会出问题，,2018-02-16 17:21:31,1,2,5
g***7,PLUS会员,超高性价比的一款手机，谁买谁偷着乐，没买的赶快买吧，支持国货,2018-01-30 13:56:54,0,0,5
盖***平,金牌会员,物美价廉，小米手机红米5p性价比高，帮别人买的！快递很给力！送了好多东西！,2018-01-25 18:42:55,0,1,5
j***k,铜牌会员,收到开箱验货手机很不错，好用物超所值，大家都说挺好。,2018-02-06 10:48:26,0,1,5
沒***子,铜牌会员,感觉挺好的，玩游戏也不卡，电池很大,2018-02-15 13:33:14,0,1,5
t***y,银牌会员,手机用起来很流畅，用起来很棒！,2018-02-25 17:35:15,0,1,5
j***7,铜牌会员,很好很好用手觉一流上网很快,2018-02-16 08:40:47,0,1,5
j***k,PLUS会员,一直买这个牌子的商品，一直在用！很好用！购物我相信京东，我一直是京东的支持者，力挺京东，价格全网最便宜， 最保真，服务最好，物流最好，尤其快递小哥送货速度非常快，强哥我相信京东在你的带领下会一直好下去，谢谢京东，谢谢强哥，谢谢！！！,2018-02-07 18:46:07,0,1,5
M***6,银牌会员,手机收到了，用起来相当舒服，不卡顿，续航能力超强，而且还赶上了活动，优惠了100！相当实惠。。真的很不错，推荐购买哦！,2018-02-24 11:05:15,0,1,5
j***7,银牌会员,一直相信小米！性、价比高！颜值好！此次购买店家服务好！,2018-01-27 16:06:40,0,1,5
霹***刀,金牌会员,手机到了两三天了，用了之后来评，小米的系统确实快如闪电，特流畅，骁龙625确实是神u，上网快，不发热，而且省电，原机60/100的电，就用了.两天，确实牛。多谢商家，赠品真是多，耳机，钢化膜，手机外壳两个，而且还是不同版，还有指扣。真是太给力了。,2018-01-29 22:51:16,1,1,5
j***d,铜牌会员,宝贝刚收到?，正在试用中，下次追评。。。。。。。。。。,2018-01-06 22:46:20,1,1,5
光***溜,铜牌会员,服务慢，物流慢，上海闸北发货，送到苏州再运回上海；手机背光灯有质量问题，售后说是就是那样的，照片与实物完全不符，详见附图，退货，退货，售后处理还很慢很慢,2018-02-25 13:05:53,0,3,1
j***0,银牌会员,总体还不错，就是刚拆出来的时候手机屏有点脏，不知道是不是用过的。,2018-02-22 11:59:32,0,1,5
j***f,银牌会员,包装得很严实，手机很好看，反应也很快，比较重，,2018-01-03 13:32:27,2,1,5
J***n,铜牌会员,"主要是冲着小米的全面屏和4000mAh大电池买的，之前有想买荣耀7X但是续航不给力。再者小米用骁龙系列比较稳定，625也用了两三款产品了，应该比较稳定。
        实际拿到手上后，着实被这精美的机身震到，原来三段式机身也很不错，感觉修长的机身比MX5的机身还好看。
        给老爸买的，大屏手写应该还不错。
        继续用用再说。",2018-02-27 19:17:25,0,1,5
优***俐,PLUS会员,千元全面屏的手机，性价比挺高的，应付日常使用完全没有任何问题。不过也有些小缺憾，这手机明明是支持快充的，小米原装却是普通的充电头，节约成本，第二点是，下巴有点太大了，再缩小一点就好了,2018-02-07 20:26:27,1,1,5
B***x,金牌会员,给妈妈买的，第一次买小米感觉可以，性价比挺好的?希望妈妈喜欢,2018-03-08 20:06:42,0,1,5
上***8,铜牌会员,手机不错，这个价位可以买到这个手机，非常值得，快递人员态度也很好，就是有点慢,2017-12-21 12:36:44,5,1,5
Yinshen1130,银牌会员,帮家人买的，都说好，给人一种旗舰机的观感和手感，MIUI9很顺畅，18:9屏幕说不上惊艳但是出现在千元机也是叹为观止，红米5plus在拍照有了一定的提升，总体来说长辈用还是挺方便的，屏幕够大！加油红米！,2017-12-19 13:17:37,4,1,5
j***e,银牌会员,年前刚好快递放假下单的，没想到京东物流不打烊。照常发货，到货速度挺快的。快递小哥也很热情。千元全屏手机手感挺好，用着舒畅，其他还在体验中…,2018-02-20 11:14:52,0,1,5
W***Z,铜牌会员,宝贝己收到，晚了几天才来评价，宝贝很不错，颜值很高，跟描述基本相符，反应挺快，赠品也都送到，只是没开发票，希望是正品吧！不错的一次购物！,2018-02-14 07:39:27,0,1,5
j***c,铜牌会员,手机用了一个星期才评价，老婆用的手机屏大，反应快，包装好，价格实惠，是正品。物流速度还行不是很慢，感觉超好的一次网上购手机。,2018-03-06 23:04:51,0,1,5
无***怪,钻石会员,"这款小米手机性价比很高，屏幕显示不错，软件运行流畅，电池够大，系统稳定，有红外功能，支持扩展卡，送长辈非常适合。
店家发货较快，赠品一般，钢化膜可能是最有用的赠品。",2018-02-28 16:52:09,0,1,5
j***7,PLUS会员,我很喜欢,2018-01-07 05:03:53,3,1,5
M***N,金牌会员,手机使用非常好，大电池很省电，中度使用可以用一天半，全面屏用起来很爽，其他的就不要什么自行车了,2018-02-05 15:26:53,0,1,5
z***3,银牌会员,物流给力，包装一点损坏都没。机型很喜欢，价挌不贵，其次开机试试性能都挺OK。,2018-01-26 19:05:35,1,1,5
徐***贝,银牌会员,做工精细，性价比高  千元机优品  运行也很流畅  支持小米,2018-02-23 12:31:12,0,1,5
幸***5,银牌会员,手机运行速度好快，屏幕分辨好高，本机自带64G内存，最大支持128G，我别外加了128G内存上去有190G内存用，运用好顺不卡，玩大型游戏也好快，京东产品有质量保证值得购买,2018-02-08 19:16:50,1,2,5
l***y,银牌会员,性价比很高的手机，屏幕很大分辨率也高，红米价钱小米cpu,2018-02-20 17:50:39,0,1,5
j***a,银牌会员,行吧！大气！美！物流快！值得拥有！???,2018-01-04 14:59:41,1,1,5
jd_134059eno,金牌会员,手机收到了，看着不错，给宝贝买的，用一段时间再追评吧,2018-01-25 08:32:23,0,1,5
j***u,铜牌会员,物流挺快的，感觉不错，第二部红米！,2018-02-13 12:14:26,1,1,5
c***g,银牌会员,应该是正品，赠送的东西比官网多还比光网便宜,2018-02-27 21:26:35,0,1,5
王***8,银牌会员,手机收到了，外观很好，最新的MIUI9系统，运行流畅，照相很满意，电池也很耐用，非常满意！,2018-02-10 19:10:54,1,1,5
g***1,金牌会员,给老妈老爸一人买了一个手机，挺满意的,2018-02-26 18:27:33,0,1,5
j***i,铜牌会员,手机玩王者荣耀有点卡，刚到的时候内存有1.9g，还不错，其他方面还好,2018-02-16 11:40:17,1,2,5
j***2,银牌会员,帮爸爸买的，他习惯用小米手机，所以又买了台。价格相对别的平台算优惠了，还有送东西。就是爸爸用了感觉没以前买的好用，速度好像会慢点。,2018-03-02 06:52:00,0,1,5
y***0,银牌会员,性价比真的好，大屏幕小尺寸简直爱不释手，玩崩坏3一点都不卡，最爱的就是大存储大电池，再也不用担心没电和app安装不上了！,2018-02-26 09:10:18,0,1,5
l***1,金牌会员,金色的看上去其实像玫瑰金，很好看很流畅，骁龙625的功耗低，4000毫安电池一般使用两天没压力，适合不玩大型游戏的人使用,2018-02-23 21:02:44,0,1,5
青***Q,PLUS会员,国产手机里非常棒的一款，颜值功能都不错！,2018-01-25 12:40:33,0,2,5
青***Q,PLUS会员,国产手机里非常棒的一款，颜值功能都不错！,2018-01-25 12:40:06,0,1,5
谁***富,银牌会员,我就是一国粉这么多年不管买什么一直支持国产，一步步看着国货的进步与强大，之前一直用的是华为的手机感觉真心不错，前两天手机不小心掉水了就想换个小米试用，用了才明白小米为什么成长这么快变得今天这么强大的，物美价廉同价位的机型真是无可挑剔！,2018-02-27 23:28:01,0,1,5
j***t,银牌会员,给老爸买的新手机，骁龙625功耗低性能中规中矩，用起来省电，待机时间长，何况老爸不玩游戏，4G运存就算老爸打开太多软件不关也不会觉得卡，64G内存就算老爸无意中安装了好多广告软件也不会占满手机，老爸也可以随便拍照、录视频而不用担心内存不够用。很值，期待note5Pro。,2018-02-28 17:08:33,1,2,5
j***8,银牌会员,红米5p，黑色适合老爷子的气质，屏幕比预想的还要大，原来用过的机子都是一年左右就卡的不行，看我的红米3s用了2年多还没卡过要求换个一样牌子的看了一圈红米5p最合适，关键还有优惠就要了个4+64的。等等老爷子用段时间再追评。严重表扬京东快递小哥特意绕了个圈送到家，表扬。,2018-02-07 09:58:17,2,2,5
j***a,银牌会员,手机不错，物流也很快耳机没送其他可以。,2018-02-09 11:30:27,0,1,5
j***7,金牌会员,相机还可以，平常使用完全够用。电池续航能力还行，一局王者荣耀大概用百分之8的电。系统也可以不太卡，指纹解锁快。手机很好看。日常使用完全可以，物有所值,2018-02-10 09:40:23,0,1,5
凉***海,金牌会员,评价晚了，忘记拍照了，手机是下单后的隔天上午就收到了，下午就给爸爸直接换了，手感很不错，屏幕也很流畅，很流畅。全家人都是第一次买小米手的产品，是因为SNH48-吴哲晗 小姐姐是我的推，红米发布会当时也在线看了，这次爸爸说要换手机，果断安利了这款，目前用了一周，爸爸觉得很不错，大概是要被小米圈粉了吧，昨天还说要买个小米的吸尘器,2018-02-21 03:30:58,0,1,5
