名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
任***8,银牌会员,手机整体来说还可以，但是安兔兔跑分显示无法链接网络，赠送的手机膜有点偏小,2018-03-05 14:14:43,0,0,5
坎***3,金牌会员,这款手机质量特别好，操作顺畅，不卡顿，小米的系统也很好，支持雷军，支持小米，打到华为，打到苹果，在京东商城买手机很放心，,2018-02-17 22:19:49,3,0,5
j***6,银牌会员,物流好快啊！东西感觉很好！用几天在来评价,2018-01-26 15:08:18,1,1,5
戰***爷,银牌会员,美美的，非常满意，深圳到重庆的3天就到了，卖家态度很好的支持国产手机,2018-03-06 14:45:44,0,0,5
j***2,金牌会员,还不错，给老妈滴生日礼物！棒棒哒?????、,2018-01-27 20:58:12,0,0,5
李***8,银牌会员,千元机嘛，也就不要奢望太多了，比note4X好点，听歌也就别指望能舒服了，一分价钱一分货，毕竟999做成这样已经很不错了。物流发了6天，太慢了，扣的一星是物流的,2018-01-06 17:43:54,5,0,4
j***3,铜牌会员,手机挺好的，就是物流太慢,2017-12-30 10:03:16,0,1,5
j***k,银牌会员,宝贝收到了不错   很好用    系统也流畅       总得来说看着高档大气漂亮  千元机里很好的一款  值得购买   。,2018-01-25 12:37:50,0,0,5
我***里,铜牌会员,货到了两天啦，用了感觉蛮好的，应该是正品货，没拆封的，内存少了点，32G的内存才25G左右，真心实意点行吗，厂家这样忽略我们，商家的服务还不错，给送了手机套，还有钢化膜给五分好评！,2018-01-27 09:00:29,0,3,5
j***k,PLUS会员,一直买这个牌子的商品，一直在用！很好用！购物我相信京东，我一直是京东的支持者，力挺京东，价格全网最便宜， 最保真，服务最好，物流最好，尤其快递小哥送货速度非常快，强哥我相信京东在你的带领下会一直好下去，谢谢京东，谢谢强哥，谢谢！！！,2018-02-22 18:32:54,0,0,5
松***哥,PLUS会员,京东商城购物～物流快～质量～扛扛滴～还有发票。,2018-01-02 12:59:42,2,0,5
罗茜ok,PLUS会员,京东快递送货神速度不用多说。早上到货再来评论的，看起来还不错，颜值挺高的，内存够用，运行起来比较流畅，没有卡顿，当然也可能是我不打游戏的原因；电量持久，一天一充绰绰有余。 然后送耳机，看直播和运行一些软件时因为屏幕过长，两边有黑边，就算是拉伸也很难看，有强迫症的人不建议购买；挺厚的，也挺重；像素一般，没有之前的vivo好。 总得来说千元机能做成这样已经很不错了，性价比是真滴高。,2018-01-06 17:33:59,4,0,5
