名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
迅***达,PLUS会员,手机收到了，使用了几天。屏幕很不错，全面屏效果不错。电池很耐用，运行流畅。很好的一次购物。,2018-01-01 18:01:14,1,2,5
j***1,银牌会员,这是我的第三部红米5plus手机，好用，大爱,2017-12-19 13:00:50,5,10,5
j***a,银牌会员,非常好的手机，给小米点赞，给京东点赞！！,2018-02-21 17:39:52,0,0,5
j***俊,金牌会员,虽然比京东自营贵几十块钱，但是为了能购买碎屏险也值得了，手机很好，快递有点慢，是京东快递，苏州市到广西贵港好久啊，顺丰的话可以来回两次了，总体来说非常满意！,2017-12-17 20:05:07,1,4,5
多***豆,PLUS会员,手机还可以，只是是后封的而已，并不影响使用，机子没啥问题,2018-01-17 09:33:44,2,4,5
j***2,银牌会员,京东物流很快 第二就收到了 第一次买小米手机 拿来备用的 很漂亮店家送了好多小礼品 性价比超高,2017-12-31 16:00:03,2,1,5
麥***治,金牌会员,红米5p性价比极高，用着很顺手，给家里老人买一台，屏幕大还有护眼模式推荐大家购买，还送手机钢化膜手机软胶套，很不错！物流也很快！店家很耐心，感谢快递小哥大过年的也没有休息送货！全五星评价！,2018-02-26 10:18:10,0,1,5
_***8,钻石会员,"很喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same t",2018-01-17 21:15:07,0,0,5
杀***哦,金牌会员,性价比非常不错，喜欢很久了，用了几天来评价，值得一买，5星,2018-01-22 02:01:16,0,0,5
_***8,钻石会员,"很喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same t",2018-01-17 21:15:55,1,0,5
j***y,金牌会员,这款手机我喜欢，拍照也很清晰，用起来速度快流畅性好!赞!,2017-12-30 07:13:03,0,1,5
低调一笑VIP,PLUS会员,手机外观漂亮，第三部小米手机了，电池很耐用，手机系统流畅，很喜欢，对京东的物流特赞，以后还会再来买的。,2018-01-13 19:14:44,1,0,5
j***p,PLUS会员,手机收到了，试着用了下，还是习惯小米得系统，运行流畅，手机后面得指纹解锁很好用～屏幕很大～看电影玩游戏很爽，像素也不错，同价位得性价比很高，配套买了些别的东西这就不晒了～,2018-01-07 23:31:38,0,0,5
j***2,PLUS会员,小米手机的红米也是很喜欢的啦，收到货后外表很好看屏幕也很大，用着也很舒服速度快,2018-01-09 09:19:39,1,1,5
j***山,PLUS会员,机子不错，内存实用的22g，反应灵活，就是虚拟健不爽，照相清楚，蓝色漂亮！马上充电，看电池耐用不！系统是miui9，立马更新一波！客服说补发个壳子！,2018-01-26 16:03:06,1,0,5
-***-,铜牌会员,我已经用了两天了，不卡顿就是有时候任务开多了打王者时候切一下QQ王者就要重进，物流不行送到镇上了，还要坐车去拿,2018-02-22 19:14:50,0,0,5
j***k,钻石会员,发货速度快，手机外观漂亮大气，屏幕显示效果不错，前置摄像头带闪光灯这点非常满意，一直用小米手机，5.99寸的屏幕以为会很大，结果对比一下感觉和我的5.5寸差不多，只是屏幕长了些，有点不太习惯，625处理器对于从不在手机上玩游戏的我足够用了，喜欢用小米系统，手机性价比高，不错！就是买回来两天就降价了。,2017-12-27 21:18:11,1,1,5
w***6,金牌会员,客服服务态度好，感觉还不错！！！性价比挺高的！京东物流送货上门，服务态度好！！！一直都在京东买日用百货质量有保障！！！,2017-12-31 20:01:55,0,1,5
j***b,PLUS会员,手机非常漂亮，系统很流畅，物流速度很快，店家还赠送很多礼品，京东购物就是好。,2018-01-10 22:27:49,0,0,5
-***-,PLUS会员,非常满意，速度很快。本来买来当备用机的，远超预期，目前另外两个朋友见了也打算买，我这是特意试用了四五天才来评价的！,2018-01-08 18:41:09,2,1,5
j***v,PLUS会员,"首先非常感谢京东，这次购物非常愉快，非常满
意，无论是从购物发货速度还是售后都是非常满
意，感谢京东感谢卖家能让我买到这么特价的宝
贝，宝贝性非常棒，性价比超高，运行贼快，打
游戏贼6，同学也非常喜欢，送父母送亲戚也是
高档大气上档次，值得入手老铁们，速度下单
吧，老铁们，没毛病，觉得好记得分享给身边的
朋友和亲戚。
人收起",2018-01-08 10:26:52,2,0,5
匪***七,PLUS会员,手机到了，包装的非常好，用起来速度很快，不像是千元机，很满意！,2018-02-24 12:42:19,0,0,5
彩***伴,PLUS会员,手机已经收到，包装完好无损，很多赠品，价格便宜，还没使用,2018-01-15 13:14:31,0,0,5
j***6,PLUS会员,手机已经收到，包装完好无损，很多赠品，价格便宜，还没使用,2018-01-15 13:09:27,0,0,5
j***h,金牌会员,小米?是真的好用，一直用的小米的手机，在京东上面买的质量杠杠的,2018-01-25 02:15:39,0,0,5
j***d,PLUS会员,手机帮别人买的，他很满意，还送很多东西，太划算了,2018-01-23 21:51:03,0,0,5
j***u,钻石会员,这个手机不错，国产品牌手机，信赖！,2018-01-24 11:02:49,1,2,5
捕***慢,铜牌会员,我觉得，正面很好看，反面就有点丑了，电池续航能力不错，也没有卡顿现象。快递也很快！,2018-02-21 13:30:20,0,0,5
t***_,银牌会员,用了一段时间才来评价啊 很好用啊 鹅鹅鹅鹅鹅﹉不知道说啥了 值得买嘻嘻嘻嘻嘻嘻,2018-02-25 22:26:40,0,0,5
c***5,钻石会员,手机很漂亮很多,2018-01-10 20:45:33,0,0,5
想***8,PLUS会员,非常满意，信赖京东商城强烈推荐，京东商城值得信赖，支持京东,2018-01-16 00:48:19,0,0,5
徐***3,PLUS会员,手机是正品的，用起来也很流畅，质量真的没的说，骁龙芯片很快,2018-01-10 15:10:27,0,0,5
什***命,PLUS会员,春节期间送货第二天早上就到了，手机非常好用，流畅的系统，给老人的春节礼物。希望小米手机可以继续保持这样的状态。,2018-02-20 11:39:56,0,0,5
呀***呔,金牌会员,物美价廉。虽然是第三方卖家，胜在价格便宜。没有发票。不报销也无所谓,2018-02-23 00:51:58,0,0,5
上上谦君,PLUS会员,帮同事买的，他很喜欢，说性价比高，也很好用！,2018-01-04 18:54:45,0,1,5
