名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
恋***兽,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配
送等各方面都是做的非常好的。送货及时，配送员也非常的
热情，有时候不方便收件的时候,也安排时间另行配送。同
时京东商城在售后管理上也非常好的，以解客户忧患，排除
万难。给予我们非常好的购物体验。顺商祺!
Thank you very
much for the excellent service provided by Jingdong mall,
and it is very good to do in warehouse management,logistics,
distribution and so on.Delivery in a timely manner,distribution
staff is also very enthusiastic,and sometimes inconvenient to
receive the time,but also arranged for time to be delivered.At
th
JD",2017-11-10 13:31:30,0,3,5
r***了,PLUS会员,红米5A居然比我的IPhone4S还快，太直了！,2017-11-09 23:43:51,5,5,5
j***a,PLUS会员,小米5A比4A贵了一百多钱，对比一下，手感比4A好一点，重量重一点，4A太轻，5A屏幕太渣了，随便掉地上就破了，一条线，4A摔了几次，没事，处理器就不说了，都慢，四五百的机子就不要求了,2017-11-17 14:05:01,5,0,5
j***m,PLUS会员,"发货速度很快
京东配送给力
手机价格便宜
性价比很不错
发票也补来了
暂时用着不错
给我老妈买的",2018-01-26 17:37:36,0,0,5
j***f,铜牌会员,快递小哥好评 天都黑了还送过来了。  手机也不错，一分钱一分货。,2017-11-15 21:33:35,0,0,5
j***2,银牌会员,手机不错，给老妈买的，信号比较稳定，通话声音也挺大，老妈很喜欢,2017-11-19 22:47:50,0,0,5
杀***魂,金牌会员,完美。货真价实。挺漂亮。还便宜?,2017-11-08 14:06:10,2,0,5
荣***雅,银牌会员,给老爸买的，刚刚到，还没用过，不过听说性能挺好的,2017-12-15 18:25:40,0,1,5
j***v,银牌会员,货刚到，还好吧！买给长辈的！再看体验感吧！,2017-11-30 15:48:17,0,0,5
j***e,铜牌会员,好漂亮的手机，给我妈妈买的，她很高兴?,2017-12-04 19:29:34,0,0,5
j***y,PLUS会员,还行，不卡啊,2018-03-07 10:28:48,0,0,5
j***y,PLUS会员,先来说说手机外观，很时尚很大气，男生女生用都很漂亮，我很喜欢。再来说说价格，价格非常合理，挺便宜的，而且小米手机从来不是乱来的，很好用，速度很快，我喜欢小米这个名字，哈哈哈越用越有米。像素挺好的，自拍外拍都不错，很喜欢，女生手拿着正合适???????,2017-11-12 19:40:46,1,1,5
j***e,PLUS会员,小米手机性价比不错，值得推荐，给快递点赞！,2017-11-16 01:39:22,0,0,5
大***7,PLUS会员,手机不错 一点都不卡 很流畅 很好用 性价比挺高的 适合用,2017-12-16 19:25:37,0,0,5
jd_137001cgyv,铜牌会员,不好意思平价晚了，手机收到后老公用了几天，还不错目前挺好。,2017-12-13 09:10:22,1,0,5
j***v,PLUS会员,拿来做备用机，妥妥的！,2018-02-09 19:11:03,0,0,5
j***子,PLUS会员,拍照效果很好，后置双设人像模式拍出来的效果不错，背景自动虚化，机器速度也很快，拍下后中间等了一周，感谢客服专员帮忙催促，京东值得信赖,2017-11-12 23:06:45,3,2,5
j***k,铜牌会员,宝贝很好物流很快，就是不知道咋提取电子发票呀,2017-12-22 14:01:26,1,0,5
亦***爱,钻石会员,感觉还不错，用用再来认真的评论，至少第一感觉很好,2017-11-01 15:48:44,1,0,5
朗***风,钻石会员,很好很好！！！！！,2017-10-31 11:41:24,2,1,5
j***0,银牌会员,还不错！！！老人用挺好的,2017-12-20 16:36:20,0,0,5
