名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***l,银牌会员,原装正品值得拥有，卖家还送了个茶色手机保护套，但物流却没有京东应有的速度，客服很好，全五星吧。,2018-03-08 16:28:29,1,1,5
j***2,PLUS会员[试用],还行，我看了前面屏幕很好看，但是后面的屏幕和红米4差不多。因为我就是用红米4高配。,2018-02-27 18:47:23,0,3,5
蛊***人,铜牌会员,今天上午到的，东西还不错，这款手机值得拥有，还是不错的,2018-01-19 20:10:47,2,0,5
肖***堼,金牌会员,手机质感一流，可不太像千元机的，系统流畅（还没尝试大型游戏）,2018-02-20 10:43:17,0,0,5
j***r,铜牌会员,手机很漂亮，反应快，老婆很喜欢，京东快递服务到家，赞一个！好评！,2017-12-22 11:31:39,2,0,5
l***鹏,PLUS会员,大屏幕，实用且不贵。,2017-12-23 21:52:58,0,0,5
彩***云,PLUS会员,京东物流，从华东送到华中用了2天。卖家送了膜和套。手机盒里自带了套，,2018-03-01 16:02:54,2,0,5
彩***伴,PLUS会员,包装完好，还有赠品，价格便宜，朋友叫帮忙买，说很好用，速度很快，屏幕又大,2018-01-22 19:47:06,1,0,5
临***哥,PLUS会员,感觉入手太急了，3月27号红米5P就上架了，诶。。。我这米粉又得犹豫一下了,2018-03-03 11:53:45,1,3,5
潇***哥,PLUS会员,帮朋友买的，送了好多东西，到的时候拍了照，我没去拆封，发信息问朋友说很好用，速度很快,2018-01-23 20:45:27,1,0,5
t***M,铜牌会员,挺好的，电池非常耐用速度也还行，毕竟625。,2018-02-22 23:35:47,0,1,5
j***y,银牌会员,卖家发货快，手机很喜欢，本次购买很愉快,2018-03-08 10:42:29,0,0,5
j***r,铜牌会员,非常棒的一次购物！手机用起来真心不错！,2018-03-03 10:16:42,0,0,5
j***d,PLUS会员,手机帮别人买的，他很满意，还送很多东西，太划算了,2018-01-23 21:50:29,0,1,5
j***6,PLUS会员,手机帮别人买的，他很满意，还送很多东西，太划算了,2018-01-23 21:04:50,0,0,5
j***4,铜牌会员,这款手又真心好,2018-02-24 21:25:28,2,0,5
指***秋,PLUS会员,帮人买，，，，，发货速度呢，也算是，，非常快，包装呢，，也也比较仔细、严实，物流公司服务态度很好，运送速度很快！！！！！！！可以！！！,2018-01-26 13:51:41,5,4,5
a***7,PLUS会员[试用],还不错，手机蛮好的，后面为了抽字数。。。实际上就是看见,2018-02-26 18:09:09,0,0,5
剁***吧,钻石会员,手机外观不错，指纹解锁非常快，照相可以，没有我的小米5s亮。使用过程中系统流畅，同时建议大家买手机还是金色好，因为金色是金属本色，而其它是喷漆，难免掉漆，前面一个选择黑色，还没用，充电接口处就已掉漆，果断退货，重新选择了金色的。,2018-03-04 21:58:33,2,0,5
