名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
z***s,PLUS会员,支持小米，支持京东，支持国货！手机我一直以来都是用小米的！从米三开始，就一直在用了，好的国民手机，就选择小米手机。我信赖京东，我信赖小米。最重要的是人要有*别人的东西再好！我也不要，看都不看！赞一个吧！让人满意的一次次购物体验。,2017-10-13 22:51:50,24,8,5
D***事,钻石会员,"我一直有一个疑惑，为什么小米给红米Note3使用骁龙650，而最新的Note 4X则使用骁龙625呢？直到我拿到红米Note 4X才明白小米我正在认真的考虑是否要用红米Note 4X替代我的苹果，骁龙820的速度和Note 4X的电池续航两者都难以取舍骁龙625的实际运行体验比跑分更加优秀。并且指纹传感器快速准确，甚至可以说与S7和iPhone 7上面的指纹传感器并没有太大的差距。
红米Note 4X相机
红米Note 4x拥有一个1300万像素，F2.0光圈，支持PDAF相位对焦。在光线良好的情况，可以拍摄颜色鲜艳，画面精细的照片。HDR模式开启的时候画质会有进一步提升，但是快门速度会明显的变慢。
手机可以录制1080p的视频，质量也不错。如果你使用第三方的软件，还可以进行4K超高清视频录制。相机应用的功能也非常的丰富。
这是一款不会让人失望的千元机。虽然性能不及骁龙650的红米Note 3，但是续航有了革命性的提升。我把这款手机推荐给长期需要出差的用户、重度游戏玩家以及追剧狂魔，4100mAh的超大容量电池搭配骁龙超节能的骁龙62",2018-02-10 00:54:26,2,0,5
j***o,铜牌会员,今天收到新手机小米红米4x:4G+64GB，外观包装完好，很漂亮，很超值，速度快，性价比高，物美价廉，卖家客服服务态度好，值得购买，我心里很高兴！我给你们店五颗星好评！其实，我在买手机之前，我曾反复比较华为，OPPO，ViVO，魅蓝，小米，乐视等各大品牌手机，最后定在小米红米Note4x和小米红米Note5A之间选择，我是忠实的米粉，我们大家庭和我的科室共买过七部小米手机，我曾买过两部小米红米手机，我仔细想想，还是多花几百元钱，买一个容量大的手机好，使用起来不卡，无后顾之忧。硬件方面，红米Note4x搭载骁龙625，八核高性能高通处理器，配备全高清屏幕，在性能，续航，屏幕上都有较好的表现，所以，我终于决定买了小米红米4x:4G+64GB，今天终于收到我心仪已久的手机，下载了常用软件，速度很快，同时支持护眼模式，夜光屏，白天读书时开启护眼模式，淡黄色画面更接近纸张颜色，久读不累。轻薄机身好手感！,2017-09-09 22:30:45,23,21,5
哀123,银牌会员,手机挺好的，价格也挺便宜的。快递送的也不慢。手机反应速度也不慢，照相也清楚，玩游戏也不卡，外观也漂亮，物美价廉。屏幕大图片显的细腻。在京东买贵重物品放心，快该有保证。服务态度也不错。,2017-11-12 17:08:09,2,2,5
j***4,银牌会员,这是一次很好的购物小米（红米）手机性价非常高老年人使用起来非常顺手屏幕大清晰速度很快网购玩微信超棒店家想的很周全手机膜保护套都给配好还是免费送的还有一年延保很划祘昨天下午下单今天上午九点多就送货到家了物流很快包装很好快递小哥很辛苦谢谢了,2017-11-27 16:41:52,0,2,5
碧***蝶,银牌会员,今天到货 速度很快 手机比预计的好 双十一买的 还是小米手机性价比最高 棒棒哒,2017-11-13 20:04:26,3,1,5
鏊***者,铜牌会员,"小米手机我一直都在用，家里人也都是红米note系列，我是从一开始用的，非常好，买到红米note4x之后，我拿到的手感和清晰度大大超过了红米note3,第一个在京东买东，这次收到货后我以后也会达到的在此店购买小米手机了，这看颜色也非常的舒心，谢谢老板给的包装很给力，期待下次还在这里购买。",2017-10-05 23:01:52,12,3,5
j***d,银牌会员,手机拿到了。发货到接货很快。拿到手就使用了运行很快。一直使用小米机子。还是满期待得。用着顺手了所以又买了小米Note4x。是正品行货。物美价廉。值得入手。想买得别犹豫了。,2017-11-07 11:25:58,0,1,5
硕宝妈6688,银牌会员,昨天收到小米Note4X：4G+64G，外观包装完好结实，样子也还行，物美价廉，买之前也不知道买什么牌子，就想买个国产的，反复比较了一下，发现这款可以同时登录两个微信，然后就决定了买这款了，以前没用过小米手机，不知道到底用着啥样，这回试试，,2017-11-26 11:16:37,0,0,5
华***5,PLUS会员,"首先非常感谢京东，这次购物非常愉快，非常满意，无论是从购物发货速度还是售后都是非常满意，第三方店铺的服务也非常好，不比自营的差，感谢京东感谢卖家能让我买到这么特价的宝贝，宝贝性非常棒，性价比超高，运行贼快，打游戏贼6，同学也非常喜欢，送父母送亲戚也是高档大气上档次，值得入手老铁们，速度下单吧，老铁们，没毛病，觉得好记得分享给身边的朋友和亲戚。
First of all thank you very much for jingdong, this shopping very happy, very satisfied, both in terms of shopping delivery speed or after-sales is very satisfied, the third party store service is very good, worse than proprietary, thank jingdong for sellers can let me to buy such a special baby, baby is very good, high cost",2017-12-07 12:04:48,0,0,5
l***8,金牌会员,"性能：骁龙625的性能中规中矩，能够保证系统的流畅性。加上MIUI的优化，日常使用是非常流畅的。玩游戏上，测试了王者荣耀，王者荣耀开启高帧率模式，全高特效，非团战下可以保持在47fps左右，团战会降到32fps。不过两局玩下来发热控制的很好，没有出现明显的降频。

内存：开机可用运存1.7g，32g内存可用22g左右，支持TF卡扩展。

续航：这一块是室友最满意的了，买的那天下午七点钟充满电，室友玩到凌晨1点钟，第二天出门接同学没带电源，晚上回到宿舍还有百分之40左右的电量，625配合4000毫安的电池续航确实比较变态，不过最高只支持5v2A 10w充电，实测大概两个小时25分钟充满。

拍照：拍照只能说一般，和米5有明显差距，据说磨砂黑版本的摄像头用的是三星的，和imx258有差距，待会回去上对比图。",2018-02-11 13:55:47,1,0,5
jd_致青春！,银牌会员,收到手机啦，已用了两天，电池挺耐用，比实体店便宜小三百，母亲用着很满意，准备在给老爸入手一部，还赠送了钢化膜，手机壳，送货及时，服务不错，在京东上买了三部手机了，都没出现过问题，继续支持京东。,2017-12-20 18:51:23,0,0,5
j***d,银牌会员,此机正品，收到货后打开包装很是惊艳，以前用的红米note4x3+32挺不错的 ，觉得内存有点小所以购买了这一款浅蓝色的4+64，而且还是骁龙625，手机真心不错。店家给的赠品也很给力，只是保护套薄了点，但不影响我对这款手机的热爱，毕竟这是店家的一点心意，快递很快，京东就是棒，非常满意的一次购物！,2017-11-20 09:47:18,0,2,5
t***z,PLUS会员,收到新手机小米红米4x:3G+32GB，外观包装完好，很漂亮，很超值，速度快，性价比高，物美价廉，卖家客服服务态度好，值得购买，我心里很高兴！我给你们店五颗星好评！其实，我在买手机之前，我曾反复比较华为，OPPO，ViVO，魅蓝，小米，乐视等各大品牌手机，最后定在小米红米Note4x和小米红米Note5A之间选择，我是忠实的米粉，我们大家庭和我的科室共买过七部小米手机，我曾买过两部小米红米手机，我仔细想想，还是多花几百元钱，买一个容量大的手机好，使用起来不卡，无后顾之忧。硬件方面，红米Note4x搭载骁龙625，八核高性能高通处理器，配备全高清屏幕，在性能，续航，屏幕上都有较好的表现，所以，我终于决定买了小米红米4x:3G+32GB，今天终于收到我心仪已久的手机，下载了常用软件，速度很快，同时支持护眼模式，夜光屏，白天读书时开启护眼模式，淡黄色画面更接近纸张颜色，久读不累。轻薄机身好手感！,2017-11-14 21:26:48,2,1,5
jd_151958bwu,银牌会员,今天收到新手机小米红米4x:4G+64GB，外观包装完好，很漂亮，很超值，速度快，性价比高，物美价廉，卖家客服服务态度好，值得购买，我心里很高兴！我给你们店五颗星好评！其实，我在买手机之前，我曾反复比较华为，OPPO，ViVO，魅蓝，小米，乐视等各大品牌手机，最后定在小米红米Note4x和小米红米Note5A之间选择，我是忠实的米粉，我们大家庭和我的科室共买过七部小米手机，我曾买过两部小米红米手机，我仔细想想，还是多花几百元钱，买一个容量大的手机好，使用起来不卡，无后顾之忧。硬件方面，红米Note4x搭载骁龙625，八核高性能高通处理器，配备全高清屏幕，在性能，续航，屏幕上都有较好的表现，所以，我终于决定买了小米红米4x:4G+64GB，今天终于收到我心仪已久的手机，下载了常用软件，速度很快，同时支持护眼模式，夜光屏，白天读书时开启护眼模式，淡黄色画面更接近纸张颜色，久读不累。轻薄机身好手感！,2018-03-04 19:02:29,0,0,5
j***q,铜牌会员,手机很不错，电池很耐用可能因为是新手机的缘故把。打王者没问题，指纹解锁也好用。已经用了一天了，过几天在来评价。,2018-02-23 11:03:51,2,0,5
快***y,金牌会员,电池续航可以，给力，不过送的膜不太好，半屏膜，还有送的手机壳都变形了，总体来说手机不错,2018-02-25 17:18:28,0,0,4
