名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
1***飞,银牌会员,"小米红米NOte4X,高配全网通双卡双待超大电池4100.5.5寸全高清广视角屏,.运行内存4G机身64G，价廉值得拥有.京东值得信赖物流超快,不到一天就到货了.",2017-12-25 15:39:55,1,2,5
a***g,PLUS会员,这配置，这价格，性价比超高，电池耐用，屏幕清晰，配件齐全，不玩游戏，日常上上网完全够用的，要求不高的朋友可以考虑。,2017-08-10 15:21:16,40,20,5
j***3,铜牌会员,很喜欢，快递也是很给力，今天下单，明天到。,2018-02-20 15:20:53,1,1,5
j***2,铜牌会员,物美价廉，同价位千元机里面，性价比非常高，信赖小米，为发烧而创造！,2018-01-18 20:17:01,1,0,5
啊***r,铜牌会员,"还是可以
1100多块钱，这个还不错。
挺好的。",2017-11-18 01:02:32,7,0,5
2***d,银牌会员,红米not4x，之前给老妈买过，这次给老爸买的，看着貌似不太一样，程序好像也不太一样，还没仔细研究……希望能耐用吧,2018-02-23 12:40:24,0,0,4
tanghaiqitzx,金牌会员,物流很快，第二天就到货了。外观很棒，手感不错，开机试用之后很快，触屏灵敏，流畅，下载很快，很赞。,2018-01-22 00:06:10,4,0,5
只***下,金牌会员,手机不错电量非常耐用，4000毫安电池，手机按上王者荣耀，阴阳师，天天酷跑等游戏，玩起来非常流畅，32G到手22G还可以吧，而且这个手机玩起来不怎么热了，这一点非常赞，喇叭不是太好，但是这个价位的手机也行了。,2017-06-07 08:59:26,28,7,5
恭***下,银牌会员,京东快递就是快，不到一天就到家。,2018-03-08 18:47:00,2,1,5
j***8,铜牌会员,手机指环不行,2017-12-28 14:24:04,1,0,5
l***r,金牌会员,第一次在京东第三方买东西！手机很流畅，给老妈买的，我都想买一个了，也去官网检测输入号码看了，是正品！就是第三方的价格要高一点，到手价玖陆玖！鄙视京东双11官方一直没货.,2017-11-11 15:40:10,7,0,5
jd王超军,银牌会员,验机是真机，而且此商城便宜了一百几十块，划算！,2017-11-22 00:35:58,1,0,5
桃***曼,银牌会员,啊，挺好的，速度挺快，是自己和图片上看的，是一样的，是自己喜欢的那样，而且这个粉色，嗯，不是太粉，嗯，给点磨砂粉挺好看，自己非常喜欢，非常满意,2018-01-27 14:38:47,0,0,5
余***桥,PLUS会员,手机已收到，帮朋友买的，我一直都在京东买手机，物流快产品正宗，是一家不错的电器购物网店的。五星好评,2017-11-19 17:31:21,0,0,5
j***z,银牌会员,很不错的 给五星好评 京东快递小哥 给力 好商家 支持你 感谢快递小哥,2017-12-21 21:52:59,1,0,5
可***阁,铜牌会员,充电的时候特别烫，不知道是不是正常现象,2018-01-25 14:28:48,0,0,5
j***o,铜牌会员,手机到家用了两天，感觉挺好的，唯一不足的地方就是声音有点小,2017-12-28 21:01:08,0,0,5
-***亖,银牌会员,没毛病的良心产品  愿店家越做越好,2017-12-02 09:58:20,2,0,5
j***6,银牌会员,东西挺好的，用着真舒服。,2018-01-29 12:47:21,0,0,5
j***p,银牌会员,手机不错，挺流畅,2017-11-25 21:35:33,4,2,5
j***7,银牌会员,手机很好，给老爸买的，很喜欢,2017-11-17 18:48:23,0,0,5
老***人,金牌会员,手机看着还行，就是这个usb数据线看着象是水货一样，让我觉得手机是水货手机，试用了下，还行，不过个人觉得1299元的价格高了，这配置1099元差不多。,2017-05-15 19:26:09,17,13,5
j***7,银牌会员,用了几天来评价。电池不玩游戏连机器自带应用30个打几个电话能用1天半，同样小米3s4**信惠锁屏平安好医生等全用，电池用两天还余很多。买亏了感觉，包装这样，又花银子买了膜和皮套。不说了上图对比，包装，内存占用，价格及赠品等。最后3张为红米3s耗电情况,2017-11-20 19:33:54,0,0,4
j***0,金牌会员,国产手机越做越好了，雄起!,2017-11-14 17:10:23,1,0,5
a***g,PLUS会员,送货快，性价比高，产值高，电池还可以，要求不高的可以考虑呀。。,2017-11-20 15:50:12,1,0,5
j***b,铜牌会员,买给我妈妈用的，内存够大，运行速度挺溜的，试了一下视频，音质还不错，总体来说挺满意的，好评,2017-09-05 08:39:20,8,1,5
j***4,银牌会员,机子密封性非常好        还行  适合学生党   以后买东西 要问清楚 不然老是搞错      机子应该是正品  颜值高   处理器稳定  王者荣耀不卡  音质还行  相素一般 下车还来,2017-10-09 12:10:10,4,1,5
j***睛,银牌会员,手机不错，用的也挺好的。还送了耳机，还有这个指环。,2018-02-13 20:39:41,0,0,5
j***a,银牌会员,红米手机不错，这是第二次买红米手机了，物流也炒鸡快，客服服务也不错，值得购买，等用的好了再来追评哦?,2017-11-23 16:24:42,2,0,5
j***e,铜牌会员,宝贝收到了，还不错，感觉是正品，在手机上测试过，感觉很好，个人很喜欢，后面会追评的，买了个三年保修不知道能不能用上，感觉挺好用的，只是申请小米账号是id有点奇怪，后面会追评的。,2017-11-30 15:20:10,0,0,5
t***r,银牌会员,手机还可以，高通625的。就是膜有点问题，边缘不透明模糊的两条痕,2017-08-25 08:29:35,8,1,5
j***y,钻石会员,屏幕清晰，使用流畅！物流还可以，手感舒适！如果在赠送一张贴膜就完美了！,2017-11-28 10:27:09,0,0,5
j***4,铜牌会员,手机不错，用了两天才来评价的，手机很薄很轻，拿着也很舒服，这是我买第二个了，第一次买的给老公用了，老公说很好用,2018-02-07 15:24:39,1,0,5
j***v,金牌会员,还不错目前用起来很好。,2017-12-17 12:03:38,0,1,5
j***8,PLUS会员,京东的东西很好  相信小米,2017-11-03 21:14:40,0,0,5
1***q,金牌会员,综合来讲 还是不错的,2017-08-26 18:33:10,1,0,5
j***8,金牌会员,非常好！千元机已经很不错了！手机性能就不说了，挺好！只是拿到手机装了几个软件就变成只有2.5G了！然后吐槽一哈物流，太慢了，从成都到绵阳也就180公里，竟然用了四天才到！还是京东物流！还有这家店下单后突然看到其他店更便宜，至少便宜80！我*，这是什么情况！,2017-11-15 18:19:26,0,0,5
j***6,PLUS会员,帮朋友买的红米手机，也在京东商城买了好几部手机了！京东商城的手机比实体店便宜的多。,2017-12-27 11:28:55,2,0,5
fjtZJCUjZTfu,铜牌会员,一直用小米了。很好用，第一次在京东购物，虽然开始有点瑕疵但是都解决了。很满意，客服很好，配送员服务好。,2017-11-18 21:18:01,2,0,5
狼性狙击手,PLUS会员,送给妈妈新年礼物，小米，一直信赖的品牌，质量杠杠的，性价比高，售后服务一流，自从Mi5电池?鼓包，去小米手机官方授权店售后过一次之后，更加信任小米！,2018-02-04 18:02:35,0,0,5
只***下,金牌会员,手机挺好的，也挺好用的，赞赞赞好评,2017-11-20 10:37:42,1,0,5
过***2,银牌会员,跟描述的一样，整体还是可以的，就是赠送的手机保护壳很不走心，不是很满意，希望注点意，,2017-08-31 08:16:53,3,0,5
陈***8,钻石会员,配置高，内存大，物超所值。,2017-09-18 14:06:04,1,1,5
j***7,PLUS会员,"给岳母买的手机！小米手机一直不错，但没有用过，这次试试，应该可以！
另外快递速度快、态度好！",2018-02-07 12:59:16,0,0,5
