名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
J***2,铜牌会员,给我爷爷买的手机，一开始还担心他不会用所以先到我手里设置好再给他，没想到小米的手机运行速度也很快，外观金色的也很大气，特地还买了碎屏险但愿用不到。这个极简模式特别适合老人，左拉还有快速联系人，这样特别方便。感觉性能确实很好，使用情况有待进一步开发,2017-12-01 15:52:58,1,3,5
爱***静,银牌会员,"对比了近十款千元手机最终选择了小米Note4X,拿到手迫不及待的使用了一天，一直都是小米的发烧友，这已经是第三部小米手机了，一如既往的好，给好评，也值得推荐。支持国产品牌！",2017-11-26 20:12:21,6,1,5
女娲__,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流服务态度很好，运送速度很快，很满意的一次购物，
保修  老妈用够了吧?",2017-11-17 17:32:56,6,0,5
宇***才,银牌会员,"今天上手体验一番玩了一天，觉得还不错，1.红米note4x整体而言，颜值非常高，同价位手机里算是佼佼者!
2.机身采用一面2.5D玻璃设计，中框整机视觉效果是纳米级注塑而成，按键也是注塑而成，特别好，尤其是阳光下，非常漂亮。
3.机身正面，5.5寸屏幕，覆盖2.5D玻璃，手感没得说，也是采用2.5D玻璃
4.机身背面，类似镜子一样的玻璃，玻璃是2.5D弧度设计，顶部左侧分别设计了降噪麦克风
5.机身顶部，和耳机插孔，设计到左侧，简洁大方。
6.机身底部，中间是U*插口，这里说分别设计了对称式音腔，
右侧是音腔，左侧不是，左侧音腔内设计了送明一点，没有过多的开孔，只有
话器!
7.边框左侧非常整洁，边框右侧，按键键延续了荣耀8的设计，按键反馈适中。
9.机身正面上方，这里简单说一下，布局虽然没什么变化，圆形的确实好看，前置采用8500万像素镜头",2017-11-11 22:29:24,7,6,5
D***卷,钻石会员,手机基本值得这个价格，偶尔有桌面无响应情况，估计系统调教还没到位，发热一般，玩王者荣耀还算流畅，续航能力比较强，触屏精准度不够，送的贴膜基本是废的，两边翘起来这么多，内存目前全清有1.3g可用，开王者还有500多m可用内存。背面三段色差明显。,2017-03-26 20:20:41,44,7,5
超***肠,金牌会员,续航：我苹果手机是新入的，电池已经是满状态，只接打电话，还是不怎么多的情况下，两天一充，Note4X我基本是中度使用，一天半一充，如果下面少玩点，两天是没有任何问题的。充电是没有快充的，但是5V2A还是不错的，4000毫安两个半小时能满，个人感觉还是可以接受的。外观：磨砂黑，看起来还是不错，重量，手感，都很好，不太重也不会太轻，屏幕显示效果也不错，不像之前那个红米4X，偏灰，色彩看得很舒服不次眼，强光下也能有较好的表现。性能：我乐檬X3，玩天天酷跑时不时会卡顿一下，有时候会断开Wifi连接，红米Note4X已经用了一阵子了，没出现断流现象，之前买的红米4X因为买错了，也对比了一下，骁龙435和625没任何可比性，刀塔传奇都会卡，但625的表现很让我满意。长时间的使用，并没有使机身发热，这个大赞。拍照：没有任何优点，扫二维码还是行的，下面有他拍的照片。其它：和自家产品小米手环搭配，很不错，基本来电提醒没出过任何问题，不会出现别的品牌手机一样，手环手机都在电脑旁边，来电居然没有反应（本人开会多，基本是静音状态）缺点拍照：这个没得说啊，灰灰的，要本没法看。,2018-01-27 23:04:20,0,0,5
j***4,银牌会员,不错不错物流也快客服态度非常好手机特别流畅,2018-03-02 11:58:40,0,0,5
c***n,钻石会员,不错够用反应速度也很快系统做得可以ui和流畅度都很好重点是千元以的机已经是不错了,2018-02-26 16:18:23,0,0,5
M***天,PLUS会员,一直用的小米手机，用了几个小米手机小米手机质量可以，外观漂亮， 希望小米手机就要做越好。,2018-01-04 17:06:30,1,0,5
j***9,铜牌会员,非常不错的手机，性价比高，物流还算快，中规中矩，很不错，给个5星！,2018-02-23 11:50:33,2,0,5
