名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***4,铜牌会员,声音很小，确定是正品吗？我给妈妈买的手机。问题就是声音很差。录音特别差，还不如我的红米4好。希望店家能够解决问题。,2018-03-04 00:08:02,0,0,5
云***n,银牌会员,一直都是小米的手机，这款应该还可以吧,2018-02-04 10:10:13,0,0,5
m***A,金牌会员,手机收到，外观很漂亮，质量待以后使用后才知，与描述一致，但是手机没有说明书，赠的手机膜尺寸小不符，废品一个，手机壳太软，有点点大而不牢固，不过物流很快，快递小哥服务好，一直信赖京东，五星好评,2018-03-08 20:55:49,0,0,5
j***a,银牌会员,物流很快，这件已经是第二次购买，宝贝很满意！！,2018-02-28 13:57:38,0,0,5
j***j,铜牌会员,上午买的当天到！！！,2018-03-08 16:21:08,0,0,5
r***t,PLUS会员,已经用了一段时间了，运行比较流畅，玩游戏也不卡，外观好看，价钱也划算了，而且客服人很好，有不会用的地方问她都会教我！满意,2017-11-23 15:48:16,3,2,5
星***属,钻石会员,很不错的手机呐，给爸爸买的，像素分辨率都挺好的呀，，速度也挺快的，总体来说很不错，小米手机棒棒哒！支持国货！嘻嘻,2017-11-23 14:54:08,1,0,5
j***e,银牌会员,物流嗖嗖的，昨天晚上拍的，今天上武9:30就到了。必须五颗星?,2018-01-23 10:07:30,0,0,5
蔷***殇,金牌会员,这款手机速度挺快的，用起来也很方便，我老婆子很喜欢呢。,2018-02-14 09:15:27,0,0,5
a***g,钻石会员,手机收到了，跟官网价格一样，就是赠送的贴膜有点让人不满意！,2018-03-06 16:51:46,0,0,5
j***7,钻石会员,设计简约耐用，物美价廉，性价比挺高，配件齐全，时尚感挺强，5分,2017-11-21 17:03:58,0,0,5
j***u,金牌会员,还不错，就是为什么打开有广告的烦死了,2018-01-24 20:08:24,0,0,5
j***x,银牌会员,"第一张图，送的手机钢化膜边缘破裂，心塞。
第二张图，找客服重心补送的手机钢化膜，与手机屏幕太不合拍，心累。
总结，虽然是送的，但也应该认真对待吧！要不就不要送。
第三张图片与第四张图我只想做一个对比，手机机身储存也相差太多了吧！有一点点的失望，本来我就是冲着换一个大一点的手机储存去的，这样还不如原来的手机呢！
但是令我欣慰的是物流很快，晚上下的单，第二天下午就到了，给快递一个赞。",2018-02-26 18:10:20,2,1,5
j***1,企业会员,指纹解锁很好用！手机内存真是大！喜欢！一直用的都是红米note系列的，是忠粉了！总的来说，挺好！,2017-11-23 14:37:35,1,1,5
j***b,银牌会员,手机收到了，很满意，出乎意料之中，一直都喜欢这种系列的手机，棒棒哒。,2018-01-07 16:55:12,1,0,5
明***你,PLUS会员,这是买第三个机很好,2018-03-02 13:22:36,0,0,5
j***2,银牌会员,钢化膜窄了那么多，发货的眼瞎吗！,2018-02-23 17:52:39,0,2,5
j***b,金牌会员,手机超好用，上网玩游戏都不卡，很不错的选择,2018-01-18 12:19:00,0,1,5
A***c,钻石会员,从侧面看，红米Note5A的整体后壳弧面造型，有着像小米Note系列致敬的意味，这样的设计可以大大提升手感。尽管因为售价的原因，红米Note5A并没有采用金属后壳，但表面涂层可以在光线折射下散发金属光线，整体而言在视觉上仍是非常美观。,2017-11-23 18:28:46,0,0,5
我***馨,银牌会员,帮朋友买的，朋友很喜欢。朋友说 这么好的手机这么低的价格买到，超值。,2018-02-27 06:47:02,0,2,5
j***z,银牌会员,很满意的一次购物，店家在包装上比以往两次网购手机都很仔细，绝对不怕被人掉包，手机开机很快，也送了几样实用的赠品，当然手机要用一阵子再来论。很开心，也希望京东这样的良心商家只多不少。,2018-01-14 11:31:49,0,0,5
j***3,铜牌会员,手机不错，用着挺顺手呢，反应灵敏，价格也合适，挺好！,2018-03-07 11:24:53,0,0,5
j***b,铜牌会员,手机今天早上到的，好评吧，以后在追加评论,2018-02-06 15:35:52,1,0,5
泡***吧,钻石会员,物流超快，手机很亲轻，也很快，不错，电池也还行,2018-02-14 08:34:56,0,0,5
会***子,钻石会员,公司年会的奖品，就是物流有点慢。,2018-02-28 11:26:48,0,0,5
顾***9,钻石会员,用了一段时间评论，很好用，系统很快。,2018-01-14 17:42:29,0,0,5
j***e,金牌会员,外观好看，也好用，值得信耐的产,2018-01-24 09:44:18,0,0,5
j***l,银牌会员,卡没有补到！看到还不错,2018-02-17 14:52:33,0,0,5
j***w,银牌会员,71577941500从北京到西安用了6天时间，在通州压了三天才发出来，还是催客服的，通州京东简直是垃圾。影响了整个京东的形象！,2018-03-06 12:52:37,0,0,5
j***4,银牌会员,好靓仔！物流很快！感谢京东,2017-11-24 17:29:55,1,0,5
