名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
h***y,PLUS会员,小米定位电话，感觉很不错，设计的很漂亮，非常小巧，定位功能还可以，灵敏度稍低，但是可以接受，可以放在车上，定位车辆的位置，也可以给小孩用，感觉挺不错。,2017-07-27 14:12:36,38,6,5
J***s,PLUS会员,小米的东西一般来说都不错，这个暂时没有手机卡，先试试吧，给孩子买的，回头我再来补一部分用上的照片还在别家买了一个套蓝色的，卡通的，挺好的，到了一起拍照片。快递小哥非常棒，全五分好评。,2018-01-03 12:51:26,2,0,5
j***y,金牌会员,非常棒的产品，定位精准到五米之内，还打算再买个！静静的告诉你还能听周围的声音哦！,2018-03-04 18:50:14,0,0,5
聆***婷,金牌会员,东西很好用，就是拨号的时候第一个首先是自己的定位电话号码，希望这个可以考虑后期优化一下，声音大小还可以?，但是实物比图片小好多,2018-03-07 19:54:40,0,0,5
b***r,PLUS会员,昨晚冲完电后一直开机，十二个小时显示用了5%的电，没有测试定位情况，测试后继续追评。,2018-03-07 11:09:44,0,0,5
x***e,银牌会员,产品可以待机5到6天，产品用着还可以。就是卡太不好装了。,2018-03-09 14:21:39,0,0,4
叮***9,钻石会员,第二次买了，依旧好用！,2018-03-08 22:06:14,0,0,5
j***秋,PLUS会员,比我想象中的还要好还要小，收货后迫不及待的上卡测试，定位还可以，通话质量也不错，续航能力待进一步使用后评价。,2018-03-06 22:19:48,0,0,5
非***0,PLUS会员,送货很快。安装简单，使用方便，通话清晰。但精确度待检验。拨号反应慢一拍，通话是通过网络吗？,2018-03-05 16:44:41,0,0,5
z***m,PLUS会员,给小孩子用，很方便，之前那个不知道为什么坏掉了，再买一个,2018-03-07 06:26:37,0,0,5
阳***情,银牌会员,刚拿到没想到这么小，感觉挺方便的，还不知道待机多久，试试看看再来。,2018-03-06 17:10:50,0,0,5
山***真,PLUS会员,可以监听，跟踪，功能很强大，需要办一张小卡。,2018-03-07 11:20:18,0,0,5
奥***哟,PLUS会员,东西不错，这是买第二个了，第一个进水了。,2018-03-04 16:24:29,0,0,5
j***f,铜牌会员,宝贝收到了，物流超快，定位定的很准确，值得购买。,2018-03-05 09:45:41,0,0,5
s***y,钻石会员,非常好用，功能简单。定位，轨迹，通话，都很不错。,2018-03-04 16:48:45,0,0,5
相***言,PLUS会员,小巧，好用，各方面都满意！,2018-03-06 20:34:15,0,0,5
w***z,PLUS会员,精致小巧好用，又买一个,2018-03-07 07:27:21,0,0,5
一***民,钻石会员,非常实用，简单不花哨。小孩子用非常的好，最主要的是充电一次最少7天，比我之前买的儿童手表强的不是一点点哦，而且还挺实恵，性价比超高，非常非常的简单实用。相当满意！,2018-03-05 15:19:38,0,0,5
小***子,金牌会员,非常不错，推荐很多人买。电池耐用,2018-03-08 20:43:00,0,0,5
拈***月,钻石会员,非常实用！！！不想买电话手表给孩子，因为电话手表总有游戏在里面，这个好，电话、定位、闹钟等基本功能都有，一个按键，没有显示屏，太符合我的需求了。,2018-03-05 14:03:42,0,0,5
y***8,PLUS会员,定位功能很强大，东西也很小巧，打电话不太方便，一开始连接也略有点不方便。不过这个价格完全够了，可以放车上，当定位用。,2018-03-08 08:40:20,0,0,5
c***c,PLUS会员,外观小巧，做工精致，功能实用，续航认同（5天左右）！不足：监听效果不佳！关于背壳易损，可购买一个保护套。,2018-03-04 13:50:43,0,0,5
领***锋,PLUS会员[试用],定位准确 操控简单 通话清晰 老人家不戴助听器也能听到 普通模式 用了三天还有70%的电 厉害了,2018-03-08 23:20:26,0,0,5
j***7,PLUS会员,简约风格，手感很好，大小孩子拿着正合适。功能设计非常人性化，基本的需求全部都满足了。满意！好评！,2018-03-06 21:20:54,0,0,5
W***G,PLUS会员,小米（MI）米兔定位电话 防丢GPS定位器 车辆防盗器 儿童老人微型跟踪器 追踪器 高精度实时位,2018-03-05 17:59:59,0,0,5
_***_,PLUS会员,很小巧，很不错,2018-03-09 15:17:23,0,0,5
l***t,钻石会员,目前来看用着还不错功能和描述一致，如果电池还能更好就不错了，第一次觉得小米的东西能用。。,2018-03-08 09:29:23,0,0,5
w***a,钻石会员,给小孩买的，已经用了一段时间，绝对好东西，小孩喜欢的不得了。充一次电用一个星期没问题。,2018-03-08 08:24:15,0,0,5
5***俊,PLUS会员,一直都在京东上买这个牌子的东东，值得信赖品质一流，非常好超级喜欢！,2018-03-05 22:11:45,0,0,5
心***d,钻石会员,之前买过两个360儿童手表给老人用，无奈还是操作复杂了，这个很好，老人用的很开心?,2018-03-08 22:47:01,0,0,5
有***节,PLUS会员,很好 简单 实用 ，希望小米越来越好，开发出更加美丽实用的产品,2018-03-07 20:50:53,0,0,5
w***9,PLUS会员,好东西，好玩好用，小孩子配一个可以定位可以通话，可以打电话。,2018-03-08 09:23:57,0,0,5
寻***7,银牌会员,非常好，能它位，买给我女儿用的，可以用来打电话，也能知道她的位置！！！！！！！！,2018-03-05 18:49:57,0,0,5
森***屋,PLUS会员,还没试不知道好不好用还没试不知道好不好用还没试不知道好不好用,2018-03-05 21:13:38,0,0,5
阿***6,PLUS会员,好用，京东购物还是值得信赖，一如既往的速度快，质量有保证。,2018-03-09 09:27:02,0,0,5
j***s,PLUS会员,电池挺耐用的，用法很简单！！真的不错！老人家首选机型！！！,2018-03-08 22:42:17,0,0,5
花***来,钻石会员,给家里老人使用的，定位比较准。赞一下快递小哥，春节期间坚持工作，送货依然神速。,2018-03-07 18:08:03,0,0,5
s***6,钻石会员,感觉很好，这下老人出门放心多了，要是防水就更好了，定位相差四五十米吧，总体不错,2018-03-05 21:13:46,0,0,5
C***林,银牌会员,不错。。。。给家里的老人用的。。很简单。一学就会。买了很多个了。。！！！！！,2018-03-08 08:53:45,0,0,5
p***7,PLUS会员,东西还行，定位大概，不是很准确，充电充的麻烦，最多用2天,2018-03-04 22:46:17,0,0,5
w***9,PLUS会员,用了一段时间了，个人特别推荐，电池挺抗用的，路线也很准，,2018-03-04 17:28:59,0,0,5
n***j,金牌会员,给我爸爸买的，使用下来蛮好的，比较省电，定位还不错，基本能够满足日常的需求。,2018-03-06 13:02:58,0,0,5
浩***游,钻石会员,买来给老爸使用的，目前效果还不错，电池正常使用没有介绍说的那么久。其余还好。,2018-03-04 11:23:46,0,0,5
钻***爸,PLUS会员,买过好多个了，真不错，很方便，定位也很准！支持国货精品……,2018-03-07 11:39:53,0,0,5
j***g,PLUS会员,目前用着不错，就是不太好携带，给的绳子不知道系在哪里好,2018-03-05 13:26:57,0,0,5
镜***花,钻石会员,非常好，定位很准，小朋友也很喜欢，就是打电话有杂音，好像不能多个手机定位,2018-03-04 15:06:27,0,0,5
j***心,PLUS会员[试用],续航三天吧，比较好操作，信号还可以，偶尔会定位出错,2018-03-07 22:27:54,0,0,5
