名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
H***o,银牌会员,"给妈妈买的手机，写几点真是体会可能会帮到正在看评论的你：
1.手机盒上的手机颜色与手机颜色不一致，可能都是这样，所有颜色手机盒子上都是蓝色；
2.手机铃声并不小，开到最大都可以轻易听得见，我也录了来电时响铃的视频供参考(本来看评论还担心手机音量小),
3.手机打电话声音也很大，但是确实声音生硬不好听(不知道是不是新喇叭像耳机一样需要煲机的缘故)；
4.新款的这个特别轻，质量、做工给我的感觉是这个品牌已经完全不是以前的诺基亚了，整个手机像个玩具而不精致；
5.操作上还是很不方便的，首先手机带手电筒，但是需要在手机设置里找到之后才能打开，侧面并没有独立按键；其次，打电话的时候不能右键直接开免提，需要左键在二级菜单里往最下找才能发现，很不方便；后盖盖上很松动；
6.此款手机功能上有收音机，必须插耳机才可以用，但是没有附送耳机，如果想要使用收音机功能还要自己配一个耳机。

总结：如果你还想找回以前诺基亚带给你的那种感觉，那么它多多少少会让你有些失望，如果是家里有用不习惯智能机的爸爸妈妈，并且他们眼睛还要好使的情况下，这款手机或者说诺基亚这个品牌仍然还是不二之选。",2017-11-02 19:46:19,310,72,3
田***子,银牌会员,"总体来说还不错，学生时代第一款、第二款手机都是诺基亚。现在虽然用的是苹果，但仍怀念诺基亚时代。做为备用手机绝对是不二的选择，100元左右的手机绝对不能与此手机相提并论，无论是操作感和显示都不是一个级别的。买的是一种怀、一种情愫、一种信仰。虽然质量看上去、摸上去不如从前，但大品牌的东西不会错。最后希望NOKIA越来越好！
上图吧，啥也不说了。说多了都是泪。",2018-03-08 22:53:22,1,0,5
j***1,金牌会员,用的是情怀，一如既往的好,2017-11-04 21:14:45,26,7,5
卡***子,PLUS会员,这手机挺省电的，但不知道我没弄懂还是它压根就换不了壁纸。买来治疗看十分钟书，玩半小时手机这种慢性病的。,2018-01-10 11:18:47,25,7,5
我***4,银牌会员,不错，手机买回来用备用机，挺好的，诺基亚老牌子，刚开始用的第一款手机，老情怀了，快递也快，服务也好，赞！！！！！,2018-03-09 16:01:17,0,0,5
baicgxz,钻石会员,简单实用，按键软软的，很不错的东东，用的是情怀，绝对的经典。就是不知道发票哪去了，还有就是好像不是诺基亚生产的（生产地越南），不过上网查了，是正品。用一段时间再追评,2018-02-23 15:05:19,1,1,5
j***n,银牌会员,手机通话还可以，详情上说有网络，怎么没有找到？,2018-03-01 18:45:43,1,0,5
j***5,PLUS会员,很喜欢，很棒，就为了待机和轻便，刚刚好满足我的要求！,2017-12-05 08:29:56,8,6,5
昔***使,银牌会员,哈哈?，还有密码锁，厉害啦！感觉都挺好，就是那个手电筒的快捷开关不是很灵敏。拿来当手电筒？嘻嘻,2018-02-05 17:39:48,5,2,5
-***-,铜牌会员,手机晚上拍的第二天下午就收到了，小巧方便，还有超级的待机能力，是我想要的。,2018-03-07 09:30:00,1,0,5
我***奶,银牌会员,怎么做手机帮同事买的，给父母的老年人吗，一能简单实用就可以,2018-03-09 08:23:11,0,0,5
滑***意,银牌会员,物流快。手机拿在手里手感不错。其他的还没试。,2018-03-08 12:53:27,0,0,5
j***6,金牌会员,很好！老太太很喜欢?,2018-03-08 16:05:42,0,0,5
价***宜,PLUS会员,很好好强大，哈哈,2018-03-07 11:21:02,0,0,5
亲***为,PLUS会员,经典诺基亚。不朽的传奇。不知道待机时间怎么样？用了几个月才回来评价吧。,2017-10-13 21:52:08,22,0,5
j***5,金牌会员,老人家一直用这种手机，一百多块用上几年挺划算的。这也算新款了，看上去做工还是不错，应该是正品，相信京东！,2017-10-25 10:40:07,11,0,5
jd_176854mav,铜牌会员,挺好的，升级版诺基亚，电池不知道耐不耐用,2018-03-09 12:49:13,0,0,5
j***8,金牌会员,很好，很强大！?,2017-12-19 13:46:28,1,1,5
a***n,钻石会员,买来给老人用的，功能不多但是完全够用，续航时间非常长，非常好的一款手机,2018-03-05 20:05:50,1,0,5
紫***蓝,银牌会员,刚刚收到，看着还好，不知用着怎么样？希望能用的久点！！！,2018-03-07 16:21:10,0,0,5
