名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
阿***网,金牌会员,特意用了近十天才来评价。我89年的，2013年底才用上智能手机，京东买的华为荣耀3，速度慢但是质量好，用了三四年因为系统问题开不了机。到今年初京东买苹果se速度确实快，但是质量不好，才用半年天冷了现在总是自动关机，再很难开机。所以想买个手机，喜欢荣耀所以京东买了个荣耀9，用了一晚上速度很快，可是屏幕拖影严重，电池耗电也很快。我申请退货，京东服务很好上门来取走，第二天就退钱了。超赞！然后看中了这个荣耀v10，难抢，套餐购买近叁，千块。我舍不得，怕不好。因为看评价说屏幕国产也不好。我29岁单身，想省钱装修房子找对象。想买个荣耀8一千五凑合着用算了。纠结了好多天。还是忍不住买了荣耀v10，因为我有个华为平板m3，很喜欢前置指纹解锁按钮。收到机子我很喜欢，出厂自带贴膜很棒。屏幕大我手小也能拿住用，比一般六寸手机窄，手感很好可单手操作。前置指纹解锁也很快很好，最爱这个了。看评论说国产屏幕有斜纹，我的这个没看出来，屏幕很清晰，没问题。电池也很耐用，充满电，我第一天轻度使用，到晚上还有96％的电。后来中度使用，到晚上还有70％多的电。处理器速度很快，不比苹果差，软件都是一点就开。相机也很好，比我的苹,2017-12-22 20:43:53,337,150,5
N***n,PLUS会员,荣耀手机的五百优穗卷：【 ynh.在线/6v 】复￥制括号内内容。到浏￥览器中￥打开领取，特意用了近十天才来评价。我89年的，2013年底才用上智能手机，京东买的华为荣耀3，速度慢但是质量好，用了三四年因为系统问题开不了机。到今年初京东买苹果se速度确实快，但是质量不好，才用半年天冷了现在总是自动关机，再很难开机。所以想买个手机，喜欢荣耀所以京东买了个荣耀9，用了一晚上速度很快，可是屏幕拖影严重，电池耗电也很快。我申请退货，京东服务很好上门来取走，第二天就退钱了。超赞！然后看中了这个荣耀v10，难抢，套餐购买近叁，千块。我舍不得，怕不好。因为看评价说屏幕国产也不好。我29岁单身，想省钱装修房子找对象。想买个荣耀8一千五凑合着用算了。纠结了好多天。还是忍不住买了荣耀v10，因为我有个华为平板m3，很喜欢前置指纹解锁按钮。收到机子我很喜欢，出厂自带贴膜很棒。屏幕大我手小也能拿住用，比一般六寸手机窄，手感很好可单手操作。前置指纹解锁也很快很好，最爱这个了。看评论说国产屏幕有斜纹，我的这个没看出来，屏幕很清晰，没问题。电池也很耐用，充满电，我第一天轻度使用，到晚上还有96％的电。后来中度使用，,2018-02-07 22:44:47,58,34,5
喵***的,PLUS会员,家里的猫很顽皮，半夜跳上桌子把我的小米mix和三星2017推到地上去了，结果双双碎屏阵亡。裸机，地砖地面。现在小米mix正在京东申请维修，三星在找朋友维修，三星摔的凶点，估计gg了，小米是中框碎，外屏碎。思前想后，下一个手机定不能买很贵的。决定不超过3000元。家里破坏份子太可怕。逛了几个小时后，经过研究感觉这款性价比最高。1.屏占比高 2.拍照效果好。今天出去拍了几张照片，后置摄像头比美图m8强。m8当时也是2999买的。更适合前置自拍，后置偏色。晒单里的照片就是m所拍摄。m8除了自拍其他方面是远远不如v10的。当然我还是很喜欢m8毕竟我有一颗少女心。3.支持人脸解锁。人工ai不错。3.麒麟970性能很强大，貌似华为mate10也是搭载的麒麟970。网上会有热议和骁龙830比哪个更强，我个人感觉都挺好，系统流畅不卡机。这仅仅要3000元呀，性价比妥妥的。4.以上来自一个手机控的不专业评价。,2018-01-13 19:16:33,190,96,5
你***说,金牌会员,"首先是好评送货速度，12号凌晨下单当天下午就到了。然后手机的外观的确挺好看，比想象中更加修长。包括裸机的手感,后壳金属质感很好个人认为，但是也的确有点收集指纹，目前运行起来没有太大问题。耳机接口也没有给人太粗糙的感觉。送的手机壳虽然一般，但是还是比较好的把凸出的摄像头遮住了。关于外观只有这些，因为刚刚拿到手机，在升级系统，包括人脸识别等等。所以还没有感受到970的威力。后期会根据续航，拍照，音质，一些细节的方面吧 。进行追加，希望能帮助到有用的人",2017-12-12 19:52:33,73,63,5
b***8,PLUS会员,上一个荣耀7用了两年半，还是换回荣耀系列，非常满意，普通用户，之前看到网上有970芯片发热，有点担心，目前没感觉到手机发热，充电也不见发热，无线信号比荣耀7稳定，通话声音很大，屏幕够大，之前一直想买小米mix2，去实体店多次觉得mix2发热，而且做工一般，也担心其品控，虽然小米系统感觉的确好过华为的。综合来说支持自己芯片的荣耀！还好忍住冲动，等到了V10！大爱！！！,2017-12-07 10:24:12,185,247,5
s***9,PLUS会员,荣耀大V10真心不错，机身超薄，色彩艳丽，充电超快，支持华为多制造精品！价格优惠点更好?(?????)?? 爱你么么哒,2017-12-21 22:56:31,55,30,5
jd_535417767,钻石会员,用了十多天才来评论，有一点不满意的是，手机拆开后，居然手机屏幕很多尘，还有包手机的塑料套也磨花了，我真的很怀疑是退换机，总体来说这台手机速度真的很快，摄像头个人觉得不算很清，黑白的比较清楚，人脸识别很快，指纹也很快，买64G内存我比较后悔，应该在买大一点，手机通话声音很大，在公众场合聊电话也会听得到，之前一直是在用小米，现在换华为，屏幕也很清楚，没有网上说得那么差，总体很清晰，电池方面续航比较给力的充电在超级快充的情况下，真的很快，提醒一点就是，充电器有两个充电方式的，数据线插进去一截是普通充电，整个数据线插进去是超级快充，还有就是华为的碎屏保，为了这件事我电话费打不少，华为客服四个客服都无法回答我的问题，还有打很久才有人听，希望华为客服方面能效仿一下小米,2018-01-17 13:18:40,11,3,4
7***3,PLUS会员,特意用了近十天才来评价。我89年的，2013年底才用上智能手机，京东买的华为荣耀3，速度慢但是质量好，用了三四年因为系统问题开不了机。到今年初京东买苹果se速度确实快，但是质量不好，才用半年天冷了现在总是自动关机，再很难开机。所以想买个手机，喜欢荣耀所以京东买了个荣耀9，用了一晚上速度很快，可是屏幕拖影严重，电池耗电也很快。我申请退货，京东服务很好上门来取走，第二天就退钱了。超赞！然后看中了这个荣耀v10，难抢，套餐购买近叁，千块。我舍不得，怕不好。因为看评价说屏幕国产也不好。我29岁单身，想省钱装修房子找对象。想买个荣耀8一千五凑合着用算了。纠结了好多天。还是忍不住买了荣耀v10，因为我有个华为平板m3，很喜欢前置指纹解锁按钮。收到机子我很喜欢，出厂自带贴膜很棒。屏幕大我手小也能拿住用，比一般六寸手机窄，手感很好可单手操作。前置指纹解锁也很快很好，最爱这个了。看评论说国产屏幕有斜纹，我的这个没看出来，屏幕很清晰，没问题。电池也很耐用，充满电，我第一天轻度使用，到晚上还有96％的电。后来中度使用，,2017-12-31 12:19:40,342,76,5
j***6,银牌会员,手机实物比照片更漂亮，速度杠杠滴！玩了一把王者用的李白五杀吓哭！荣耀玩荣耀杠杠滴。,2018-02-07 13:38:27,22,4,5
-***_,PLUS会员,手机反应很快，指纹秒解锁，人脸秒解锁，买的套装版，有半年的碎屏险，还赠送了一副荣耀耳机，性价比比较高。试了半天，总的感受：1.系统反应迅速，很流畅，麒麟970的确不错。2.屏幕整体显示效果很好，还有色彩调节。3.正面指纹解锁，还有home键，这个价位，这个配置，可能是唯一选择。缺点嘛，可以说近乎完美了，并无明显缺点。总体来说，非常值得拥有的一部手机，比动辄6.7千性价比高很多，省下将近4千元给妈妈买台好点的洗衣机也不错啊！,2017-12-26 12:44:03,108,35,5
