名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***呀,PLUS会员,在老家，没网没WIFI，为了评价这个商品，我走了几十公里的山路来到镇上，脚上磨起了许多豆大的水泡，鞋子也开胶了。本来想把家里的苞谷卖掉几十斤，在镇上坐车到城里的网吧来评价的，无奈天公不作美，今年收成不好，种的粮食只够家里吃，所以我只好在镇上的砖窑里打工，挣足路费。从砖窑搬一块砖到拖 拉 机上只给一分钱，为了100块的车费，我搬了一万块砖，十个手指头都磨出了鲜血，为了省下车费，我没贴云南白药创可贴，让血液自然凝结。之后拿到搬砖钱，我坐上了从镇上开往城里的汽车。来到网吧，一摸兜里，没有三块钱的上网费了，少搬了300块砖。我只好在大街上四处奔走，守望着那些喝矿泉水的人们，当他们将矿泉水瓶从手中抛出的那一刹那，我就像守门员扑球般扑去了，生怕矿泉水瓶被别人抢去了，你理解我迫不及待的想五星好评的心情么?,2017-11-17 07:43:13,34,6,5
x***g,PLUS会员,"经常网购，总有大量的包裹收，感觉写评语花掉了我大量的时间和精力！ 所以在一段时间里，我总是不去评价
或者随便写写！ 但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。
于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！ 首先，宝贝是
性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。
京东的配送绝对是一流的，送货速度快，配送员服务态度好，每样东西都是送货上门。 希望京东能再接再厉，
做得更大更强，提供更多更好的东西给大家。为京东的商品和服务点赞。",2017-11-19 14:49:06,2,0,5
睿***豆,银牌会员,宝贝很好，值得拥有，京东的配送速度也有点惊人，今天下单明天就到。最喜欢在京东自营店买东西了，质量方面也有保证。拿回家马上试一试，感觉还是杠杠嘚。包装方面也不错，京东有时候在这方面就欠缺考虑。有时候包装有一点简单。壳子用了一天边上就断了，套上透明的还是不好看。家里的第三部华为手机，荣耀6经常无故冻机，必须强行关机自启才行，经常80个电就会突然红三角报警显示0个电，不知道啥原因，也一直凑合用，荣耀7用着还挺不错，希望这部用着更流畅,2018-02-28 18:46:56,1,0,5
e***o,PLUS会员,我家的东西基本都是在京东购买的，为什么要选择在京东购买，因为东西质量不错，并且送货速度快，加上有时又有秒杀活动，真的是物美价廉，基本是当天订货，第二天就能收到了，选择大型的网购平台，还是比较放心的，如果京东一直这么诚信，会一如既往的选择京东的。好评！！！！！！！！,2018-03-08 16:07:01,0,0,5
j***t,PLUS会员,快递大哥送货很快，服务态度不错，出门时还顺便帮我把垃圾带走了，点个赞，手机运行很流畅，一点也不卡，拍照不错，电池正常使用一买没问题。,2018-03-06 17:17:10,0,0,5
j***e,金牌会员,看着还不错，看了米6和v9最终选择了v9，京东快递也挺给力，希望能好好的用得住，换了好多手机，都是屏一摔就坏了。,2018-03-02 08:18:29,1,0,5
J***g,PLUS会员,"京东快递员太辛苦，下午送了趟，晚上又送了趟，及时给力

京东速度快，方便直接送到家，赞赞赞",2018-03-05 20:54:45,1,0,5
燕***9,PLUS会员,买手机送的，从荣耀7换的荣耀V9.感觉挺好的！电池用一天没有压力，这壳一般吧，但送的还是挺满意的！,2018-03-08 16:09:21,0,0,5
贝***5,银牌会员,送的透明的手机壳，质量挺好的，大配手机也很好看，不过我后来换了一个新的手机壳，因为我觉得他可能，防摔不是很好,2018-03-08 18:50:24,0,0,5
天***星,金牌会员,宝贝已经收到了，包装完好没有破损，发货速度很快，很好安装，很结实很好看，尺寸正合适，非常喜欢，很满意！,2018-03-07 09:49:43,0,0,5
j***c,金牌会员,说实话，这样的壳子真的还不如30多的软壳，把机子全部包着安全，买回来不到3天就碎屏了，没错就是在右下角,2018-03-06 12:02:13,0,0,5
h***n,PLUS会员,普普通通的一个壳，没什么要求，挺好，挺满意，希望别那么快大黄就行了！,2018-03-09 18:20:12,0,0,5
w***8,PLUS会员,东西不错，质量不错，也合适，物流很快最近有点忙，抱歉，这么久了才评价,2018-03-06 21:59:21,0,0,5
C***t,PLUS会员,买手机送的，合适，挺好看，就是硬壳，不如软壳保护到位是肯定的，防刮！,2018-03-06 12:14:43,0,0,5
j***6,PLUS会员,手机赠品不错，刚好合适，只有配件太少了，除了充电器和手机套就没有了,2018-03-09 10:05:19,0,0,5
杨***s,PLUS会员,外壳很好，防摔，很符合，手机包裹不错，透明很实用，一直在京东购,2018-03-07 21:19:02,0,0,5
m***3,钻石会员,配套很好，大小合适，透明度高，不错...........是赠品，这标价不对，哈哈,2018-03-09 10:19:59,0,0,5
k***霞,PLUS会员,外观看起来比较大气，电池也比较大，分辨率也很好，总之还不错,2018-03-08 14:20:11,0,0,5
赵晓伟V博,金牌会员,手机很不错。而且赠送了手机壳，使用起来感觉很棒，和描述的很像！很不错的华为，,2018-03-07 14:13:04,0,0,5
j***芽,PLUS会员,信赖京东 继续关注 物流飞快 已多次购买 还会继续支持,2018-03-06 10:35:34,0,0,5
j***9,PLUS会员,真心感谢卖家，宝贝收到了，很不错值得信赖的一家店。,2018-03-08 21:07:45,0,0,5
s***e,PLUS会员,配套的赠品，没得说，就一句话，手机好，手机壳也很好,2018-03-07 21:37:36,0,0,5
j***m,银牌会员,宝贝很好，续航很强，我可以用一天半，运行速度很快，需要的可以购买呀,2018-03-07 15:00:06,0,0,5
阿***6,PLUS会员,东西很不错，是正版，主要是京东速度快这点很好,2018-03-09 18:56:34,0,0,5
j***e,PLUS会员,材质不一样跟外面卖的相比较而言，一分钱一分货,2018-03-07 13:16:40,0,0,5
j***x,PLUS会员,保护套赠送给我的，透明的，就是不全包机身的。,2018-03-06 10:37:03,0,0,5
粥***稀,企业会员,不是我用的， 我也不知道好不好用，服务好不好，默认全5星好评吧,2018-03-09 17:25:29,0,0,5
j***j,PLUS会员,手机壳是赠品，透明度不错，摔了几次没裂开。,2018-03-09 12:14:50,0,0,5
g***4,金牌会员,和手机一起买的，还是分开两个快递送，好浪费资源啊，质量还不错呢,2018-03-09 15:40:22,0,0,5
广***耳,PLUS会员,跟手机尺寸很匹配，手感很好，防滑效果不错。,2018-03-08 11:49:25,0,0,5
p***1,PLUS会员,买了好多次了。便宜实惠。送货依旧快。不错。,2018-03-08 07:56:13,0,0,5
M***n,金牌会员,送的，刚好很合适，质量也很好，非常满意，满分好评那是必须的?,2018-03-06 19:34:13,0,0,5
j***3,PLUS会员,好用，手感也不错，相信京东，物流速度快。,2018-03-07 12:42:28,0,0,5
b***r,PLUS会员,套套收到了，质量不错，很安全哦！会常戴的,2018-03-06 23:25:33,0,0,5
l***3,PLUS会员,相信京东质量，京东商品从未失望，五分好评,2018-03-06 20:56:43,0,0,5
c***1,PLUS会员,京东是网购首选，质量有保障，物流也快速,2018-03-09 20:16:14,0,0,5
j***u,PLUS会员,效果不错，不愧为原装正品，很好用的壳！,2018-03-06 11:43:37,0,0,5
J***8,PLUS会员,物品很好，一分钱一分货，还是挺好的！,2018-03-10 00:22:26,0,0,5
甲***熊,银牌会员,手机套质量很好，唯一的小缺憾就是有时候太滑，不容易握住。,2018-03-08 16:16:36,0,0,5
G***B,PLUS会员,这是活动送的，稍微保护一下还是可以的,2018-03-07 18:28:39,0,0,5
c***f,PLUS会员,物流快，质量好，服务优，值得推荐！,2018-03-08 08:38:25,0,0,5
1***p,PLUS会员,尺寸完美，虽然是赠品，但用着还可以,2018-03-07 20:01:42,0,0,5
j***f,PLUS会员,觉得还可以，透明度很高，是硬胶的。,2018-03-07 08:22:21,0,0,5
锶***铧,金牌会员,其实是买手机送的，就是华为一贯的塑料壳，没什么特别的。,2018-03-08 22:45:27,0,0,5
l***b,银牌会员,很好地保护手机，壳没怎么增加手机大小，拿手上还是比较舒服的。透明地壳可以请楚地看到整个机的背面,2017-08-31 18:06:10,0,0,5
就***夕,PLUS会员,非常不错 很贴合手机 不错的商品,2018-03-08 18:53:32,0,0,5
十***木,PLUS会员,东西很好，送货超级快，物有所值！不过如果再优惠点就好了。,2017-12-28 13:51:57,0,0,5
刘***2,PLUS会员,手机外壳很好，高大上的手机外套。棒棒哒,2018-01-10 09:23:11,0,0,5
t***9,钻石会员,送原装手机壳还是不错的，要是再多送张钢化膜就更好了,2018-03-08 21:39:19,0,0,5
g***6,PLUS会员,东西不错，东西不错，值得购买！,2018-03-07 19:50:56,0,0,5
j***k,PLUS会员,京东，值得信赖，东西好，速度快,2018-03-06 18:22:30,0,0,5
l***e,PLUS会员,送的赠品，感觉蛮好的，希望好用,2018-03-07 00:22:51,0,0,5
j***c,金牌会员,使用起来还不错，就是为什么会有一圈白边啊，不好看。,2018-03-06 10:14:03,0,0,5
l***8,PLUS会员,外壳刚刚好，非常合适，不错。,2018-03-08 18:41:35,0,0,5
l***g,PLUS会员,高大上的感脚太好了 我很喜欢,2018-03-08 14:41:51,0,0,5
m***4,PLUS会员,京东快递速度很快，值得再购。,2018-03-07 08:39:19,0,0,5
j***4,PLUS会员,很好，很不错，非常好，非常好,2018-03-06 14:03:37,0,0,5
信***9,PLUS会员,很好！赠品！不错的手机壳！,2018-03-09 06:39:48,0,0,5
j***z,PLUS会员,手机壳。。。也就这样而已啦,2018-03-08 21:48:58,0,0,5
h***8,PLUS会员,质量还行吧，但是设计太差了,2018-03-08 16:57:09,0,0,5
y***5,PLUS会员,质量不错，习惯在京东购物了,2018-03-08 01:22:43,0,0,5
j***c,金牌会员,宝贝收到了，质量很好，跟卖家描述的一样，很满意,2018-03-08 01:40:18,0,0,5
c***e,PLUS会员,和手机一起买的，用着很满意,2018-03-06 15:41:08,0,0,5
j***c,PLUS会员,物品不错，侄子很喜欢，，，,2018-03-06 09:32:07,0,0,5
s***2,PLUS会员,买手机送的，跟手机完美贴合,2018-03-06 09:58:07,0,0,5
自***鸟,PLUS会员,送的壳如果是那种软壳更好,2018-03-09 13:03:52,0,0,5
上***0,PLUS会员,这个手机壳一般的吧。反正送的东西,2018-01-10 16:55:30,0,0,5
p***k,钻石会员,很实用，东西不仅很薄，而且还很耐用，手感很好,2018-03-09 09:19:33,0,0,5
程***锟,PLUS会员,买手机送的，还是很不错的,2018-03-08 09:44:45,0,0,5
j***燕,PLUS会员,还送个手机壳，很不错?,2018-03-07 11:11:18,0,0,5
j***8,PLUS会员,京东买东西，就是为了快！,2018-03-07 10:46:23,0,0,5
大***烟,银牌会员,壳子很好，要有钢化膜更安逸了。d(?д??),2018-03-06 20:35:57,0,0,5
j***i,银牌会员,耐脏，好用 快递速度很快 第二天就到了，好评,2018-03-06 17:25:26,0,0,5
j***a,PLUS会员,东西很好我一直在用这品牌,2018-03-06 12:37:25,0,0,5
微***初,钻石会员,东西收到了，质量很好一直在京东买，值得信赖。,2018-03-06 16:16:25,0,0,5
偶***物,金牌会员,送的东西，只能说一般啦！不是全包，不是防摔的,2018-03-06 19:12:48,0,0,5
M***n,金牌会员,买手机附赠的手机保护壳，比较脆，怕轻易会裂缝,2018-03-06 11:44:15,0,0,5
j***6,银牌会员,手机保护壳质量好，物美价廉，值得推荐购买！,2018-03-07 20:01:21,0,0,5
l***z,PLUS会员,手机壳与手机很配，很好,2018-03-06 11:13:20,0,0,5
j***h,银牌会员,套套和机子很合适，手感不错也不影响美观，赞,2018-03-06 11:09:25,0,0,5
