名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
了***世,钻石会员,1.手机整体非常漂亮，手感也是很好的，握着很舒服；2.相机非常棒，清晰，夜景拍摄也很好；3.处理器性能很强大，玩游戏非常流畅，完全没有卡顿；4.物流快，下单第二天就到，给力。以后还会购买的。,2018-01-31 01:02:12,13,2,5
潮***8,铜牌会员,手机是给奶奶买的， 她喜欢跳跳舞，上上微信，顺带也买了个放大器，手机质量很好，拍摄效果也很好，绝对正品，,2017-11-22 07:33:53,59,11,5
m***1,PLUS会员,荣耀手机二百优穗卷：【 ynh.在线/6a 】复￥制括号内内容。到浏￥览器中￥打开领取，1.手机整体非常漂亮，手感也是很好的，握着很舒服；2.相机非常棒，清晰，夜景拍摄也很好；3.处理器性能很强大，玩游戏非常流畅，完全没有卡顿；4.物流快，下单第二天就到，给力。以后还会购买的。,2018-02-09 20:27:07,93,29,5
L大海的蓝,银牌会员,非常喜欢，等用一段时间后追加评价。。。,2018-03-08 11:39:01,1,0,5
猫***猫,PLUS会员,畅玩6，很不错。比其他乱七八糟的牌子好多了。入门机器。小孩，老人用也特别适合。,2017-12-14 08:04:19,11,3,5
魅***r,金牌会员,总体还可以吧，给家人买的，拿在手上质感还可以，就是感觉屏小了点，用惯了s8+的大屏感觉有点不习惯。内存的话一般会有1G左右可用，普通用就够了感觉，充电不是特别快，充满需要2个小时左右，待机还是可以的，放那里听歌什么的，轻度能用个3到4天吧。,2018-02-03 07:50:41,6,0,5
你姐姐我悦子,铜牌会员,给老爸买的新年礼物，老爸很喜欢，当时我买的时候搞特价，第二天早早就到了，希望老爸能用很久，支持华为荣耀。新年快乐！,2018-02-14 10:47:20,5,2,5
兰***头,PLUS会员,6和6A各买了一个，左边是白色6，右边是金色6A。6的开机速度快些，左侧多了个自定义实体键，但后盖是塑料的，可打开，电池不可取，两个nano卡槽一个TF卡槽(三卡槽！而高端机反而是令人纠结的复合双卡槽)，手机厚实，显示清晰，而且居然有前置闪光灯，买来教老人用微信视频通话和听京剧的，调了最大字体，其他应用基本都卸载了。6A是金属一体机身，带指纹功能，也是给长辈用的，密码都没设，力求简单。主要目的是给老人视频通话和简单娱乐用的，二者皆可满足，老人用了很开心。其他的后续追评吧,2017-10-22 13:09:26,43,7,5
-***g,PLUS会员,货很便宜啊。爽爆了，双十一就是好。天天双十一吧,2017-11-15 22:35:16,9,8,5
j***c,铜牌会员,因为换了电信网，弄了这个手机，哈哈 价格不贵，还是华为！挺好的！,2018-03-08 11:27:19,0,0,5
j***5,银牌会员,挺好的，小巧玲珑的，拿在手里感觉很好。正在试用，好用的话我会追评。送货速度是超快，没话说，昨天拍，今天中午到。,2018-03-07 16:12:30,1,0,5
s***0,银牌会员,包装完整，封膜是京东的，打开之前标签完整，原装机器，镜面没有指纹，说明书等齐全，没中不足的是买贵了，这机器历史最低价499，多花了50大洋，要不是急着送人的可以等等。,2018-03-07 14:34:30,0,0,5
r***3,金牌会员,宝贝收到了，手感不错，好评，昨天下单今天就到了，好评,2018-03-08 19:09:17,0,0,5
護***者,钻石会员,好用这个价格都可以接受，买给上年纪的家人用，新机来说运行内存和应用软件的算是速度比较好的。,2018-02-04 17:32:39,1,0,5
j***l,铜牌会员,用了1个半月，包装蓝色盒子，手机买给老人的过年手机，看体验比较满意，支持国产。,2018-02-27 19:41:46,1,0,5
1***y,PLUS会员,"小弟弟刚上初中，学习成绩还不错，为了奖励他几天就给他买了一个手机，他特别开心，他平时玩手机。除了QQ微信。也没啥别的玩的，虽然只是2g运行内存。但是对于他来说。已经足够了，我觉得这个给他作为奖励，能更好的促进他的学习，所以，我觉得，这手机买的特别值！！！
再来说说外观，手机很好看。手感也不错，而且，这手机也特别便宜，之前我也用过华为手机，性价比是真的很高，便宜又实惠，所以这次还是选择华为，果然没有让我失望~开心~",2017-12-28 13:40:47,4,2,5
当***头,PLUS会员,很适合老人家用，喜欢,2017-11-19 00:18:45,2,1,5
红***点,PLUS会员,我还能说什么，一切的等待都是值得的，从双11那天晚上等起，直到现在，昨天晚上睡觉前看到，手机出库了，我就知道，我的手机第二天就到了，真的太值得了，毕竟499的低价哪里找呀，给爸妈使用的，他们很喜欢，基本上满足他们的需求，感谢京东，感谢我们的强大的东哥，?，支持东哥！(*^^*),2017-11-20 17:05:03,7,1,5
j***d,铜牌会员,可以的！！,2018-03-07 20:42:33,0,0,5
李***新,金牌会员,几百块手机，很值呀。百分之百好评。,2018-03-09 14:34:30,0,0,5
j***6,PLUS会员,给父母买的手机，物美价廉父母很喜欢,2018-03-08 17:53:38,0,0,5
芙***合,钻石会员,和魅族有的比。只是贵点帮老人买的老人机，颜值比较高。算性价比高的机型了。合金外壳。京东快点就是快,2017-12-11 16:19:09,1,0,5
给***直,PLUS会员,手机用着还蛮流畅的，物流没得说，真是一个快,2018-03-07 10:50:58,0,0,5
j***王,PLUS会员,机子收到了，很漂亮，手机不错还带耳机，壳膜，以后多多来你们店里买东西，以我的买货量可以的，多点优惠赠品，耳机挺漂亮的。手机一会打开看看，小米6这个亮黑大气，上档次，符合我们年轻人的气质，我也要让我朋友多买几个，店里优惠点，一个耳机不够，起码的俩，颜色上换几个别的颜色留好了！,2018-01-29 13:27:27,1,2,5
j***a,PLUS会员,手机不错，性价比高，老年人用的不错,2018-01-10 08:55:15,1,0,5
刘***翔,钻石会员,2G的确实慢，滑动解锁都卡，外观很好。,2018-03-03 16:45:45,1,0,5
j***l,银牌会员,手机看上去很不错，买给妈妈用的，她很喜欢。,2018-03-09 11:03:13,0,0,5
漂***雨,银牌会员,相信华为手机，就是手机壳不好找。,2018-03-09 08:57:12,0,0,5
行***猫,银牌会员,快递速度快 包装完整 手机不错 运行速度很快 屏幕分辨率也很高 买来给老爸用的 很喜欢 性价比超高的一款手机,2018-03-08 11:07:36,0,0,5
z***n,银牌会员,其他都还可以，老人家用足够了，唯一的缺点就是，没有贴膜，没有手机壳，就想问问，手机出厂的时候是不贴膜的吗？为什么我以前买的手机都是有膜的，而且看评论里人家的手机都是有膜有壳的。。。,2018-03-08 21:02:33,0,0,5
z***A,银牌会员,给老妈买的手机  用过一段时间才能评论  手机反应快 电池耐用 这手机质量相当不错 相信京东 有需要的朋友可以放心大胆购买 发了三张照片可以参观一下,2018-03-06 14:56:18,0,0,5
j***b,铜牌会员,速度真是快，武汉发宜昌一晚上就到了，打开拿着手机研究了一下还是满意的，唯一不足就是没有送手机膜，希望老板能考虑这点，手机膜也要不了多少钱……还是给好评,2018-03-07 12:50:38,0,0,5
我***A,PLUS会员,屏幕小大合适，老人用也非常适合，价钱也不贵，比买一个老人机好多了，至少可以微信,2018-02-23 14:59:26,1,0,5
s***8,PLUS会员,用了半个月就这样了 闪退 现在根本没法用 那么信赖国货支持国货 这种消费体验真的是很失望 希望客服能尽快处理,2018-01-18 00:36:38,18,8,1
烟***梦,银牌会员,宝贝收到了，外观看起来不错，好不好用，等用一段时间再评论。比实体店便宜好几百。很不错,2018-02-23 08:47:32,0,0,5
w***l,银牌会员,应该会很清楚我知道我不爱吃了个人似的、茅台酒厂集团董事长的总经理在接受媒体?、水果等,2018-01-31 09:47:33,0,0,5
我***5,银牌会员,手机很不错，给爸爸买的，他也很喜欢，希望质量没问题?已经第二次买荣耀手机了。,2018-03-07 12:11:18,0,0,5
j***h,PLUS会员,外观漂亮，备用机的很好选择，老年人用也不错。物流很快。,2018-03-09 16:30:38,0,0,5
j***i,铜牌会员,什么价位买什么手机，也不能要求什么。手机卡，屏幕不灵敏。后盖是真的难打开……扣坏了还没扣开,2018-03-07 18:33:45,0,0,5
东***h,PLUS会员,价格可以，就是有点卡虽然是给老人用，感觉用不了多久,2018-03-06 22:39:56,0,0,5
神***A,PLUS会员,很不错的东西，感谢京东的服务，快捷方便实惠~~~~~~~~~~~,2018-03-06 18:52:42,0,0,5
淡***痕,PLUS会员,给快递员10086个赞！送货一个字，快！,2018-02-06 00:21:48,0,0,5
1***p,金牌会员,用了几天了！感觉还不错,2018-03-06 11:37:58,1,0,5
落***夫,银牌会员,这是我在京东买的第一个手机，也是最后一个。以后不会在京东买手机这类东西了要买就去官网买。现在说说收到的手机。本来买这个手机是给老人用的要求不高能打电话微信聊天看看新闻就够了。从接到快递就打开包装拿出手机就傻眼了满屏幕都是指纹都不用看用手摸就能摸出来很脏。就这样你们也能把货发出来，打开手机里面软件很多，本人没用过华为手机所以不知道他有哪些预装软件但是给我的感觉手机是用过的。所有的东西除了包装盒说明书之外就是冲电器数据线手机。什么都没有了耳机没有，但是你说的赠品呢怎么一个都没有，既然不给写出来干嘛你闲的**了吗？这就好比你花钱买了一个媳妇别人给你说是原装货可是等你买回来用的时候居然发现已经被别人先开包了，你会不会急的骂娘。这太过奋了。本来就怕出现问题所以选择了京东自营店才下单的可还是弄成这样了感觉很失望以后不会在京东买这类东西了劝大家也不要买了。这是我的真实感受希望对大家有用。退货换货很麻烦就不退换了。一星是给快递小哥的很辛苦服务很好。如果评价被删除了我会天天来评价的！！！,2018-01-28 15:27:27,60,3,1
j***4,钻石会员,所有手机都用华为，值得信赖～～,2018-03-08 19:28:24,0,0,5
s***i,钻石会员,"送给妈妈的，妈妈很喜欢，年纪大了她第一次开始学习用智能手机。
我从来没有用过华为手机，也是第一次，通过这两天的操作使用有如下体会：
1、安装手机卡的方式真是奇葩，感觉有些降低华为公司的智慧。别说老人了，就我们年轻人都抠了半天才打开（不知道华为高端机是否也是一样），强烈建议华为手机团队改进这个环节；
2、手机屏幕亮度太暗，正常光线下看不清，没办法只好把“自动调整”功能关闭了，手动设置了较高亮度。
其它还没深入操作，期待能够稳定持久使用。",2018-03-09 19:23:21,0,0,5
j***2,钻石会员,帮朋友公司买给业务员用的，本来想买我这款没货，买了这个更便宜的，朋友说使用速度好快，而且才550他们觉得炒鸡赞的,2018-03-08 19:48:41,0,0,5
龍***方,银牌会员,外观设计比较人性化，运行速度寸可以，总体来说是比较不错的，特别是简易风格更是适合老年人用。,2018-03-08 12:01:00,0,0,5
j***f,铜牌会员,用了两三个星期，体验挺好的，可以做备用机。屏幕操作很流畅。物流包装挺到位，没有任何损伤。,2018-03-08 10:08:42,0,0,5
180*****347_p,银牌会员,用了一下感觉还是不错的，之前是Vivo的坏了，这价格也对得起这质量了，相信华为的品质,2018-03-06 20:57:03,0,0,5
j***3,金牌会员,手机挺好的，这是给老妈买的礼物，老妈很喜欢，还没有打开试用，应该很适合老妈使用的,2018-03-06 19:18:18,0,0,5
陪***久,PLUS会员,手机一般，价格在那摆着呢。没什么特别高的要求，就是老人用的,2018-03-08 07:19:16,0,0,5
一***树,银牌会员,刚到，给老爸买的还没用，物流速度很快，上午买的下午到，京东自营的产品速度很快！,2018-03-07 16:44:14,0,0,5
j***b,铜牌会员,宝贝已收到，女儿很喜欢，一家人都用华为手机觉得华为手机蛮好用，点赞!!!,2018-03-06 20:20:25,0,0,5
j***f,银牌会员,给公公买的，运行速度还不错，电量耐用，声音适中，性价比还可以的一款手机。,2018-02-26 07:15:08,0,0,5
j***1,注册会员,我一直都非常喜欢华为的手机这个是给我妈买的性能这个价位是好的了。,2018-03-08 14:07:53,0,0,5
英***城,PLUS会员,买给老爸的，手机还不错，但是老爸不怎么会用,2018-03-07 14:25:47,0,0,5
蒲***2,银牌会员,还不错，屏幕分辨率很清晰，满意，感谢快递小哥感谢京东,2018-03-04 07:33:47,1,0,5
6***x,银牌会员,手机用着还行，昨晚买的今天就到，就是没有赠品还得自己买膜贴,2018-03-08 19:10:30,0,0,5
y***8,PLUS会员,支持华为，支持国产，帮朋友买了几个了。,2018-03-07 10:53:04,0,0,5
y***6,银牌会员,买给爸爸用的，老人家用着还可以，价钱也比较实惠，还不错。,2018-03-08 21:07:02,0,0,5
j***t,PLUS会员,东西不错，物流很快，京东值得信赖！,2018-03-09 09:09:14,0,0,5
j***n,金牌会员,用过之后来评价的，买给家里老人用的机子好用老人很喜欢，,2018-03-08 13:45:29,0,0,5
j***5,铜牌会员,物流挺快的，我感觉非常满意，下次还来买，超值实惠便宜,2018-03-07 16:20:15,0,0,5
1***y,钻石会员,备用机还可以 字体大小可以调节 但是照相机反应比较慢,2018-03-06 19:23:02,0,0,5
j***b,PLUS会员,这款产品真的很好，性价比高，我很喜欢很喜欢很喜欢（重要的事情说三遍）。强烈推荐给大家。真的很好用，很好用，价格也不贵。以后有机会会回购的。大爱，赞赞赞。,2018-03-07 23:10:54,0,0,5
n***i,金牌会员,华为不错，给老年人买的的，够用了，不过V9一直没货,2018-03-09 03:58:02,0,0,5
j***9,铜牌会员,用着不错 电池也很耐用 物流也快 喜欢！,2018-03-04 19:28:06,1,0,5
l***3,钻石会员,还比较快，用着基础的功能还不错，各方面比较好,2018-03-07 17:51:38,0,0,5
j***z,金牌会员,给老爸买的，老爸说不错，，很好,2018-03-09 08:42:28,0,0,5
l***9,金牌会员,宝贝不错，帮朋友稍等，挺好用。,2018-02-27 13:51:38,0,0,5
j***8,铜牌会员,宝贝收到了，一直支持华为，好用,2018-02-25 22:06:58,0,0,5
x***3,金牌会员,帮别人买的！不知道咋样！,2018-03-07 21:12:52,0,0,5
l***l,PLUS会员,给老爸买的，刚贴完模，秀了一把贴膜神功！太棒啦！物美价廉，很满意的一次购物！外壳，钢化膜，一个便携带儿，好拼！！！,2018-03-09 09:58:02,0,0,5
傲***货,PLUS会员,比前几天买优惠一百，四舅舅就拿下了。入门智能机，触屏敏感，还是双卡，运行流畅，老人够用了。打开后盖放手机卡。,2018-01-30 12:21:35,0,0,5
j***6,银牌会员,挺好的，买给老公用的，上个微信看个小说挺好的,2018-03-09 09:14:17,0,0,5
j***n,铜牌会员,下单隔天就到了 总是这么快速 买来给老妈用的  平时打打电话发发微信听听歌 没有其他高要求 用着还不错,2018-03-06 23:57:13,0,0,5
j***b,钻石会员,第二次买这个手机了，上次的个掉水里了，这次又来买个，很喜欢京东的售后，很满意，就是不能外置内存卡,2018-03-09 14:05:15,0,0,5
xgwzhlxml,银牌会员,刚到两天用用，还不知道怎么样呢，用一段时间再说好不好，????????????????????????????????????????,2018-03-08 16:58:21,0,0,5
l***1,PLUS会员,1.手机整体非常漂亮，手感也是很好的，握着很舒服；2.相机非常棒，清晰，夜景拍摄也很好；3.处理器性能很强大，玩游戏非常流畅，完全没有卡顿；4.物流快，下单第二天就到，给力。以后还会购买的。,2018-03-09 23:03:58,0,0,5
懂***D,PLUS会员,买给家里的老人，系统自带老人机模式，用起来方便一些。还是有很多不足的，毕竟价格便宜，只安装了微信，平常用起来感觉还是有点延迟，老人机模式不够给力，图标是足够大了，但图标上的文字却比较小。。,2018-03-07 00:08:05,0,0,5
P***Y,银牌会员,手机美观，软件齐全，今天小孩试用了一天，运行流畅，给学生用刚刚好，物流也很快，五星！,2018-03-06 21:40:32,0,0,5
s***j,金牌会员,是不是真是评价都可得豆呢？这款手机自营比别的店都贵几十元。好在赠送有电话卡，虽然有的别家也赠。但是当我收货咨询卡号时，真正目睹了踢皮球现象。很是气愤，不帮忙解决问题，首先就是踢皮球。我还没申请售后呢？……,2018-03-07 13:41:11,0,0,5
为***A,PLUS会员,1.手机整体非常漂亮，手感也是很好的，握着很舒服；2.相机非常棒，清晰，夜景拍摄也很好；3.处理器性能很强大，玩游戏非常流畅，完全没有卡顿；上午拍的下午就到了  京东送货就是快,2018-03-09 09:06:53,0,0,5
常***俊,PLUS会员,给老爸买的，又便宜又好用，我老妈特别喜欢，我也少花钱,2018-03-09 11:32:17,0,0,5
幽***6,金牌会员,手机很不错，配件也很好，买给老人用的。感觉棒棒哒。收了，哈哈哈 哈哈哈哈,2018-03-07 11:19:28,0,0,5
Q***Y,铜牌会员,这次手机买的很不满意，因为是给我爸买的，用了有段时间才来评价的，接打电话，有时根本听不到，在无线网的情况下，发微信也得一会才可以发出去，总之这都是用过后的感想，这是在京东上购买手机最不满意的一次,2018-03-09 09:34:21,0,0,5
