名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***r,PLUS会员,先说一说优点吧128g大内存，加大屏幕，当然ID全面屏我不是怎认同，不过大屏幕看起来确实效果挺惊艳。手机的厚度不算太厚也不算太薄，比较适中吧，手机的做工也还不错，华为的东西做工确实还是比较好。买来给岳母的手机，电量没有用完过，但是应该觉得能够用一天吧，反应速度也比较流畅。然后说一说缺点吧，感觉屏幕的分辨率不是很高，而且这个手机不支持5GWiFi，性价比不算太高。如果平时使用还是比较建议购买，但是如果对手机性能要求比较高的就不是很建议购买。除了价格相对不够美丽外，其他都还比较满意。,2017-11-08 21:27:55,82,30,5
璐***e,金牌会员,收到后很精致，包装完好，屏幕大，给妈妈买的，把字体调到最大，不过32G的内存手机应用软件很占内存，把妈妈不需要的软件都卸载了，但有些卸载不掉很烦人，需要的也都下载了，目前很好用，反应很快，外观很漂亮，方便妈妈看电影了，送给母亲的新年礼物，妈妈很开心！电子发票方便保存，是正品！等用一段时间再追加！,2018-01-03 00:10:41,112,90,5
天***3,金牌会员,今天抢购的这款手机是给老婆买的，她喜欢看电视这款手机就适合她、内存够大很好！京东物流没的说一个字'快'，打开手机包装第一眼的感觉就是颜值非常高，屏幕大很漂亮，迫不及待的试试！流畅度很好无线网连接稳定、下载软件很快，又试了试摄像头因为快晚上了拍照光线不足照片感觉和我的V8相差太大，还搞两个摄像头可能只是增加颜值吧！唉！算了毕竟各项配置性价比还是不错的，老婆喜欢就好！就好?,2017-10-17 19:05:21,394,248,5
j***f,银牌会员,买给家人的，我先用了一下午，谈一下感受。买的4g 32g版本，这个版本比起其他两个最具性价比，1299元。32g的内存还剩21g，有点偏少，4g运行内存剩3g左右，还不错。18：9的屏幕比起传统的屏幕视觉冲击强，色彩和分辨率都不错，唯一不足的就是华为自带的华为视频看电影时没有体现出“全面屏”的优势，旁边留有黑色区域，可以选择铺满全屏，但是是强行横向拉伸，显得画面有点变形，建议后期优化软件按比例放大铺满全屏，不过用腾讯视频等软件铺满全屏是按比例放大的，效果确实好。系统流畅度表现不错，目前没玩过游戏，不清楚游戏性能。拍照中规中矩，但是相机可玩性很高，有很多有意思的小功能，完全不用下载其他p图软件，音质中规中矩，最大声音不够大，但也能接受。红色很惊艳，外部金属做工也还行，不廉价。买来时是裸机，送了一个透明保护套，屏幕上没有出厂膜……但是有疏油层好评，建议自己加个膜，容易粘指纹。虽然说阉割了陀螺仪，但并不影响普通用户使用。1299买到这款机器目前来说很满意，毕竟千元机做到这个水准很不错，比起蓝绿大厂性价比高多了，虽然参数没有红米5plus性价比那么高，但是实际体验不清楚谁更好。不玩游戏可以选。,2018-01-01 13:39:03,49,12,5
胡***贵,PLUS会员,手机收到了。京东物流真的很快。昨天下的单今天就到了。 拿到我就拆开开始试用。打开手机盒子，真的是被惊艳到了。颜值爆棚。最主要的是做工非常好。比其他品牌的做工不知道要好多少，不愧是大厂生产的手机。试了一下通话。很清晰。听歌也很棒。系统也很好用。支持国产。,2018-01-12 00:47:40,45,9,5
j***p,金牌会员,手机挺好的比我的苹果好多了，以后都用国产的手机。,2017-12-10 14:43:00,101,51,5
s***_,钻石会员,手机用了挺长时间才来评价的，指纹解锁速度很快，各项性能都挺好的，唯一不足就是像素质量太差太差还双摄像头都赶不上我的苹果6s像素,2018-01-16 16:00:14,119,49,5
m***1,PLUS会员,荣耀手机二百优穗倦：【 asd.在线/7x  】复￥制括号内内容。到浏￥览器中￥打开领取，这是继三年前买华为荣耀4X之后的又一次购买荣耀畅玩系列，4X除了电池不经用之外，其他的都还可以，其实我已经给它换过两次电池了，不知道这款手机可不可以自己换电池？这次关注了很久，最开始京东上只有128G版本，对于我来说太贵了，一直期待32G版本，本来想来个12期白条的，但是不免息，很遗憾，要养家，还房贷养孩子，别人用上万的我就用用这款一千多的吧。其实有考虑过荣耀V10，前两天不是才发布么，970处理器，虽然2699，但是还是略贵，手机只是一个工具，对于我这种钱不多的人来说，没那个必要。希望以后生活越来越好，上次给老婆买的V9 play，这次给自己买的荣耀畅玩7X，但愿过两年能用上mate11 mate12，其实现在买mate 10也买得起，不过没必要，钱花在刀刃上，现在的省吃俭用，是为了以后能有更好的生活，希望每一个现在生吃俭用过生活的人，每一个买这款手机的人将来都过上自己满意的生活。另外京东物流必须称赞，送货快递员很负责很尽责，点赞！,2018-02-22 20:24:08,200,3,5
7***3,PLUS会员,先说一说优点吧128g大内存，加大屏幕，当然ID全面屏我不是怎认同，不过大屏幕看起来确实效果挺惊艳。手机的厚度不算太厚也不算太薄，比较适中吧，手机的做工也还不错，华为的东西做工确实还是比较好。买来给岳母的手机，电量没有用完过，但是应该觉得能够用一天吧，反应速度也比较流畅。然后说一说缺点吧，感觉屏幕的分辨率不是很高，而且这个手机不支持5GWiFi，性价比不算太高。如果平时使用还是比较建议购买，但是如果对手机性能要求比较高的就不是很建议购买。除了价格相对不够美丽外，其他都还比较满意。,2017-12-31 12:27:03,114,43,5
东***沟,金牌会员,不错！漂亮！大气大屏手机就是带劲！,2017-12-21 15:16:21,28,4,5
