名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
路***购,金牌会员,今天下午五点多收到  迫不及待在快递店里打开开机 开机很慢应该是正品 手感很好外观好看 回家连上wLAN 上网速度快 触屏反应也快  照相好像没我想想中的好  没有努比亚z9mini的好  音乐外放还好  后面拍的月亮前两张是z9拍的         后面两张是荣耀8拍的,2017-10-02 23:39:00,460,199,5
J***o,PLUS会员,荣耀8很漂亮，我都不敢下重力去摸，怕划出一道痕迹来。把玩将近两天才来评论，111电池屏幕全开使用大概8～9个小时，晚上待机大概消耗电量5%～8%，充电时间不玩的话2个小时多一点，222内存系统自带占用1.1G，装上自己平常使用的软件后内存占用1.6G，由于没有玩游戏的爱好所以选择3GRAM，关于ROM系统自带大约10G。最后还是要赞一下京东快递，下午下单第二天早晨送达，这比顺丰还给力。 还支持12期免息分期，舍京东其谁？,2017-08-26 13:37:01,740,30,5
奔***子,银牌会员,手机买给麻麻用的，老人家每天也就用个微信啥的，其他一切都好，指纹反应灵敏，通话质量也不错，手感也不错，就一点特别不好，也不知道我是不是个例，锁屏状态下收不到微信的任何提醒，别人的视频邀请，短消息从来收不到……太奇葩了，按照电话客服的要求设置了一遍，又把手机恢复出厂设置了一下，统统没用！！！让我去售后检查一下手机，我这小县城，就是图省事才网购的，售后距离我家有点远啊哭T_T（不过还是打算抽空去售后看看的，如果依然不行，已经过了7天无理由退货时间，那就认了吧。。。）,2018-02-28 10:12:24,0,1,3
j***x,银牌会员,颜色好看，到目前用了两个月了，性价比很高！妈妈非常喜欢，快速也非常的快，昨天买今天就到了。对于老妈这种不玩儿游戏的来说很足够了！这已经是第二次买华为了，支持国产！！！！！！！目前也没有发现其他的问题，1000多的手机也不能有很高的要求，这个价位买到的已经很满足了！,2018-03-06 15:54:20,0,0,5
天***风,金牌会员,此用户未及时评价，系统默认好评。,2018-03-08 19:55:42,0,0,5
j***科,企业会员,这款华为荣耀的新品手机，颜值是没的说吗，太漂亮，机身很炫，特别是在光下会显得发亮，很不错，另外机器配置也是相当高，目前使用起来非常流畅，很满意，会继续支持华为和京东。,2016-07-21 16:33:56,2796,655,5
东***人,铜牌会员,第一次在京东上买手机结果真的很失望，手机什么都没送连个钢化膜都没有，就不说钢化膜薄膜都没有，耳机也没有，本来在网上买就是应该比店里服务更好些结果，而且手机耐电性能真的很差一天一充根本不够，刚开始拿回来没几天就黑屏，轻轻掉到地上一下就碎屏了，才买的新手机，真的是太失望了,2018-02-24 13:30:25,0,1,2
陈***聪,钻石会员,外观漂亮，，精致，看起来比较有档次，手感舒适，5.2单手操作方便，要是全面屏就更完美。中框比较耐摔，摔过几次中框只有一点痕迹。性能方面我用还是比较够用，不是经常玩游戏，王者荣耀还是试过几次，高贞，高清晰画面都比较流畅，不卡，。运行速度还是很快。照相质量还是很清晰。唯一缺点就是续航问题，像我这样的重度用户三充，再者就是本人运气差，还是如今的华为质量让人担忧，直接去售后，没找京东麻烦。不到一个月因为导航问题换了一块主板，换了主板后用了几天因为无线网络问题又换一块主板，到现在换了两块主板才才正常。看着优质的服务态度忍了。京东物流切实快。,2018-02-10 12:43:49,0,0,5
戨***神,银牌会员,此用户未及时评价，系统默认好评。,2018-03-07 15:40:35,0,0,5
l***z,PLUS会员,手机用起来很流畅，很好,2018-03-06 11:08:58,0,0,5
