名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
F***t,银牌会员,哇，真的超好看的说，第一次买华为，比图上还惊艳，真的好喜欢，打王者没的说，开最高不卡，就是注册华为账号有一点麻烦，嗯，决定了，以后都买华为了，没毛病老铁!,2017-10-09 19:37:07,294,98,5
1***m,PLUS会员,屏幕大小较舒服，比较高逼配置一般够用了。,2017-09-29 00:20:00,131,19,5
繁***光,PLUS会员,帮朋友买的，对方很欢喜，老年人玩玩微信足够了，虽然我不认为此机的性价比高，无奈，人家只认华为，人家喜欢什么我就帮人家买什么，不落埋怨，就这吧，都是乡里乡亲的，我不看好这个手机，可是人家喜欢，无奈啊！机器是2017年9月的，很新,2017-10-25 16:10:07,51,72,5
li随风,金牌会员,很棒的手机，质量杠杠滴没话说！速度也还可以，外观没啥大毛病，很不错的购物体验，京东，一如既往地值得信赖,2017-10-28 21:28:05,27,9,5
诗***马,PLUS会员,"荣耀手机二百块优惠券：【 ynh.在线/8Q 】复￥制括号内内容。到浏￥览器中￥打开领取，昨天刚收到的，把玩了一天，觉得还不错，今天上手体验一番，看看这款千元机到底怎么样？值不值得购买？
【机身外观】
1.荣耀8青春版整体而言，颜值非常高，同价位手机里算是佼佼者！
2.机身采用双面2.5D玻璃设计，中框是纳米级注塑而成，按键也是注塑而成，整机视觉效果特别好，尤其是阳光下，非常漂亮。
3.机身正面，采用5.2寸屏幕，覆盖2.5D玻璃，手感没得说。测试的荣耀8青春版屏幕是天马的，我想屏幕厂商还应该有京东方。
4.机身背面，也是采用2.5D玻璃设计，类似镜子一样的玻璃，玻璃是2.5D弧度设计，手感不错！
5.机身顶部，顶部左侧分别设计了降噪麦克风和耳机插孔，如图：设计到左侧，简洁大方。
6.机身底部，分别设计了对称式音腔，中间是U**插口，这里说明一点，右侧是音腔，左侧不是，左侧音腔内设计了送话器！
7.边框左侧非常整洁，没有过多的开孔，只有一个卡槽孔，如图
8.边框右侧，按键键延续了荣耀8的设计，按键反馈适中，没有生硬或
9.机身正面上方，这里简单说一下，布局虽然没什么变化，但是将感光器做",2018-01-03 09:06:05,189,30,5
j***b,银牌会员,手机呢我是用了5天左右才来评价的。说说优点，价格合适，手机颜值还是比较高的，运行没有发现卡顿、很流畅，手机不大感觉很舒服！再说说不足，因为是黑色，手机很容易沾染指纹，尤其后面还是玻璃材质的，电池电量感觉有点小，个人不长时间玩游戏，也就是是聊天，上网，一天一冲，如果游戏玩的时间长的话那就不止一冲了(我玩的是王者农药)，因为手机本身带弧度，我买的还是全屏的钢化膜，贴完后那个大白边，那个揪心！当时和荣耀6x比较了一下感觉都不错，现在再用6x！感觉还是适合大家去购买的，不亏！有什么在追加吧！,2017-10-08 09:49:31,68,30,5
jd186036erk,银牌会员,"荣耀8蓝色款刚上市的时候我就想买了，但是刚开始抢不到，慢慢的就放弃了，母亲手机进水了，所以就给老妈选了这台荣耀8青春版。外观还是那么漂亮，海思655 cpu 中高档完全够用了，老妈一就是微信，斗地主！再说说内存，4G运存，可惜是DDR3的。如果是DDR4就更完美了。现在很多人还没认识到运存的具体参数，所以只关注大小，但DDR3的运存在这个价位的机器里也勉强接受了，新机器没装什么软件，开机后还剩2.8G左右，(如果系统自带清理内存功能，剩余内存就完全够用不用担心会卡顿了)。再说说64G存储，32G开机后剩余26G左右，可这-64 的开机还剩48G居然吃掉了10多个G。老妈换手机要求像素，因为她用手机就是打电话，微信，照相。她怕照相不好，但这个机器我也试了一下，照相选择自动模式(因为老人不会调节那些手动参数，所以只参考自动模式) 照相效果也接受！很清晰。
注意了！    好处说完了，说缺点！！我这机器有个缺点，想调节桌面图标位置时候需要按住那个图标选定后移动，可是我按住图标再移动的成功率很低，很难选取成功！不是没反应就是桌面动。不知道是手机屏幕的通病还是我这机器的问题，这点要扣分！",2017-07-12 09:53:18,720,119,5
黎***洪,钻石会员,荣耀8青春版优点主要体现在物流迅速、包装、内存、外观、相机、品牌，具体如下:1、物流。超快，当天10点多下单，下午2点多就到配送点了，4点多就到手了，因为仓库就在当地不算远。2、包装。瓦楞纸盒，还有充气垫，防震防压防损坏。白色包装盒，撕开外面的透明塑封，里面就是手机。3、内存。手机32G，我个人比较够用，是购机必要条件之一。4外观。个人认为还是挺的，不过本来想买蓝色的，却没有货，就选择了金色的。手感不错，光滑细腻，触感舒服，机身不厚，7点多毫米，不沉。5、相机。前置800万，后置1200万，差不多。屏幕还是挺清晰的。6、品牌。值得信任。7、性价比不错。个人认为不足主要有电池、运行内存、手机屏大小、CPU，具体如下:1、手机电池3000毫安，个人认为还是不够经用，不过又要手机厚度又要电池大，确实不太容易兼顾，也可以理解。2、运行内存。3G，本来想选个4G的，价格又会上浮，的确好平衡。3、屏幕。5.2英寸，看管了5.5，看上去还是要小那么一点点。4、CPU。海思8核，千元机很普遍配置。跟爸妈买的，,2017-10-16 16:18:24,692,28,5
宋***驹,PLUS会员,挺好的。荣耀8 蓝色特别好看。哈哈哈哈哈哈哈哈。骚骚的,2017-11-20 13:15:49,3,29,5
专业抬专业抬价,钻石会员,现在千元以下的国产机真是各方面都强大，做工，手感，系统的流畅度，硬件配置。祖国你好。,2017-11-02 10:52:49,16,0,5
杨***0,银牌会员,京东在我们家隔壁，但是没想到太快了。上午定的吃了个饭就到了。。。能给三十二个赞吗？,2017-10-12 07:59:24,151,6,5
A***2,银牌会员,不错今天买今天到了 手感不错 挺好用 懂我用一段时间再来评价 哈哈,2017-11-22 19:29:20,6,0,5
j***h,银牌会员,非常漂亮，很给力，昨天买的今天就到了，手机比图片上还要漂亮，手感很不错，买给家人的，一收到货都想自己用?，简直爱不释手，等家人用了再来追评！,2017-11-08 19:54:19,5,0,5
r***o,金牌会员,之前给家里人买过华为手机用了快两年了，还是很好，正好自己的NEXUS5电池续航只要俩小时，还是换了，喜欢荣耀8蓝色的外观和配置，到手感觉非常棒，我的要求不高就平时做生意打电话上上微信和fb，待机和分辨率都够了。另外拍照也不错，下面是我拍的自己家的车，效果还是蛮好的。最后我想说两句，关于现在有些年轻人的消费观，买之前看过许多人的评价，说买这款手机当备用机用，当然，这是你的自由，我无权干涉。我呢85后多岁，靠自己打下一片家业，但我手机从没买过2000以上的，衣服都是网上上买，偶尔挤挤地铁。请动不动说千元机这那，哪这，备用，有了别墅有了图上的车再来*，*不是靠什么东西，而是考实力靠的是内在美。要不然，别拿着几千块的手机，穿名牌上街去*你就很厉害了，请老老实实的挣钱上班，孝敬父母，父母养活你不容易。好了到这吧。,2017-05-05 15:02:46,4338,1628,5
j***d,金牌会员,给老公买的，他说还不错，电池很耐用，嗯机子也很好看，可惜为什么他只送了后壳，没送膜呢，之前买的很多手机都是标配有耳机充电器，他这个没有耳机，还需要自己配，自己在京东又买了膜和后壳，总体来说很满意，所有的，电器数码之类的都在京东买的，信赖京东,2018-02-07 11:33:00,8,0,5
茹***忧,银牌会员,"不好意思，差点忘了评价了，手机是帮别人买的，听她说用着还可以给个好评吧，买手机我还是喜欢在你们京东这边来买的，京东这边的服务态度我也是很满意的，但是这次的服务不是很满意，答非所问他说双11咨询人数较多回信息会慢一点那也不是这样子的啊，回信息慢一点可以理解，但不要我问这个，你答那个，这样会让人很恼火的，希望能改进。其他的还是挺好的,听她说挺好用的,还有在这里提个建议，就是手机的发票。能不能改进一下不要默认那个电子发票，给自己买就没事帮别人买电子发票，怎么拿给他呀手机如果没出什么问题那没事，如果出了什么问题，那不是很麻烦吗？",2017-11-23 21:47:32,3,4,5
0***0,PLUS会员,屏幕大小还行，就是按键设计的很naocan，放到屏幕里面，不仅不方便，还占地方，现在真正显示内容的地方感觉矮胖矮胖的，截图会把按键也截进去，不爽。手机预装了好多软件，拿回来第一时间能卸的全卸了，目前还算流畅，希望能保持，不要像渣米一样，系统装好多乱七八糟的软件，还卸不掉，真到了那一天，华为也就快完蛋了。第一次开机，手机体检88分，华为你这是自己打自己脸么，而且我连SIM卡都没装呢，通讯录也没导入呢，你就给我预装一堆黄页，这么多电话号码，我就想问问你们收了多少广告费？屏幕弄成个2.5D，膜也贴不了，无所谓了，不贴也行。百度zhazha的输入法卸不掉，强制记录步数真的好吗？真不是故意来找碴的，是真恨铁不成钢。真的很想用一个干净的安卓机，没有捆绑，没有强制推荐，没有强制升级，系统简洁流畅，哪怕你再贵个300～500也行。也就拿来当个备用机吧。不是针对这个手机，是所有安卓机的现状。最后的最后，京东也开始做房产中介了？,2017-12-20 14:54:13,4,4,5
猫***瓢,PLUS会员,指纹非常快，，买给我母亲的这是我第二次买华为的手机壳。之前买的坚果质量真的有问题，华为不错。声音还是比较大。还送了个后盖,2018-02-02 19:44:43,5,0,5
爱***堂,PLUS会员,很棒！！！！！京东自营华为荣耀okokokokokok!!发货快速，服务态度好，店主态度好好，快递员又有爱心，昨天下单今天到达，已经买N次啦！！！！！！！！！！！！,2018-01-07 12:39:56,16,6,5
j***c,银牌会员,手机很漂亮，头一次在网上买手机，现在在升级系统，感觉还不错，只是指纹只能录一个，不知道玩游戏顺畅不，总体来说还是不错,2018-02-11 11:09:03,4,2,5
a***7,金牌会员,东西挺好的用的还行是真品,2018-02-09 23:03:50,1,0,5
