名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
普***光,金牌会员,京东优点，送货速度很快，手机颜值不错，看着不像千元机，性能无所谓，不打游戏，就是使用要小心了，双面玻璃不耐摔了,2017-12-28 16:00:41,183,79,5
漂***狼,金牌会员,手机已收到，家人特喜欢，手机各方面都不错，颜值高，四摄像头，双2.5d玻璃，16:9屏幕看视频很给力，给老婆当情人节礼物，京东物流值得表扬，这两天还这么准时，快递小哥辛苦了！,2018-02-14 17:36:06,14,6,5
尘***3,金牌会员,过年了给爸妈每人买一个，荣耀9青春版颜值无敌！！！妈妈也不玩游戏，性能她根本不在乎，只要好看就行了，全面屏看电视她肯定很喜欢，哈哈，明年就要去华为工作了，看到公司出的这些漂亮而且价格亲民的产品真的感到自豪，工作了就给他们换P系列旗舰啦。,2018-01-30 18:20:25,16,8,5
够***嘛,银牌会员,首先京东的快递毋庸置疑，几乎在哪里只要是三线城市以上就是一天到没毛病的，然后说一下体验，我用小米6拍的，一直相信荣耀的做工，14年就用过荣耀6可惜被偷了，时隔这么多年再买华为荣耀还是一如既往的喜欢，千元全面屏震撼到我了，表示用几天看电视春节给爸妈，完美。,2018-02-03 21:20:59,13,2,5
叮***W,银牌会员,白色的，我很喜欢不过我是男士使用，但是看起来也也很漂亮系统流畅度还可以吧，我不怎么玩游戏红米5Plus那是浅蓝色的，一直没有货，那一款我也一直关注，还是比较赞的,2018-01-10 09:39:28,22,15,5
天行luo,PLUS会员,价格实惠，值得买！支持国产手机！给个赞！,2018-03-08 17:56:26,0,0,5
言***2,银牌会员,第一次用荣耀感觉挺好的对它有很大的期望支持国货,2018-01-10 14:22:47,20,6,5
李***0,PLUS会员,东西很好，比之前的手机运算速度快了很多！手感很好，而且轻便，老婆很喜欢，说体验很好！这次购物不错！希望能够一直这么好下去！,2017-12-27 20:19:21,81,12,5
彼***3,PLUS会员[试用],如图，除了比我想象中的屏要窄。其余暂时还好，触屏也算灵敏，色彩鲜艳。就是清晰度比不上苹果，我的是果6。电池未清楚。但说是5.66的屏感觉看上去比果6大不了多少可能是机身修长的缘故、还未用 卡得换，用过再来说！,2018-03-04 15:48:22,1,0,5
青***8,金牌会员,"新年新手机?
荣耀8摔坏了直接换个9
全屏就是牛，悬浮导航键跟8的功能又进了一步非常不错，值得购买！
荣耀，
中国荣耀！????",2018-01-10 15:54:48,45,2,5
大***v,银牌会员,手机已经收到了挺好的,2018-02-27 15:58:46,4,0,5
j***g,银牌会员,很一般很一般很一般很一般电池不耐用打电话还可以,2018-01-06 08:20:04,22,2,5
j***m,金牌会员,一直用小米，本来想买红米5不拉屎的，但是外观没这个好看，反应还行，电池一般般，不玩游戏能到晚上，双摄像头没说得那么好，麻麻的，晚上更加不用说啦，最好的就是外观了,2017-12-30 22:43:41,115,40,5
霍***白,PLUS会员,东西到得蛮快的，有封条，这个做得还可以，机器是双面玻璃，需要好好保护，个人觉得正面不需要再贴膜了，如果觉得滑起来不顺畅，可以贴个磨砂膜，总体来说摄像头还是没有我的7感觉舒服，毕竟千把块的机器，全面屏什么的自己看图就知道了！,2018-01-24 08:49:17,19,4,5
1***1,钻石会员,物流快，京东物流还是一如既往的好，手机颜色好看，小细腰手感很好，前后双摄，拍照很清晰，电板很耐用，玩一天还有30%的电量，打王者，荣耀不卡，毫无压力，手机系统流畅,2018-01-31 18:31:36,26,5,5
j***沂,金牌会员,1199的手机，屏幕居然有疏油层，我3899买的P10却没有，作为忠实的华为粉丝我有点桑心。运行速度没问题很流畅，买来做副机看书、玩小游戏、飞无人机很合适，值得推荐！！！,2018-01-17 11:22:39,24,1,5
j***子,银牌会员,手机不错，很轻，昨天刚到，还没用，外观这些很满意，但是就是一不给贴膜，二不给耳机，三包裹里连保护的东西都不给放，咣当咣当的。,2017-12-29 12:43:29,40,12,5
冯***勇,金牌会员,先说下自己对于安卓机的感想吧。首先功能无可厚非很强大。但是系统的流畅性过一年再看得出来。新手机都差距不大。不过荣耀应该还不错。希望能一直不卡就可以了。别像三星一样一年卡成狗。用着烦人。,2018-03-05 22:27:08,1,0,5
-***_,银牌会员,昨天中午买的 今天下午就到了 快递相当给力 手机买的超好看 本来担心颜色会太亮 结果回来看到 之后 只有各种喜欢 只能说 这个价钱买到这种机子 已经相当不错了 最喜欢后边了 很高大上,2018-03-05 16:58:33,1,0,5
壹***卖,PLUS会员,用了一天，感觉非常好。。。,2018-03-08 12:00:08,0,0,5
j***w,PLUS会员,手机不错哦，前后四个摄影头，全面屏，很有特点哦！,2017-12-28 22:44:35,19,5,5
j***8,金牌会员,物流给力，物美价廉，用着顺手，挺好挺好！,2018-03-06 17:48:04,1,0,5
j***4,银牌会员,很好的，用起也很流畅，国产机厉害咯，！,2018-02-22 16:42:26,1,1,5
漯***砖,PLUS会员,华为现在确实是国产手机的标杆，这款手机不仅是颜值高，系统流畅度，屏幕分辨率都很好，而且售价便宜，性价比极高，不错！另外给快递小哥一个大大的赞，冒雨送货辛苦了。,2018-03-01 19:02:36,1,1,5
有***称,PLUS会员,第二台了，一直相信京东自营。今年已经在京东买了7台手机了。,2018-01-18 19:18:25,4,8,5
j***l,银牌会员,:手机买来用了半个月 手机喇叭音质不行 喇叭劈了 上面我拍的这个视频 大家可以听听这个音乐就能听出来,2018-03-08 08:19:32,0,1,5
S***2,PLUS会员,京东物流给力，速度快，工作人员好。货物质量好。货真价实，经济实惠。,2018-02-02 11:31:48,11,4,5
小***g,PLUS会员,京东优点，送货速度很快，手机颜值不错，看着不像千元机，性能无所谓，不打游戏，就是使用要小心了，双面玻璃不耐摔了,2018-01-13 22:59:36,517,23,5
j***c,银牌会员,物流没有之前快了，感觉系统运行有点慢，总之还将就吧，当备用机还可以，习惯好评????????????????????????,2018-03-09 15:21:39,0,0,5
jd_158440att,银牌会员,拍照效果一般。也许是我这光线不好。 电池杠杠的。玩了一下午才用了30多个电。 性价比超高一千元左右的手机首选。 来的时候屏幕有一点小划。不过不细看看不出来。 不耽误用,2018-03-07 20:05:22,0,0,5
大***哥,金牌会员,第一次用安卓机，还不太会用，快过年了，给老爸买的，这个价钱这个配置已经很不错了，都说华为手机好，果断给老爸入手一个，像素跟苹果8p还是差一点，四摄全面屏，今年最流行的款式…………希望老爸能够喜欢,2018-01-11 14:44:15,13,4,5
陶***钱,金牌会员,给老爸买的，嘴上说着不要不要，但是下班到家就抛弃旧的，带着新手机走了，样子很好看，老妈也喜欢，遂又给买个白的配情侣机！,2018-01-16 11:13:50,24,9,5
戏***喲,银牌会员,个人感觉挺好用的，感觉比荣耀8荣耀9都好看，接近全面屏，关键性价比不错哦～推荐使用哈,2018-03-06 20:07:44,0,1,5
继***荡,银牌会员,"物流速度没说的！???外观精美时尚！系统流畅！电池也
???赞赞赞赞赞",2018-03-09 13:12:26,0,0,5
S***3,铜牌会员,晚上拍下午就收到货了，颜值爆表，都很喜欢，真是千元神机，一直都是用华为,2018-03-07 12:04:34,0,0,5
廖***鸿,银牌会员,手机外观好看，面部解锁有点鸡肋。。。总体来说，一千多块挺不错的了,2018-03-09 09:11:14,0,0,5
大***仔,钻石会员,收到机子很满意，快递小哥很贴心，因为怕脏所以给老妈买的黑色，一千多块的手机还是全面屏 性价比已经很高了。,2018-03-09 12:51:28,0,0,5
1***去,PLUS会员,昨天刚收到的，外观漂亮我挺喜欢的，手机性能等用段时间再来评价，整体还是不错的,2018-03-08 06:42:27,0,0,5
c***y,钻石会员,手机不错 颜值很高 完全不像千元的手机 系统很流畅 除了图标有点丑 作为备机用很合适,2018-02-12 16:23:53,1,3,5
