名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
1***g,PLUS会员,给妈妈用还是信得过诺基亚，不过真的很轻，但是做工依然不错,2017-12-14 20:51:15,3,0,5
yu_qiong,铜牌会员,新款诺基亚150，触摸手感舒适，待机时间长，通话质量特别好，最重要的是通话音频输出高，声音不再是一味的小了。新款还增加的强大的手电筒功能，走在乡间小路上，妈妈再也不用担心我摔到了?。顺带也赞赞新款自带的收音机，播放效果打加A，效果杠杠的,2017-10-16 08:38:09,15,5,5
w***0,银牌会员,手机很好用，必须给个赞。品质666,2016-09-23 20:11:42,52,6,5
Q***4,金牌会员,手机质量不太好，凑合着用哈。不管怎么样，还是挺符合我的标准的。就是觉得太贵了。,2018-03-02 13:29:54,0,0,5
j***x,PLUS会员,音质不错，回到了第一个手机时代，不上网，只用来接打电话?,2018-02-28 21:24:20,0,0,5
长***5,银牌会员,老年机就这样吧，感觉有点不值，不过能用就行,2018-02-13 10:04:34,0,0,5
吴***比,PLUS会员,小巧方便，待机时间很长，不错。,2018-02-13 22:14:43,0,0,5
杨***1,钻石会员,手机质量很好，电池很耐用，收到货7天都没充过电，当备用机很适合啊,2017-12-31 16:49:25,1,0,5
w***1,PLUS会员,使用过程中发现手机字体不能调大，据反馈老花眼的同志使用困难，都是图片4??的字体大小，所以不建议作为老年机使用，正考虑怎么解决字体大小的问题，。再说机身外观设计，机体轻薄，机壳属磨砂质感吧，不知道这款机子适合哪些人群使用，求科普～,2018-03-08 11:12:05,0,0,5
激***手,PLUS会员,京东的手机太棒了，帮同事买的，下午买单，第二天早上就到货，物流速度绝对的，而且质量很好，有便宜，下次还要买哦。,2018-02-11 23:35:33,0,0,5
梦***丑,银牌会员,京东的东西，没毛病。,2018-02-07 12:31:24,0,0,5
w***3,银牌会员,手机不支持移动，给售后打电话，最基本礼貌都没有，各种移动卡不匹配，买的慎重吧,2018-02-27 11:29:10,0,0,5
G***2,PLUS会员,速度很快，买给老妈的，感觉不错，希望可以用久一点，呵呵,2018-03-04 12:28:48,0,0,5
c***1,金牌会员,诺基亚老品牌手机，质量不错，非常适合老人家使用！！！！！！,2018-02-26 18:33:48,1,0,5
f***3,金牌会员,还可以物流四天，全新正品，就是按键小了点。还行挺好用的，实惠,2018-02-10 12:08:29,0,0,5
