名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
Rain过天晴_JD,金牌会员,快递包装很好，快递速度可以，诺基亚，看中以前的能砸核桃，使用效果一般。中间的大功能键，跟上下左右键很容易误按。说明书说能支持32G的扩展卡，我之前有个64G的卡也能支持，要么我买个假的扩展卡，要么买了个假的手机……?,2017-11-13 21:22:23,11,10,4
y***t,钻石会员,很强大的功能机 被惊艳到了 屏幕很细腻 操作很方便 功能很丰富 竟然能看视频 也能连蓝牙耳机 前后闪光灯雷到了 按键有点小 特别是方向键 手大老按错 2g网速感人 当备用机超级棒,2017-10-25 23:57:46,31,12,5
恋***唇,金牌会员,不错 比较满意 就是中间按钮不好按 在大点好按点就完美了  诺基亚1110用到现在了 还没坏  这次又给老爸买的,2017-11-09 18:01:03,5,1,5
丫***夜,钻石会员,省内仓，次日达。为了给老人用，杂牌手机设计倒是人性一点，可是质量不好，用不了太久。诺基亚这种牌子质量倒是相对可以，只是使用起来没那么简单，毕竟不是专为老人设计的。（而且现在的这个诺基亚很轻），按键太小，方向键按起来误触几率也大，找通讯录费劲。字体也是没那么大。唉，什么时候能出一个质量好的老年机啊！,2018-02-01 19:56:40,1,0,5
春风沉醉的夜晚0618,金牌会员,废话不多说，就说两点：普遍关注的通话音量问题我觉得还可以，音量适中清晰，无杂音，如果是老年人使用，在听不清的情况下可以开免提；第二是铃声问题，铃声音量有点小，希望能改进；第三，键盘按键也有点小，老人用起来会有不方便；第四，买这个手机的用户肯定都是为了接打电话，如果你是为了上网聊天和阅读，不建议购买，因为这是仅仅一款功能机；至于待机情况，要等后续使用情况而定。优点是小巧轻便，易携带，备用机神器。值得拥有。,2017-08-18 23:17:14,21,1,5
息***汤,钻石会员,做备用机还可以，简洁大方。待机续航不知道怎么样。上网卡的不行，天气功能也用不了，蓝牙连不上我的苹果，联系人就没法导入了，凑合先用着吧。,2017-06-13 12:06:11,30,13,5
振中华2017,金牌会员,看看，看看，这就是诺基亚。我的最爱。左边一部用了好几年了，依然坚挺。我现在有点不想换了，它跟了我这么多年，真有些舍不得啊。看用它拍的照片，虽然人有点丑，不过一点都不影响。现在的年轻人，都应该拥有一部诺基亚。,2016-11-24 12:47:21,26,10,5
席***尔,铜牌会员,不错不错，轻巧方便。功能齐全待机时间长，屏幕清晰特别适合老人用。,2018-02-23 13:12:13,0,0,5
陈***坤,银牌会员,手机很好用，但是有时把手机放在袋子里就没有信号了，声音很大，拍照30万像素不怎么清楚，可以上网，可以看天气。但是可供下载的软件太少了。,2017-11-05 10:47:18,5,0,5
j***a,金牌会员,"包装较简陋，一个气泡袋装着手机盒。手机屏幕出厂没有贴保护膜，到手就有划痕（放台灯下才发现，白天阳光下还发现不了）。
    手机情况：
1.电量：每天4/5个电话、4/5条短信、点亮屏幕查看十几次的情况下，已使用4天，三格电量剩一格。估计能用5到6天。
2.手机字体大小有普通和大号可选，具体效果看图片（普通比大号每行多显示3个汉字，手机屏幕宽约3.8cm）。
3.手机有蓝牙功能，可以连接蓝牙耳机。
4.有手电筒。
5.前/后双30万渣像素摄像头。
6.有收音机（必须连耳机当天线才能使用）。
7.初始保密码是12345（和说明书描述相符）。看到有些评论说初始保密码是00000，不明觉历。
8.没有Nokia精典的键盘锁快捷操作（左键+*），需要左键进菜单选键盘锁。
9.天气显示，有数据流量的情况下，可以显示查询地天气信息。
其它功能没什么兴趣使用。",2017-11-13 12:42:18,7,2,4
j***y,铜牌会员,"超出期待的手机
可以自拍
可以连接usb
可以查询天气
可以看视频听音乐听收音机
可以插小卡
点赞
希望可以用久一些",2017-09-22 14:03:13,5,0,5
艾***大,PLUS会员,今天到货迫不及待的打开了，少年时曾经的记忆，手感和第一次用手机一样的感觉，支持诺基亚，加油诺基亚,2017-12-07 21:05:24,3,0,5
丿***本,PLUS会员,还好啦，特别是快递员，大冷天的晚上九点多给我送货，以后都不敢选这个时间了，他电动车还没电了,2018-01-11 08:08:56,1,4,5
洛***g,PLUS会员,刚拿到半天，使用反应挺快的，只能打电话发短信，上网微博是鸡肋，基本不能用，待机时间还不知道，应该很长，之前买过*，这俩机身都有弹簧一样减震的应该比较耐摔，惊喜的是可以连蓝牙听歌，插内存卡，跑步当个小MP3 。对了，*实在太小，老人看不清字，这个好一点。,2017-04-12 21:06:26,66,23,5
雁落沙坪,银牌会员,天啊，这速度不是一般的快，早上10前下单，下午4点就收到了，不知道京东是怎么做到的,2017-12-28 16:41:17,3,0,5
甘***P,金牌会员,拿着很便捷，送给爸爸的，还没用，感觉质量不错的，尤其是诺基亚电池,2018-01-26 21:01:54,1,0,5
熊***族,PLUS会员,没以前的好用了！感觉用起来麻烦些了！,2018-02-25 21:03:13,0,0,5
j***c,铜牌会员,不错，昨晚上下的单今天就到了物流挺忙快的,2017-11-25 19:14:09,2,0,5
小***5,铜牌会员,买回来才发现右键是自拍键,2018-01-02 10:53:59,0,0,5
j***a,PLUS会员,挺好用，支持诺基亚,2017-11-06 17:01:24,1,0,5
幸***胜,铜牌会员,手机还不错，有点怀旧风！,2017-11-19 14:48:36,2,0,5
L***W,金牌会员,还是一样的好用,2018-02-24 15:52:07,0,0,5
浮***典,银牌会员,手感超棒，功能简单，可以当mp3的用屏幕还算可以，阳光下可以清楚的看到文字，唯一不足的就是四个导航按键有些小，很有味道的一台机器，功能机的老大果然还是诺基亚，电池超耐久，果断好评,2017-07-23 18:45:29,2,3,5
f***z,PLUS会员,磨砂后盖，手感略偏轻。塑料感满满的。微软中国，确实不是当年的诺记了。功能够用就行啦。声音不是很大。照相渣渣。字体挺大，颜色可以。有手电筒。待机时间长做为备用机还是不错。,2016-12-14 21:54:43,2,2,5
萬***意,PLUS会员,还不错，买给老人家用的，可能再也见不到大手拉小手了。,2017-07-06 10:22:54,5,1,5
j***x,银牌会员,京东这速度真是没谁了，十点多下单晚上七点多就到了 这次买诺基亚主要是我爸手机实在不能用了因为相信诺基亚这个牌子所以买来给他们用，非常好，质量外观没得说,2017-10-18 07:04:46,0,0,5
可***瀚,钻石会员,很好用，并没有像网上说的那样差,2017-09-22 16:38:33,4,2,5
城***I,PLUS会员,"用起来美滋滋。 非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺！ Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management J",2018-01-09 17:17:18,0,0,5
j***4,铜牌会员,"哈哈,手机给奶奶用了几天了，她蛮喜欢的，物流贼快，手机刚刚来就被我拿来拍了很久的照片，美图送上。",2017-08-01 18:56:05,21,1,5
j***g,金牌会员,一款很不错的手机！老用户了！现在购买的这款有更新，特别是拍照！老品牌，值得信赖！！！,2018-02-12 13:16:23,0,0,5
颜小慧,银牌会员,用了几天了，感觉还不错，是不能用电信卡的，联通移动可以。,2018-03-01 18:02:34,0,0,5
w***a,铜牌会员,之前诺基亚的质量谁都知道，本想还冲着老品牌来的，现在既不是美国生产也不是中国制造，而是越南生产.好轻不知道质量有没有以前质量,2017-05-30 23:08:06,10,6,5
风***1,PLUS会员,非常小巧精致，而且很轻便，色彩上看着很舒服，功能挺有用的，除了打电话和发短信，还能听收音机和放音乐，惊奇的是还有拍照功能，虽然用处不大，但是还是很意外 说下缺点，没有可以挂绳子的地方，没有手机套,2018-02-26 11:02:20,0,0,5
l***g,金牌会员,诺基亚已经不是原来的诺基亚。手机拿手里感觉特别轻，就跟个儿童玩具似的。做工尚可，但是用起来已经没有原来诺基亚的感觉了，本来是买给老人的，可铃声和听筒音量都不大，按键也偏小，操作也繁琐。冲着情怀买的诺基亚，也只剩下情怀了。,2017-08-22 23:19:04,15,5,5
秦***凡,金牌会员,事实证明，这手机可以安装Java  qq，能正常文字聊天，图片什么的别想了，无法后台。就是九宫格现在打字贼慢，用惯了输入法全键盘。安装Java软件要一起下载jar和jad文件，放在同一目录下，点击jad文件安装。另外这手机用的是联发科，支持当初斯凯平台收购沃勤所产生的vre平台升级版mre平台，所以软件要下载mre平台后缀带vxp的软件，按理说应该向下兼容可是vre平台的vxp软件无法安装，mre平台的软件都找不到，所以基友们还是用Java软件通用版本或者选择手机分辨率版本。说难听点就是诺基亚套壳生产的山寨手机，卖的是情怀，长待机，都不是塞班系统，不支持塞班软件实在坑。大胸弟们，我解释了你们最想问的问题，麻烦点个赞,2018-01-08 21:57:25,20,3,5
陈***兴,PLUS会员,这款手机不错，备用机比较好的选择。试了一下通话音质也不错，还是双卡双待的。挺好用，挺好用，值得推荐。,2017-11-24 15:13:46,2,0,5
伟***恋,金牌会员,用了一段时间再来评论的，用着还不错，挺好看的，很喜欢，价格也合适，质量也不错。很明显很重要的时候了吗你们。,2017-09-23 16:34:53,2,0,5
