名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
老***哥,金牌会员,收到货，确实比较轻，做工确实比不上以前的诺基亚水平，全五分好评只为心中那记忆中的诺基亚，在这个连情怀都被老罗用坏的年代，我们这些岁月的旅行者只能静看风云变换，不期待，因为期待也没用，就像苹果那时候没有乔布斯就破产了一样，一切顺其自然，且用且珍惜，全五分好评奉上，希望诺基亚一切安好。,2016-01-27 12:57:28,33,4,5
j***6,钻石会员,"开机画面没有大手拉小手，只有Nokia的字。后盖确实是铝的，双卡，卡槽是标准大卡，iPhone的小小卡芯片对准触点也可以用。240*320的分辨率放在2.8寸屏上有些颗粒感，但是字还算大，这个分辨率配2.4寸及以下屏幕应该会好些。铝盖一侧边缘跟侧面塑料挨着的地方稍有划手，应该是严丝合缝的问题。配件有充电头、数据线、电池，不带耳机。电池BL-4UL,1200mAh。自带软件有收音机，但是需要插耳机才能用。自带的新浪微博和必应，根本没法用，就是个Opera浏览器的快捷方式，不是app，2G网络超级慢，基本等同没有。用这个手机别想太多，只能接打电话发发短信。前后200万像素摄像头，期望也别太高，Led灯可以当手电。内置游戏只有一个打砖块，没有贪吃蛇。充电头上有Microsoft字样，但说明书里有声明鸿海富士康已经接手，除了外观，已经看不到原先诺基亚的影子，当备机还不错。",2017-06-04 23:06:11,193,31,5
佳***腰,钻石会员,刚出场厂1个多月，现在给年纪人选手机还挺不容易，要简单，铃声大，字大，能照相，不能上网玩游戏的还真不好找。但这个来机后还是有上网的图标，好在不是智能系统，上网不好用。为了不让小孩抢老人的手机玩游戏，特意找功能简单的。本来  看上105了，但屏幕太小了，这个字还大些。后盖是金属的，手感不错挺轻巧的功能机，好用，赞！,2017-08-14 11:50:43,15,7,5
v***3,PLUS会员,"用了好多年的大屏智能机，突然用回诺基亚，感觉轻得握不稳。。。。。手机中规中矩吧，相比于今时今日这价格确实有点贵，但由于不喜欢智能机的繁杂，只是想纯粹要能打电话和收个信息而已。还有，手机明显包装前有人留下了指纹，不知是退货的，还是包装人员，但质量没出问题，算了。

今年，我32岁。",2017-05-31 16:53:31,66,12,5
北***i,PLUS会员,毕竟是信仰  没有了当年的感觉 手机用着感觉回到初中时代,2017-10-31 21:41:41,8,0,5
宝***钻,金牌会员,小巧轻便经济使用|老牌子的手机用了以后有点怀旧的感觉,2017-11-07 09:37:28,9,1,5
开手扶的一超,PLUS会员,90后，你还记得曾经的诺基亚吗？熟悉的按键手感，熟悉的铃声，熟悉的操作界面… 当年上初中那会，诺基亚卖得并不便宜，那时候诺基亚那么漂亮，我却买不起，印象最深的，5310XM，N78，N81…等到我买得起了，如今诺基亚却变成了这样。好多人认为此诺基亚已非彼诺基亚，这款机子做工不如从前，金属机身却不如曾经有分量，但我仍愿意相信它还是从前的诺基亚，今年过年打算不回家，当作年终礼物了。,2016-01-23 23:36:58,6,6,5
飞翔7891,PLUS会员,手机正品，给老爸买的，用着方便，在老家自己录的视频告诉我手机不错，快递也给力,2017-11-03 19:23:55,2,0,5
萌***姐,铜牌会员,手机很不错，通话声音挺大的，手感也很不错,2017-11-06 15:13:59,4,5,5
范***风,PLUS会员,特别不错的备用手机。,2018-02-05 12:24:12,1,0,5
