名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
落***秋,PLUS会员,"经典传承，买回老家给老妈用，昨晚用老爸的手机打电话来说她的电话不小心放洗衣机里面洗了，立马下单，也是诺基亚，耐用，今天就收到了。
两个取暖器也是买来给两老用，虽说广东的天气很冷的时候很少，但也有那么的一月半月的，老人家有点怕冷。",2018-02-06 20:54:12,5,1,5
康***达,金牌会员,"诺基亚3310，确实是为了情怀买的，关注这个手机很久了，说实话，要不是为了情怀，不会买这种功能机的。
功能上，可以说什么也没有，而且2g网络，已经落后于时代了。
不过买这款手机的人，不会在意这些的，没有人会为了使用来买他。留下那一段美好的回忆吧。",2017-12-30 11:03:43,24,8,5
果***木,PLUS会员,儿子上初一了，给儿子买的，手感挺好，质量不错，学生机，无游戏，值得推荐家长给孩子买,2017-11-19 09:54:17,18,26,5
悠***-,PLUS会员,用了两个月了，感觉就是情怀之作，待机时间长一点，其他一无是处。,2017-09-29 11:13:45,47,9,5
w***g,银牌会员,给老妈买的，今天给她试了下，很棒！很棒！很棒！重要的事说三遍！你值得拥有！五分好评！,2018-01-14 22:45:59,18,5,5
G***v,铜牌会员,"比想象中的好，功能强大，比原版的3310小一圈，质感细腻。
但还是要找运营商支持2G业务，购买储存卡，要不然有些功能都支持不了。",2018-03-03 13:41:41,1,0,5
j***4,PLUS会员,手机质感不错 手感不错 挺好看的 大赞 找回了当年玩诺基亚的感觉,2018-03-06 17:17:33,0,0,5
鱼***O,PLUS会员,挺可爱的，插过一次卡，通了一下电话，音质可以，很清楚。买来玩贪食蛇的，待机一周了，如图右上角电量显示。手感不错，手机特别轻巧，纯属情怀。红色好看，大赞。,2018-02-21 18:49:43,2,0,5
N***5,金牌会员,买来做备用机的，电池续航能力不错，手机手感好，做工也好。,2018-03-07 13:22:38,0,0,5
j***c,铜牌会员,特别好！??????????,2018-03-06 12:59:01,0,0,5
叼***圈,PLUS会员,质感不错，摄像头白天基本够用,2017-08-20 05:21:53,1,0,5
z***9,PLUS会员,非常满意，怀旧感觉！值得拥有！,2018-03-06 21:10:32,0,0,5
j***t,钻石会员,很好，信号不错，通话质量可以,2018-03-06 23:16:25,0,0,5
j***e,铜牌会员,小巧玲珑的，非常惊艳,2018-03-08 15:28:04,0,0,5
j***7,银牌会员,很喜欢这个颜色，原来*的时候没舍得买，现在价格一样了，打电话的时候旁边的人根本听不到，就是后盖不知道蹭上了什么，弄不下去。机子手感很好。,2018-02-26 19:50:35,0,0,5
h***a,PLUS会员,为了信仰买单。。呵呵。。经典的大手抓小手都没了，还能是诺基亚吗？深圳的一个公司做的，产地越南。话说不便宜啊。放个老款对比下。。哈哈。小巧了 。闺女喜欢就好,2018-03-08 00:09:22,1,1,5
w***w,金牌会员,没问题，值得拥有……,2018-03-07 20:03:44,0,0,5
独***e,银牌会员,不错，相信诺基亚！到手还没拆，送给我妈，她不识字也只能用功能机。339到手比其他商城便宜了好几十。只是可惜诺基亚的功能机都不支持电信；要是有的话就更好了……,2018-02-10 13:02:11,3,0,5
陈***阳,PLUS会员,真的很漂亮，诺基亚情怀啊，好多年都买了，前十几年的33102还在，哎呀，真的好用，五星好评。,2018-03-05 17:34:14,0,0,5
杨***英,金牌会员,用着还不错，轻便，就是铃声有噪音，整体不错！,2018-03-08 14:48:54,0,0,5
g***1,PLUS会员[试用],靠谱的手机，给父亲买的，玩不转智能手机的他希望能喜欢！,2018-03-07 16:15:10,0,0,5
乱***风,钻石会员,很漂亮，还是以前的味！经典！,2018-03-07 11:04:15,0,0,5
不***人,金牌会员,"200万像素挺不错的，不过在这块小屏幕看不出来，巡航给力一冲用一星期
备用机美滋滋",2018-03-08 22:16:46,0,0,5
c***常,铜牌会员,"有点失望！  不能开热点
不过关注这么长时间了，终于入手了，高兴",2018-03-06 20:13:24,0,0,5
张***典,PLUS会员,手机显得单薄了一点，我更怀念以前厚实的感觉,2018-03-09 13:18:20,0,0,5
1***1,PLUS会员,用第一部手机，现在自己买来怀旧,2018-03-09 10:59:33,0,0,5
雪***a,PLUS会员,很不错的，经济实惠，物美价廉！,2018-03-06 13:11:57,0,0,5
b***9,银牌会员,买的时候就是为了诺基亚的这个经典牌子，但是开机画面找不到诺基亚大手牵小手的经典画面。这个手机当备用机还是可以的,2018-03-07 20:22:46,0,0,5
j***8,铜牌会员,手机收到了，快递好快，久违的诺基亚！,2018-03-07 12:19:36,0,0,5
h***7,金牌会员,挺好用的，老妈很喜欢，外观也很漂亮,2018-03-08 09:08:01,0,0,5
快***8,钻石会员,质量太差了    屏幕用一天就裂了,2018-03-07 14:33:42,0,0,5
h***3,金牌会员,简单的手机 电池好 又轻又方便,2018-03-06 22:16:54,0,0,5
j***d,企业会员,送货很快，京东物流和商品都点赞,2018-02-20 12:54:59,0,0,5
7***5,金牌会员,小巧玲珑的，纯粹的就是情怀呗，,2018-02-01 20:45:54,0,0,5
流***船,PLUS会员,手机很好，出国正好用来放国内的手机卡，备用机很好的选择，双卡双待,2018-03-08 15:29:41,0,0,5
The老杨,钻石会员,做工精致超薄，双卡双待，还带耳机可以听歌。---刚写完也不知怎么就敏感了,2018-03-06 11:03:20,0,0,5
j***0,PLUS会员,不错，挺好的小巧的，手感也不错，666,2018-03-06 20:15:07,0,0,5
c***9,PLUS会员,做备用机是方便小巧的。拍照视频的不要去奢求什么效果，比竟价位在那。待机时间不是太理想。,2018-03-05 17:31:05,0,0,5
不***鱼,PLUS会员,包装好 送货及时 态度很好 包装好 送货及时 态度很好 包装好 送货及时 态度很好,2018-03-09 14:32:57,0,0,5
j***0,金牌会员,不愧是经典中经典，太喜欢了，一如既往的支持诺基亚，物流超级给力，上午下单下午就到了，京东值得信赖。,2018-03-09 19:48:11,0,0,5
q***f,PLUS会员,"非常完美的东东值得拥有
非常完美的东东值得拥有
非常完美的东东值得拥有",2018-03-10 07:46:00,0,0,5
j***p,金牌会员,外观不错?小巧玲珑，通话功能还没有试，电池的续航能力应该挺好的，开机三天了还是原来的电量?，作为功能机非常不错，老年人用可能数字键盘有点点小了……,2018-03-09 09:59:43,0,0,5
盆***韵,金牌会员,给老妈买的，用着还行。,2018-03-09 16:52:06,0,0,5
j***5,金牌会员,冲着待机时间买的，不知道实际怎么样，拿到手没什么质感，像玩具，居然还是双卡双待。,2018-03-09 16:04:42,0,0,5
