名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
逆***8,PLUS会员,快递真心快，昨天晚上10:00左右下单，今天上午就收到。给老人买的，把玩了一下，还行。,2017-11-20 13:01:01,5,4,5
爱***菜,PLUS会员,双十一买的，刚好我叔叔手机坏了给他换一个，对配置没有非常高的要求，他就是平时用来聊聊微信，看看新闻，惊喜的是收到发现外观不错。看起来挺大气的，屏幕比较大，这个价格也特别亲民，毕竟我们是*注的人。酷派这个牌子不知道怎么样哦，总之目前为止还是比较满意。,2018-02-27 16:00:32,0,0,5
j***a,金牌会员,前后两次买了两部。一开始自己买来当备用机，开热点的，买后发现300多块，这部手机真的很实惠，老爸正好想换手机，字体要大，然后就又买了一部，老爸满意。我也挺满意，缺点就是耗电比较快，特别开着流量的时候,2017-10-25 07:33:38,21,11,5
j***3,PLUS会员,第一次买酷派的手机，店里值班手里坏了，买这个单纯为了接打电话，能用就好，唯有太大的期待，,2017-11-03 16:05:22,11,3,5
k***y,PLUS会员,非常完美的购物体验感，很不错，好评哦。,2017-10-06 22:14:17,6,2,5
j***q,PLUS会员,我是买来当备用机，真是没有就这个价钱，还有这样的效果。之前买了个老人机，有点小问题，退回京东了，过了一段时间，京东客服联系我，是换新机还是退钱，我选择退钱了，这不，买了这款，太好用了。以后就京东了，哪里也不去了,2018-01-13 08:40:43,1,0,5
j***n,金牌会员,真的是物美价廉，京东商城的物流又超级快、照相效果还是不错的。好评好评好评,2018-03-01 20:32:28,1,0,5
c***0,钻石会员,的确漂亮！性能超快！这个是第三款了。,2017-09-22 19:49:55,9,3,5
芴***q,银牌会员,这款手机作为老人机真心不错，物流的服务大赞，还赠送一张电话卡，好评,2018-02-20 13:08:49,1,0,5
望***望,PLUS会员,手机买来备用的，目前挺好的，没有啥问题，工作用能打电话就好,2018-03-03 14:27:24,0,0,5
爱***哥,铜牌会员,总体不错，相信酷派相信京东，好评，值得信赖！,2018-03-08 17:07:47,0,0,5
i***e,钻石会员,哈哈哈哈，不知道怎样评价这手机，三百多块钱的也不能期望太好，一个字形容就是慢，什么都慢哈哈，老人机,2017-10-27 14:54:36,9,11,5
j***q,金牌会员,已收到，无破损，质量如何用用看，,2018-02-24 14:58:24,0,0,5
1***4,银牌会员,这个价位的手机还算不错，给上小学儿子查作业用还是够用，但是简单操作后发现电量下得挺快,2018-02-12 14:31:32,0,1,5
郭***5,金牌会员,这款老人机运行还算流畅，相机照出的相也可以，通话质量好字体大，能满足老人日常使用,2018-02-27 08:11:12,0,1,5
b***6,银牌会员,到了自取点取了手机，外包装完好，打开后见到了这款机器外观的确很漂亮，弧形的后盖和前半部分贴合的很好，取下后盖插上手机卡，不是nano卡，比哪个大一点，开机后画面说的过去对得起这个价位，买时就是准备给老人用的，2G运存16G内存，不插TF卡也基本够老人用了。可以插两张手机卡，在机器的左右两侧。配件就是个充电器和一条数据线还有一份说明书。总的评价是价位合适，内存够用，画面还说的过去，按键反应速度稍慢可能是用惯了高配置的机器的缘故吧，值得给老人买一部。换了加粗加大图标字体后老爸还是觉得看不清楚得戴镜子，建议厂家该把图标字体加大一点，这个手机换加粗加大图标字体自带功能调节不出来。,2018-02-24 21:45:20,0,0,5
j***g,银牌会员,给孩子买的，质量没问题是正品，触摸屏反应能说的过去，孩子用没问题。,2018-03-06 09:11:14,0,0,5
高***坡,PLUS会员,手机已经到货了，还没怎么使用，使用几天再来追评。,2017-09-03 14:32:06,15,3,5
j***1,银牌会员,手机收到了，外观很不错。爸爸很喜欢，价格也很合理,2018-03-09 14:22:37,0,0,5
jd_138267lek,铜牌会员,比实物好看，也挺值。。。大吉大利，今晚吃鸡……,2018-02-21 17:52:56,0,0,5
j***d,铜牌会员,可以，备用还不错,2018-02-28 16:15:40,0,0,5
j***l,金牌会员,不错的备用机！,2018-01-18 16:16:26,1,1,5
j***t,银牌会员,就是有点慢..,2018-02-14 09:39:38,0,0,5
小***_,铜牌会员,手机好卡，内存说是有8g，但用起来装不了几个应用就好卡好卡还显示内存不足根本就没有8g，而且触屏好慢进一个应用也很慢很慢唉，但是价格摆在这里了，没办法。我只是实话实说的评价这个手机而已。根本就没有评论里面说的那么好好吧。。。而且快递我也是醉了，连个充气的塑料袋都不包装一下，拆开快递的那一刻，看到没有包装好，我都怕手机会碎屏了，幸好没有碎屏咋滴，快递包装服务这块不好。这是第一次在京东上买东西，感觉下次都不想再买了,2018-02-27 19:36:56,4,6,1
j***2,PLUS会员,屏幕不是全屏，感觉不是原装新机。送货快，分开买要分两次送，麻烦,2018-02-08 11:31:36,1,0,5
为***i,银牌会员,手今天早上已经收到了 ，我试了下手机反应好快用着不错，京东商城自营的商品品质有保证。,2017-09-20 17:34:09,4,0,5
O***t,银牌会员,怀念很激动的心买了个备用机…然而不理想。应该多花两张,2017-09-08 19:43:32,9,2,5
爱***巢,钻石会员,商品收到了整体感觉还不错，金色的大气，屏幕也大，拿在手上很舒适，做工各方面也很好，很满意，价格相当实惠,2018-01-04 21:18:09,1,0,5
j***7,金牌会员,手机不错，性价比高，给家里老人买的，打接电话，上上微信够用，自带软件不多，可以卸载！字体很大，看的很清楚！不错！,2017-07-04 14:37:59,6,3,5
冷冷雨夜夜夜,金牌会员,宝贝收到了，可能是年关将至的原因，在路上多耽误了两天，亲自去取货的时候确实是快递场面火爆。宝贝收到的时候开不了机，还以为是坏的，后来总算是搞好了。只是作为备用机的，不到三百的价格算是比较实惠了。现在还不知道待机性能如何了，用几天看看再说～总体还不错。,2018-02-03 16:23:57,0,1,5
jd_151612clg,铜牌会员,感觉还不错，款式颜色都不错，京东快递真的很快，昨天十一点买的今天十点就到了。好久没用带电池版的拆半天??,2018-02-25 21:42:02,0,0,5
j***f,铜牌会员,这个手机速度有点慢，其他的还可以。,2017-12-19 21:59:14,2,1,3
Z***0,银牌会员,给妈妈买的还可以，触屏也行，就是不知道能用多，久，用了在来评价,2017-11-06 10:49:02,1,0,5
大***8,钻石会员,还可以吧！刚开机还在学习，研究好了再说，上图片。,2017-07-02 09:46:01,1,1,5
"j***""",钻石会员,宝贝收到了！送货很快！帮别人买的！款式挺好看的！下巴那么长没做虚拟键，个人感觉是一大缺点！电池百分比数字在电池图标里面，这点挺好的，值得点赞！试一下觉得挺好用的！希望耐用吧！,2017-10-09 01:48:07,3,0,5
S***Y,钻石会员,酷派 5267 全网通 1GB+8GB 白色 移动联通电信4G手机 双卡双待，使用了几天，还可以，老年人够用，希望能耐用。,2017-10-04 22:26:51,1,0,5
句***城,PLUS会员,总体来说是不错买个长辈用的，年轻人就不建议购买，毕竟价钱在那里。。。。赞一个。,2017-08-04 21:26:12,3,1,5
这就是昵称211,银牌会员,速度真快，激动的打开看了，屏幕超大的，非常喜欢，以后就有热点用了，哈哈哈,2018-02-12 13:00:52,0,1,5
h***g,钻石会员,经济实惠性价比高，妈妈很喜欢。,2017-07-11 08:51:00,2,0,5
深***怨,金牌会员,买给爸爸的 反应速度还行 就是功能有点少 不过值这个价,2018-02-09 15:09:27,1,0,5
j***a,铜牌会员,宝贝很好赶紧买吧，我买给爸爸用的  很好  不卡   特别好,2018-03-06 10:59:01,0,0,5
1***m,金牌会员,买了两台手机，拆了一台，用着还可以！用一段时间在看看咋样,2018-02-22 11:16:40,0,1,5
j***v,铜牌会员,手机，还不错，毕竟性价比在那，简单的说这手机可以，非要好，以后要买的可以看图，666,2018-01-06 14:59:53,3,0,5
爽***息,金牌会员,工作用的，打字有些慢，还好吧。拍照啥的就不说了。预装的软件很多，这个比较烦人。系统的话没注意，看界面至少5.0。内存比较小，不过工作只用微信和发短信应该能撑很长时间。,2018-03-03 23:51:00,0,0,5
j***1,钻石会员,还好吧，一分价钱一分货，买回来充电器的线不能用，懒得换了，找了个别的线用,2017-07-22 09:44:22,1,2,5
j***6,铜牌会员,手机拍照效果一般般。外观吧，还可以。就是电池没有想象中的那么耐用，可能这是智能机的通病。然后作为有老人机功能的声音是不够大。,2018-02-10 13:32:39,0,0,5
jd_181113zzs,铜牌会员,其它的还好   最主要的就是电源键不灵  有时候按一下  有时候按三四下才有反应,2018-01-03 18:37:43,0,0,2
j***8,银牌会员,初次上网买手，京东自营商品速度快，昨天晚上下单，明天早上10点钟送到，给1个..赞，质量唔知好唔，用过几个月再评价。,2018-03-06 11:55:05,0,0,5
j***l,PLUS会员,还好了，几百元的东西够用了。蛮不错的,2018-03-06 18:23:08,0,0,5
偶***e,钻石会员,买来单位用 当个移动热点用 支持双4g很不错 就是开盒以后电池没有一点电真的是有点不太好 插了充了有会才打开的机器,2018-02-11 10:33:13,0,0,5
快***1,PLUS会员,京东快递送货就是快，第二天就到了；看起来还是可以的不知道以后会怎样？,2018-02-23 10:37:14,0,0,5
j***a,PLUS会员,昨晚上下单，今早收到，打开看了下挺好的，300块值了！,2018-03-02 11:11:24,1,0,5
c***d,PLUS会员,整体感觉还可以，屏幕大，手感挺青的，运行也还可以,2018-03-08 11:29:32,0,0,5
依***心,银牌会员,买给我爸用的，不求有多好，只求实用，这价位刚好,2018-03-03 11:16:39,0,0,5
岁***香,金牌会员,拿来当公司的公机，打电话发短信还是没问题的,2018-03-07 18:39:31,0,0,5
G***T,铜牌会员,手机通话音量还是很大，想想给爸妈用将就哈,2018-02-25 16:16:56,0,0,5
亮***6,钻石会员,收到了，质量很好，我很满意，手感也不错,2018-02-12 10:09:00,0,0,5
j***4,钻石会员,能支持中国电信卡，希望能耐用,2018-02-06 15:02:27,1,0,5
g***m,铜牌会员,烂手机 不要买  充不起电,2017-10-15 12:39:58,40,2,1
L***-,铜牌会员,手机真心不错，买来公司电话接打电话，很久没用过安卓系统了，还没找到哪里下载铃声，只有慢慢摸索。手机分辨率还是不错了，接打电话已经很快了。,2018-02-25 17:52:07,0,0,5
jd_133038aum,银牌会员,酷派，便宜，17-5生产，用着还可以。,2017-07-29 20:54:59,2,4,5
M***d,PLUS会员,拍照很好，像素不错，性价比不错，给孩子玩,2018-03-05 11:52:18,1,0,5
j***g,铜牌会员,先晒个图，还没试机，,2017-11-07 11:49:13,1,0,5
r***5,钻石会员,手机质量很好，运行速度很快，很喜欢这个手机，下次还会购买,2018-02-28 07:10:47,0,0,5
M***G,银牌会员,还可以，性能一般，但是可以用,2018-03-09 10:00:34,0,0,5
t***3,PLUS会员,手机经济实惠，这个价位就不需要性能了，基本功能和耐用就很好，给好评！,2018-03-05 14:53:39,0,0,5
優***君,银牌会员,手机不错 挺快的用的挺好 内存够用 这个价格 可以了 就是铃声有些小 声音小 其他还可以,2018-02-21 21:51:04,0,0,5
吴***6,银牌会员,开机太慢，至少需要一分钟，,2018-02-26 19:11:26,0,0,2
河***阳,PLUS会员,在老家，没网没WIFI，为了评价这个商品，我走了几十公里的山路来到镇上，脚上磨起了许多豆大的水泡，鞋子也开胶了。本来想把家里的苞谷卖掉几十斤，在镇上坐车到城里的网吧来评价的，无奈天公不作美，今年收成不好，种的粮食只够家里吃，所以我只好在镇上的砖窑里打工，挣足路费。从砖窑搬一块砖到拖 拉 机上只给一分钱，为了100块的车费，我搬了一万块砖，十个手指头都磨出了鲜血，为了省下车费，我没贴云南白药创可贴，让血液自然凝结。之后拿到搬砖钱，我坐上了从镇上开往城里的汽车。来到网吧，一摸兜里，没有三块钱的上网费了，少搬了300块砖。我只好在大街上四处奔走，守望着那些喝矿泉水的人们，当他们将矿泉水瓶从手中抛出的那一刹那，我就像守门员扑球般扑去了，生怕矿泉水瓶被别人抢去了，你理解我迫不及待的想五星好评的心情么?,2017-11-05 23:24:33,3,0,5
j***a,钻石会员,总体还不错！比功能机强！曾经的中华酷联。为了电信卡！如果移动卡就买360C5了！,2018-02-18 21:25:09,0,0,5
m***0,钻石会员,很喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来 非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,2018-02-08 16:48:31,2,0,5
k***g,PLUS会员,给老妈买的，配置还是低了些。主要屏幕反光，凑合用用。,2018-02-18 10:17:13,0,0,5
_***_,银牌会员,内存不大，下两个app（某神奇的软件和微信）就卡了，屏幕看着还行吧，像素就不大理想了，毕竟价位在这里，来电铃声声音不是很大，如果给年龄大的或者老人用有点不太合适，因为字体和声音都不是很大,2018-02-21 16:57:10,0,0,5
彭***君,钻石会员,还可以，给老人用的，不错，物流很快，昨天发的今天就收到了,2018-01-30 19:56:46,1,0,5
x***w,PLUS会员,比预期的好，就这个价格做成这样，算精致了,2018-03-02 23:01:35,0,0,5
