名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***流,银牌会员,手机不错，电池耐用，反映灵敏，有红外线万能遥控，充电有发热，拍照效果不错，系统更新挺快，比乐视配置高，我用的移动信号可以，比别的高一格信号，可能是金属机身的缘故吧，京东快递不是盖的次日达，目前为止比较满意,2017-10-27 08:48:51,25,17,5
j***q,铜牌会员,很好，很快！单一下下午就来了。,2017-11-16 18:04:48,6,5,5
j***m,银牌会员,超快  早上买  晚上到刚打开  无法评价  待使用后再评价,2018-01-08 02:25:00,4,4,5
奥***斯,钻石会员,"手机是极客猫版本，基本就是个安卓原版，预装了几个常用软件，都是可以卸载的，系统甚至有点简陋过头了，连文件管理夹都没有，整机运行非常流畅，内存开机占用560m，按多功能键可以看到程序却看不到剩余内存，占比这些信息，进系统设置里面也没，超级纯净，设置里面多了个极客猫的按键，相当于vpn，在国外需要上网的时候可以直接在这手机里买当地的流量，也可以在国内买国内的流量。
手机长时间玩游戏易发热，主要是摄像头周边部位，如果充电玩游戏热的更厉害，电池电量高，基本正常使用可以一天半，玩王者一小时平均掉电20%，基本算很耐用，手机做工也不错，裸机手感比红米3s好，特别是后背，有点磨砂感，不易滑手，之前3s裸机单手使用总是不稳，会摔机，这台好很多。软件兼容性不算很好，部分app会顿挫，系统是6.01基本也升级无望的?，总体而言算是这个价位比较好的手机了，暂时用的很满意。",2018-03-06 11:39:56,0,0,5
j***s,金牌会员,外观好看，用着也可以,2018-02-13 09:37:20,1,1,5
j***6,铜牌会员,没有预装乐视软件，电池耐用，QQ视频不清楚，运行快，指纹锁好用，播放超清视频像高清像素。12.13下的单14日到，849买的，南宁仓库发的货。,2017-12-15 23:44:36,5,7,5
S***e,金牌会员,这手机的配置绝对在相同价位里面是最低的，安兔兔验机显示为真机。目前使用发现了几个缺点:1.短信和彩信的字体不能调大2.很多下载的App比如Youtube等的字体都特别小，长时间看手机能累瞎。3.接电话居然是上滑，下滑是挂断，这也太变态了。4.通知栏左侧不显示中国移动的名字5.下拉菜单栏没有快捷调整音量的功能，必须按物理键，开关机也是。6.广告多，无用的自带软件不能卸载，只能刷机刷掉。7.没有黑色版本，白天看大黑边真难看。8.第一次运行软件不停的问权限，管家功能太单一，系统细节做的太差。优点:1.能root，可以刷机刷精简版或者MIUI，而且还可以免root安装谷歌套件搭梯子。2.送了半年乐视会员，适合看电视剧的人。3.可以免费下载主题，铃声和壁纸。,2017-10-19 20:33:27,16,7,5
l***5,金牌会员,"手机没到前朋友们都在取笑我说便宜无好货，等着看我笑话，没想到这部手机会这么完美，远远超出我的想象，跟两千以上手机比起来毫不逊色。整体做工相当精细，5.5寸屏手感正好，色彩还原也达到中上水平（假如分辨率再高些会更好）。晓龙652果然不是盖的，虽然才3Gran，系统非常流畅，因为本人不玩游戏，单从上网视频和微信体验来看非常满意。
    最值得称道的是双摄像头配置，光线好的情况下能带来类似大光圈相机的效果，唯一不足的是夜景方面不支持像华为荣耀6Plus一样的超级夜景模式，最慢快门只能手动设置到1/2s，希望能通过后期软件提升。从这部手机看到了国产手机的希望，祝国产手机越做越好有更大的突破！",2016-08-28 10:16:50,3,0,5
j***w,金牌会员,买了两天了，手机用着还可以。就是有些功能不会用，摄像头也不会用，只能用一个，不知道怎么回事,2017-10-04 15:11:11,2,3,5
酷***哥,金牌会员,很给力的千元手机！这个价位很难找到有这配置的手机了！本来想买红米Note4x的！但还是贵了200块钱！！！,2017-09-24 13:26:33,6,5,5
j***f,铜牌会员,手机挺好看的，一点也不卡，内存很多，快递很给力，昨天下单今天到了。,2018-03-04 18:09:58,0,0,5
j***s,铜牌会员,物流快，包装完整。手机与描述相符。,2018-02-10 15:34:58,2,0,5
j***i,金牌会员,第二次购买了，很好用下次还来。,2018-02-12 21:41:32,2,0,5
管***锋,银牌会员,产品不错，这是第二台了。,2018-02-13 18:02:56,0,0,5
全***技,银牌会员,不错的机器，使用了几天，感觉很好，千元机做的算不错了，上部手机就是酷派，这次还是选择酷派，运行不错，开机内存充足,2017-09-11 09:40:33,1,2,5
阿***夕,钻石会员,物美价廉，正品行货(●°u°●)? 」，同类产品中性价比很高。值得大家购买啊，用了一周才来评价。,2017-08-28 20:42:33,2,0,5
甤***下,PLUS会员,"788移动全网通，系统收到后更新到5.9，系统可以刷miui,酷派也新出一个jui系统，是安卓7.1的，不过是公测版，刷的人说还可以比6.0流畅，过几天刷个试试，800块钱没有比这配置高的，红外很实用，玩王者流畅，稍微发热还可以，拍照还不错，毕竟价钱放在哪里，镜面指纹真是指纹收集器，太容易脏，黑边有点大，系统还要适应，下拉只有通知栏，快捷键必须使用菜单键才有，电池不错，重度使用够用一天，不是2.5玻璃的屏，显示清楚，值得买，",2017-11-03 20:35:38,8,2,5
P***N,金牌会员,买给我老爸用的，还不知道他用习惯不，他在老家，我在外面工作(亲亲),2018-01-24 09:33:44,1,0,5
j***f,铜牌会员,手机质量真好!中午领机，下午碎屏了！都未到3小时!,2017-10-18 19:05:07,11,11,3
j***5,钻石会员,硬件不错，做工也尚可，系统就是个半成品，基本就是原生安卓，应用市场就是腾讯应用宝，还有就是装了一堆乱七八糟的app，属于买硬件送系统系列,2018-02-19 17:46:53,0,0,5
心***快,PLUS会员,质量很好，发货速度快，感谢贵店。,2018-01-24 12:02:12,0,0,5
S***e,金牌会员,已经是第二次买了，这款千元以下性价比之王手机的确很不错，不过系统与之前的有大不同，吉客猫系统很干净但是为何连一键锁屏和屏幕手势动作都没有呢？？再牛逼的硬件还是败给了垃圾的系统，希望酷派手机多用些心开发手机系统。,2018-02-20 15:27:38,0,0,5
j***a,铜牌会员,酷派是我用的第一个手机，买了它用了以后发现挺好的，虽然价格便宜 然后用了三个月就被丢了，然后我老爸的手机坏了，然后我还是相信酷派，我就买了酷派的手机给老爸，刚刚才拿到，所以说没有什么性能性的评价。,2018-02-21 16:38:23,0,0,5
z***1,钻石会员,使用了几天，系统简洁，没有多余软件，原生态，感觉非常棒！,2018-02-18 11:54:14,0,0,5
小***i,金牌会员,包装很结实，开箱后眼前一亮，手机真的很漂亮，双摄像拍照很清晰！,2017-08-26 12:11:34,1,0,5
L***亮,PLUS会员,配置高大，乐视黄之前最后一批产品，配置良心，应该说是当下最强大的千元机了,2018-03-08 17:46:17,0,0,5
飞***里,PLUS会员,手机被人用过还刷机了，到手还有88的电量，里面自带了微信高德地图腾讯视频应用宝搜狗输入法等软件，打开设置一看，居然是CM的系统，而看其他人晒图都是eui系统。,2017-12-14 13:09:15,14,12,1
