名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
淡***浓,PLUS会员,"品锤有感！
慢慢讲，T1首发用户，T2先后入手两台，坚果Pro用的时间并不久，玻璃与金属的硬刚确实不能让我这样的部分用户所接受。够用的配置还是悄悄逊了那么一点点。
全新Pro2虽然不是首发第一批也仅仅拖了两三天时间。
一：全新外观，正面玻璃曲度很小的几乎全面屏达到国内主流偏上水准，正面几乎无开孔，顶端居中前摄，左侧隐藏式光感，右侧极难发现的距离传感器，顶端玻璃切割掉一块小小刘海放置扬声器。圆角屏幕配合圆角机身完美。
二：背面玻璃面板曲度略大于正面颜色纯正，配合指纹识别LOGO创意满分。大小摄像头的搭配也符合罗老调性。就是简约！
三：边框就仁者见仁智者见智喽，这条线有点反强迫症的意思，比如我。因为它不能全部贯通，比如SIM卡槽。四个天线注塑点的细节略有瑕疵。扬声器与麦克风的底部开孔不如正圆形来的精致，扁长椭圆是为了与数据充电口相搭配？
四：系统与软件相信是大伙选择锤科的理由之一，至于好不好用只有你自己来评判。个人用起来比某些835旗舰要流畅，后台杀的没那么及时。
字数有限说说不满意的地方：铝合金中框喷砂略粗，手感与观感都不是很精致。屏幕边缘触摸不灵敏。三大天王期待手势方案。
打完收工",2017-11-11 23:11:06,1194,564,5
G***s,钻石会员,京东到货真心快，昨晚看老罗发布会，过程中看到弹幕说京东已经开卖，马上去京东抢了一台，这是我的第二台坚果了，无关情怀，单谈做工，两个字，完美。就像工艺品，网上有讨论红线不好看的，建议你们看看真机。说说体验，本人数码控，之前一直用果7，由于下半年智能手机兴起了全面潮，就想买一台感受一下，刚上手感觉有点大，不过全面屏（almost～哈哈）的显示效果确实棒，续航和快充的性能还没有测试，之前就特别喜欢闪念胶囊的功能，这次在机身的侧方加了实体按键，更方便了，点个赞。锤子的系统，不用说了，这次又特别关注了视力障碍的人群，真的是非常的暖心。外观加系统，趋于完美。感谢锤子科技一直用心的设计，感谢老罗不放弃的品质，追求完美的精神。祝京东越来越好，祝坚果pro2大卖！照片拍的有点糊，各位看官将就看一下哈。,2017-11-08 14:12:30,987,317,5
M***t,钻石会员,"#漂亮得不像实力派#16号预定23号到货，上手几天后来说说个人使用感受。
1、系统:对于老锤用户来说不多讲，没有一鸣惊人那种惊艳却有着使用过程中惊喜不断，哇哇直叹的感觉。像一步，大爆炸，闪念胶囊，系统贴心小设计很棒，建议初次接触的朋友们可以搜索视频(smartisan 细节集锦)会有更直观的认识。
2、外观:上手握持感不错，轻了点，四周做了圆润带有弧度的过度，不像上代这么锋利割手了(参见图8)。酒红色双面玻璃有种晶莹剔透感觉，正面上下边框都是酒红色，要更骚了。
中间的金线起到种画龙点睛的感觉，这个设计值得点赞，很特别。金线＋边框在特定光线下还能产生反亮光。
侧面实体按键有种索尼既视感，指纹识别+LOGO二合一那个区域平整光亮，玻璃的，没有凹凸，纹理。
3、使用几天的过程没有出现死机，很卡的，660的处理器+6G大内存估计保证了系统的流畅性。
4、拍照依旧是弱项，但也足够满足生活所需。前置美颜的加入扩充了受众人群。就譬如我。
需要特别说一点:大家注意到屏幕下方那三个虚拟键是可以完美去除隐藏的，买张智能前屏贴膜贴上就可以实现导航键下移到下巴边框上，科技满满，强迫症完美的不二选择坐等京东上线",2017-11-28 21:07:41,471,171,5
沧***鸽,PLUS会员,"刚刚加入锤子用户行列，之前对锤子了解不多，直到最近才开始关注pro2酒红色手机，前些日子预约都没抢到，可见大家对这次老罗的新品还是比较认可的，终于在第三次预约并成功拿到手机。
    迫不及待地打开手机后一下就被整体外观惊艳到了。酒红色色彩很正，而且是玻璃质感的平面，在灯光的反射很透亮。手感不是太重，但也不轻，重量正好。正面（未开机状态下）非常简洁，只有顶部中央一个1600万像素摄像头，支持面容解锁，简约实用大气！背部logo与指纹识别融合到一起是一大创新。机身侧面一圈金线个人觉得并不突兀，手机侧斜着看还挺有设计感的。侧面按钮都是小圆型钮，与机身一体，整体感好。
    至于操作体验只是开机小试了一把，smartisan OS有很多特色的功能，例如One Step、Big Bang和闪念胶囊，感觉挺好用的，体验一段后可再来续评。
    另，pro2 很苹果一样没有设专门耳机插孔，包装有附送3.5mm的音频转接头，减少了插孔，这应该是个趋势。
    总之，这款手机性价比很高。应该是国产机中的良心出品！",2017-12-05 13:21:07,76,43,5
h***k,PLUS会员,菠菜说：听了一场老罗的发布会，在小米Note3与坚果之间选择了坚果pro2，主要是备用机，选了4加32的，主力机建议64起步，赞下京东锤子节1700减150加上满1000减150，1449入手，送了心动耳机和49的壳，660加AL全面屏独此一家。大方向体验就不说了，有选择困难症的去看科技美学fview小白大米评测。看了那么多视频，总结下对比小米NOTE3，拍照是痛点，对系统稳定性，售后，耐摔性手感有需求的选小米；全面屏是痛点，喜欢锤子外观，想要用手机处理些文字编辑的选锤子，荣耀9的话就更水桶机一点。说些细节体验，1面部解锁，白天很快（关闭桌面动画），比指纹略慢，识别率高，昏暗灯光识别率低，基本不可用。2外观金线其实不用纠结，大部分场景都比较难察觉，只是在某个角度能看到，好不好看见仁见智。3系统误触率较高，主要是手势操作的逻辑导致的，为什么苹果X底部有条细线是经过很多考量的，但是手势操作习惯了后给好评。4屏幕识别率对比mate10低。5拍照，白天能用，色彩倾向于还原真实，虚化用了虹软算法观感不错，虚化质量一般，暗光环境噪点很多，特别是前置不好用。6外放听人声中频还行，电影声大低频会爆音。,2018-02-09 11:02:39,68,31,5
l***z,钻石会员,昨晚发布会坚果pro2展示那一刻就被外观深深吸引，logo和指纹的完美融合这才是工匠之美，目前也算是全球首创啊！捶子科技真的是做到了把不可能变成可能。直播时看到有人说京东捶子旗舰店已经可以预订购买了，直播没看着立马就去京东逛果然有现货，那当然是马上下单。下完单显示第二天就能收到手机，昨晚是期待了一晚上兴奋到都失眠了。但捶子果然没让人失望，今天收到货马上开箱，见到真机那一刻不能用开心来形容，外观惊艳无比，简洁的美让人感觉这是手机吗明明就是件艺术品，太喜欢了。目前还没激活试用，就写评论了，其实是想在第一时间和捶粉们分享我此刻的愉悦心情也希望捶子科技越来越好。后期试用后再追加用后感受。,2017-11-08 13:20:27,368,101,5
山***奇,钻石会员,真的是漂亮的不像实力派。之前特抵触安卓系统。从苹果4S 用到苹果X。中间用过一次三星。用了两三天 爱嘛这给我卡迪。从那之后就一直用苹果。而这次看了老罗的相声 反复的看了闪念胶囊 一步 大爆炸等介绍 终于按耐不住了。其实我都不知道锤子出新手机了。看到这几个功能搜了一下 发现刚出新手机。就买来试试。刚上手 发现几个功能挺实用的 解锁也很快 但还是害怕用久了会出现卡顿的情况。总知这手机挺好。是个实力派。,2017-11-20 11:36:17,147,52,5
芒***嘎,PLUS会员,已经很久没有用过安卓手机的，这次为了体验一下老罗的黑科技特地买来试用一下。首先是外观，真是做的很出色，明亮，手感好但是细节方面有待提高，没能做到精致，还是带上原装套吧，免得启用碎屏险；体验了两天系统，速度惊人，感觉碾压了iPhone8，一些特有的功能也很有意思，“闪念胶囊”、“一步”都很有自己的特点，但是系统的耐用性是由时间来考验的，这次收入坚果pro2就是要这次感受一下安卓这么多年有没有进展，追评肯定是要做的；最后说一下充电，原装配有快充适配器，从1%的剩余电量到充满用了一小时左右，充电速度确实不错，3500mah的大电池目前使用一天不成问题。照相功能等追评时补充吧。,2017-12-07 00:35:42,26,4,5
w***a,PLUS会员,作为坚果pro一代的用户。在看到坚果pro2代的，手机发布会后，仍然忍不住又订购了一台。拿到手机后，果然没有令我失望，一代存在的一些问题基本都解决了，首先，一代手机感觉比较厚重，拿在手上有坠手感，对于女孩来说还是太大，不好，一手掌握。作为成都人，锤子的图标干净简洁。我不觉得这个名字有什么问题，毕竟各花入各眼，你心里有什么你就把它看作是什么？不是吗？坚果pro2代的体积仅仅比我的荣耀八大了一点点，但是设计却非常好看。具体功能等试用后我再来追评，初步外观评价非常满意。不到两千元的手机，性价比已经是非常可观了。支持锤子支持罗永浩。,2017-11-08 13:32:50,196,58,5
1***p,银牌会员,关注锤子手机已好久了，坚果pro1本想入手，忍住了，这次双11入手了坚果pro2浅金色，浅金色太美了！面部解锁太给力了！指纹也给力！老罗加油！期待T3的更大惊喜！加油！加油！加油！,2017-11-16 14:09:32,39,14,5
