名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***v,铜牌会员,到手很惊喜，用了2天了就这样了，寄过去售后居然还要我交400多的维修费，哎，只是想支持下老罗的手机，不想到质量和我以为是绯闻的评论一样差，屏幕只是吃饭掉了滴油上去，然后就把屏幕擦了，就这样了，不知道到底是我的运气不好收到了个次品，还是怎么样，哎，失望了，大家参考下吧   还有就是希望客服也改善下，不要问什么都是自动回复，用户体验太差了    最后给你们个五心好评，习惯了好评【大哭】,2017-11-29 22:44:07,522,188,5
s***3,PLUS会员,"4+32,950入手，用作工作手机，只用来打电话发短信，应该说挺值。先说一下有点：1、待机时间确实挺长的，充满电，三四天不用充电，前提是，我不开网，只用来打电话发短信，一天打二三十个电话。2、挺薄。3、系统确实挺人性化，尤其是他主打的那三个功能。


说一下缺点。1、外形严重模仿苹果的iphone5，屏幕大，但是上下额头也太大了，而且非常割手。2、屏幕有严重的大黑边。3、跟我的小米Mix2对比了一下指纹解锁速度，确实慢一拍。4、有明显的延迟，看第一个视频就能看出来，左右滑动非常不流畅。

当然这还是一块能接受的手机。一千元左右的价格，4+32,而且我对前置指纹是非常执拗的，后置指纹就是反人类，而且系统确实也挺人性化，所以还是能接受的。

我的购买建议就是1、预算在一千元左右；2比较喜欢前置指纹；3手机不会用来处理非常多的东西，比如说打游戏或者安很多软件什么的。我还是比较推荐用这款手机的。",2018-02-04 21:05:33,24,13,4
一***子,PLUS会员,跟想象中有点差别，还不错，不是最低价买的好坑，物流非常快，手机里功能非常喜欢。,2018-02-13 11:04:27,24,10,5
九***女,钻石会员,发货很迅速，第二天下午就很快收到了。手机用着还好，中规中矩，国货中性价比是不错了。很喜欢。外壳膜配件不是很好配，毕竟小众。希望能够用得久些。期待中。电池个人感觉一般。其他暂时感觉正常，是一款性价比较高的手机。,2017-12-17 02:25:02,38,10,5
中***7,钻石会员,用了一个多月了，整体使用还是很好的，关键是电池超级耐用，上海到泰州来回导航，晚上还剩30%电量，续航真不错，屏幕感觉有点大，操作系统跟苹果差不多，很容易上手！,2017-12-22 16:56:06,30,5,5
-***首,钻石会员,一下子买了五台，除了金色没买，其他颜色都集齐了。我爸，我岳父岳母，我和我老婆，这手机好看，性价比很高，以前没用过，后面听我表弟说这手机挺好用的，用久了都不会怎么卡，我用来玩王者也特别流畅，手机功能也好用。用安兔兔跑分居然跟我的苹果6sp分数有得一拼，本来想再买一台红色的可惜没货了，但不影响手机的性能！值得支持！这价格也实惠，现在还有优惠，送贴膜手机套。以后再用段时间再来追评，相信不会让我失望！,2018-03-03 14:51:25,0,0,5
爱***饭,PLUS会员,"1.我手机坏了买来应急的，没有按规定时间送达，平时买都是隔日达，这次晚了一天，打客服客服说其实是没货，没货当有货卖，我很不爽。
2.联网就激活，使用了几天还可以，就是没有关机闹钟，导致我上班迟到，希望以后通过系统升级能改善。
3.我买的碎屏险套装版，买来后裸机版一直降价，现在这个价都能卖128g的了，被坑了。",2018-01-19 09:51:10,4,4,5
N***I,银牌会员,第二天就收到了，好用的！功能还挺多的哈，特别是那个,2018-03-04 15:49:22,0,0,5
jetmss,钻石会员,"入手一个月使用感受
1、电池比我之前的安卓手机要耐用的多，在节电这方面做的优化给予点赞！8点电量100%出门，18点左右回家，剩余电量平均保持在40%-50%之间，这点只与个人的使用习惯、方法、业务量相关，仅供参考而已。
2、系统干净度不错，保持并继续优化，没有乱七八糟收费和偷流量的APP，界面简洁。在界面显示可对指定的界面进行隐藏和加密码锁，隐私保护点赞。
3、手机可进行系统加密，有效的提高了手机的安全性。指纹解锁可设置多少指纹，保证了不论在何种状态下，你的左右手都给瞬间打开手机进入系统界面，不用先按开关键点亮屏幕后再操作，简化了操作步骤，提高了使用感。点赞。
4、一步、大爆炸、图钉、闪念这四个功能对我而言非常实用，看到好的文章、内容方便收集，有什么想法直接利用闪念功能记录来并能做标记，方便查找使用，对于管理咨询从业者来说，非常助于提高效率。点赞
5、黑科技 模拟来电 这个功能目前没有用过，但挺有意思，起码在某些场合是一个自我保护的一个措施。点赞
总得的来说，使用体感满意，在系统方面还有很大的优化的空间。",2017-07-11 20:23:31,112,44,5
撒***娇,企业会员,外观满分，系统和硬件善在体验中，整体不错。买的时候刚好凑上秒杀，便宜了一百块（4G，64GB）。非常耐电，我顽强的做到了三天一充（使用很频繁），充电很快，基本一个小时左右就能充满，没有虚拟返回键，特别担心home键像之前的苹果一样坏掉，好在万能的锤友自编了一套一步系统：一步桌面，一步后台，一步锁屏，很好用。用这个手机打了一下王者荣耀，很顺溜，吃鸡也不卡，整体来说，这个价位，还是物超所值的。要说缺陷，没送耳机，没送膜，没送手机壳，一点也不体谅我们锤子的骄傲金贵，我天天拿个破眼镜袋包着，坐等膜壳快递。这么好看的手机肯定不耐摔（之之前的华为mate7超级耐砸），锤子应用商店对APP管控好像还挺严的，每次想装点其他软件，就会拼命提醒我：它们都是坏家伙，会背着我偷偷运行，吃我内存，占我土地。所以我都不敢装。相机像素还是满足一个女孩子的需求的，目前就这些心得。待再用用后再追评。,2018-02-28 09:46:32,6,2,5
舟殳酉己,PLUS会员,"#漂亮的不像实力派#
昨天晚上10点就迫不及待的下单了，一夜等待早上8点多就显示已经在派送了，心中无比激动。点开看了一下购买链接发现有一个6个月碎屏险套餐可以选择，并且可以用-100的代金券。当时心中一万只羊驼在狂奔，买手机第一天还没收到怎么就变相降价了呢。于是愤怒的我选择了申请退款... 忙了一会后，静下来自己想了想，又看了一遍发布会后面龙哥近乎哽咽的话语。突然觉得我为了这点蝇头小利而放弃了第一时间是用手机的欣喜太不值得了。于是马上联系客服，给送货小哥打电话，开车自取，等手机到手的第一时间我才觉得是多么的踏实。跑题了..下面说一下真机到手的感觉。
美，真美。拿起手机的那一刹那感觉之前选择退款是多么的愚蠢！一直担心626处理器会不会变成坚果1代时候那样卡顿..但是经过上手发现完全是在瞎操心！系统无比流畅。系统的优化已经做得无比强大。4G内存对我来说已经足够了，只是128的储存空间在我手里太过浪费，坚果的32G我就够用。但是没有办法，红线版只有128的版本。不知道纯黑色什么样，至少这个红线版在我手中我特别的喜欢。手机转移数据中，一会再来追加吧。我先平复一下情绪.. 感谢老罗，感谢锤子科技，感谢京东无与伦比的送货速度！",2017-05-10 13:00:18,3735,758,5
爱***右,银牌会员,这个指纹解锁比苹果的指纹解锁快，下载中有些卡，有点迟钝，备用机，凑合用吧，系统更新没敢更新怕更新了就慢了，不升级了,2018-03-08 11:33:30,0,0,5
青***社,金牌会员,"手机颜色是选取要素之一
系统不用说了，相信很多评价，有喜欢这种简洁风格的，也有很多少小功能体现不出来的。
做工，如图
双面手感很好，但要卡手机壳
不然摔 地上绝对歇菜！
使用基本上顺畅
电池一天没问题
信号，画面等都还行。
接口必须用专用接口，耳机也是配个专用接头！
整体来说，还是不错的！",2017-10-20 10:32:34,33,9,5
柒***啧,铜牌会员,买给爸爸用 刚开始用着还可以 他挺喜欢的  用了优惠券 到手价 1144真的挺划算的  64G的  还是挺喜欢的  我看到爸爸爱不释手,2018-03-04 08:32:26,0,0,5
借***直,金牌会员,"昨天买的坚果PRO最高配，今天就到了，听说官网的还在排队，锤友是不是被坑了666

原来是IP+红牛三全高。一大一小，一个速度快日常用，红米功能多，工作机。除了红米卡了点难看了点，其他都好，尤其是收音机+红外，(万能遥控太好用了)低端机型能有这些功能很难得。
现在红米换锤子，少了这俩功能，锤子多了NFC和双摄。

来说说锤子手机
外观：很漂亮，和IP相比一个阳刚一个柔美。美中不足的就是下巴部分不协调，不过能接受。

做工，比较精致，这是锤子的强项，但是边框割手，非常割手！解决方案竟是贴手感膜！
速度：新机，有一点点不跟手，不知道使用后怎样。
音质：因为是音乐爱好者所以放前面，(XPLAY6不喜欢没买)。中规中矩，比IP6S好，比红米NOTE3差。很多人疑问为何红牛三音质好，倒不是说素质多牛，而是音效调节很丰富。
拍摄：差。比红牛三还差，画面果冻状抖动，SOC效能不高的表现，也没有OIS。此外，双摄有什么用？没发现哪个功能适配双摄。
系统：也是锤子强项，界面美观，三大强势功能是招牌，发布会都介绍了不赘述。
NFC：我就问问这个功能有何用？没任何软件适配，替代公交卡还要NFC的SIM卡",2017-05-13 23:08:15,22,9,5
e***5,钻石会员,"原来买了一步64g的，这次买个128g的，没想到外表还真有点区别。
nfc功能体验一般。",2017-11-16 20:05:56,24,5,5
T***2,PLUS会员,"红线 坚果pro  轻度评
1??撕掉膜那一刻，吊打同价位友商颜值 质感。三段式贴片都特么什么东西。
2??手感，用脚趾想就知道割手，上手后才知道那种感觉是你很怕手机划破你的手?真心太割，目测他那个厚膜啊是不行的，买硅胶套吧。
3??因为老罗吹牛逼待机无敌所以昨天下午收到到现在没充过电还有百分之26.严格硕是45得剩余到现在，因为我下午我没摸到手机是晚上才开始折腾的。按照这个待机来看 如果备用，起码三天。
4??本来买这个就不是为了拍照，所以没期待，随手大光圈几张，哎呦还行。
5??我买因为两点 一原以为真的就那样了，红布拉开后得真想感动了。我懂老罗的那种激动，现在回头想想当年喷刘翔我们不说是否过激，但那种对自己亲手产品的热爱是可以理解的，刘翔用词过于轻佻，要知道做手机远远不像你买手机那么简单！
6??就是冲着胶囊?和图钉?买的，图钉?目前用不了。
如果是1499 绝对?小米魅族同价位的感觉好太多，因为她真的不像1499的机器。

黑转路 路转-？不一定是粉 ，但是我还是买了。
完。",2017-05-11 15:04:24,715,169,5
麦***1,PLUS会员,我能说真的不错么，价格配置，真的很良心啊，刚好赶上秒杀省了100块呢，运行不错，希望一直用下去，新年新礼物，拿在手里很轻，充电很快，但是怎么感觉掉电有点快呀，在用用看情况，送货一如既往的快，当天买下午送到，我发现我现在买几千的东西，都是袋子给我包装，以前可都是箱子，可能为了节约吧，这样貌似能让自己低调点！,2018-02-21 14:01:48,1,0,5
橙***7,钻石会员,"漂亮的不像实力派，老罗真的说到做到了！
昨晚刷完两遍发布会后，激动到睡不着觉，二话不说在京东定了红线版。今天下午终于从京东快递小哥手上拿到了！快递小哥还好奇问我，这是什么手机，他负责的周边三个小区今天就送了10到15台坚果pro，看来好东西大家都喜欢。
话归正题，打开包装后怀揣着忐忑的心情揭开黑膜，瞬间被惊艳，磨砂金属和玻璃的完美结合，简约的性冷淡风格正中下怀，所谓的红线，在我看来更像是暗金色，低调又透着奢华，虽然很多人诟病外观易划伤留下指纹，不过精美的事物难道不应该被细心呵护么？青花瓷如果摔不碎还有什么价值？！开机后当锤子logo出现，一下勾起当年T1开机时的回忆，但越玩越发现，和三年前的系统比起来更加成熟完美，虽说是安卓深度定制，但我觉得操作却更像ios的升级版，苹果用户应该会适应很快，许多实用的小技巧让人喜爱，大爆炸，胶囊，以及一步都让人感动，一个以为粉丝提供更好体验的公司孜孜不倦的追求和努力，感谢老罗的坚持不懈！
最后回答一下关于边框硌手的问题，的确存在，不过老罗也给出了解决方案，只是京东没有出售，需要官网下单，所以要等几天改善，不过我就是喜欢这棱角的感觉，你能把我怎么样！",2017-05-10 21:20:26,101,23,5
