名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
x***x,金牌会员,物流非常快，昨天晚上买的，今天中午之前就送到了，物流小哥服务好，送到店里，飞利浦质量有保证，劝大家不要图便宜买那些几十元的，这个质量真不错，不过我手大，按键用起来有点小,2017-11-16 11:45:30,38,11,5
5***冰,银牌会员,"手机小巧玲珑，做工细致，辐射小，价格便宜
学生用的最佳选择，京东自营的手机，没的说，买手机就得上京东一一一哈哈哈啊哈?",2017-11-22 11:23:22,4,2,5
识***8,PLUS会员,质量很好，老年人使用完全满足日常需要了，性价比超高，送货速度超快，态度很好，赞一个。,2018-02-23 13:03:42,0,0,5
风***_,PLUS会员[试用],信号很好，声音大而清晰。发货速度超级快,2018-03-07 10:04:33,0,0,5
s***9,PLUS会员,看着还行，就是振动有点小，要的功能够了，声音清晰，和一般手机一样大小，待机还在验证中，给老妈买的,2017-12-22 15:36:30,1,0,5
w***3,金牌会员,不错的小手机，电池容量大，待机时间长，大品牌，质量好，屏幕清楚。快递也快。,2018-03-09 12:40:04,0,0,5
张***4,PLUS会员,晚上下订单上午到，迫不及待打开看了看，玩了玩，真心不错，如果好用过段时间再给老妈买个。,2017-10-25 14:02:08,4,1,5
xiaofeng2100,铜牌会员,还可以吧，给我父母买的。用着还可以！暂时没发现哪里不好用的！,2018-03-05 01:06:48,0,0,5
我***呀,PLUS会员,当备用机很不错，待机有一周时间，按键很舒服，价格也比诺基亚便宜，值得够买,2018-02-28 10:06:58,0,0,5
弟***九,钻石会员,好，上手小而精，电耐用，基本功能齐全，声音不能调是遗憾的事，总体还是好的！,2018-03-09 13:39:52,0,0,5
j***1,铜牌会员,没有蓝牙，手机很小，音质一般，声音较小，物流慢，说好预定时间送达的，结果没有。没有送货上门，自己去老远的配送站自提。。。。。。。也不能开箱验货,2018-02-22 16:28:59,1,0,5
Q***z,银牌会员,不错是正品我一直相信京东相信飞利浦牌子好好好,2018-03-06 13:37:41,1,0,5
j***v,金牌会员,这个手机经摔哈哈，给小孩在学校用的。买的第二个，第一买来被儿子弄丢了，第二次还是选择这个品牌因为待机时间长的优点！,2018-02-25 17:31:52,0,0,5
CT200h,PLUS会员,外观很一般吧！不过找到了15年前手机的样子了！电池一般话，三天一充吧！这种手机我感觉怎么都得能用个一周吧！哈哈！信赖京东，所以五星！,2018-03-03 22:41:09,1,0,5
最***你,铜牌会员,东西真心的不错。最要感谢快递员，没有他手机可能都找不到。快递员非常的负责给你个大赞,2018-03-01 19:11:23,0,0,5
M***哥,PLUS会员,屏幕挺好的，比103电池容量大，耐用，也厚，键盘手感也不错。,2018-03-07 16:11:33,0,0,5
k***8,钻石会员,手机给人一种超级高大上的感觉，最起码5天不用充电！外出办事，杀人放火必备神器！,2018-02-23 11:46:18,0,0,5
a***卡,金牌会员,功能机，个人认为声音不是很大，适合小孩上学联系用，续航当然远大于智能手机了。,2018-02-27 22:30:36,0,0,5
A***的,铜牌会员,感觉可以，买给老人用的，还有手电筒，非常方便，声音也够大，快递服务也非常好,2018-02-25 20:41:50,0,0,5
j***p,银牌会员,运行速度快，手感不错，通话质量好飞利浦大品牌，家电大部分都是飞利浦的,2018-03-04 10:23:51,0,0,5
短***-,PLUS会员,小巧玲珑，非常实用，很喜欢这个小东西。,2018-02-25 12:18:03,0,0,5
j***g,PLUS会员,i物流有点慢，别的都很满意！,2018-03-07 09:42:01,0,0,5
小***R,金牌会员,手机收到了，非常好，通化质量杠杠的，值得买,2018-02-24 09:07:31,0,0,5
j***o,银牌会员,宝贝收到，不错，快递给力,2018-03-02 16:42:27,0,0,5
张***w,银牌会员,很好待机时间很长,2018-02-27 11:13:32,0,0,5
j***v,PLUS会员,几十块钱的手机给家里老人买的，放在几年前值钱，家里老年人只会使用这种手机。,2018-02-23 20:54:40,0,0,5
j***☆,银牌会员,看着还不错，小巧玲珑，轻便舒适，学生专用，不上网，蛮好！,2017-07-12 18:43:43,8,1,5
L***x,银牌会员,买给孩子上学用的，学校不能带智能机，款式好看，铃声挺大的，电池可以用一个星期，他说同学说他的手机好看，质量看着不错，希望孩子爱惜点可以用久点,2018-03-04 10:51:20,0,0,5
叫声良哥,银牌会员,还可以，就是用来打电话。物流很快。手机有点过轻，感觉不耐摔。,2018-02-24 14:38:29,0,0,4
心***泪,金牌会员,小巧玲珑不错，备用机很好,2018-03-03 20:34:36,0,0,5
j***u,PLUS会员,样子挺漂亮的，简单大方，操作很简单老人都能用，而且 通话音量也很大老人能够听清。总之，性价比超高！,2017-06-07 16:36:42,10,6,5
y***0,铜牌会员,差不多，物廉价美，很小巧轻薄，不知道耐不耐用，给妈妈用，不知道她喜不喜欢，用了再说吧！,2018-01-29 18:48:49,1,1,5
沭***话,PLUS会员,飞利浦，国际大牌，2G手机做的不错。信号很好，电池抗用，整体小巧玲珑很是精致，儿子很喜欢。京东自营，永远值的信赖,2017-02-01 12:53:14,2,0,5
晴***吖,铜牌会员,"给阿爷买的老人机，比想象中的轻一些还不错。买了两天才发货可能因为春节原因。今天到货了，试用了一下感觉不错。希望能耐用。
快递小哥服务也很不错。",2018-02-23 18:53:26,0,0,5
j***c,PLUS会员,小昨天下单，今天就到货了，速度嗷嗷快，手机小巧轻便，使用方便,2018-03-03 20:50:51,0,0,5
淺***伤,PLUS会员,简单实用，价格便宜，备用机接收短信首选,2018-03-02 18:04:05,0,0,5
碎***梦,PLUS会员,怎么说呢，很适合爸妈来用，主要是待机时间比较长，很省事。京东的物流很快，值得购买。,2017-11-07 19:29:10,21,9,5
吉***意,钻石会员,我靠，过年也送货上门，还**快，真行啊，京东厉害,2017-02-04 14:26:30,4,1,5
L***澜,钻石会员,超级简单，备用机神器,2018-02-26 18:31:48,0,0,5
晶***空,钻石会员,买给妈妈用的不错?简单方便老人用该有的功能都用很人性化。,2018-03-05 16:14:29,0,0,5
j***y,PLUS会员[试用],给小学生买的，应急用足够了。不需要啥功能只要可以打电话就行。送货非常快，服务很热情。赞一个。,2017-06-19 16:56:35,6,0,5
冬***2,金牌会员,手机小巧玲珑，待机时间长，打电话音质可以！买来马上就用了两天很好啊！京东送货速度一如既往地飞快！,2017-10-09 16:26:46,1,0,5
s***d,钻石会员,备用机棒棒哒,2016-11-23 17:01:37,9,10,5
F***g,PLUS会员,第二次购买的，质量不错，相信京东，好评！,2018-03-05 11:08:02,0,0,5
C***o,铜牌会员,客服态度很好，商品也很好,2018-01-23 17:12:13,1,0,5
j***f,银牌会员,外观不错，运行速度嘛，挺流畅的，菲利浦的东西一直不错?物流真的好快！昨天下午6点下单，今天上午10点半左右就到！不愧是我大京东！赞一个！,2018-02-24 17:12:27,0,0,5
j***t,钻石会员,相信京东 信赖京东 支持京东 手机还可以希望手机耐用 给老妈买的,2018-03-04 22:49:29,0,0,5
j***7,金牌会员,很小巧，给爷爷买的，不错,2017-08-19 10:35:07,2,0,5
j***3,PLUS会员,东西不错，老年机，老年用～～,2018-03-09 13:22:15,0,0,5
静***e,金牌会员,不错的，老爸的手机失灵了，他说还是喜欢以前的按键式手机，就给他挑一个吧！老人家就是喜欢，音量够，按键开锁，还自带手电筒,2017-12-13 13:56:31,1,0,5
j***y,金牌会员,昨晚下单今天上午收到，京东物流配送杠杠滴，为快递小哥点赞，期待使用效果,2018-02-24 11:30:09,0,0,5
陌***尘,银牌会员,今天刚收货，试了一下不错，听筒声音大，声音清晰。上方带个小手电筒但是不是很亮，手电筒开关很方便，手感类似小灵通吧，感觉质量应该能过关。每次关机后都要重新调整时间，但是不耽误使用。收到货时有一半的电量，试验手机加待机时间一共10个小时了电量一点没少呢。系统壁纸貌似就只有一个。,2018-03-02 20:50:57,0,0,5
倦***雪,铜牌会员,手机挺轻的挺小的，给家里弟弟平时联系用。游戏什么都没有，通话声音很清晰。没有在网上去验，应该是正品吧，没有开封。挺不错的。京东快递的小哥态度也非常好。,2018-02-22 12:39:24,0,0,5
乐***畅,金牌会员,很好，包装的好，京东产品好,2018-02-24 10:58:13,0,0,5
l***9,银牌会员,给三颗吧 手机买来是给老人用的 铃声跟通话声音都不大 如果是年轻人用还好 给老年人用 不合适 后期用了再继续评价吧,2018-02-01 13:59:58,0,0,3
T***P,钻石会员,手感好，颜色骚。收收验证码，出门再也不用带俩板砖，完美！,2018-02-23 22:27:24,0,0,5
没有菊花的野马,PLUS会员,完美啊手机，拿来当备用机，接电话用。声音大，通话声音也大，信号也不错，用段时间再说，目前完美。,2018-02-23 19:51:25,0,0,5
路***8,PLUS会员,通话清晰流畅，小而美，居家旅行必备之良品，神一样的备用机，反应也挺快，要求不多，老年人用的话铃声稍微清了一些，99元来一台，双卡双待，近乎完美。感谢京东，感谢飞利浦。,2016-12-01 15:33:40,6,0,5
西***宸,PLUS会员[试用],非常好用，老人喜欢，小巧轻便，物流非常快。就算是过节也和平时一样。感谢快递小哥的辛苦付出，感谢京东平台，。,2018-02-19 20:22:30,1,0,5
痴***腿,PLUS会员,还可以，手机质量不错，拿回来先摔了几下，可以可以,2018-02-24 17:33:12,0,0,5
昂***分,PLUS会员,还可以吧，电池没想象中的耐用,2018-02-23 20:14:12,0,0,5
j***j,银牌会员,很不错,2018-03-07 20:13:02,0,0,5
w***l,钻石会员,还不错，彩屏，能放内存卡，有收音机,2018-02-23 18:00:43,0,0,5
j***0,金牌会员,还不错，特意买个非智能手机给孩子预备的。信号还好，塑料壳 超轻。能同时放3个卡，2X电话大卡和1个储存卡，我放的4G的SD卡能用。,2017-06-04 17:10:16,1,0,5
乐***乐,钻石会员,"东西不错，快递也很快，很给力！比市场上要实惠不少呢！感觉还不错，如果有必要，会介绍给朋友！非常满意,真的很喜欢，完全超出期望值， 发货速度 非常快，包装非常仔细、严实，物流服务 态度很好，运送速度很快！",2018-02-23 09:45:22,0,0,5
