名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
水***行,金牌会员,双十一购买的，对比了很多款最终下决心买了这个，感觉完全就是适合男士的手机，从外形到包装，一种简约大气的感觉，然而，作为一个妹纸感觉自己用像是拿来爸爸的手机用，可惜没有白色红色款了嘤嘤嘤，总体配置还好，希望好用！另外京东白条真是好东西！12期免息拯救了我！,2017-11-16 22:44:16,32,16,5
2***9,金牌会员,手机使用着不错 中度使用一天够使 反应很快 就是画屏的功能略微有点少 别的还不错 整体来说机子配置够使 比不上835 但跟820有一拼 没有820的功耗高 耗电也比820低  最主要的是够个性 大街上手机都差不多 至少我拿个pro7 别人见了还问这是什么手机啊?,2017-10-19 21:08:10,39,22,5
QQ金牌买家,钻石会员,非常好的手机！摄影功能非常棒！夜晚的清晰惊艳到我了！作为老魅族粉！上个手机从楼上摔下都弯了还能用！真是服了！！！希望这个比那个抗用！！！,2017-11-25 09:40:08,85,22,5
一俱皮囊,金牌会员,我是个魅友，这款手机，很漂亮，设计精美，尤其是那个画屏。能显示天气，计步。还有动画，黑的显得更雅观，送了一张VIP卡不知道能干什么，还送了一个手机壳，总是手机不错，还没怎么用，用一段时间再来客观评价一下,2017-10-26 16:50:30,82,26,5
Su_XueFeng,钻石会员,拿魅族Pro6拍摄的图片，手机很漂亮。前段时间买了个s6，这又买了个Pro7。外观：骚气冲天。性能：中规中矩。（非得有人拿金立的和我比，我笑了，，金立6＋64＋p25除了内存比我大之外还有别的好？屏幕比我好？系统比我好？还是相机比我好？还是音质比我好？一个自行车安装飞机引擎你也飞不起来）奉劝大家买手机别只看硬件。看硬件别只看CPU内存。应该有老煤油知道最后一张论坛的图代表什么吧。无论别人怎么黑魅族，我依然支持。,2018-03-07 22:51:15,3,0,5
9***c,PLUS会员,非常赞，工艺美术一流，2017年全面屏年中唯一独具自己特色的手机，画屏虽然功能少，但具有亲和力，时间，计步，天气都是实用功能！唯一的不足是X30的配置，在充电的时候发热很大，比我华为P10 Plus快充时发热大，X30作为10nm芯片功耗控制的一般，确实赶不上麒麟960，更不用说麒麟970了，魅族这款手机完美中唯一的遗憾没有一颗好的处理器，如果使用骁龙660，估计口碑会更好！现在荣耀9活动价格4+64 1899，所以魅族的机子相对来说偏贵，这还是双十一降价后的价格，2699到手！,2017-11-02 16:56:21,27,8,5
c***k,银牌会员,弟弟说很好用，用起来很顺畅，对外表也很满意。好评,2017-10-25 23:27:09,26,2,5
夏***城,PLUS会员,用了3天了，手机使用这几天来说，Pro7的表现不错，符合原有的心里预期和自身的使用要求。刚刚买的时候还忐忑不安，到现在觉得确实不错。手机颜值很高呀！手握舒适，系统流畅不卡，王者荣耀不在话下，网络好的区域基本上保持在60-80之间；虽然没有光学防抖，成相质量却很高；电池还行，一般使用一天一冲充，充电确实很牛，速度快，充电时手机温度也不会像pro6那样发热严重。手机整体温控不错，即使高速运行状态温度还是很平衡，没有发现烫手或者不适的情况。画屏可玩性还有待提高，主要用于消息提醒，信息通报和休眠MP3还是相对功能较少。1.9寸只能做这些还是太浪费了，什么时候把苹果，三星这些智能手表上的多操作也开发出来就不错，同时如果不休眠的时候也可以进行同样的MP3操作就好了。再发几张手机样张没一下,2017-08-13 15:08:15,45,10,5
小汉168,银牌会员,还不错  蛮流畅的  音质像素都不错  p25应该够用  就玩个吃鸡  别的游戏不玩,2017-12-20 20:00:13,9,0,5
j***4,银牌会员,喜欢这个背部的设计 等用段时间再评价了,2017-10-02 08:40:17,20,6,5
Z***诺,银牌会员,送给老爸的生日礼物 之前一直听老爸说手机卡 就打算趁他生日就送他一台新手机吧 老爸很喜欢。魅族现在做得很好 老爸用着很大气 哈哈 老爸今年49岁。同年纪的很少用这款手机吧,2018-02-03 18:22:32,6,1,5
