名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
上***鹰,PLUS会员,"很久没写评测了，写一篇。
1.外观。买魅族就是买外观，不解释。手感非常棒，外观秒杀小米的双玻璃，双玻璃机器要做漂亮很难。
2.再说屏幕，屏幕号称note5的屏幕，哦，不是魅蓝，是三星note5，然而没有note5的亮度暴走模式，这个屏幕，出厂色域被限制了，意思没有那么艳丽，害得我还检测了一下这到底是不是oled屏幕。但是，白色很标准，完虐我的zuk，亮度也吊打我的zuk，更是秒杀我刚刚退货的我小米note3，总之，这是一块好屏幕。
3.谈一下系统。讲道理，魅族的系统真的很一般。难看，功能少，卡，内存优化一坨。跟MIUI之间大概隔了十个Flyme。9月份的7.0，弄到现在还是一堆bug。
4.音质，木耳没听出差别，不做评价。
5.拍照。不用试都知道肯定是渣，试了下，果然是渣，跟三星s7e大概差了5个小米6。自用卖了lg g5，用啥手机都没有拍照的欲望了。
6.3d press没任何用。mback虽然好用，但是还可以更好，这点可以向zuk学习一下，任何厂家的系统都有自己的优点。要善于借鉴

7.说下gps，很弱，很慢，很差劲。
8.充电器，充电很快，实测功率21w左右，一分钟2%",2017-11-12 11:32:13,366,320,5
你是我的幸运女神呀丶,银牌会员,用了半个月了才来评价，从MX5到MX6到note3到魅6一直用的魅族，刚好双11到手1700总之去年的旗舰猎户座8890虽然说降频版本，像我这种中度用户够用，没出现其他人说的信号不好什么的，升级Flyme6.1没有继续升级，反正去年的旗舰今年在战一年肯定不成问题，日常续航一天，3D Press  基本用不到，AOD息屏显示我带的手表也用不到，像素一般般吧，比我上个NOTE3好，拍照用的note3，视频昨天前摄像头拍的，总体够用，这半个月没有卡顿的迹象，反应很快，这个价格没有比这更好的选择，先到这里，等一个月以后追评,2017-11-25 17:42:58,45,21,5
清***歌,银牌会员,"优点:颜值很高。就是看上了它的颜值，还有正面指纹，3Dpress。4+64也是勉强够用，摄像方面也就光学防抖有点作用，成像素质真的不行，毕竟也才1200万。音质好，配上好的耳机。
缺点:就是电量太少，即使是三千毫安的，还是不够，到手70度电，一直下软件，大概一个半小时电就空了（期间把系统更新到了flyme6）。另外，配置不讨好，尤其是打磨的联发科，游戏体验着实比不上骁龙旗舰。还有我打开阅览器以及taptap都是有闪退的情况发生，但是只有一次。手机发热情况比较严重，这是在我没充电的情况下。
就这些。另外快递小哥速度五星好评",2017-11-11 13:33:01,7,14,5
壮***儿,金牌会员,赶上最后一趟车 用完券真是白菜价啊 犹豫了好几天 最后看见叠加后到了历史最低价就不再犹豫了 下单完没一会儿就全没货了 运气不错 全新6月产机器 充电器毫无例外的跪了 自己加工一下吧 机子很漂亮很流畅 相机对焦不灵了点 主要是2k屏是刚需 看霓虹VR你懂的 希望能用久点吧 刚买了房成了穷光蛋 要勒紧裤腰带过后面两年了,2017-11-08 18:46:25,104,85,5
连城玦-JD,钻石会员,"优点:1.大小合适，外观设计很攒，适合单手持握,2.AOD看时间很方便，无需激活屏幕了,3.双击亮屏很实用，不用用按home键或电源键而担心这两个键早早废掉,4.系统操作反应速度还是蛮快的，对得起猎户座的处理器和4G运存,5.AMOLED屏幕显示效果出色；6.mCharge充电迅速,7.系统很容易上手。缺点:1.home键虽然支持指纹解锁但必须要先点亮屏幕再触摸home键才能解锁，而不是像多数指纹触摸键在机身背面的机型可以直接指纹解锁，一步到位，这一点有点坑,2.系统本身不带一键锁屏快捷键，需要用到悬浮按钮或直接按电源键，再不就是下载第三方app实现一键锁屏，这一点对于想让系统尽可能净化又担心常按电源键会让电源键过早松动的强迫症来说很坑人,3.系统过于简单，可玩性不强,4.续航一般，可能受限于电池容量，而电池容量又受限与机身大小,5.相机没有水印，虽不重要，但却有失逼格,6.手机有点便轻，缺点厚重感,7.个别非官方应用商店的第三方app兼容性不如其他品牌手机理想,8.关机充电时呼吸灯居然不亮，不知开机充电时是不是也这样，略坑。暂时就想到这么多吧。还有这次包装很差劲，手机盒封膜被划得厉害",2017-10-04 23:25:00,82,125,5
y***o,PLUS会员,"经过两个月对比选择，参照现有的魅族MX6和苹果SE，优先选择够用、便携小屏和待机的原则下，在小米note3、小米6、荣耀9、华为Nova、魅族P6s以及苹果6s和锤子Pro2这几款机器之间选择了它，之前试玩过以上多款。虽然想支持国货买国产麒麟处理器，但必须要确保续航、性能、屏幕、系统、经济的前提下，慎重挑了这个大屏机。双十一傍晚下的单1619延保半年，武汉仓发货，第二天就到了，这个得赞一个，双十一了仍能一如既往，非常高效。我迫不及待自己去取货，看到货到消息过俩小时才去，却傻脸了，堆积如啊，又过俩小时才分完找出来。
回到家立即拆封验货，真的幸运一切完美。绝对一手机，屏幕很好无坏点无红屏，网上看负面评价很多，这次所有的疑虑都没事了，六月五号出厂的。说实话，机器很惊艳，体积居然和MX6没啥区别，甚至更薄，手感超好，没觉得大和重。通过五天多的折腾，包括多次资料迁移恢复出厂设置以及两次升级，没死机和卡顿过，因天冷了也没感觉过充电发热，体验还是很不错的。最好的大概就是颜值和手感，特别是屏的还原度很优秀，反正一点也不想摸那两个手机了。
优点上，毕竟买好几台魅族机了，包括M8，对魅族定制系统还是很熟悉",2017-11-17 22:44:41,31,14,5
坏***1,金牌会员,手机上午收到到的，检查外观完好，然后开机后显示是80的电量，首先开始链接wifi，使手机保持联网（截止到当天晚上23:44皆为联网状态），进入手机应用-设置，进入选项菜单-关于手机，检查手机基本信息（重要的是存储信息，确认无误总共64G，剩余55G）检查之后，点几个系统应用（比如相机、辅助功能、显示等等确认相机功能是否正常，屏幕是否有缺陷），之后我在应用商店下载了几个常用软件，个别点进入使用了一会。到了下午玩了两局王者农药匹配实战和大乱斗模式，流畅运行！玩后点了其他游戏试试网游单机都可流畅运行（排除网络因素），然后清理后台任务，息屏显示后，把它放在床头，一个人开车去了趟县城的超市，买了晚饭需要的食材，吃完晚饭，回到床头拿起手机玩了一会游戏，玩的正嗨时手机警报声：手机只剩下10%电量，然后我赶紧退出游戏，清理后台任务，此时提示将要关机，我马上从手机盒里拿出还未拆封的原装Type-C数据线和长方体充电头，把他们俩按照说明书结合好，然后插在床头有电的220V插座上把另一头插在手机底端或尾端，此时屏幕通知栏上方的电量显示为红色，在锁屏界面可以看到手机充电的动画。然后睡觉？你想多了…此时我的手伸,2017-08-05 00:15:16,89,36,5
jd_混也是一种生活,银牌会员,手机收到了，非常满意，这个已经不知道是第几个魅族手机了mx4.mx5.mx6都买了的，mx6是买给老婆的那个在**上面买的才两个月也是1799买的，而且还中招了，居然不能充电，搞的寄回去深圳换了个新的，这次开箱非常小心，所有的工能都试了，就忘了插号码卡，刚插进去就没有读出来，心里咯噔一下就慌了，不会这么邪吧又碰到问题机了，又换卡槽，还是读不了，幸好有两个卡，马上又换另外的卡试，还好能读，是我手机卡在这个里面读不了在mx5能读，可能京东能给我带来幸运，很满意这次购物，这是第一次在京东买东西本来是1999，用京卷抵了200元1799元拿下，让我也体验一下旗舰机的感受，谢谢京东，快递也给力,2017-11-04 20:18:08,52,58,5
B***1,PLUS会员,手机买过来使用也有好几天了，总体上来说还是比较满意的，应该说这是我使用魅族手机以来相对最满意的一个。颜值上和手感上应该说pro6s的pro6是最好的，pro6的续航和拍照功能一般，还好我比较早就更换啦，pro6s还是比较满意的，不过在续航尚可，还是差那么一点点，每天下午都需要充电一次。这个手机的续航就好很多，深度使用一天，完全可以坚持下来。运行速度上确实也还是比较快的。第一次购买魅族手机，是两年前MX4Pro刚发布时就订购，用到现在还不错，但16G内存真不够用，所以这次果断Pro6Plus128G。Flyme系统的流畅度自不必说，就两机对比，屏幕虽同是2K屏，但Pro6Plus色彩更鲜艳，更细腻；指纹识别灵敏度高，相比MX4Pro有时要触好几下；四轴防抖使拍照更方便，不会再出现模糊不清的不对焦现象；HiFi外放效果更佳。就这几点，便觉Pro6Plus身价不凡，下手不悔！,2017-07-12 15:12:36,129,85,5
安***念,金牌会员,"昨天收到的，体验了一天下来，这款机子的颜值非常棒，黑色高端商务范的风格拿出去很有面子，但估计金色就不会有这种感觉了。官方称这款24W的快充头最快一个小时十多分钟可以从1%充到100%，实测我从20%到90%只用了半个小时，效果还是不错的。还有一方面，这个我是要重点讲的，那就是里面内置的Cirrus Logic HiFi芯片，在我插上耳机后播放Look At Me Now的前奏时，我被深深地震撼到了，原来这就是HiFi的魔力！就像加了一层音效一般，闭上眼睛感受，音乐好像与你融与一体，与我的小米六对比，不论是外放还是听耳机，都要比米6好一个等级。然后是拍照方面，虽说CMOS与小米六一样都是IMX386,但是相机调校得没有米6好，四轴防抖实测还是不错的，与米5一个等级，但相比较米6的防抖总感觉还差点，可能是因为系统UI界面不一样。屏幕素质可以，采用的是三星AMOLED屏，把设置调到鲜艳模式下，观感要比我的米6好。",2017-11-05 10:57:55,65,43,5
