名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
m***8,金牌会员,刚收到就马上开机测试。够用党表示相当满意！五星好评,2017-09-26 17:47:30,13,20,5
j***新,金牌会员,这是拿到的魅族6，今天凌晨下的单，下午4点钟左右吧算是收到了，手机比较轻。按照做工来说比我的pro5好很多呢，自我感觉是这样啊，手机速度来说感觉流畅，16G到手10G左右，给爸妈买的，用不了多大的内存，按键要比我的Pro5硬很多，不知道这是不是所谓的手感。感觉5.2的屏幕简直是太棒了（个人感觉），我自己拿着手里非常舒服。自己用的话还是感觉配置各方面稍微逊色一点。各位魅友们自己评论一下，具体的用过以后再来评价。,2017-09-25 19:05:45,99,47,5
君***0,金牌会员,给老妈买的，外观挺好看的，没用过魅族的，先试试,2017-11-03 11:43:36,5,1,5
j***鴹,金牌会员,手机挺好的，买给老人用的，之前用的是魅蓝2从三楼掉下看竟然还能用，只是屏膜玻璃裂了手机底部变形，修不了了！但是手机各项功能都还正常！相信魅族！,2017-10-23 19:06:00,7,0,5
烈酒酌喉未饮自醉,铜牌会员,魅族越来越可以了，东西外观确实可以！挺好的，性价比很高！一家里都是魅族手机！,2017-10-03 14:31:55,12,1,5
微***粼,银牌会员,不错不错，给妈妈买的，她很喜欢,2018-03-03 17:03:06,1,0,5
风***灬,银牌会员,手机很流畅，玩游戏，都很好，只要王者荣耀能玩不卡，这个手机就不错，很喜欢,2017-10-21 15:29:03,2,3,5
丨***丶,金牌会员,已试用一段时间，功能基本满足，没做报太大希望，满足基本通话需求就行，前置指纹解锁，屏幕分辨率也还行，毕竟一份价钱一分货,2018-03-07 07:01:58,0,0,5
z***1,金牌会员,手机还可以，给老人用的，就是充电有些慢。,2018-03-06 13:45:00,0,0,4
j***k,银牌会员,还算流畅，目前没发现什么问题,2018-03-07 17:15:52,0,0,5
j***b,铜牌会员,真的很好用，一点都不卡，买给妈妈使用的，她只上微信和打电话，而且外表美观，很耐点，我打了3局球球大作战还剩92％的电量。,2017-09-26 19:05:44,1,0,5
是***的,银牌会员,东西一般吧，开箱后发现摄像头周围掉漆，价钱咱不说，到手就是坏的真心闹心，售后退换还麻烦，这个亏只能咽肚子里去了，,2017-09-26 17:49:11,41,20,1
除***啦,铜牌会员,给老爸卖的，爸爸收到很开心，手机非常不错，我对魅族手机一直比较信赖，喜欢就是赞美，棒棒的，希望越来越好,2017-12-10 11:26:25,1,0,5
孩***1,钻石会员,给老爸买的，手感不错，能调整简单的老人使用模式，魅族的手机还是值得信赖的，而且有些自带的不用的程序还能卸载，魅族系统操作也简单，家里人都是用的魅族手机。,2018-02-04 19:49:36,1,0,5
女***子,金牌会员,这个真的是性价比很高，价钱合适，拿到手就很大气，买给公公用的，玩了一个多小时反应什么的都很速度，同等价位看过小米的最终还是选了魅族，没有让我失望！,2017-09-26 15:05:59,2,1,5
燊***2,PLUS会员,很喜欢，大棒了,2018-03-07 11:08:51,0,0,5
g***u,PLUS会员,性价比不错，系统广告少了某米是不能买了，会被广告烦死。,2018-03-08 20:15:42,0,0,5
翟***龙,银牌会员,辛苦快递小哥了   一个手机送了四次了。。。。,2018-03-08 16:43:24,0,0,5
j***d,铜牌会员,还可以，就是没有钢化膜，没有耳机,2018-03-06 17:42:15,0,0,5
j***3,钻石会员,魅族老人机还不错！价格实惠耐不耐用就看表现了！！物流超快！关键是过年还送货！！！,2018-03-07 21:43:39,0,0,5
j***q,银牌会员,手机给妈妈买的，很适合她们用，很喜欢性价比很高，用一段时间先，再给爸爸买一个，支持魅族,2017-10-06 22:43:25,1,0,5
M***e,金牌会员,买第二部了，性价比很高，满足日常需要,2017-10-04 23:16:11,3,1,5
w***g,金牌会员,用了一个月，系统各种bug，微信视频通话声音完全不正常的小，而且找不到原因，微信沟通中经常莫名其妙自动跳转到其他联系人上，充电中自动拨出四五个电话而且是在半夜里....！！！！魅族最好尽快给个说法，不然315投诉！,2018-03-07 21:40:24,1,1,1
j***p,银牌会员,6号下的单7号就收到了！京东物流给力！手机试用了还不错！,2018-03-07 22:29:35,0,0,5
j***k,银牌会员,之前买过，还是挺好用的，值得购买，物流也很快,2018-03-06 21:23:53,1,0,5
心***8,银牌会员,用着挺好的，暂时没有什么问题。很不错,2018-03-08 16:19:05,0,0,5
j***5,金牌会员,很好，屏幕清醒,2018-02-25 09:37:19,1,0,5
j***b,铜牌会员,魅族手机屏幕，值得信赖，电池持久，我喜欢,2018-03-08 10:22:53,0,0,5
小***Q,银牌会员,不错，不玩游戏的人表示不卡，内存也够用,2018-03-06 19:01:54,0,0,5
j***0,金牌会员,做工好，反应快，这么便宜能买到这么好的手机，真的物超所值！,2018-03-07 20:39:26,0,0,5
j***h,铜牌会员,老爸老妈生日买的，物流真是给力，东西哪哪都好，只不过一次买了俩，感觉其中一个不如另一个系统反应流畅，总体很满意哦,2018-03-07 11:20:27,0,0,5
1***p,银牌会员,性价比还是OK??，运行流畅，不卡顿，手感一般,2018-03-06 14:02:52,0,0,5
j***l,PLUS会员,好用，不贵，不卡…值得拥有…推荐购买！,2018-03-06 18:30:54,0,0,5
a***6,铜牌会员,标准版，一个手机一充电器。其他的啥都没有！,2018-03-07 13:09:05,0,0,5
j***k,银牌会员,不错很好用，第二次买魅族的手机了,2018-03-09 17:05:58,0,0,5
j***7,银牌会员,性价比都不错，买给爸妈挺合适，主要是京东没有啥瑕疵，这次又买了一个麦芒五，顺便过来评价一下,2018-03-06 17:51:52,0,0,5
jd_何为,金牌会员,魅族之前一只用，感觉都挺不错的，这次重新用，希望有更好的体验。快递小哥幸苦了，谢谢！,2018-03-07 15:04:23,0,0,5
j***2,铜牌会员,"花了647  感觉给爸妈用还可以   屏幕没有那么灵敏     还可以吧   用的时间久了我再来追评
愿岁月无可回顾，愿人生无可辜负。若岁月轻狂，愿你可以笑看夕阳。愿你被世界温柔以待，愿所有美好陪你至最后。用整段青春去爱你，是我做过最奢侈的事。你是我青春的记忆，却是我生命的过客愿你以后所有苦难，都能成为笑谈。愿你眼中有光芒，活成你想要的模样。愿你走出半生，归来仍是少年",2018-03-02 18:54:22,1,0,5
j***w,铜牌会员,手机不错，是买给老人用的，很喜欢！唯一缺点是话筒声音偏小了点，其他都挺不错！,2018-03-07 14:25:31,0,0,5
a***d,银牌会员,手机看这不错还可以，就是电池只能用一天，别的还好，用一段时间在来评价,2018-03-08 23:06:12,0,0,5
天***形,钻石会员,送货速度很快，老妈的手机摔坏了换个给她用，顺便买个手机壳，她就聊微信语音，魅族一键简易模式老人机，很棒！这手机给她用，完全够用。,2018-03-09 11:15:58,0,0,5
花***1,PLUS会员,帮朋友购买，看评论不错，还没有用不知道怎么样。,2018-03-08 21:41:08,0,0,5
1***6,金牌会员,给老妈买的，目前用着还不错，希望后期不会有什么问题就好！,2018-03-09 11:08:45,0,0,5
Q***Z,铜牌会员,手机很好用，带指纹解锁，一点都不卡，性价比很高，值得购买,2018-03-08 07:33:55,0,0,5
j***e,金牌会员,指纹解锁还挺灵敏，外观也就那样，万年不变，电池不太耐用。,2018-03-06 21:05:34,0,0,5
g***丶,金牌会员,给丈母娘用的，家里几个人都用的魅蓝，还可以，以后还会买。,2018-03-06 12:52:37,0,0,5
w***1,PLUS会员,手机挺好的 大屏 不重 老人用挺好,2018-03-09 11:45:02,0,0,5
